Sample ID	Score	Activity
NCGC00261776-01	-2.471	0
NCGC00261380-01	-2.781	0
NCGC00261842-01	2.057	1
NCGC00261662-01	-0.547	0
NCGC00261190-01	-3.064	0
NCGC00260731-01	-1.529	0
NCGC00261926-01	-3.263	0
NCGC00261579-01	-1.106	0
NCGC00260921-01	-1.598	0
NCGC00261119-01	-1.896	0
NCGC00261812-01	-1.441	0
NCGC00260831-01	-0.232	0
NCGC00261544-01	-0.866	0
NCGC00261619-01	-2.522	0
NCGC00261395-01	-1.225	0
NCGC00261717-01	4.015	1
NCGC00261947-01	4.143	1
NCGC00261424-01	9.015	1
NCGC00261861-01	-0.567	0
NCGC00261924-01	-0.53	0
NCGC00261026-01	-0.517	0
NCGC00261057-01	-3.048	0
NCGC00261738-01	-1.95	0
NCGC00261348-01	-1.559	0
NCGC00261503-01	-2.93	0
NCGC00260693-01	-2.322	0
NCGC00260703-01	-2.31	0
NCGC00260716-01	-0.307	0
NCGC00260782-01	-0.694	0
NCGC00260802-01	-0.71	0
NCGC00260823-01	0.918	1
NCGC00260757-01	-0.64	0
NCGC00260826-01	-0.172	0
NCGC00260889-01	-2.478	0
NCGC00260811-01	-2.006	0
NCGC00261165-01	-3.294	0
NCGC00261060-01	-1.827	0
NCGC00261541-01	-1.404	0
NCGC00261649-01	-0.884	0
NCGC00261110-01	-0.115	0
NCGC00261130-01	0.593	1
NCGC00260846-01	-1.887	0
NCGC00261030-01	-0.925	0
NCGC00261162-01	-0.692	0
NCGC00261058-01	-0.511	0
NCGC00261404-01	-0.317	0
NCGC00261423-01	-0.74	0
NCGC00261856-01	-0.905	0
NCGC00261342-01	4.2	1
NCGC00261069-01	-1.075	0
NCGC00261101-01	-1.287	0
NCGC00261716-01	-1.554	0
NCGC00260742-01	-2.666	0
NCGC00261529-01	-1.467	0
NCGC00261170-01	-1.716	0
NCGC00261565-01	-1.281	0
NCGC00260990-01	-1.896	0
NCGC00261340-01	-1.006	0
NCGC00261079-01	-1.462	0
NCGC00261389-01	-2.717	0
NCGC00261744-01	-1.259	0
NCGC00261420-01	-3.072	0
NCGC00261215-01	-2.227	0
NCGC00261826-01	-1.245	0
NCGC00261123-01	-1.131	0
NCGC00261367-01	-3.442	0
NCGC00261507-01	-2.942	0
NCGC00261169-01	-2.332	0
NCGC00261730-01	-2.376	0
NCGC00261624-01	-1.606	0
NCGC00261641-01	-1.193	0
NCGC00261853-01	-1.668	0
NCGC00260911-01	-1.343	0
NCGC00261384-01	-1.418	0
NCGC00260785-01	-2.056	0
NCGC00261025-01	-1.235	0
NCGC00260789-01	-2.787	0
NCGC00260866-01	-3.261	0
NCGC00261189-01	-2.258	0
NCGC00261270-01	-1.963	0
NCGC00261611-01	-1.775	0
NCGC00261817-01	-1.732	0
NCGC00261866-01	-1.066	0
NCGC00260852-01	-1.95	0
NCGC00261290-01	-1.322	0
NCGC00261304-01	-2.707	0
NCGC00261704-01	-2.231	0
NCGC00260850-01	-2.516	0
NCGC00260972-01	-1.356	0
NCGC00261392-01	-2.278	0
NCGC00261638-01	-0.754	0
NCGC00261820-01	-1.684	0
NCGC00261808-01	-1.809	0
NCGC00260790-01	-2.626	0
NCGC00260940-01	-2.612	0
NCGC00261081-01	-3.035	0
NCGC00261506-01	-2.671	0
NCGC00261133-01	-3.088	0
NCGC00261399-01	-2.004	0
NCGC00260696-01	-1.208	0
NCGC00261903-01	-1.122	0
NCGC00261178-01	-1.86	0
NCGC00261568-01	-3.289	0
NCGC00260830-01	-4.394	0
NCGC00261113-01	-2.197	0
NCGC00261327-01	-3.729	0
NCGC00261602-01	-2.779	0
