Sample ID	Score	Activity
NCGC00260691	0.25370	0
NCGC00260692	0.09455	0
NCGC00260693	0.18814	0
NCGC00260696	0.09204	0
NCGC00260698	0.27446	0
NCGC00260703	0.17951	0
NCGC00260706	0.17409	0
NCGC00260707	0.43201	0
NCGC00260708	0.07666	0
NCGC00260713	0.40715	0
NCGC00260716	0.04706	0
NCGC00260728	0.06877	0
NCGC00260731	0.29941	0
NCGC00260742	0.42137	0
NCGC00260743	0.11094	0
NCGC00260751	0.09972	0
NCGC00260757	0.06574	0
NCGC00260770	0.10338	0
NCGC00260775	0.17884	0
NCGC00260782	0.19836	0
NCGC00260785	0.40273	0
NCGC00260789	0.32648	0
NCGC00260790	0.28827	0
NCGC00260795	0.29544	0
NCGC00260798	0.51952	1
NCGC00260802	0.07898	0
NCGC00260803	0.28770	0
NCGC00260811	0.25439	0
NCGC00260815	0.38427	0
NCGC00260817	0.11153	0
NCGC00260821	0.26250	0
NCGC00260822	0.38013	0
NCGC00260823	0.12912	0
NCGC00260826	0.11436	0
NCGC00260830	0.33789	0
NCGC00260831	0.31465	0
NCGC00260833	0.37748	0
NCGC00260834	0.43237	0
NCGC00260840	0.42690	0
NCGC00260846	0.28068	0
NCGC00260850	0.47322	0
NCGC00260852	0.21584	0
NCGC00260858	0.40213	0
NCGC00260866	0.18927	0
NCGC00260867	0.09296	0
NCGC00260869	0.26086	0
NCGC00260871	0.47218	0
NCGC00260875	0.32046	0
NCGC00260876	0.07531	0
NCGC00260881	0.14717	0
NCGC00260889	0.15421	0
NCGC00260890	0.17879	0
NCGC00260892	0.18480	0
NCGC00260910	0.31439	0
NCGC00260911	0.28449	0
NCGC00260921	0.33177	0
NCGC00260940	0.34768	0
NCGC00260947	0.41041	0
NCGC00260948	0.12211	0
NCGC00260957	0.43985	0
NCGC00260962	0.19123	0
NCGC00260972	0.37492	0
NCGC00260979	0.27114	0
NCGC00260980	0.40155	0
NCGC00260982	0.14046	0
NCGC00260990	0.28511	0
NCGC00260993	0.23761	0
NCGC00261003	0.35480	0
NCGC00261005	0.24145	0
NCGC00261007	0.23093	0
NCGC00261008	0.48436	0
NCGC00261009	0.30022	0
NCGC00261013	0.13912	0
NCGC00261018	0.18616	0
NCGC00261019	0.25902	0
NCGC00261025	0.19688	0
NCGC00261026	0.54854	1
NCGC00261028	0.41542	0
NCGC00261030	0.37476	0
NCGC00261037	0.19554	0
NCGC00261049	0.41894	0
NCGC00261052	0.14987	0
NCGC00261053	0.10888	0
NCGC00261057	0.18244	0
NCGC00261058	0.29827	0
NCGC00261060	0.20228	0
NCGC00261065	0.36954	0
NCGC00261071	0.37016	0
NCGC00261075	0.07697	0
NCGC00261076	0.19986	0
NCGC00261079	0.14327	0
NCGC00261080	0.48601	0
NCGC00261081	0.44203	0
NCGC00261085	0.12667	0
NCGC00261101	0.29082	0
NCGC00261108	0.20150	0
NCGC00261110	0.18704	0
NCGC00261113	0.27170	0
NCGC00261119	0.16928	0
NCGC00261123	0.26689	0
NCGC00261129	0.11351	0
NCGC00261130	0.18620	0
NCGC00261133	0.30832	0
NCGC00261141	0.17113	0
NCGC00261142	0.48090	0
NCGC00261146	0.11100	0
NCGC00261147	0.44204	0
NCGC00261150	0.10221	0
NCGC00261153	0.57725	1
NCGC00261155	0.27944	0
NCGC00261160	0.49692	0
NCGC00261161	0.10602	0
NCGC00261162	0.39685	0
NCGC00261163	0.70118	1
NCGC00261165	0.43351	0
NCGC00261166	0.38139	0
NCGC00261169	0.28019	0
NCGC00261170	0.42579	0
NCGC00261176	0.10441	0
NCGC00261177	0.23451	0
NCGC00261178	0.31877	0
NCGC00261183	0.39437	0
NCGC00261189	0.20861	0
NCGC00261190	0.37588	0
NCGC00261192	0.48707	0
NCGC00261201	0.51180	1
NCGC00261215	0.48719	0
NCGC00261238	0.15205	0
NCGC00261246	0.18132	0
NCGC00261248	0.10519	0
NCGC00261254	0.12903	0
NCGC00261260	0.40680	0
NCGC00261261	0.12195	0
NCGC00261270	0.15837	0
NCGC00261272	0.30042	0
NCGC00261286	0.34359	0
NCGC00261290	0.31518	0
NCGC00261293	0.33523	0
NCGC00261294	0.09369	0
NCGC00261297	0.22152	0
NCGC00261304	0.43266	0
NCGC00261313	0.11077	0
NCGC00261321	0.16100	0
NCGC00261327	0.16503	0
NCGC00261330	0.17372	0
NCGC00261332	0.24218	0
NCGC00261333	0.47659	0
NCGC00261336	0.26979	0
NCGC00261340	0.19538	0
NCGC00261342	0.59632	1
NCGC00261343	0.46319	0
NCGC00261348	0.22010	0
NCGC00261349	0.23834	0
NCGC00261352	0.30533	0
NCGC00261364	0.15342	0
NCGC00261367	0.27381	0
NCGC00261380	0.29245	0
NCGC00261381	0.41198	0
NCGC00261382	0.52066	1
NCGC00261384	0.35643	0
NCGC00261389	0.41961	0
NCGC00261390	0.07879	0
NCGC00261392	0.22736	0
NCGC00261395	0.28402	0
NCGC00261398	0.76072	1
NCGC00261399	0.46172	0
NCGC00261404	0.24102	0
NCGC00261406	0.26243	0
NCGC00261420	0.30030	0
NCGC00261423	0.22020	0
NCGC00261424	0.69423	1
NCGC00261426	0.44766	0
NCGC00261440	0.11983	0
NCGC00261441	0.31393	0
NCGC00261446	0.30726	0
NCGC00261470	0.09969	0
NCGC00261473	0.25004	0
NCGC00261474	0.16634	0
NCGC00261475	0.48936	0
NCGC00261480	0.25442	0
NCGC00261487	0.65423	1
NCGC00261503	0.31194	0
NCGC00261506	0.29602	0
NCGC00261507	0.25034	0
NCGC00261510	0.47932	0
NCGC00261519	0.13672	0
NCGC00261529	0.49102	0
NCGC00261541	0.24240	0
NCGC00261542	0.23928	0
NCGC00261544	0.43248	0
NCGC00261545	0.45249	0
NCGC00261554	0.34190	0
NCGC00261563	0.58981	1
NCGC00261565	0.44428	0
NCGC00261568	0.22767	0
NCGC00261577	0.26974	0
NCGC00261578	0.29523	0
NCGC00261579	0.25207	0
NCGC00261582	0.80361	1
NCGC00261583	0.21091	0
NCGC00261593	0.49029	0
NCGC00261597	0.39873	0
NCGC00261598	0.14774	0
NCGC00261601	0.59415	1
NCGC00261602	0.19831	0
NCGC00261607	0.18260	0
NCGC00261611	0.52077	1
NCGC00261619	0.39485	0
NCGC00261620	0.26714	0
NCGC00261624	0.13789	0
NCGC00261627	0.40690	0
NCGC00261633	0.41089	0
NCGC00261638	0.29539	0
NCGC00261639	0.21677	0
NCGC00261641	0.28372	0
NCGC00261643	0.28276	0
NCGC00261649	0.19992	0
NCGC00261653	0.80679	1
NCGC00261657	0.06314	0
NCGC00261662	0.23451	0
NCGC00261663	0.45119	0
NCGC00261672	0.39761	0
NCGC00261679	0.07234	0
NCGC00261682	0.48245	0
NCGC00261683	0.35107	0
NCGC00261686	0.25561	0
NCGC00261691	0.23830	0
NCGC00261693	0.24190	0
NCGC00261704	0.19938	0
NCGC00261713	0.23028	0
NCGC00261716	0.40694	0
NCGC00261717	0.86800	1
NCGC00261718	0.04196	0
NCGC00261730	0.29405	0
NCGC00261732	0.11657	0
NCGC00261737	0.62515	1
NCGC00261738	0.19563	0
NCGC00261739	0.53077	1
NCGC00261744	0.35972	0
NCGC00261752	0.25620	0
NCGC00261764	0.37777	0
NCGC00261767	0.26805	0
NCGC00261776	0.34367	0
NCGC00261782	0.21961	0
NCGC00261787	0.20996	0
NCGC00261802	0.46002	0
NCGC00261804	0.38647	0
NCGC00261808	0.39905	0
NCGC00261812	0.33608	0
NCGC00261813	0.43083	0
NCGC00261816	0.24985	0
NCGC00261817	0.31218	0
NCGC00261820	0.14952	0
NCGC00261824	0.16851	0
NCGC00261825	0.44894	0
NCGC00261826	0.30625	0
NCGC00261828	0.26711	0
NCGC00261833	0.53318	1
NCGC00261835	0.36061	0
NCGC00261838	0.24132	0
NCGC00261840	0.25487	0
NCGC00261842	0.39375	0
NCGC00261853	0.31298	0
NCGC00261856	0.27429	0
NCGC00261860	0.40373	0
NCGC00261861	0.41870	0
NCGC00261866	0.16919	0
NCGC00261869	0.28335	0
NCGC00261873	0.51842	1
NCGC00261877	0.16395	0
NCGC00261882	0.28652	0
NCGC00261900	0.73259	1
NCGC00261903	0.30902	0
NCGC00261906	0.32139	0
NCGC00261910	0.40711	0
NCGC00261913	0.15050	0
NCGC00261914	0.47495	0
NCGC00261915	0.35440	0
NCGC00261916	0.48698	0
NCGC00261921	0.14525	0
NCGC00261924	0.26040	0
NCGC00261926	0.46928	0
NCGC00261933	0.77239	1
NCGC00261935	0.19836	0
NCGC00261939	0.42355	0
NCGC00261941	0.21154	0
NCGC00261944	0.34462	0
NCGC00261947	0.78947	1
NCGC00261948	0.53978	1
NCGC00261949	0.16796	0
NCGC00261958	0.30456	0
NCGC00356938	0.09276	0
NCGC00356939	0.03958	0
NCGC00356940	0.31570	0
NCGC00356941	0.04204	0
NCGC00356942	0.26282	0
NCGC00356943	0.38563	0
NCGC00356944	0.06193	0
NCGC00356945	0.06562	0
NCGC00356946	0.53381	1
NCGC00356947	0.25576	0
NCGC00356948	0.37424	0
NCGC00356949	0.18023	0
NCGC00356950	0.10291	0
NCGC00356951	0.06802	0
NCGC00356952	0.17868	0
NCGC00356953	0.52441	1
NCGC00356954	0.10013	0
NCGC00356955	0.45149	0
NCGC00356956	0.43456	0
NCGC00356957	0.43451	0
NCGC00356958	0.17622	0
NCGC00356959	0.23360	0
NCGC00356960	0.33036	0
NCGC00356961	0.14156	0
NCGC00356962	0.41569	0
NCGC00356963	0.10411	0
NCGC00356964	0.19623	0
NCGC00356965	0.32641	0
NCGC00356966	0.03950	0
NCGC00356967	0.02530	0
NCGC00356968	0.36518	0
NCGC00356969	0.07299	0
NCGC00356970	0.14812	0
NCGC00356971	0.10170	0
NCGC00356972	0.18382	0
NCGC00356973	0.16931	0
NCGC00356974	0.23765	0
NCGC00356975	0.10008	0
NCGC00356976	0.45610	0
NCGC00356977	0.13235	0
NCGC00356978	0.14050	0
NCGC00356979	0.08531	0
NCGC00356980	0.16975	0
NCGC00356981	0.12391	0
NCGC00356982	0.23189	0
NCGC00356983	0.21321	0
NCGC00356985	0.16997	0
NCGC00356986	0.28210	0
NCGC00356987	0.17408	0
NCGC00356988	0.38504	0
