Sample ID	Score	Activity
NCGC00261900	0.9212	1
NCGC00260869	0.3018	0
NCGC00261776	0.6732	1
NCGC00261380	0.3524	0
NCGC00261842	0.1862	0
NCGC00261662	0.3296	0
NCGC00261190	0.3624	0
NCGC00260731	0.1904	0
NCGC00261926	0.503	1
NCGC00261579	0.239	0
NCGC00260921	0.4188	0
NCGC00261119	0.3236	0
NCGC00260957	0.6656	1
NCGC00261812	0.3616	0
NCGC00260831	0.4242	0
NCGC00261544	0.2486	0
NCGC00261619	0.6282	1
NCGC00261633	0.2888	0
NCGC00261395	0.3914	0
NCGC00261717	0.7314	1
NCGC00261947	0.7058	1
NCGC00261424	0.8664	1
NCGC00261861	0.157	0
NCGC00261924	0.2242	0
NCGC00261052	0.188	0
NCGC00261683	0.1648	0
NCGC00261026	0.8026	1
NCGC00261057	0.1496	0
NCGC00261738	0.2274	0
NCGC00261348	0.1302	0
NCGC00261503	0.3784	0
NCGC00260693	0.1398	0
NCGC00260703	0.1682	0
NCGC00260716	0.071	0
NCGC00260782	0.4084	0
NCGC00260802	0.0876	0
NCGC00260823	0.2022	0
NCGC00261313	0.0368	0
NCGC00260757	0.1976	0
NCGC00260826	0.1016	0
NCGC00261005	0.477	0
NCGC00260980	0.2878	0
NCGC00261816	0.4378	0
NCGC00260698	0.3026	0
NCGC00260889	0.186	0
NCGC00260811	0.348	0
NCGC00261165	0.3352	0
NCGC00261060	0.2214	0
NCGC00261541	0.3298	0
NCGC00261649	0.4084	0
NCGC00261110	0.5392	1
NCGC00261130	0.4174	0
NCGC00260846	0.4094	0
NCGC00261030	0.408	0
NCGC00261162	0.6002	1
NCGC00261058	0.3474	0
NCGC00261404	0.3876	0
NCGC00261423	0.1048	0
NCGC00261856	0.0724	0
NCGC00261342	0.9056	1
NCGC00261935	0.0836	0
NCGC00261069	0.3952	0
NCGC00261101	0.3622	0
NCGC00261183	0.307	0
NCGC00261716	0.3466	0
NCGC00260742	0.4446	0
NCGC00261529	0.4704	0
NCGC00261170	0.4154	0
NCGC00261565	0.4424	0
NCGC00260990	0.3352	0
NCGC00261340	0.491	0
NCGC00261079	0.277	0
NCGC00261389	0.456	0
NCGC00261744	0.2544	0
NCGC00261420	0.216	0
NCGC00261215	0.4782	0
NCGC00261826	0.2696	0
NCGC00260706	0.3238	0
NCGC00261123	0.39	0
NCGC00261367	0.294	0
NCGC00261507	0.1726	0
NCGC00261169	0.1134	0
NCGC00261730	0.1438	0
NCGC00261624	0.2182	0
NCGC00261641	0.2738	0
NCGC00261853	0.282	0
NCGC00260911	0.3394	0
NCGC00260798	0.4208	0
NCGC00261384	0.479	0
NCGC00260785	0.6264	1
NCGC00261597	0.4476	0
NCGC00261025	0.1856	0
NCGC00260789	0.1804	0
NCGC00260866	0.2932	0
NCGC00261189	0.1398	0
NCGC00261270	0.1574	0
NCGC00261611	0.5242	1
NCGC00261160	0.5268	1
NCGC00261085	0.0884	0
NCGC00261817	0.366	0
NCGC00261866	0.3066	0
NCGC00260852	0.3218	0
NCGC00261290	0.1498	0
NCGC00261304	0.5872	1
NCGC00261704	0.1778	0
NCGC00260850	0.4668	0
NCGC00260972	0.4508	0
NCGC00261364	0.0912	0
NCGC00261392	0.286	0
NCGC00261638	0.39	0
NCGC00261820	0.1492	0
NCGC00261808	0.2584	0
NCGC00260790	0.3784	0
NCGC00260940	0.3134	0
NCGC00261081	0.442	0
NCGC00261506	0.3806	0
NCGC00261133	0.3896	0
NCGC00261399	0.5702	1
NCGC00260696	0.1178	0
NCGC00261903	0.3088	0
NCGC00261178	0.2108	0
NCGC00261568	0.3628	0
NCGC00260830	0.5324	1
NCGC00261113	0.1024	0
NCGC00261327	0.3702	0
NCGC00261602	0.2174	0
NCGC00260858	0.4292	0
NCGC00261071	0.123	0
NCGC00261076	0.2436	0
NCGC00261192	0.761	1
NCGC00261577	0.3462	0
NCGC00261510	0.463	0
NCGC00261679	0.2594	0
NCGC00261941	0.2588	0
NCGC00261343	0.5606	1
NCGC00261607	0.3504	0
NCGC00261782	0.2764	0
NCGC00261914	0.4834	0
NCGC00261475	0.749	1
NCGC00261764	0.4118	0
NCGC00261802	0.4584	0
NCGC00261813	0.7514	1
NCGC00260795	0.3082	0
NCGC00261352	0.386	0
NCGC00261009	0.4372	0
NCGC00261944	0.6588	1
NCGC00261166	0.2958	0
NCGC00261332	0.4898	0
NCGC00261333	0.8362	1
NCGC00261260	0.6368	1
NCGC00261915	0.4122	0
NCGC00261238	0.4602	0
NCGC00261682	0.6986	1
NCGC00261049	0.397	0
NCGC00260910	0.5112	1
NCGC00261272	0.3912	0
NCGC00260708	0.0902	0
NCGC00261390	0.1024	0
NCGC00260948	0.3998	0
NCGC00261840	0.0916	0
NCGC00260881	0.2072	0
NCGC00261153	0.493	0
NCGC00261406	0.0854	0
NCGC00261053	0.157	0
NCGC00261129	0.1634	0
NCGC00261381	0.8246	1
NCGC00261426	0.3728	0
NCGC00260979	0.0642	0
NCGC00260993	0.3388	0
NCGC00261108	0.1112	0
NCGC00261441	0.2268	0
NCGC00261877	0.2634	0
NCGC00260815	0.3846	0
NCGC00261542	0.2744	0
NCGC00261958	0.2776	0
NCGC00261787	0.3294	0
NCGC00261065	0.4914	0
NCGC00261804	0.34	0
NCGC00260875	0.3986	0
NCGC00261451	0.154	0
NCGC00261739	0.683	1
NCGC00261948	0.4668	0
NCGC00261382	0.7368	1
NCGC00261663	0.3898	0
NCGC00260892	0.2516	0
NCGC00261297	0.154	0
NCGC00261321	0.2796	0
NCGC00261446	0.3024	0
NCGC00261474	0.1416	0
NCGC00260834	0.4574	0
NCGC00260840	0.3754	0
NCGC00260947	0.6882	1
NCGC00261080	0.5716	1
NCGC00261563	0.6496	1
NCGC00261873	0.642	1
NCGC00260803	0.4742	0
NCGC00260833	0.6392	1
NCGC00261008	0.7602	1
NCGC00261155	0.1716	0
NCGC00261643	0.5358	1
NCGC00261037	0.2602	0
NCGC00261126	0.082	0
NCGC00260871	0.3712	0
NCGC00260713	0.3804	0
NCGC00261487	0.723	1
NCGC00261545	0.5642	1
NCGC00261480	0.137	0
NCGC00261838	0.115	0
NCGC00261627	0.0976	0
NCGC00261639	0.1272	0
NCGC00261177	0.2714	0
NCGC00260692	0.3506	0
NCGC00260775	0.1858	0
NCGC00260876	0.221	0
NCGC00261598	0.4596	0
NCGC00260707	0.344	0
NCGC00261554	0.5434	1
NCGC00261713	0.2408	0
NCGC00261737	0.7242	1
NCGC00261882	0.182	0
NCGC00261933	0.8242	1
NCGC00261201	0.217	0
NCGC00261398	0.754	1
NCGC00261601	0.1074	0
NCGC00261003	0.252	0
NCGC00261019	0.2714	0
NCGC00261519	0.1754	0
NCGC00261732	0.0798	0
NCGC00261718	0.2088	0
NCGC00260743	0.1792	0
NCGC00260751	0.1378	0
NCGC00260867	0.112	0
NCGC00260982	0.2086	0
NCGC00261176	0.2196	0
NCGC00261440	0.258	0
NCGC00261657	0.0874	0
NCGC00260822	0.4438	0
NCGC00261142	0.4926	0
NCGC00261582	0.9152	1
NCGC00261825	0.3396	0
NCGC00261833	0.4858	0
NCGC00261835	0.3816	0
NCGC00261860	0.29	0
NCGC00261906	0.3086	0
NCGC00261916	0.3606	0
NCGC00261939	0.263	0
NCGC00261869	0.1494	0
NCGC00261163	0.4264	0
NCGC00261653	0.9396	1
NCGC00261248	0.1448	0
NCGC00260770	0.125	0
NCGC00261013	0.2986	0
NCGC00261910	0.2376	0
NCGC00261686	0.2306	0
NCGC00261147	0.1544	0
NCGC00261578	0.0088	0
NCGC00261336	0.4674	0
NCGC00261593	0.2018	0
NCGC00260821	0.0728	0
NCGC00261007	0.142	0
NCGC00261246	0.1258	0
NCGC00261949	0.1058	0
NCGC00260890	0.2658	0
NCGC00261294	0.2156	0
NCGC00261330	0.2854	0
NCGC00261470	0.0704	0
NCGC00260691	0.177	0
NCGC00261693	0.1616	0
NCGC00261293	0.2532	0
NCGC00261018	0.0944	0
NCGC00261075	0.078	0
NCGC00261150	0.0438	0
NCGC00261767	0.4522	0
NCGC00261824	0.2542	0
NCGC00261146	0.0184	0
NCGC00260817	0.2604	0
NCGC00261161	0.035	0
NCGC00260728	0.1594	0
NCGC00261286	0.1542	0
NCGC00261254	0.101	0
NCGC00261261	0.1006	0
NCGC00261691	0.3586	0
NCGC00261921	0.1528	0
NCGC00260962	0.2216	0
NCGC00261028	0.0986	0
NCGC00261349	0.215	0
NCGC00261583	0.1744	0
NCGC00261672	0.1834	0
NCGC00261620	0.302	0
NCGC00261141	0.2898	0
NCGC00261752	0.1918	0
NCGC00261828	0.3394	0
NCGC00261913	0.2128	0
NCGC00261473	0.057	0
NCGC00356953	0.7864	1
NCGC00357009	0.0626	0
NCGC00357188	0.3694	0
NCGC00357201	0.204	0
NCGC00357189	0.1918	0
NCGC00357163	0.0322	0
NCGC00357001	0.192	0
NCGC00357030	0.0584	0
NCGC00357123	0.522	1
NCGC00357091	0.4102	0
NCGC00357004	0.2326	0
NCGC00357289	0.5614	1
NCGC00357082	0.2066	0
NCGC00356999	0.3482	0
NCGC00357116	0.0252	0
NCGC00357010	0.3308	0
NCGC00357057	0.3736	0
NCGC00357171	0.035	0
NCGC00356964	0.6158	1
NCGC00356995	0.3368	0
NCGC00357205	0.1724	0
NCGC00357185	0.0942	0
NCGC00357028	0.1164	0
NCGC00357064	0.0408	0
NCGC00357196	0.2724	0
NCGC00357271	0.5126	1
NCGC00357213	0.093	0
NCGC00357198	0.0182	0
NCGC00357079	0.0506	0
NCGC00357080	0.1182	0
NCGC00357173	0.0342	0
NCGC00357277	0.1844	0
NCGC00357240	0.1192	0
NCGC00357145	0.103	0
NCGC00357157	0.1048	0
NCGC00357160	0.0758	0
NCGC00357107	0.075	0
NCGC00357106	0.106	0
NCGC00357204	0.0098	0
NCGC00357214	0.0258	0
NCGC00357124	0.0318	0
NCGC00356983	0.0208	0
NCGC00357092	0.0308	0
NCGC00357042	0.0592	0
NCGC00357036	0.0746	0
NCGC00357089	0.2408	0
NCGC00357170	0.033	0
NCGC00357132	0.3508	0
NCGC00357265	0.0522	0
NCGC00357260	0.157	0
NCGC00357023	0.0506	0
NCGC00357114	0.06	0
NCGC00357033	0.0706	0
NCGC00357120	0.1238	0
NCGC00356963	0.1214	0
NCGC00357055	0.3024	0
NCGC00357139	0.095	0
NCGC00357161	0.193	0
NCGC00357279	0.1936	0
NCGC00357288	0.9302	1
NCGC00356973	0.0036	0
NCGC00357143	0.052	0
NCGC00357182	0.2272	0
NCGC00356971	0.0904	0
NCGC00357084	0.005	0
NCGC00357112	0.0324	0
NCGC00356962	0.09	0
NCGC00356993	0.6274	1
NCGC00357284	0.2388	0
NCGC00357046	0.0886	0
NCGC00357000	0.2354	0
NCGC00357012	0.1654	0
NCGC00356939	0.0198	0
NCGC00356955	0.43	0
NCGC00357262	0.4316	0
NCGC00356991	0.0496	0
NCGC00357203	0.3576	0
NCGC00357049	0.0704	0
NCGC00357164	0.0548	0
NCGC00357073	0.1244	0
NCGC00357043	0.1616	0
NCGC00357269	0.0566	0
NCGC00357266	0.0292	0
NCGC00357076	0.1834	0
NCGC00357153	0.0082	0
NCGC00357138	0.071	0
NCGC00357071	0.0236	0
NCGC00357274	0.0858	0
NCGC00356981	0.1608	0
NCGC00357278	0.0986	0
NCGC00357113	0.067	0
NCGC00357218	0.192	0
NCGC00357018	0.013	0
NCGC00357048	0.0724	0
NCGC00357162	0.0374	0
NCGC00356941	0.0382	0
NCGC00357184	0.3658	0
NCGC00357238	0.2124	0
NCGC00357220	0.0676	0
NCGC00357252	0.0548	0
NCGC00357159	0.0868	0
NCGC00356947	0.2746	0
NCGC00357063	0.0844	0
NCGC00356982	0.2092	0
NCGC00357219	0.0818	0
NCGC00357037	0.0024	0
NCGC00356975	0.1562	0
NCGC00357169	0.1376	0
NCGC00357022	0.0524	0
NCGC00357165	0.0124	0
NCGC00357122	0.2294	0
NCGC00357212	0.0126	0
NCGC00357263	0.0848	0
NCGC00357052	0.0874	0
NCGC00356952	0.1956	0
NCGC00357225	0.0746	0
NCGC00357105	0.0592	0
NCGC00356944	0.0054	0
NCGC00356977	0.3186	0
NCGC00357053	0.0054	0
NCGC00357202	0.0538	0
NCGC00357013	0.4544	0
NCGC00357131	0.0166	0
NCGC00357127	0.0312	0
NCGC00357147	0.0298	0
NCGC00357267	0.0244	0
NCGC00356979	0.0228	0
NCGC00357179	0.018	0
NCGC00356945	0.055	0
NCGC00357068	0.0628	0
NCGC00357002	0.018	0
NCGC00356974	0.0164	0
NCGC00357109	0.3738	0
NCGC00356988	0.1296	0
NCGC00357117	0.236	0
NCGC00357239	0.1558	0
NCGC00356961	0.0092	0
NCGC00356966	0.0146	0
NCGC00356996	0.0886	0
NCGC00356950	0.0426	0
NCGC00356969	0.0212	0
NCGC00357050	0.0266	0
NCGC00357258	0.024	0
NCGC00357186	0.1052	0
NCGC00357115	0.0268	0
NCGC00356940	0.4196	0
NCGC00357130	0.0256	0
NCGC00356959	0.0408	0
NCGC00356985	0.0202	0
NCGC00357125	0.052	0
NCGC00357270	0.0348	0
NCGC00357031	0.013	0
NCGC00357137	0.0648	0
NCGC00357102	0.1628	0
NCGC00357228	0.0128	0
NCGC00356965	0.2546	0
NCGC00357151	0.108	0
NCGC00357280	0.869	1
NCGC00357097	0.2084	0
NCGC00357272	0.1522	0
NCGC00357229	0.053	0
NCGC00357200	0.4942	0
NCGC00357273	0.0124	0
NCGC00357088	0.0608	0
NCGC00357101	0.138	0
NCGC00357287	0.0474	0
NCGC00357253	0.2186	0
NCGC00357177	0.2252	0
NCGC00357152	0.0896	0
NCGC00357140	0.0216	0
NCGC00357086	0.0924	0
NCGC00357150	0.1084	0
NCGC00357040	0.1066	0
NCGC00357232	0.1516	0
NCGC00357172	0.085	0
NCGC00357135	0.0922	0
NCGC00356990	0.0976	0
NCGC00357276	0.0384	0
NCGC00357016	0.0078	0
NCGC00357247	0.618	1
NCGC00357183	0.2886	0
NCGC00357286	0.4792	0
NCGC00357255	0.4284	0
NCGC00357025	0.0098	0
NCGC00357008	0.0104	0
NCGC00356987	0.1354	0
NCGC00357128	0.3012	0
NCGC00357129	0.2748	0
NCGC00356978	0.0562	0
NCGC00357072	0.3616	0
NCGC00357195	0.0604	0
NCGC00357215	0.028	0
NCGC00357038	0.1604	0
NCGC00357208	0.1464	0
NCGC00356989	0.2062	0
NCGC00357246	0.0574	0
NCGC00357081	0.2422	0
NCGC00357281	0.139	0
NCGC00357244	0.1944	0
NCGC00357194	0.123	0
NCGC00357193	0.1004	0
NCGC00357006	0.0494	0
NCGC00357041	0.1192	0
NCGC00357074	0.3842	0
NCGC00357166	0.1154	0
NCGC00357070	0.0784	0
NCGC00357222	0.1222	0
NCGC00357245	0.0976	0
NCGC00357217	0.1052	0
NCGC00357015	0.084	0
NCGC00357261	0.0964	0
NCGC00357060	0.025	0
NCGC00357104	0.0324	0
NCGC00357248	0.2564	0
NCGC00357176	0.1614	0
NCGC00357187	0.1974	0
NCGC00357066	0.185	0
NCGC00357154	0.0546	0
NCGC00357216	0.0436	0
NCGC00357148	0.3674	0
NCGC00357078	0.1536	0
NCGC00357027	0.312	0
NCGC00357134	0.7	1
NCGC00357180	0.4126	0
NCGC00356986	0.2458	0
NCGC00356946	0.7866	1
NCGC00356970	0.0854	0
NCGC00357191	0.0424	0
NCGC00357077	0.4354	0
NCGC00357069	0.331	0
NCGC00356958	0.3318	0
NCGC00357121	0.225	0
NCGC00357067	0.1106	0
NCGC00357243	0.2154	0
