SampleID	Score	Activity
NCGC00261949	0.2197	0
NCGC00357083	0.0047	0
NCGC00260731	0.0202	0
NCGC00357288	0.0918	0
NCGC00357081	0.0219	0
NCGC00260982	0.0108	0
NCGC00260980	0.0244	0
NCGC00357068	0.2071	0
NCGC00357069	0.2054	0
NCGC00357060	0.2056	0
NCGC00357061	0.2067	0
NCGC00357063	0.2073	0
NCGC00357064	0.2071	0
NCGC00357065	0.2088	0
NCGC00357066	0.2362	0
NCGC00357067	0.0098	0
NCGC00260698	0.0160	0
NCGC00261866	0.0158	0
NCGC00357201	0.8824	1
NCGC00357202	0.0029	0
NCGC00357203	0.0130	0
NCGC00357204	0.0066	0
NCGC00357205	0.2064	0
NCGC00261860	0.0257	0
NCGC00261861	0.2348	0
NCGC00357208	0.2290	0
NCGC00357209	0.2246	0
NCGC00261906	0.2397	0
NCGC00261900	0.1622	0
NCGC00261903	0.2242	0
NCGC00261869	0.1049	0
NCGC00261510	0.0259	0
NCGC00357284	0.0212	0
NCGC00261519	0.0087	0
NCGC00260742	0.0246	0
NCGC00260743	0.0099	0
NCGC00357287	0.0067	0
NCGC00260890	0.0097	0
NCGC00260892	0.2152	0
NCGC00357020	0.0086	0
NCGC00357021	0.4034	0
NCGC00261349	0.0095	0
NCGC00261348	0.0156	0
NCGC00261343	0.0301	0
NCGC00261342	0.3952	0
NCGC00261340	0.2170	0
NCGC00261583	0.0300	0
NCGC00261582	0.4204	0
NCGC00261163	0.0267	0
NCGC00261162	0.2128	0
NCGC00261248	0.0087	0
NCGC00261160	0.0347	0
NCGC00261166	0.0548	0
NCGC00261165	0.0332	0
NCGC00261169	0.0277	0
NCGC00261313	0.0076	0
NCGC00261246	0.0090	0
NCGC00261649	0.0129	0
NCGC00260803	0.0230	0
NCGC00261643	0.0297	0
NCGC00261641	0.0142	0
NCGC00261764	0.0281	0
NCGC00261767	0.2232	0
NCGC00261882	0.0222	0
NCGC00357037	0.2064	0
NCGC00357036	0.0035	0
NCGC00357035	0.0044	0
NCGC00357034	0.0070	0
NCGC00357033	0.2044	0
NCGC00357032	0.2035	0
NCGC00261019	0.0138	0
NCGC00357030	0.2316	0
NCGC00261013	0.0104	0
