Sample ID	Score	Activity
NCGC00261900-01	0.003359137	1
NCGC00260869-01	0.000374715	0
NCGC00261776-01	0.000634947	0
NCGC00261380-01	0.000261696	0
NCGC00261842-01	0.001082364	0
NCGC00261662-01	0.001161598	0
NCGC00261190-01	0.000325045	0
NCGC00260731-01	0.000320283	0
NCGC00261926-01	0.000293036	0
NCGC00261579-01	0.000330225	0
NCGC00260921-01	0.000306975	0
NCGC00261119-01	0.000288510	0
NCGC00260957-01	0.000328960	0
NCGC00261812-01	0.000379619	0
NCGC00260831-01	0.000328780	0
NCGC00261544-01	0.000235043	0
NCGC00261619-01	0.000353996	0
NCGC00261633-01	0.000217333	0
NCGC00261395-01	0.000330376	0
NCGC00261717-01	0.009855595	1
NCGC00261947-01	0.001169287	0
NCGC00261424-01	0.816192969	1
NCGC00261861-01	0.000312711	0
NCGC00261924-01	0.000269580	0
NCGC00261052-01	0.000429217	0
NCGC00261683-01	0.000280148	0
NCGC00261026-01	0.000458774	0
NCGC00261057-01	0.000276268	0
NCGC00261738-01	0.000254288	0
NCGC00261348-01	0.000260997	0
NCGC00261503-01	0.000303543	0
NCGC00260693-01	0.000270420	0
NCGC00260703-01	0.000252726	0
NCGC00260716-01	0.000190839	0
NCGC00260782-01	0.000315506	0
NCGC00260802-01	0.000243269	0
NCGC00260823-01	0.000256492	0
NCGC00261313-01	0.000257251	0
NCGC00260757-01	0.000235214	0
NCGC00260826-01	0.000203651	0
NCGC00261005-01	0.000253530	0
NCGC00260980-01	0.000313197	0
NCGC00261816-01	0.000247216	0
NCGC00260698-01	0.000273602	0
NCGC00260889-01	0.000258202	0
NCGC00260811-01	0.000253927	0
NCGC00261165-01	0.000336200	0
NCGC00261060-01	0.000271926	0
NCGC00261541-01	0.000298092	0
NCGC00261649-01	0.000290684	0
NCGC00261110-01	0.000304418	0
NCGC00261130-01	0.000356573	0
NCGC00260846-01	0.000300347	0
NCGC00261030-01	0.000348833	0
NCGC00261162-01	0.000421048	0
NCGC00261058-01	0.000269574	0
NCGC00261404-01	0.000267129	0
NCGC00261423-01	0.000292550	0
NCGC00261856-01	0.000275725	0
NCGC00261342-01	0.006720946	1
NCGC00261935-01	0.000359634	0
NCGC00261069-01	0.001394852	0
NCGC00261101-01	0.000277839	0
NCGC00261183-01	0.000298807	0
NCGC00261716-01	0.000210256	0
NCGC00260742-01	0.000286945	0
NCGC00261529-01	0.000318081	0
NCGC00261170-01	0.000313992	0
NCGC00261565-01	0.000276344	0
NCGC00260990-01	0.000428508	0
NCGC00261340-01	0.000382697	0
NCGC00261079-01	0.000257153	0
NCGC00261389-01	0.000262084	0
NCGC00261744-01	0.000304580	0
NCGC00261420-01	0.000307608	0
NCGC00261215-01	0.000247230	0
NCGC00261826-01	0.000242390	0
NCGC00260706-01	0.000295059	0
NCGC00261123-01	0.000425473	0
NCGC00261367-01	0.000262640	0
NCGC00261507-01	0.000260098	0
NCGC00261169-01	0.000256050	0
NCGC00261730-01	0.000286234	0
NCGC00261624-01	0.000267401	0
NCGC00261641-01	0.000274209	0
NCGC00261853-01	0.000276631	0
NCGC00260911-01	0.000283044	0
NCGC00260798-01	0.000534105	0
NCGC00261384-01	0.000366403	0
NCGC00260785-01	0.000310761	0
NCGC00261597-01	0.000555436	0
NCGC00261025-01	0.000263351	0
NCGC00260789-01	0.000299639	0
NCGC00260866-01	0.000301282	0
NCGC00261189-01	0.000271969	0
NCGC00261270-01	0.000296347	0
NCGC00261611-01	0.000280614	0
NCGC00261160-01	0.000385744	0
NCGC00261085-01	0.000241616	0
NCGC00261817-01	0.000303570	0
NCGC00261866-01	0.000284162	0
NCGC00260852-01	0.000282010	0
NCGC00261290-01	0.000433621	0
NCGC00261304-01	0.000300144	0
NCGC00261704-01	0.000329384	0
NCGC00260850-01	0.000422514	0
NCGC00260972-01	0.000281797	0
NCGC00261364-01	0.000249805	0
NCGC00261392-01	0.000254539	0
NCGC00261638-01	0.000361499	0
NCGC00261820-01	0.000245690	0
NCGC00261808-01	0.000259881	0
NCGC00260790-01	0.000264779	0
NCGC00260940-01	0.000434757	0
NCGC00261081-01	0.000285538	0
NCGC00261506-01	0.000319651	0
NCGC00261133-01	0.000289041	0
NCGC00261399-01	0.000443929	0
NCGC00260696-01	0.000265094	0
NCGC00261903-01	0.000347253	0
NCGC00261178-01	0.000326406	0
NCGC00261568-01	0.000279238	0
NCGC00260830-01	0.000317783	0
NCGC00261113-01	0.000294862	0
NCGC00261327-01	0.000374093	0
NCGC00261602-01	0.000303434	0
NCGC00260858-01	0.000360153	0
NCGC00261071-01	0.000302150	0
NCGC00261076-01	0.000276037	0
NCGC00261192-01	0.000534945	0
NCGC00261495-01	0.000538323	0
NCGC00261577-01	0.000445776	0
NCGC00261510-01	0.000270797	0
NCGC00261679-01	0.000489981	0
NCGC00261941-01	0.000357727	0
NCGC00261343-01	0.000311653	0
NCGC00261607-01	0.000339086	0
NCGC00261782-01	0.000275616	0
NCGC00261914-01	0.000355998	0
NCGC00261475-01	0.000819986	0
NCGC00261764-01	0.000293780	0
NCGC00261802-01	0.000452519	0
NCGC00261813-01	0.000472017	0
NCGC00260795-01	0.000270893	0
NCGC00261352-01	0.000375306	0
NCGC00261009-01	0.000574705	0
NCGC00261944-01	0.000432623	0
NCGC00261166-01	0.000311684	0
NCGC00261332-01	0.000734849	0
NCGC00261333-01	0.000379030	0
NCGC00261260-01	0.000292352	0
NCGC00261915-01	0.000325311	0
NCGC00261238-01	0.000291412	0
NCGC00261682-01	0.000335118	0
NCGC00261049-01	0.000271646	0
NCGC00260910-01	0.000292612	0
NCGC00261272-01	0.000631027	0
NCGC00260708-01	0.000251154	0
NCGC00261390-01	0.000264584	0
NCGC00260948-01	0.000260032	0
NCGC00261840-01	0.000252633	0
NCGC00260881-01	0.000299004	0
NCGC00261153-01	0.000386090	0
NCGC00261406-01	0.000210000	0
NCGC00261053-01	0.000262522	0
NCGC00261129-01	0.000230542	0
NCGC00261381-01	0.000419956	0
NCGC00261426-01	0.000458361	0
NCGC00260979-01	0.000277557	0
NCGC00260993-01	0.000322094	0
NCGC00261108-01	0.000260865	0
NCGC00261441-01	0.000298322	0
NCGC00261877-01	0.000250808	0
NCGC00260815-01	0.000343177	0
NCGC00261542-01	0.000272705	0
NCGC00261958-01	0.000287326	0
NCGC00261787-01	0.000303784	0
NCGC00261065-01	0.000335969	0
NCGC00261804-01	0.000525421	0
NCGC00260875-01	0.000514075	0
NCGC00261451-01	0.000394324	0
NCGC00261739-01	0.001175791	0
NCGC00261948-01	0.000476306	0
NCGC00261382-01	0.000418460	0
NCGC00261663-01	0.000348757	0
NCGC00260892-01	0.000272684	0
