Sample ID	Score	Activity
NCGC00261900-01	0.000953750	1
NCGC00260869-01	0.000018429	0
NCGC00261776-01	0.000030454	0
NCGC00261380-01	0.000012616	0
NCGC00261842-01	0.000655730	1
NCGC00261662-01	0.000299931	1
NCGC00261190-01	0.000019189	0
NCGC00260731-01	0.000015458	0
NCGC00261926-01	0.000013881	0
NCGC00261579-01	0.000015990	0
NCGC00260921-01	0.000015596	0
NCGC00261119-01	0.000013653	0
NCGC00260957-01	0.000015730	0
NCGC00261812-01	0.000030095	0
NCGC00260831-01	0.000022533	0
NCGC00261544-01	0.000011325	0
NCGC00261619-01	0.000019389	0
NCGC00261633-01	0.000010351	0
NCGC00261395-01	0.000015826	0
NCGC00261717-01	0.000687552	1
NCGC00261947-01	0.000056494	0
NCGC00261424-01	0.894760134	1
NCGC00261861-01	0.000020074	0
NCGC00261924-01	0.000012943	0
NCGC00261052-01	0.000020432	0
NCGC00261683-01	0.000013985	0
NCGC00261026-01	0.000101351	0
NCGC00261057-01	0.000013070	0
NCGC00261738-01	0.000012184	0
NCGC00261348-01	0.000012468	0
NCGC00261503-01	0.000014726	0
NCGC00260693-01	0.000012800	0
NCGC00260703-01	0.000011958	0
NCGC00260716-01	0.000009030	0
NCGC00260782-01	0.000014929	0
NCGC00260802-01	0.000011509	0
NCGC00260823-01	0.000012136	0
NCGC00261313-01	0.000012195	0
NCGC00260757-01	0.000011128	0
NCGC00260826-01	0.000009635	0
NCGC00261005-01	0.000012063	0
NCGC00260980-01	0.000014883	0
NCGC00261816-01	0.000011715	0
NCGC00260698-01	0.000013232	0
NCGC00260889-01	0.000012225	0
NCGC00260811-01	0.000012066	0
NCGC00261165-01	0.000089516	0
NCGC00261060-01	0.000015258	0
NCGC00261541-01	0.000014135	0
NCGC00261649-01	0.000013783	0
NCGC00261110-01	0.000014721	0
NCGC00261130-01	0.000017277	0
NCGC00260846-01	0.000015839	0
NCGC00261030-01	0.000016814	0
NCGC00261162-01	0.000020274	0
NCGC00261058-01	0.000012852	0
NCGC00261404-01	0.000012704	0
NCGC00261423-01	0.000014268	0
NCGC00261856-01	0.000014510	0
NCGC00261342-01	0.000347066	1
NCGC00261935-01	0.000017018	0
NCGC00261069-01	0.000526018	1
NCGC00261101-01	0.000013711	0
NCGC00261183-01	0.000014180	0
NCGC00261716-01	0.000009969	0
NCGC00260742-01	0.000013580	0
NCGC00261529-01	0.000015325	0
NCGC00261170-01	0.000014905	0
NCGC00261565-01	0.000013821	0
NCGC00260990-01	0.000032990	0
NCGC00261340-01	0.000018616	0
NCGC00261079-01	0.000012201	0
NCGC00261389-01	0.000012529	0
NCGC00261744-01	0.000014553	0
NCGC00261420-01	0.000014649	0
NCGC00261215-01	0.000011721	0
NCGC00261826-01	0.000011475	0
NCGC00260706-01	0.000014595	0
NCGC00261123-01	0.000020408	0
NCGC00261367-01	0.000012625	0
NCGC00261507-01	0.000012454	0
NCGC00261169-01	0.000012156	0
NCGC00261730-01	0.000014233	0
NCGC00261624-01	0.000012655	0
NCGC00261641-01	0.000013007	0
NCGC00261853-01	0.000013319	0
NCGC00260911-01	0.000013432	0
NCGC00260798-01	0.000026137	0
NCGC00261384-01	0.000017518	0
NCGC00260785-01	0.000018250	0
NCGC00261597-01	0.000038746	0
NCGC00261025-01	0.000012541	0
NCGC00260789-01	0.000014666	0
NCGC00260866-01	0.000014457	0
NCGC00261189-01	0.000013180	0
NCGC00261270-01	0.000014117	0
NCGC00261611-01	0.000013313	0
NCGC00261160-01	0.000022380	0
NCGC00261085-01	0.000011431	0
NCGC00261817-01	0.000014580	0
NCGC00261866-01	0.000013525	0
NCGC00260852-01	0.000013511	0
NCGC00261290-01	0.000020834	0
NCGC00261304-01	0.000018135	0
NCGC00261704-01	0.000017888	0
NCGC00260850-01	0.000020083	0
NCGC00260972-01	0.000013374	0
NCGC00261364-01	0.000011820	0
NCGC00261392-01	0.000012060	0
NCGC00261638-01	0.000017585	0
NCGC00261820-01	0.000011624	0
NCGC00261808-01	0.000012780	0
NCGC00260790-01	0.000012569	0
NCGC00260940-01	0.000022300	0
NCGC00261081-01	0.000013536	0
NCGC00261506-01	0.000019802	0
NCGC00261133-01	0.000014252	0
NCGC00261399-01	0.000022973	0
NCGC00260696-01	0.000014293	0
NCGC00261903-01	0.000017349	0
NCGC00261178-01	0.000031190	0
NCGC00261568-01	0.000014454	0
NCGC00260830-01	0.000015188	0
NCGC00261113-01	0.000013950	0
NCGC00261327-01	0.000017698	0
NCGC00261602-01	0.000014357	0
NCGC00260858-01	0.000022338	0
NCGC00261071-01	0.000018711	0
NCGC00261076-01	0.000013060	0
NCGC00261192-01	0.000025487	0
NCGC00261495-01	0.000025472	0
NCGC00261577-01	0.000022719	0
NCGC00261510-01	0.000012938	0
NCGC00261679-01	0.000023767	0
NCGC00261941-01	0.000017452	0
NCGC00261343-01	0.000015266	0
NCGC00261607-01	0.000018093	0
NCGC00261782-01	0.000013083	0
NCGC00261914-01	0.000016991	0
NCGC00261475-01	0.000064504	0
NCGC00261764-01	0.000016064	0
NCGC00261802-01	0.000054262	0
NCGC00261813-01	0.000027198	0
NCGC00260795-01	0.000013211	0
NCGC00261352-01	0.000019782	0
NCGC00261009-01	0.000027680	0
NCGC00261944-01	0.000020492	0
NCGC00261166-01	0.000015812	0
NCGC00261332-01	0.000052515	0
NCGC00261333-01	0.000018038	0
NCGC00261260-01	0.000016395	0
NCGC00261915-01	0.000015467	0
NCGC00261238-01	0.000015772	0
NCGC00261682-01	0.000016314	0
NCGC00261049-01	0.000016883	0
