Sample ID	Score	Activity
NCGC00357149-01	0.7646465868	1
NCGC00356984-01	0.7484493274	1
NCGC00261424-01	0.7421259128	1
NCGC00357201-01	0.7414012767	1
NCGC00261582-01	0.7370274013	1
NCGC00261933-01	0.7314119277	1
NCGC00357021-01	0.7310870232	1
NCGC00261577-01	0.7163163264	1
NCGC00261717-01	0.7039580913	1
NCGC00356993-01	0.6988292922	1
NCGC00357134-01	0.6983680079	1
NCGC00261178-01	0.6976356301	1
NCGC00261737-01	0.6966518284	1
NCGC00261947-01	0.6953621677	1
NCGC00261804-01	0.6928186359	1
NCGC00261026-01	0.6893698017	1
NCGC00357280-01	0.6886329055	1
NCGC00261153-01	0.6870485055	1
NCGC00261842-01	0.6845132542	1
NCGC00261475-01	0.6841183182	1
NCGC00261682-01	0.6792089828	1
NCGC00261381-01	0.6789403428	1
NCGC00261395-01	0.6764859927	1
NCGC00261049-01	0.6737872782	1
NCGC00260795-01	0.6684520793	1
NCGC00261900-01	0.6682359127	1
NCGC00356948-01	0.667182276	1
NCGC00356957-01	0.6653593763	1
NCGC00261009-01	0.6643729492	1
NCGC00260980-01	0.6643218154	1
NCGC00261382-01	0.6635907405	1
NCGC00261619-01	0.6616380294	1
NCGC00261343-01	0.6601354519	1
NCGC00260713-01	0.6589996515	1
NCGC00261782-01	0.6587989287	1
NCGC00261776-01	0.6563821344	1
NCGC00261333-01	0.6543591602	1
NCGC00261607-01	0.6538940926	1
NCGC00261003-01	0.6491481806	1
NCGC00261304-01	0.64592331	1
NCGC00261597-01	0.6436081604	1
NCGC00261192-01	0.6419563623	1
NCGC00261802-01	0.6417924059	1
NCGC00357007-01	0.6417436922	1
NCGC00357062-01	0.6403971511	1
NCGC00261944-01	0.6403476911	1
NCGC00261065-01	0.6396111079	1
NCGC00261201-01	0.6368775587	1
NCGC00261166-01	0.6360724502	1
NCGC00261420-01	0.6348285518	1
NCGC00261069-01	0.6346423956	1
NCGC00261332-01	0.6345394368	1
NCGC00356976-01	0.6329583751	1
NCGC00261915-01	0.6306408665	1
NCGC00261119-01	0.6305860604	1
NCGC00260940-01	0.629801239	1
NCGC00261101-01	0.6297655165	1
NCGC00261426-01	0.62854202	1
