Sample ID	Score	Activity
NCGC00261424-01	0.828563066	1
NCGC00357201-01	0.794913948	1
NCGC00356984-01	0.791347893	1
NCGC00261900-01	0.40697096	1
NCGC00357132-01	0.393109583	1
NCGC00357021-01	0.356802901	0
NCGC00261582-01	0.3517161	0
NCGC00357288-01	0.339449091	0
NCGC00357149-01	0.316994516	0
NCGC00261160-01	0.284206143	0
NCGC00357108-01	0.242318457	0
NCGC00260875-01	0.193527424	0
NCGC00356995-01	0.158126367	0
NCGC00261475-01	0.157190192	0
NCGC00357221-01	0.153976146	0
NCGC00357007-01	0.151199513	0
NCGC00357097-01	0.143888527	0
NCGC00260892-01	0.139126028	0
NCGC00261153-01	0.137484855	0
NCGC00261813-01	0.129604707	0
NCGC00261601-01	0.126398216	0
NCGC00261704-01	0.122487017	0
NCGC00356988-01	0.120823527	0
NCGC00357170-01	0.113674684	0
NCGC00261398-01	0.112483593	0
NCGC00357209-01	0.108728436	0
NCGC00261933-01	0.102732413	0
NCGC00357123-01	0.101079397	0
NCGC00261903-01	0.099635732	0
NCGC00357255-01	0.098714298	0
NCGC00357077-01	0.09686204	0
NCGC00261842-01	0.096839314	0
NCGC00261392-01	0.091462887	0
NCGC00357117-01	0.089961951	0
NCGC00357089-01	0.089088169	0
NCGC00357259-01	0.087525241	0
NCGC00357185-01	0.08506736	0
NCGC00357118-01	0.082309589	0
NCGC00357200-01	0.080577004	0
NCGC00261737-01	0.080121325	0
NCGC00357066-01	0.079179329	0
NCGC00357044-01	0.077374132	0
NCGC00356953-01	0.076189703	0
NCGC00356946-01	0.073986712	0
NCGC00357045-01	0.072363371	0
NCGC00260871-01	0.072237284	0
NCGC00260972-01	0.071031212	0
NCGC00357256-01	0.068329862	0
NCGC00260910-01	0.067734618	0
NCGC00357014-01	0.067312631	0
NCGC00261381-01	0.066813147	0
NCGC00357080-01	0.065842036	0
NCGC00357029-01	0.065841189	0
NCGC00357207-01	0.063879216	0
NCGC00261201-01	0.062466355	0
NCGC00261679-01	0.061078725	0
NCGC00261812-01	0.05995815	0
NCGC00357072-01	0.05995815	0
NCGC00261065-01	0.059527959	0
NCGC00261597-01	0.058342201	0
NCGC00260830-01	0.05819004	0
NCGC00260980-01	0.058102604	0
NCGC00261787-01	0.057872008	0
NCGC00356993-01	0.057210856	0
NCGC00261686-01	0.056421121	0
NCGC00261348-01	0.055222516	0
NCGC00261119-01	0.054869208	0
NCGC00357181-01	0.054628152	0
NCGC00261910-01	0.054381781	0
NCGC00357173-01	0.053840645	0
NCGC00357224-01	0.052852678	0
NCGC00357176-01	0.052271119	0
NCGC00261941-01	0.052009465	0
NCGC00261052-01	0.051669618	0
NCGC00357219-01	0.051436586	0
NCGC00261624-01	0.05113835	0
NCGC00261542-01	0.050868429	0
NCGC00357046-01	0.049997532	0
NCGC00261049-01	0.048960585	0
NCGC00261503-01	0.048893486	0
NCGC00261856-01	0.048853486	0
NCGC00261916-01	0.048695426	0
NCGC00357079-01	0.048142299	0
NCGC00261005-01	0.047685251	0
NCGC00261947-01	0.047220124	0
NCGC00261146-01	0.046911276	0
NCGC00261593-01	0.046749467	0
NCGC00261554-01	0.046498621	0
NCGC00261713-01	0.04644105	0
NCGC00261611-01	0.046155294	0
NCGC00261935-01	0.046044221	0
NCGC00357127-01	0.045735408	0
NCGC00260703-01	0.044874898	0
NCGC00357234-01	0.041634866	0
NCGC00261272-01	0.040956664	0
NCGC00261824-01	0.040894292	0
NCGC00357055-01	0.040461514	0
NCGC00356958-01	0.040052335	0
