Sample ID	Score	Activity
NCGC00261348-01	0.1767	0
NCGC00260693-01	0.1835	0
NCGC00261503-01	0.1544	0
NCGC00261119-01	0.2453	0
NCGC00260716-01	0.0189	0
NCGC00260703-01	0.1166	0
NCGC00260823-01	0.0712	0
NCGC00260731-01	0.5026	1
NCGC00261579-01	0.5107	1
NCGC00260782-01	0.0858	0
NCGC00261057-01	0.2213	0
NCGC00261683-01	0.1304	0
NCGC00261738-01	0.1921	0
NCGC00261313-01	0.0781	0
NCGC00260826-01	0.0738	0
NCGC00261633-01	0.0532	0
NCGC00260757-01	0.0781	0
NCGC00261052-01	0.428	0
NCGC00261005-01	0.2993	0
NCGC00261190-01	0.1604	0
NCGC00260802-01	0.1484	0
NCGC00261842-01	0.5461	1
NCGC00261544-01	0.5071	1
NCGC00261541-01	0.1767	0
NCGC00261812-01	0.0746	0
NCGC00261662-01	0.5444	1
NCGC00261649-01	0.1955	0
NCGC00260831-01	0.1286	0
NCGC00261380-01	0.2067	0
NCGC00260869-01	0.0652	0
NCGC00261060-01	0.1347	0
NCGC00260846-01	0.4322	0
NCGC00261162-01	0.1415	0
NCGC00261395-01	0.1784	0
NCGC00261030-01	0.524	1
NCGC00261856-01	0.1878	0
NCGC00261935-01	0.5691	1
NCGC00261926-01	0.3285	0
NCGC00261423-01	0.3379	0
NCGC00261183-01	0.2187	0
NCGC00261924-01	0.1424	0
NCGC00261069-01	0.2813	0
NCGC00260921-01	0.2642	0
NCGC00261110-01	0.3902	0
NCGC00261101-01	0.2967	0
NCGC00260889-01	0.1364	0
NCGC00261619-01	0.2427	0
NCGC00261165-01	0.1535	0
NCGC00260698-01	0.1681	0
NCGC00261776-01	0.2187	0
NCGC00261861-01	0.0918	0
NCGC00261026-01	0.2804	0
NCGC00261079-01	0.2144	0
NCGC00260990-01	0.3774	0
NCGC00261340-01	0.1278	0
NCGC00260811-01	0.1081	0
NCGC00261130-01	0.2839	0
NCGC00260980-01	0.3439	0
NCGC00261730-01	0.0798	0
NCGC00261716-01	0.1218	0
NCGC00260706-01	0.1758	0
NCGC00261816-01	0.2942	0
NCGC00261404-01	0.193	0
NCGC00261565-01	0.5042	1
NCGC00261424-01	0.6168	1
NCGC00261507-01	0.1921	0
NCGC00261744-01	0.217	0
NCGC00261367-01	0.1921	0
NCGC00261058-01	0.2736	0
NCGC00260789-01	0.2324	0
NCGC00261717-01	0.5436	1
NCGC00261420-01	0.3036	0
NCGC00261123-01	0.2942	0
NCGC00260742-01	0.2942	0
NCGC00261529-01	0.2401	0
NCGC00261597-01	0.3868	0
NCGC00261389-01	0.2324	0
NCGC00261169-01	0.5092	1
NCGC00261270-01	0.1638	0
NCGC00261826-01	0.1861	0
NCGC00261641-01	0.3499	0
NCGC00260866-01	0.0515	0
NCGC00261624-01	0.4108	0
NCGC00261947-01	0.2804	0
NCGC00261025-01	0.3859	0
NCGC00261853-01	0.3731	0
NCGC00261364-01	0.1578	0
NCGC00261820-01	0.1835	0
NCGC00260852-01	0.247	0
NCGC00260911-01	0.3319	0
NCGC00261817-01	0.1878	0
NCGC00261085-01	0.0986	0
NCGC00261189-01	0.0635	0
NCGC00261704-01	0.1784	0
