Sample ID	Score	Activity
NCGC00261776-01	-0.7259	0
NCGC00261380-01	-0.8349	0
NCGC00261842-01	0.2053	1
NCGC00261662-01	0.0992	1
NCGC00261190-01	-0.7941	0
NCGC00260731-01	-0.4777	0
NCGC00261926-01	-0.8799	0
NCGC00261579-01	-0.3622	0
NCGC00260921-01	-0.4633	0
NCGC00261119-01	-0.5304	0
NCGC00261812-01	-0.6693	0
NCGC00260831-01	-0.2843	0
NCGC00261544-01	-0.474	0
NCGC00261619-01	-0.7473	0
NCGC00261395-01	-0.4297	0
NCGC00261717-01	0.3542	1
NCGC00261947-01	0.2935	1
NCGC00261424-01	0.4517	1
NCGC00261861-01	-0.3962	0
NCGC00261924-01	-0.2705	0
NCGC00261026-01	-0.5792	0
NCGC00261057-01	-0.854	0
NCGC00261738-01	-0.6034	0
NCGC00261348-01	-0.59	0
NCGC00261503-01	-0.826	0
NCGC00260693-01	-0.7329	0
NCGC00260703-01	-0.7204	0
NCGC00260716-01	-0.0821	0
NCGC00260782-01	-0.2401	0
NCGC00260802-01	-0.1724	0
NCGC00260823-01	0.0712	1
NCGC00260757-01	-0.1188	0
NCGC00260826-01	0.0108	1
NCGC00260889-01	-0.8385	0
NCGC00260811-01	-0.7043	0
NCGC00261165-01	-0.9044	0
NCGC00261060-01	-0.6818	0
NCGC00261541-01	-0.4624	0
NCGC00261649-01	-0.3463	0
NCGC00261110-01	-0.2871	0
NCGC00261130-01	0.018	1
NCGC00260846-01	-0.4761	0
NCGC00261030-01	-0.0813	0
NCGC00261162-01	-0.0411	0
NCGC00261058-01	-0.5137	0
NCGC00261404-01	-0.2346	0
NCGC00261423-01	-0.1651	0
NCGC00261856-01	-0.1297	0
NCGC00261342-01	0.0373	1
NCGC00261069-01	-0.1524	0
NCGC00261101-01	-0.6068	0
NCGC00261716-01	-0.6945	0
NCGC00260742-01	-0.8088	0
NCGC00261529-01	-0.598	0
NCGC00261170-01	-0.4962	0
NCGC00261565-01	-0.5499	0
NCGC00260990-01	-0.5677	0
NCGC00261340-01	-0.3835	0
NCGC00261079-01	-0.5151	0
NCGC00261389-01	-0.88	0
NCGC00261744-01	-0.6375	0
NCGC00261420-01	-0.8346	0
NCGC00261215-01	-0.8278	0
NCGC00261826-01	-0.4527	0
NCGC00261123-01	-0.4707	0
NCGC00261367-01	-0.8752	0
NCGC00261507-01	-0.7617	0
NCGC00261169-01	-0.8378	0
NCGC00261730-01	-0.6678	0
NCGC00261624-01	-0.66	0
NCGC00261641-01	-0.4511	0
NCGC00261853-01	-0.5794	0
NCGC00260911-01	-0.4126	0
NCGC00261384-01	-0.4884	0
NCGC00260785-01	-0.6589	0
NCGC00261025-01	-0.4097	0
NCGC00260789-01	-0.793	0
NCGC00260866-01	-0.8498	0
NCGC00261189-01	-0.7663	0
NCGC00261270-01	-0.6297	0
NCGC00261611-01	-0.7441	0
NCGC00261817-01	-0.6017	0
NCGC00261866-01	-0.1856	0
NCGC00260852-01	-0.4861	0
NCGC00261290-01	-0.3704	0
NCGC00261304-01	-0.803	0
NCGC00261704-01	-0.7121	0
NCGC00260850-01	-0.8162	0
NCGC00260972-01	-0.7142	0
NCGC00261392-01	-0.7332	0
NCGC00261638-01	-0.2277	0
NCGC00261820-01	-0.6222	0
NCGC00261808-01	-0.6843	0
NCGC00260790-01	-0.7227	0
NCGC00260940-01	-0.7228	0
NCGC00261081-01	-0.8126	0
NCGC00261506-01	-0.8273	0
NCGC00261133-01	-0.8168	0
NCGC00261399-01	-0.6309	0
NCGC00260696-01	-0.4261	0
NCGC00261903-01	-0.4719	0
NCGC00261178-01	-0.6991	0
NCGC00261568-01	-0.8947	0
NCGC00260830-01	-0.9518	0
NCGC00261113-01	-0.8066	0
NCGC00261327-01	-0.9025	0
NCGC00261602-01	-0.7684	0
NCGC00260858-01	-0.6611	0
NCGC00261071-01	-0.4527	0
NCGC00261076-01	-0.7326	0
NCGC00261192-01	-0.9188	0
NCGC00261577-01	-0.7154	0
NCGC00261510-01	-0.8924	0
NCGC00261679-01	-0.2328	0
NCGC00261941-01	-0.7332	0
NCGC00261343-01	-0.6913	0
NCGC00261607-01	-0.5511	0
NCGC00261782-01	-0.8437	0
NCGC00261475-01	-0.542	0
NCGC00261764-01	-0.7061	0
NCGC00261802-01	-0.8527	0
NCGC00261813-01	-0.9399	0
NCGC00260795-01	-0.671	0
NCGC00261352-01	-0.6017	0
NCGC00261009-01	-0.8538	0
NCGC00261944-01	-0.9126	0
NCGC00261166-01	-0.7337	0
NCGC00261332-01	-0.7257	0
NCGC00261333-01	-0.83	0
NCGC00261260-01	-0.4582	0
NCGC00261915-01	-0.8238	0
NCGC00261682-01	-0.8948	0
NCGC00260910-01	-0.7885	0
NCGC00261272-01	-0.8073	0
NCGC00260708-01	-0.3469	0
NCGC00261390-01	-0.3319	0
NCGC00260948-01	-0.4373	0
NCGC00261840-01	-0.4723	0
NCGC00261153-01	-0.1006	0
NCGC00261406-01	-0.1016	0
NCGC00261053-01	-0.2813	0
NCGC00261129-01	-0.1144	0
NCGC00261381-01	-0.6004	0
NCGC00261426-01	-0.3453	0
NCGC00260979-01	-0.8768	0
NCGC00260993-01	-0.7431	0
NCGC00261108-01	-0.7197	0
NCGC00261877-01	-0.8718	0
NCGC00261542-01	-0.6347	0
NCGC00261787-01	0.3445	1
NCGC00261065-01	-0.3592	0
NCGC00261804-01	-0.5702	0
NCGC00260875-01	-0.2579	0
NCGC00261451-01	-0.8235	0
NCGC00261948-01	-0.9559	0
NCGC00261382-01	-0.9457	0
NCGC00261297-01	-0.7854	0
NCGC00261321-01	-0.4377	0
NCGC00261446-01	-0.726	0
NCGC00261474-01	-0.6251	0
NCGC00260803-01	-0.921	0
NCGC00260833-01	-0.9585	0
NCGC00261008-01	-0.9752	0
NCGC00261155-01	-0.9057	0
NCGC00261643-01	-0.862	0
NCGC00261126-01	-0.493	0
NCGC00260871-01	-0.3056	0
NCGC00260713-01	-0.9052	0
NCGC00261487-01	-0.6167	0
NCGC00261545-01	-0.8108	0
NCGC00261480-01	-0.7588	0
NCGC00261838-01	-0.8154	0
NCGC00261627-01	-0.3062	0
NCGC00261177-01	-0.1222	0
NCGC00260775-01	0.0774	1
NCGC00260707-01	-0.6501	0
NCGC00261554-01	0.2363	1
