Sample ID	Score	Activity
NCGC00261900	0.786	1
NCGC00260869	0.5278	0
NCGC00261776	0.6304	1
NCGC00261380	0.1614	0
NCGC00261842	0.1244	0
NCGC00261662	0.494	0
NCGC00261190	0.2786	0
NCGC00260731	0.1234	0
NCGC00261926	0.317	0
NCGC00261579	0.2232	0
NCGC00260921	0.3706	0
NCGC00261119	0.3374	0
NCGC00260957	0.479	0
NCGC00261812	0.2908	0
NCGC00260831	0.4804	0
NCGC00261544	0.2164	0
NCGC00261619	0.5504	0
NCGC00261633	0.1524	0
NCGC00261395	0.3966	0
NCGC00261717	0.7678	1
NCGC00261947	0.769	1
NCGC00261424	0.9798	1
NCGC00261861	0.3002	0
NCGC00261924	0.1248	0
NCGC00261052	0.3924	0
NCGC00261683	0.0992	0
NCGC00261026	0.7304	1
NCGC00261057	0.0948	0
NCGC00261738	0.2242	0
NCGC00261348	0.0804	0
NCGC00261503	0.2914	0
NCGC00260693	0.1476	0
NCGC00260703	0.212	0
NCGC00260716	0.0514	0
NCGC00260782	0.2408	0
NCGC00260802	0.1058	0
NCGC00260823	0.141	0
NCGC00261313	0.0426	0
NCGC00260757	0.1744	0
NCGC00260826	0.0958	0
NCGC00261005	0.3892	0
NCGC00260980	0.1926	0
NCGC00261816	0.2456	0
NCGC00260698	0.1318	0
NCGC00260889	0.0306	0
NCGC00260811	0.4182	0
NCGC00261165	0.1754	0
NCGC00261060	0.0818	0
NCGC00261541	0.1864	0
NCGC00261649	0.1166	0
NCGC00261110	0.7594	1
NCGC00261130	0.7518	1
NCGC00260846	0.5196	0
NCGC00261030	0.2522	0
NCGC00261162	0.4202	0
NCGC00261058	0.174	0
NCGC00261404	0.4018	0
NCGC00261423	0.1624	0
NCGC00261856	0.1048	0
NCGC00261342	0.8026	1
NCGC00261935	0.4076	0
NCGC00261069	0.2618	0
NCGC00261101	0.4048	0
NCGC00261183	0.0998	0
NCGC00261716	0.168	0
NCGC00260742	0.4796	0
NCGC00261529	0.363	0
NCGC00261170	0.4574	0
NCGC00261565	0.244	0
NCGC00260990	0.477	0
NCGC00261340	0.2578	0
NCGC00261079	0.2232	0
NCGC00261389	0.3328	0
