Sample ID	Score	Activity
NCGC00260691	0.15669	0
NCGC00260692	0.03376	0
NCGC00260693	0.08486	0
NCGC00260696	0.03991	0
NCGC00260698	0.12938	0
NCGC00260703	0.08643	0
NCGC00260706	0.09927	0
NCGC00260707	0.25488	0
NCGC00260708	0.05525	0
NCGC00260713	0.24110	0
NCGC00260716	0.01660	0
NCGC00260728	0.02046	0
NCGC00260731	0.19439	0
NCGC00260742	0.30371	0
NCGC00260743	0.04405	0
NCGC00260751	0.03525	0
NCGC00260757	0.02783	0
NCGC00260770	0.04577	0
NCGC00260775	0.11295	0
NCGC00260782	0.10170	0
NCGC00260785	0.30775	0
NCGC00260789	0.22185	0
NCGC00260790	0.16168	0
NCGC00260795	0.14662	0
NCGC00260798	0.39980	0
NCGC00260802	0.03990	0
NCGC00260803	0.15445	0
NCGC00260811	0.14988	0
NCGC00260815	0.23402	0
NCGC00260817	0.03685	0
NCGC00260821	0.22266	0
NCGC00260822	0.28437	0
NCGC00260823	0.10559	0
NCGC00260826	0.05440	0
NCGC00260830	0.16350	0
NCGC00260831	0.20982	0
NCGC00260833	0.24703	0
NCGC00260834	0.28641	0
NCGC00260840	0.29342	0
NCGC00260846	0.13812	0
NCGC00260850	0.35704	0
NCGC00260852	0.12771	0
NCGC00260858	0.30673	0
NCGC00260866	0.06273	0
NCGC00260867	0.03031	0
NCGC00260869	0.14125	0
NCGC00260871	0.32521	0
NCGC00260875	0.20644	0
NCGC00260876	0.02293	0
NCGC00260881	0.06720	0
NCGC00260889	0.06618	0
NCGC00260890	0.08446	0
NCGC00260892	0.07463	0
NCGC00260910	0.19935	0
NCGC00260911	0.16270	0
NCGC00260921	0.23350	0
NCGC00260940	0.23355	0
NCGC00260947	0.28838	0
NCGC00260948	0.04165	0
NCGC00260957	0.32917	0
NCGC00260962	0.15009	0
NCGC00260972	0.28408	0
NCGC00260979	0.12344	0
NCGC00260980	0.24854	0
NCGC00260982	0.05688	0
NCGC00260990	0.15484	0
NCGC00260993	0.11827	0
NCGC00261003	0.20439	0
NCGC00261005	0.14986	0
NCGC00261007	0.14296	0
NCGC00261008	0.34469	0
NCGC00261009	0.15704	0
NCGC00261013	0.05323	0
NCGC00261018	0.08488	0
NCGC00261019	0.12199	0
NCGC00261025	0.09999	0
NCGC00261026	0.41461	0
NCGC00261028	0.31839	0
NCGC00261030	0.26483	0
NCGC00261037	0.08845	0
NCGC00261049	0.25593	0
NCGC00261052	0.05745	0
NCGC00261053	0.03688	0
NCGC00261057	0.10290	0
NCGC00261058	0.16389	0
NCGC00261060	0.11072	0
NCGC00261065	0.25229	0
NCGC00261071	0.20927	0
NCGC00261075	0.02540	0
NCGC00261076	0.08109	0
NCGC00261079	0.07299	0
NCGC00261080	0.36290	0
NCGC00261081	0.30088	0
NCGC00261085	0.05751	0
NCGC00261101	0.15958	0
NCGC00261108	0.07744	0
NCGC00261110	0.08573	0
NCGC00261113	0.20650	0
NCGC00261119	0.08821	0
NCGC00261123	0.14016	0
NCGC00261129	0.03886	0
NCGC00261130	0.08288	0
NCGC00261133	0.19303	0
NCGC00261141	0.07228	0
NCGC00261142	0.31283	0
NCGC00261146	0.09622	0
NCGC00261147	0.30465	0
NCGC00261150	0.03317	0
NCGC00261153	0.42992	0
NCGC00261155	0.15572	0
NCGC00261160	0.34899	0
NCGC00261161	0.03387	0
NCGC00261162	0.27480	0
NCGC00261163	0.57401	1
NCGC00261165	0.29494	0
NCGC00261166	0.29458	0
NCGC00261169	0.14731	0
NCGC00261170	0.35204	0
NCGC00261176	0.04561	0
NCGC00261177	0.14875	0
NCGC00261178	0.17040	0
NCGC00261183	0.24974	0
NCGC00261189	0.10028	0
NCGC00261190	0.28553	0
NCGC00261192	0.31440	0
NCGC00261201	0.36015	0
NCGC00261215	0.32738	0
NCGC00261238	0.07396	0
NCGC00261246	0.10161	0
NCGC00261248	0.04229	0
NCGC00261254	0.05056	0
NCGC00261260	0.30343	0
NCGC00261261	0.04840	0
NCGC00261270	0.09313	0
NCGC00261272	0.18905	0
NCGC00261286	0.20989	0
NCGC00261290	0.18989	0
NCGC00261293	0.19817	0
NCGC00261294	0.03190	0
NCGC00261297	0.11208	0
NCGC00261304	0.32491	0
NCGC00261313	0.04764	0
NCGC00261321	0.06740	0
NCGC00261327	0.07321	0
NCGC00261330	0.08802	0
NCGC00261332	0.12026	0
NCGC00261333	0.31729	0
NCGC00261336	0.15472	0
NCGC00261340	0.18346	0
NCGC00261342	0.48164	0
NCGC00261343	0.35123	0
NCGC00261348	0.11988	0
NCGC00261349	0.13171	0
NCGC00261352	0.21606	0
NCGC00261364	0.07468	0
NCGC00261367	0.12633	0
NCGC00261380	0.13711	0
NCGC00261381	0.24793	0
NCGC00261382	0.38540	0
NCGC00261384	0.17738	0
NCGC00261389	0.28618	0
NCGC00261390	0.04478	0
NCGC00261392	0.13124	0
NCGC00261395	0.17374	0
NCGC00261398	0.62937	1
NCGC00261399	0.30846	0
NCGC00261404	0.14353	0
NCGC00261406	0.13018	0
NCGC00261420	0.19726	0
NCGC00261423	0.17353	0
NCGC00261424	0.64793	1
