Sample ID	Score	Activity
NCGC00261900-01	0.36672	0
NCGC00260869-01	0.01878	0
NCGC00261776-01	0.04682	0
NCGC00261380-01	0.02691	0
NCGC00261842-01	0.19047	0
NCGC00261662-01	0.02956	0
NCGC00261190-01	0.02633	0
NCGC00260731-01	0.02283	0
NCGC00261926-01	0.03003	0
NCGC00261579-01	0.02633	0
NCGC00260921-01	0.00067	0
NCGC00261119-01	0.0095	0
NCGC00260957-01	0.04556	0
NCGC00261812-01	0.025	0
NCGC00260831-01	0.03169	0
NCGC00261544-01	0.024	0
NCGC00261619-01	0.02656	0
NCGC00261633-01	0.008	0
NCGC00261395-01	0.03771	0
NCGC00261717-01	0.08556	0
NCGC00261947-01	0.0749	0
NCGC00261424-01	0.79638	1
NCGC00261861-01	0.05326	0
NCGC00261924-01	0.00667	0
NCGC00261052-01	0.06733	0
NCGC00261683-01	0.00749	0
NCGC00261026-01	0.046	0
NCGC00261057-01	0.02411	0
NCGC00261738-01	0.026	0
NCGC00261348-01	0.01544	0
NCGC00261503-01	0.03156	0
NCGC00260693-01	0.01317	0
NCGC00260703-01	0.01467	0
NCGC00260716-01	0.00283	0
NCGC00260782-01	0.05519	0
NCGC00260802-01	0.00133	0
NCGC00260823-01	0.00742	0
NCGC00261313-01	0.00447	0
NCGC00260757-01	0.0	0
NCGC00260826-01	0.00667	0
NCGC00261005-01	0.009	0
NCGC00260980-01	0.02506	0
NCGC00261816-01	0.03127	0
NCGC00260698-01	0.00928	0
NCGC00260889-01	0.00839	0
NCGC00260811-01	0.0126	0
NCGC00261165-01	0.04734	0
NCGC00261060-01	0.00889	0
NCGC00261541-01	0.00521	0
NCGC00261649-01	0.0101	0
NCGC00261110-01	0.0234	0
NCGC00261130-01	0.01511	0
NCGC00260846-01	0.056	0
NCGC00261030-01	0.00467	0
NCGC00261162-01	0.01097	0
NCGC00261058-01	0.05153	0
NCGC00261404-01	0.02402	0
NCGC00261423-01	0.02747	0
NCGC00261856-01	0.0074	0
NCGC00261342-01	0.44633	0
NCGC00261935-01	0.01067	0
NCGC00261069-01	0.01489	0
NCGC00261101-01	0.02989	0
NCGC00261183-01	0.0121	0
NCGC00261716-01	0.01367	0
NCGC00260742-01	0.02589	0
NCGC00261529-01	0.01282	0
NCGC00261170-01	0.02	0
NCGC00261565-01	0.03921	0
NCGC00260990-01	0.0246	0
NCGC00261340-01	0.01632	0
NCGC00261079-01	0.02333	0
NCGC00261389-01	0.03917	0
NCGC00261744-01	0.01767	0
NCGC00261420-01	0.02778	0
NCGC00261215-01	0.04122	0
NCGC00261826-01	0.02733	0
NCGC00260706-01	0.02389	0
NCGC00261123-01	0.01844	0
NCGC00261367-01	0.02233	0
NCGC00261507-01	0.02649	0
NCGC00261169-01	0.03489	0
NCGC00261730-01	0.01834	0
NCGC00261624-01	0.0055	0
NCGC00261641-01	0.01322	0
NCGC00261853-01	0.05008	0
NCGC00260911-01	0.02821	0
NCGC00260798-01	0.03849	0
NCGC00261384-01	0.03922	0
NCGC00260785-01	0.02053	0
NCGC00261597-01	0.03984	0
NCGC00261025-01	0.00733	0
NCGC00260789-01	0.01696	0
NCGC00260866-01	0.02119	0
NCGC00261189-01	0.02244	0
NCGC00261270-01	0.00705	0
NCGC00261611-01	0.03179	0
NCGC00261160-01	0.04932	0
NCGC00261085-01	0.008	0
NCGC00261817-01	0.02378	0
NCGC00261866-01	0.01033	0
NCGC00260852-01	0.0315	0
NCGC00261290-01	0.03848	0
NCGC00261304-01	0.03753	0
NCGC00261704-01	0.02378	0
NCGC00260850-01	0.02167	0
NCGC00260972-01	0.06343	0
NCGC00261364-01	0.00673	0
NCGC00261392-01	0.03887	0
NCGC00261638-01	0.0258	0
NCGC00261820-01	0.05483	0
NCGC00261808-01	0.02166	0
NCGC00260790-01	0.02802	0
NCGC00260940-01	0.016	0
NCGC00261081-01	0.03479	0
NCGC00261506-01	0.03933	0
NCGC00261133-01	0.02919	0
NCGC00261399-01	0.08546	0
NCGC00260696-01	0.00933	0
NCGC00261903-01	0.02596	0
NCGC00261178-01	0.03778	0
NCGC00261568-01	0.0323	0
NCGC00260830-01	0.01589	0
NCGC00261113-01	0.02422	0
NCGC00261327-01	0.015	0
NCGC00261602-01	0.02209	0
NCGC00260858-01	0.04067	0
NCGC00261071-01	0.03694	0
NCGC00261076-01	0.024	0
NCGC00261192-01	0.05789	0
NCGC00261495-01	0.05533	0
NCGC00261577-01	0.0283	0
NCGC00261510-01	0.02811	0
NCGC00261679-01	0.01571	0
NCGC00261941-01	0.03133	0
NCGC00261343-01	0.03906	0
NCGC00261607-01	0.03928	0
NCGC00261782-01	0.01978	0
NCGC00261914-01	0.05433	0
NCGC00261475-01	0.04336	0
NCGC00261764-01	0.03338	0
NCGC00261802-01	0.08756	0
NCGC00261813-01	0.03679	0
NCGC00260795-01	0.01783	0
NCGC00261352-01	0.03869	0
NCGC00261009-01	0.04644	0
NCGC00261944-01	0.05433	0
NCGC00261166-01	0.10067	0
NCGC00261332-01	0.07033	0
NCGC00261333-01	0.07152	0
NCGC00261260-01	0.05188	0
NCGC00261915-01	0.03467	0
NCGC00261238-01	0.00733	0
NCGC00261682-01	0.05432	0
NCGC00261049-01	0.02342	0
NCGC00260910-01	0.0454	0
NCGC00261272-01	0.02489	0
NCGC00260708-01	0.004	0
NCGC00261390-01	0.08157	0
