Name	Score	Activity
NCGC00357026	0.15750353	0
NCGC00357259	0.023203482	0
NCGC00357053	0.020366576	0
NCGC00261611	0.119994532	0
NCGC00261563	0.260639739	0
NCGC00261075	0.06520047	0
NCGC00357227	0.151890567	0
NCGC00261495	0.040643534	0
NCGC00357018	0.011613529	0
NCGC00261544	0.020372239	0
NCGC00261817	0.156240784	0
NCGC00357252	0.0926438	0
NCGC00357140	0.033182772	0
NCGC00357057	0.130165471	0
NCGC00356975	0.091931231	0
NCGC00357062	0.062629526	0
NCGC00357235	0.33335112	0
NCGC00260716	0.039972189	0
NCGC00261336	0.033517546	0
NCGC00357014	0.073623966	0
NCGC00261272	0.364557945	0
NCGC00261238	0.040598201	0
NCGC00261935	0.205414329	0
NCGC00357264	0.181907514	0
NCGC00357182	0.063139651	0
NCGC00357153	0.016943952	0
NCGC00261142	0.190674428	0
NCGC00261752	0.079109558	0
NCGC00356983	0.092389586	0
NCGC00357118	0.035344578	0
NCGC00261828	0.130423671	0
NCGC00357191	0.056518571	0
NCGC00357167	0.306887193	0
NCGC00260911	0.025303594	0
NCGC00357025	0.091987571	0
NCGC00357101	0.007285807	0
NCGC00261065	0.027723584	0
NCGC00357229	0.013955579	0
NCGC00261053	0.007598911	0
NCGC00261183	0.298321684	0
NCGC00357147	0.085902013	0
NCGC00357209	0.305916663	0
NCGC00260822	0.115566952	0
NCGC00356954	0.008293363	0
NCGC00261330	0.074665244	0
NCGC00261835	0.677430638	1
NCGC00357081	0.033590944	0
NCGC00261404	0.022265371	0
NCGC00260713	0.109537657	0
NCGC00357056	0.052358403	0
NCGC00357095	0.037865894	0
NCGC00357138	0.010611117	0
NCGC00261686	0.073340977	0
NCGC00357189	0.023080763	0
NCGC00261582	0.984372525	1
NCGC00260802	0.119927157	0
NCGC00261395	0.795807175	1
NCGC00356951	0.146733323	0
NCGC00261767	0.034715815	0
NCGC00357187	0.060137041	0
NCGC00261638	0.415711244	0
NCGC00261155	0.045117149	0
NCGC00356984	0.94037356	1
NCGC00261704	0.195739181	0
NCGC00357102	0.034318629	0
NCGC00357276	0.021151569	0
NCGC00357251	0.090825796	0
NCGC00260921	0.059757762	0
NCGC00356944	0.012429238	0
NCGC00357260	0.287889321	0
NCGC00261633	0.038004697	0
NCGC00357093	0.120574059	0
NCGC00356985	0.00568108	0
NCGC00357085	0.229363543	0
NCGC00260708	0.057112491	0
NCGC00356980	0.433781924	0
NCGC00357009	0.050541506	0
NCGC00357016	0.024492212	0
NCGC00356998	0.079607394	0
NCGC00260782	0.105385026	0
NCGC00357074	0.001853286	0
NCGC00357171	0.004610852	0
NCGC00357230	0.130256652	0
NCGC00357002	0.057445743	0
NCGC00261866	0.055433531	0
NCGC00261825	0.942653199	1
NCGC00356965	0.018973071	0
NCGC00356952	0.037733961	0
NCGC00261662	0.296359878	0
NCGC00260826	0.193332325	0
NCGC00357133	0.04931275	0
NCGC00357006	0.041069177	0
NCGC00261653	0.923120819	1
NCGC00261826	0.117577513	0
NCGC00357061	0.126118173	0
NCGC00357165	0.013121163	0
NCGC00357172	0.100566537	0
NCGC00260821	0.165108829	0
NCGC00261392	0.009587269	0
NCGC00261873	0.201054445	0
NCGC00357181	0.335587716	0
NCGC00357143	0.056620619	0
NCGC00357089	0.104356311	0
NCGC00357205	0.24192629	0
NCGC00357173	0.010437811	0
NCGC00357079	0.046731402	0
NCGC00260830	0.110304937	0
NCGC00261163	0.056445686	0
NCGC00357237	0.030431261	0
NCGC00357214	0.12289116	0
NCGC00357144	0.02167281	0
NCGC00357220	0.264315256	0
NCGC00261529	0.183851233	0
NCGC00261583	0.017564247	0
NCGC00260803	0.014635375	0
NCGC00261663	0.033753417	0
NCGC00260751	0.124578878	0
NCGC00356973	0.031627352	0
NCGC00260833	0.044231519	0
NCGC00357265	0.053572479	0
NCGC00357059	0.053328537	0
NCGC00356972	0.042256282	0
NCGC00261824	0.188073427	0
NCGC00357103	0.012090232	0
NCGC00357130	0.007929676	0
NCGC00260795	0.091711155	0
NCGC00261294	0.027299154	0
NCGC00261507	0.400452762	0
NCGC00260817	0.467145768	0
NCGC00357076	0.073496833	0
NCGC00357097	0.145817375	0
NCGC00357163	0.042502665	0
NCGC00357215	0.037664941	0
NCGC00357278	0.007161165	0
NCGC00260728	0.096335218	0
NCGC00356979	0.018841838	0
NCGC00357267	0.015851165	0
NCGC00357044	0.429974829	0
NCGC00357152	0.003253007	0
NCGC00261246	0.116924664	0
NCGC00356948	0.019353136	0
NCGC00261906	0.67134831	1
NCGC00357088	0.006589974	0
NCGC00261342	0.854888427	1
NCGC00357065	0.118149265	0
NCGC00357250	0.055724964	0
NCGC00357255	0.986369886	1
NCGC00261808	0.051459875	0
NCGC00357040	0.006967698	0
NCGC00261627	0.023536693	0
NCGC00261519	0.008856036	0
NCGC00357032	0.1296491	0
NCGC00261924	0.047502014	0
NCGC00356986	0.108705648	0
NCGC00261333	0.188856646	0
NCGC00357011	0.447076822	0
NCGC00357128	0.169435453	0
NCGC00261008	0.002798539	0
NCGC00261162	0.209554961	0
NCGC00357000	0.038154166	0
NCGC00356938	0.163759028	0
NCGC00357176	0.130533552	0
NCGC00261348	0.097917705	0
NCGC00261190	0.160424373	0
NCGC00260972	0.248581906	0
NCGC00357272	0.056188741	0
NCGC00357277	0.034289211	0
NCGC00357271	0.153907234	0
NCGC00260785	0.075808549	0
NCGC00261473	0.060767482	0
NCGC00261683	0.025377832	0
NCGC00261541	0.272262225	0
NCGC00260947	0.253190964	0
NCGC00260692	0.032129014	0
NCGC00357049	0.004144538	0
NCGC00357003	0.037543438	0
NCGC00260696	0.038502307	0
NCGC00261568	0.011136085	0
NCGC00357037	0.017351593	0
NCGC00357083	0.036364712	0
NCGC00357145	0.059070507	0
NCGC00357112	0.253105602	0
NCGC00356970	0.047573782	0
NCGC00261787	0.064504382	0
NCGC00357012	0.042145302	0
NCGC00356994	0.070317553	0
NCGC00261578	0.024823495	0
NCGC00357188	0.673097494	1
NCGC00261321	0.020691704	0
NCGC00260869	0.306382752	0
NCGC00261542	0.041613668	0
NCGC00357281	0.280108594	0
NCGC00356966	0.015651139	0
NCGC00261030	0.239861826	0
NCGC00357127	0.025684297	0
NCGC00261406	0.023255729	0
NCGC00261037	0.510666903	0
NCGC00357022	0.147413804	0
NCGC00261840	0.019335696	0
NCGC00357195	0.053776123	0
NCGC00356976	0.059836546	0
NCGC00357262	0.011578916	0
NCGC00261304	0.222933214	0
NCGC00357116	0.055255595	0
NCGC00356950	0.036283467	0
NCGC00357190	0.093004136	0
NCGC00356977	0.118728454	0
NCGC00261812	0.04333995	0
NCGC00261602	0.136873692	0
NCGC00357270	0.002182783	0
NCGC00357284	0.017432168	0
NCGC00261440	0.070120062	0
NCGC00357111	0.237045562	0
NCGC00261290	0.233059772	0
NCGC00261113	0.297304301	0
NCGC00357178	0.01962084	0
NCGC00261192	0.064354206	0
NCGC00261364	0.312494081	0
NCGC00356942	0.189361148	0
NCGC00357287	0.040804323	0
NCGC00261577	0.100346131	0
NCGC00260889	0.01336822	0
NCGC00357060	0.007899575	0
NCGC00357051	0.155901023	0
NCGC00260980	0.016261457	0
NCGC00357197	0.083767132	0
NCGC00356961	0.195717595	0
NCGC00261716	0.042474901	0
NCGC00357005	0.062256655	0
NCGC00261869	0.002519371	0
NCGC00357038	0.125175129	0
NCGC00261176	0.065914714	0
NCGC00261607	0.222254915	0
NCGC00260706	0.023096328	0
NCGC00357177	0.2638303	0
NCGC00357039	0.035217159	0
NCGC00260962	0.464191748	0
NCGC00261737	0.23031826	0
NCGC00261732	0.008441567	0
NCGC00356959	0.006909741	0
NCGC00260770	0.016229608	0
NCGC00261820	0.125230154	0
NCGC00357132	0.665136271	1
NCGC00260815	0.333126239	0
NCGC00357289	0.008926138	0
NCGC00357072	0.04333995	0
NCGC00261080	0.00853945	0
NCGC00356982	0.147239263	0
NCGC00357142	0.167385557	0
NCGC00357211	0.112960262	0
NCGC00261944	0.014309123	0
NCGC00261005	0.115824566	0
NCGC00357288	0.976239137	1
NCGC00357054	0.106611817	0
NCGC00357023	0.058075609	0
NCGC00356996	0.008540106	0
NCGC00357180	0.042283282	0
NCGC00357150	0.021404211	0
NCGC00261058	0.01135941	0
NCGC00357183	0.075630813	0
NCGC00261718	0.02421105	0
NCGC00261565	0.007451233	0
NCGC00356945	0.005109277	0
NCGC00357258	0.019300467	0
NCGC00261933	0.861938974	1
NCGC00261398	0.529635666	0
NCGC00261057	0.35375923	0
NCGC00357031	0.039736116	0
NCGC00356955	0.003242249	0
NCGC00261076	0.076183258	0
NCGC00261189	0.011105717	0
NCGC00261340	0.189061216	0
NCGC00357274	0.099574898	0
NCGC00357228	0.034785374	0
NCGC00357020	0.015492538	0
NCGC00357279	0.01204748	0
NCGC00261101	0.01819733	0
NCGC00261079	0.023292095	0
NCGC00357087	0.148044624	0
NCGC00356995	0.459438747	0
NCGC00261381	0.05458728	0
NCGC00357234	0.100035072	0
NCGC00261802	0.183875631	0
NCGC00260693	0.075252734	0
NCGC00261693	0.038102761	0
NCGC00261110	0.10118265	0
NCGC00261153	0.498716296	0
NCGC00357286	0.330540344	0
NCGC00260798	0.698777611	1
NCGC00357068	0.025244693	0
NCGC00260957	0.465420145	0
NCGC00357010	0.097911969	0
NCGC00357263	0.006265209	0
NCGC00357058	0.197560828	0
NCGC00357268	0.403314456	0
NCGC00357066	0.14926111	0
NCGC00261503	0.06271943	0
NCGC00261641	0.154588015	0
NCGC00261441	0.017546946	0
