Sample ID	Score	Activity
NCGC00261900-01	0.03887	0
NCGC00260869-01	0.03658	0
NCGC00261776-01	0.03519	0
NCGC00261380-01	0.03183	0
NCGC00261842-01	0.04259	0
NCGC00261662-01	0.03141	0
NCGC00261190-01	0.03508	0
NCGC00260731-01	0.0276	0
NCGC00261926-01	0.03633	0
NCGC00261579-01	0.02977	0
NCGC00260921-01	0.02137	0
NCGC00261119-01	0.02451	0
NCGC00260957-01	0.03712	0
NCGC00261812-01	0.03303	0
NCGC00260831-01	0.03591	0
NCGC00261544-01	0.0289	0
NCGC00261619-01	0.03427	0
NCGC00261633-01	0.02406	0
NCGC00261395-01	0.03546	0
NCGC00261717-01	0.03846	0
NCGC00261947-01	0.03854	0
NCGC00261424-01	0.11704	0
NCGC00261861-01	0.0337	0
NCGC00261924-01	0.02328	0
NCGC00261052-01	0.03986	0
NCGC00261683-01	0.03023	0
NCGC00261026-01	0.03741	0
NCGC00261057-01	0.0303	0
NCGC00261738-01	0.03086	0
NCGC00261348-01	0.02354	0
NCGC00261503-01	0.02885	0
NCGC00260693-01	0.02505	0
NCGC00260703-01	0.02034	0
NCGC00260716-01	0.01133	0
NCGC00260782-01	0.02918	0
NCGC00260802-01	0.01294	0
NCGC00260823-01	0.01827	0
NCGC00261313-01	0.01444	0
NCGC00260757-01	0.00863	0
NCGC00260826-01	0.01139	0
NCGC00261005-01	0.0226	0
NCGC00260980-01	0.0359	0
NCGC00261816-01	0.0351	0
NCGC00260698-01	0.03068	0
NCGC00260889-01	0.03072	0
NCGC00260811-01	0.03054	0
NCGC00261165-01	0.03563	0
NCGC00261060-01	0.02499	0
NCGC00261541-01	0.02069	0
NCGC00261649-01	0.02225	0
NCGC00261110-01	0.032	0
NCGC00261130-01	0.03398	0
NCGC00260846-01	0.02826	0
NCGC00261030-01	0.0227	0
NCGC00261162-01	0.021	0
NCGC00261058-01	0.03517	0
NCGC00261404-01	0.03248	0
NCGC00261423-01	0.03014	0
NCGC00261856-01	0.02452	0
NCGC00261342-01	0.04158	0
NCGC00261935-01	0.01591	0
NCGC00261069-01	0.03084	0
NCGC00261101-01	0.03541	0
NCGC00261183-01	0.0341	0
NCGC00261716-01	0.03322	0
NCGC00260742-01	0.03551	0
NCGC00261529-01	0.03074	0
NCGC00261170-01	0.02697	0
NCGC00261565-01	0.03414	0
NCGC00260990-01	0.03224	0
NCGC00261340-01	0.02611	0
NCGC00261079-01	0.0303	0
NCGC00261389-01	0.03716	0
NCGC00261744-01	0.03517	0
NCGC00261420-01	0.02661	0
NCGC00261215-01	0.03747	0
NCGC00261826-01	0.03397	0
NCGC00260706-01	0.02936	0
NCGC00261123-01	0.02722	0
NCGC00261367-01	0.0344	0
NCGC00261507-01	0.03204	0
NCGC00261169-01	0.03448	0
NCGC00261730-01	0.0271	0
NCGC00261624-01	0.02534	0
NCGC00261641-01	0.02235	0
NCGC00261853-01	0.03422	0
NCGC00260911-01	0.03373	0
NCGC00260798-01	0.02938	0
NCGC00261384-01	0.03495	0
NCGC00260785-01	0.03473	0
NCGC00261597-01	0.03601	0
NCGC00261025-01	0.01732	0
NCGC00260789-01	0.02993	0
NCGC00260866-01	0.03123	0
NCGC00261189-01	0.0334	0
NCGC00261270-01	0.02467	0
NCGC00261611-01	0.03768	0
NCGC00261160-01	0.03751	0
NCGC00261085-01	0.01786	0
NCGC00261817-01	0.03327	0
NCGC00261866-01	0.02909	0
NCGC00260852-01	0.03026	0
NCGC00261290-01	0.02869	0
NCGC00261304-01	0.03667	0
NCGC00261704-01	0.03197	0
NCGC00260850-01	0.03519	0
NCGC00260972-01	0.03546	0
NCGC00261364-01	0.01565	0
NCGC00261392-01	0.03298	0
NCGC00261638-01	0.0323	0
NCGC00261820-01	0.03084	0
NCGC00261808-01	0.03184	0
NCGC00260790-01	0.03059	0
NCGC00260940-01	0.03338	0
NCGC00261081-01	0.03512	0
NCGC00261506-01	0.03656	0
NCGC00261133-01	0.03133	0
NCGC00261399-01	0.03678	0
NCGC00260696-01	0.02437	0
NCGC00261903-01	0.03465	0
NCGC00261178-01	0.03542	0
NCGC00261568-01	0.03518	0
NCGC00260830-01	0.03445	0
NCGC00261113-01	0.02815	0
NCGC00261327-01	0.02794	0
NCGC00261602-01	0.02848	0
NCGC00260858-01	0.03454	0
NCGC00261071-01	0.033	0
NCGC00261076-01	0.03064	0
NCGC00261192-01	0.03813	0
NCGC00261495-01	0.03072	0
NCGC00261577-01	0.03431	0
NCGC00261510-01	0.03652	0
NCGC00261679-01	0.02548	0
NCGC00261941-01	0.03152	0
NCGC00261343-01	0.03612	0
NCGC00261607-01	0.03406	0
NCGC00261782-01	0.03398	0
NCGC00261914-01	0.03708	0
NCGC00261475-01	0.03813	0
NCGC00261764-01	0.03678	0
NCGC00261802-01	0.03819	0
NCGC00261813-01	0.03793	0
NCGC00260795-01	0.03169	0
NCGC00261352-01	0.03473	0
NCGC00261009-01	0.03419	0
NCGC00261944-01	0.03741	0
NCGC00261166-01	0.03645	0
NCGC00261332-01	0.0371	0
NCGC00261333-01	0.03845	0
NCGC00261260-01	0.03376	0
NCGC00261915-01	0.03489	0
NCGC00261238-01	0.0311	0
NCGC00261682-01	0.03791	0
NCGC00261049-01	0.03763	0
NCGC00260910-01	0.03659	0
NCGC00261272-01	0.03411	0
NCGC00260708-01	0.014	0
NCGC00261390-01	0.02363	0
NCGC00260948-01	0.01493	0
NCGC00261840-01	0.01335	0
NCGC00260881-01	0.01142	0
NCGC00261153-01	0.03769	0
NCGC00261406-01	0.02093	0
NCGC00261053-01	0.018	0
NCGC00261129-01	0.02082	0
NCGC00261381-01	0.03746	0
NCGC00261426-01	0.03741	0
NCGC00260979-01	0.02314	0
NCGC00260993-01	0.03351	0
NCGC00261108-01	0.03008	0
NCGC00261441-01	0.03693	0
NCGC00261877-01	0.02959	0
NCGC00260815-01	0.03749	0
NCGC00261542-01	0.03303	0
NCGC00261958-01	0.03189	0
NCGC00261787-01	0.03086	0
NCGC00261065-01	0.03573	0
NCGC00261804-01	0.03706	0
NCGC00260875-01	0.03351	0
NCGC00261451-01	0.01588	0
NCGC00261739-01	0.03818	0
NCGC00261948-01	0.03826	0
NCGC00261382-01	0.03842	0
NCGC00261663-01	0.03648	0
NCGC00260892-01	0.03077	0
NCGC00261297-01	0.03143	0
NCGC00261321-01	0.02397	0
NCGC00261446-01	0.03533	0
NCGC00261474-01	0.024	0
NCGC00260834-01	0.03754	0
NCGC00260840-01	0.03574	0
NCGC00260947-01	0.03799	0
NCGC00261080-01	0.02194	0
NCGC00261563-01	0.03819	0
NCGC00261873-01	0.03767	0
NCGC00260803-01	0.03587	0
NCGC00260833-01	0.03728	0
NCGC00261008-01	0.03821	0
NCGC00261155-01	0.0345	0
NCGC00261643-01	0.03562	0
NCGC00261037-01	0.02715	0
NCGC00261126-01	0.01592	0
NCGC00260871-01	0.03389	0
NCGC00260713-01	0.03606	0
NCGC00261487-01	0.03576	0
NCGC00261545-01	0.03754	0
NCGC00261480-01	0.03283	0
NCGC00261838-01	0.02827	0
NCGC00261627-01	0.02245	0
NCGC00261639-01	0.02642	0
NCGC00261177-01	0.00829	0
NCGC00260692-01	0.00552	0
NCGC00260775-01	0.0157	0
NCGC00260876-01	0.00411	0
NCGC00261598-01	0.00815	0
NCGC00260707-01	0.03063	0
NCGC00261554-01	0.03308	0
NCGC00261713-01	0.03324	0
NCGC00261737-01	0.03789	0
NCGC00261882-01	0.0344	0
NCGC00261933-01	0.03855	0
NCGC00261201-01	0.03219	0
NCGC00261398-01	0.03853	0
NCGC00261601-01	0.01594	0
NCGC00261003-01	0.01877	0
NCGC00261019-01	0.02304	0
NCGC00261519-01	0.01599	0
NCGC00261732-01	0.02585	0
NCGC00261718-01	0.01513	0
NCGC00260743-01	0.01731	0
NCGC00260751-01	0.0132	0
NCGC00260867-01	0.0168	0
NCGC00260982-01	0.01528	0
NCGC00261176-01	0.00696	0
NCGC00261289-01	0.01586	0
NCGC00261440-01	0.00894	0
NCGC00261657-01	0.00946	0
NCGC00260822-01	0.03528	0
NCGC00261142-01	0.03607	0
NCGC00261582-01	0.175	0
NCGC00261825-01	0.03177	0
NCGC00261833-01	0.03107	0
NCGC00261835-01	0.0213	0
NCGC00261860-01	0.02914	0
NCGC00261906-01	0.03084	0
NCGC00261916-01	0.02917	0
NCGC00261939-01	0.02195	0
NCGC00261869-01	0.01689	0
NCGC00261163-01	0.03698	0
NCGC00261653-01	0.03546	0
NCGC00261248-01	0.01699	0
NCGC00260770-01	0.01184	0
NCGC00261013-01	0.01524	0
NCGC00261910-01	0.03272	0
NCGC00261686-01	0.02112	0
NCGC00261147-01	0.02216	0
NCGC00261578-01	0.01067	0
NCGC00261336-01	0.01826	0
NCGC00261593-01	0.02849	0
NCGC00260821-01	0.0253	0
NCGC00261007-01	0.03156	0
NCGC00261246-01	0.0131	0
NCGC00261949-01	0.01998	0
NCGC00260890-01	0.01585	0
NCGC00261294-01	0.0154	0
NCGC00261330-01	0.02405	0
NCGC00261470-01	0.01753	0
NCGC00260691-01	0.01899	0
NCGC00261693-01	0.033	0
NCGC00261293-01	0.03345	0
NCGC00261018-01	0.02737	0
NCGC00261075-01	0.01713	0
NCGC00261150-01	0.02152	0
NCGC00261767-01	0.03158	0
NCGC00261824-01	0.02164	0
NCGC00261146-01	0.01788	0
NCGC00260817-01	0.01911	0
NCGC00261161-01	0.01603	0
NCGC00260728-01	0.01191	0
NCGC00261286-01	0.0224	0
NCGC00261254-01	0.03241	0
NCGC00261261-01	0.02988	0
NCGC00261691-01	0.03538	0
NCGC00261921-01	0.03125	0
NCGC00260962-01	0.0312	0
NCGC00261028-01	0.02129	0
NCGC00261349-01	0.02207	0
NCGC00261583-01	0.02947	0
NCGC00261672-01	0.01757	0
NCGC00261620-01	0.02818	0
NCGC00261141-01	0.03043	0
NCGC00261752-01	0.03467	0
NCGC00261828-01	0.03355	0
NCGC00261913-01	0.02771	0
NCGC00261473-01	0.02649	0
NCGC00356953-01	0.03731	0
NCGC00357009-01	0.01383	0
NCGC00357188-01	0.01959	0
NCGC00357201-01	0.97126	1
NCGC00357189-01	0.02335	0
NCGC00357163-01	0.01302	0
NCGC00357001-01	0.02927	0
NCGC00357030-01	0.01594	0
NCGC00357123-01	0.01877	0
NCGC00357091-01	0.01703	0
NCGC00357004-01	0.02462	0
NCGC00357103-01	0.00867	0
NCGC00357289-01	0.03703	0
NCGC00357082-01	0.01879	0
NCGC00356999-01	0.01574	0
NCGC00357116-01	0.01589	0
NCGC00357010-01	0.02677	0
NCGC00357057-01	0.02922	0
NCGC00357171-01	0.01433	0
NCGC00356964-01	0.01257	0
NCGC00356995-01	0.04798	0
NCGC00357062-01	0	0
NCGC00357205-01	0.01406	0
NCGC00357185-01	0.01971	0
NCGC00357028-01	0.01413	0
NCGC00357064-01	0.01316	0
NCGC00357196-01	0.01609	0
NCGC00357271-01	0.03384	0
NCGC00357213-01	0.01452	0
NCGC00357198-01	0.0062	0
NCGC00357079-01	0.01459	0
NCGC00356984-01	0.97126	1
NCGC00357080-01	0.02221	0
NCGC00357173-01	0.0142	0
NCGC00357277-01	0.01341	0
NCGC00357240-01	0.00915	0
NCGC00357145-01	0.01596	0
NCGC00357157-01	0.00377	0
NCGC00357160-01	0.01994	0
NCGC00357107-01	0.00664	0
NCGC00357106-01	0.00844	0
NCGC00357047-01	0.01147	0
NCGC00357174-01	0.01147	0
NCGC00357090-01	0.01147	0
NCGC00357204-01	0.01587	0
NCGC00357214-01	0.01812	0
NCGC00357124-01	0.02042	0
NCGC00356983-01	0.01657	0
NCGC00357092-01	0.0063	0
NCGC00357042-01	0.0046	0
NCGC00357036-01	0.00885	0
NCGC00357089-01	0.03863	0
NCGC00357170-01	0.03313	0
NCGC00357132-01	0.05019	0
NCGC00357265-01	0.00725	0
NCGC00357260-01	0.01468	0
NCGC00357023-01	0.01664	0
NCGC00357114-01	0.01055	0
NCGC00357033-01	0.00977	0
NCGC00357120-01	0.01283	0
NCGC00356963-01	0.00854	0
NCGC00357055-01	0.01693	0
NCGC00357139-01	0.01471	0
NCGC00357026-01	0	0
NCGC00357242-01	0.02964	0
NCGC00357161-01	0.01654	0
NCGC00357279-01	0.01221	0
NCGC00357288-01	0.06054	0
NCGC00356973-01	0.01593	0
NCGC00357143-01	0.00793	0
NCGC00357182-01	0.00434	0
NCGC00356971-01	0.01363	0
NCGC00357084-01	0.00662	0
NCGC00357112-01	0.01594	0
NCGC00356962-01	0.01596	0
NCGC00356993-01	0.0339	0
NCGC00357284-01	0.0308	0
NCGC00357046-01	0.01043	0
NCGC00357000-01	0.0252	0
NCGC00357012-01	0.02936	0
NCGC00356939-01	0.0124	0
NCGC00356955-01	0.02603	0
NCGC00357262-01	0.02664	0
NCGC00356991-01	0.02311	0
NCGC00357203-01	0.02186	0
NCGC00357049-01	0.01531	0
NCGC00357164-01	0.01594	0
NCGC00357073-01	0.01191	0
NCGC00357043-01	0.01577	0
NCGC00357269-01	0.00746	0
NCGC00357266-01	0.0073	0
NCGC00357076-01	0.00726	0
