Sample ID	Score	Activity
NCGC00261900-01	1.22985	1
NCGC00260869-01	-1.16243	0
NCGC00261776-01	-0.25859	0
NCGC00261380-01	-1.30222	0
NCGC00261842-01	-0.9908	0
NCGC00261662-01	-0.75109	0
NCGC00261190-01	-0.51523	0
NCGC00260731-01	-0.44655	0
NCGC00261926-01	-0.53297	0
NCGC00261579-01	-1.1884	0
NCGC00260921-01	-1.05661	0
NCGC00261119-01	-0.91676	0
NCGC00260957-01	-1.21212	0
NCGC00261812-01	-1.2504	0
NCGC00260831-01	-0.21422	0
NCGC00261544-01	-1.27681	0
NCGC00261619-01	-0.75335	0
NCGC00261633-01	-1.47489	0
NCGC00261395-01	-0.28588	0
NCGC00261717-01	0.05262	1
NCGC00261947-01	0.78549	1
NCGC00261424-01	2.21445	1
NCGC00261861-01	-0.26818	0
NCGC00261924-01	-1.54671	0
NCGC00261052-01	-0.45113	0
NCGC00261683-01	-1.84473	0
NCGC00261026-01	0.45805	1
NCGC00261057-01	-0.52954	0
NCGC00261738-01	-1.03518	0
NCGC00261348-01	-1.62785	0
NCGC00261503-01	-1.56508	0
NCGC00260693-01	-1.59889	0
NCGC00260703-01	-1.48732	0
NCGC00260716-01	-1.66503	0
NCGC00260782-01	0.29413	1
NCGC00260802-01	-0.21468	0
NCGC00260823-01	-1.32281	0
NCGC00261313-01	-1.77344	0
NCGC00260757-01	0.06449	1
NCGC00260826-01	-1.22651	0
NCGC00261005-01	-1.60218	0
NCGC00260980-01	-1.81921	0
NCGC00261816-01	-0.1957	0
NCGC00260698-01	-1.29756	0
NCGC00260889-01	-1.13804	0
NCGC00260811-01	-0.94837	0
NCGC00261165-01	-1.61526	0
NCGC00261060-01	-1.14176	0
NCGC00261541-01	-1.11609	0
NCGC00261649-01	-0.55344	0
NCGC00261110-01	-0.08245	0
NCGC00261130-01	-0.08323	0
NCGC00260846-01	-0.8805	0
NCGC00261030-01	-1.04326	0
NCGC00261162-01	-1.09456	0
NCGC00261058-01	-1.55317	0
NCGC00261404-01	-0.34087	0
NCGC00261423-01	-0.21246	0
NCGC00261856-01	0.14045	1
NCGC00261342-01	1.00549	1
NCGC00261935-01	-0.75948	0
NCGC00261069-01	-1.35428	0
NCGC00261101-01	-1.02327	0
NCGC00261183-01	-0.95521	0
NCGC00261716-01	-1.46707	0
NCGC00260742-01	-2.29239	0
NCGC00261529-01	-0.03156	0
NCGC00261170-01	-0.79961	0
NCGC00261565-01	-0.64602	0
NCGC00260990-01	-0.45367	0
NCGC00261340-01	0.23675	1
NCGC00261079-01	-1.49627	0
NCGC00261389-01	-0.87164	0
NCGC00261744-01	-0.31234	0
NCGC00261420-01	-0.64343	0
NCGC00261215-01	-0.61526	0
NCGC00261826-01	-0.37475	0
