Sample ID	Score	Activity
NCGC00261900-01	0.965149	1
NCGC00261866-01	0.005002	0
NCGC00261643-01	0.042656	1
NCGC00357189-01	0.000770	0
NCGC00357184-01	0.001069	0
NCGC00357007-01	0.002042	0
NCGC00357119-01	0.002077	0
NCGC00260869-01	0.013785	1
NCGC00260852-01	0.001464	0
NCGC00261037-01	0.003731	0
NCGC00357163-01	0.001381	0
NCGC00357238-01	0.001328	0
NCGC00356989-01	0.005692	0
NCGC00357003-01	0.002243	0
NCGC00261776-01	0.007169	1
NCGC00261290-01	0.009178	1
NCGC00261126-01	0.002705	0
NCGC00357001-01	0.003066	0
NCGC00357220-01	0.001045	0
NCGC00357246-01	0.001702	0
NCGC00357058-01	0.007161	1
NCGC00261380-01	0.000998	0
NCGC00261304-01	0.003383	0
NCGC00260871-01	0.003160	0
NCGC00357030-01	0.001931	0
NCGC00357252-01	0.003085	0
NCGC00357081-01	0.003466	0
NCGC00357275-01	0.008870	1
NCGC00261842-01	0.005959	0
NCGC00261704-01	0.002865	0
NCGC00260713-01	0.003896	0
NCGC00357123-01	0.003590	0
NCGC00357159-01	0.001807	0
NCGC00357281-01	0.002413	0
NCGC00357014-01	0.118863	1
NCGC00261662-01	0.001894	0
NCGC00260850-01	0.071311	1
NCGC00261487-01	0.003343	0
NCGC00357091-01	0.001495	0
NCGC00356947-01	0.001971	0
NCGC00357244-01	0.001739	0
NCGC00357011-01	0.004171	0
NCGC00261190-01	0.005192	0
NCGC00260972-01	0.010931	1
NCGC00261545-01	0.020263	1
NCGC00357004-01	0.001743	0
NCGC00357063-01	0.002453	0
NCGC00357194-01	0.001815	0
NCGC00356976-01	0.012513	1
NCGC00260731-01	0.004160	0
NCGC00261364-01	0.002130	0
NCGC00261480-01	0.002151	0
NCGC00357103-01	0.000804	0
NCGC00356982-01	0.002019	0
NCGC00357193-01	0.001683	0
NCGC00357175-01	0.010835	1
NCGC00261926-01	0.004854	0
NCGC00261392-01	0.005815	0
NCGC00261838-01	0.000953	0
NCGC00357289-01	0.007563	1
NCGC00357219-01	0.003702	0
NCGC00357006-01	0.000887	0
NCGC00357021-01	0.016701	1
NCGC00261579-01	0.002720	0
NCGC00261638-01	0.004572	0
NCGC00261627-01	0.000983	0
NCGC00357082-01	0.001262	0
NCGC00357037-01	0.000917	0
NCGC00357041-01	0.002214	0
NCGC00357221-01	0.002079	0
NCGC00260921-01	0.003903	0
NCGC00261820-01	0.007419	1
NCGC00261639-01	0.003208	0
NCGC00356999-01	0.001948	0
NCGC00356975-01	0.002258	0
NCGC00357074-01	0.001333	0
NCGC00356972-01	0.001650	0
NCGC00261119-01	0.002824	0
NCGC00261808-01	0.004586	0
NCGC00261177-01	0.003357	0
NCGC00357116-01	0.000987	0
NCGC00357169-01	0.002062	0
NCGC00357166-01	0.001970	0
NCGC00357133-01	0.003177	0
NCGC00260957-01	0.002029	0
NCGC00260790-01	0.001264	0
NCGC00260692-01	0.000791	0
NCGC00357010-01	0.002183	0
NCGC00357022-01	0.001703	0
NCGC00357070-01	0.001635	0
NCGC00357181-01	0.002652	0
NCGC00261812-01	0.004821	0
NCGC00260940-01	0.003033	0
NCGC00260775-01	0.001434	0
NCGC00357057-01	0.021341	1
NCGC00357165-01	0.001944	0
NCGC00357222-01	0.001859	0
NCGC00357056-01	0.004135	0
NCGC00260831-01	0.001976	0
NCGC00261081-01	0.002989	0
NCGC00260876-01	0.002360	0
NCGC00357171-01	0.000711	0
NCGC00357122-01	0.001186	0
NCGC00357245-01	0.002161	0
NCGC00356980-01	0.001616	0
NCGC00261544-01	0.000604	0
NCGC00261506-01	0.000583	0
NCGC00261598-01	0.001039	0
NCGC00356964-01	0.001461	0
NCGC00357212-01	0.001055	0
NCGC00357217-01	0.001415	0
NCGC00357206-01	0.002231	0
NCGC00261619-01	0.041057	1
NCGC00261133-01	0.003927	0
NCGC00260707-01	0.000957	0
NCGC00356995-01	0.001661	0
NCGC00357263-01	0.001696	0
