Sample ID	Score	Activity
NCGC00261900-01	0.094183883	0
NCGC00260869-01	0.013019951	0
NCGC00261776-01	0.099874397	0
NCGC00261380-01	0.009851630	0
NCGC00261842-01	0.067816631	0
NCGC00261662-01	0.172593393	0
NCGC00260731-01	0.008214516	0
NCGC00261926-01	0.007948616	0
NCGC00261579-01	0.012011346	0
NCGC00261119-01	0.006823538	0
NCGC00260957-01	0.009893432	0
NCGC00261812-01	0.010981927	0
NCGC00260831-01	0.008849756	0
NCGC00261544-01	0.004894282	0
NCGC00261619-01	0.013267157	0
NCGC00261633-01	0.024098279	0
NCGC00261395-01	0.017846470	0
NCGC00261717-01	0.332549976	0
NCGC00261947-01	0.106139203	0
NCGC00261424-01	0.606172361	1
NCGC00261861-01	0.008027659	0
NCGC00261924-01	0.006644704	0
NCGC00261683-01	0.007805150	0
NCGC00261026-01	0.065973018	0
NCGC00261057-01	0.005512897	0
NCGC00261738-01	0.004692210	0
NCGC00261348-01	0.005530041	0
NCGC00261503-01	0.006860425	0
NCGC00260693-01	0.006177725	0
NCGC00260703-01	0.005575488	0
NCGC00260716-01	0.008246723	0
NCGC00260782-01	0.005052681	0
NCGC00260802-01	0.004662345	0
NCGC00260823-01	0.007025127	0
NCGC00261313-01	0.010534165	0
NCGC00260757-01	0.004667643	0
NCGC00260826-01	0.005101011	0
NCGC00261005-01	0.006465549	0
NCGC00260980-01	0.008059602	0
NCGC00261816-01	0.008998344	0
NCGC00260698-01	0.016950798	0
NCGC00260889-01	0.005749312	0
NCGC00260811-01	0.008734094	0
NCGC00261165-01	0.006809015	0
NCGC00261060-01	0.005428573	0
NCGC00261541-01	0.007814636	0
NCGC00261649-01	0.004560976	0
NCGC00261110-01	0.016480471	0
NCGC00261130-01	0.022361046	0
NCGC00261162-01	0.008511368	0
NCGC00261058-01	0.010510976	0
NCGC00261404-01	0.005748203	0
NCGC00261423-01	0.009600739	0
NCGC00261856-01	0.012818659	0
NCGC00261342-01	0.115959147	0
NCGC00261935-01	0.010751598	0
NCGC00261101-01	0.005957905	0
NCGC00261183-01	0.014402971	0
NCGC00261716-01	0.008642655	0
NCGC00260742-01	0.004988939	0
NCGC00261529-01	0.012040479	0
NCGC00261170-01	0.012404814	0
NCGC00261565-01	0.042857015	0
NCGC00260990-01	0.014706748	0
NCGC00261340-01	0.009102999	0
NCGC00261079-01	0.006830456	0
NCGC00261389-01	0.007527752	0
NCGC00261744-01	0.033338914	0
NCGC00261420-01	0.006202196	0
NCGC00261215-01	0.076386677	0
NCGC00261826-01	0.008532347	0
NCGC00260706-01	0.007784692	0
NCGC00261123-01	0.014999051	0
NCGC00261367-01	0.011043980	0
NCGC00261507-01	0.014982084	0
NCGC00261169-01	0.006523623	0
NCGC00261730-01	0.010873843	0
NCGC00261624-01	0.015193072	0
NCGC00261641-01	0.005876780	0
NCGC00261853-01	0.008155941	0
NCGC00260911-01	0.005231162	0
NCGC00260798-01	0.023391951	0
NCGC00261384-01	0.030591150	0
NCGC00260785-01	0.029474202	0
NCGC00261597-01	0.050901602	0
NCGC00261025-01	0.007079071	0
NCGC00260789-01	0.012980778	0
NCGC00260866-01	0.006513870	0
NCGC00261189-01	0.007612334	0
NCGC00261270-01	0.010103267	0
NCGC00261611-01	0.008786829	0
NCGC00261160-01	0.015919531	0
NCGC00261085-01	0.005442250	0
NCGC00261817-01	0.012395464	0
NCGC00261866-01	0.007906722	0
NCGC00260852-01	0.004943897	0
NCGC00261290-01	0.019334537	0
NCGC00261304-01	0.016018219	0
NCGC00261704-01	0.016652738	0
NCGC00260850-01	0.006861591	0
NCGC00260972-01	0.009208420	0
NCGC00261364-01	0.009300828	0
NCGC00261392-01	0.005952797	0
NCGC00261820-01	0.005160950	0
NCGC00261808-01	0.007152752	0
NCGC00260790-01	0.005817475	0
NCGC00260940-01	0.008728727	0
NCGC00261081-01	0.012284667	0
NCGC00261506-01	0.019629101	0
NCGC00261133-01	0.026719915	0
NCGC00261399-01	0.009707860	0
NCGC00260696-01	0.005592465	0
NCGC00261903-01	0.007411563	0
NCGC00261178-01	0.015022400	0
NCGC00261568-01	0.009708756	0
NCGC00260830-01	0.010767626	0
NCGC00261113-01	0.008086850	0
NCGC00261327-01	0.005100570	0
NCGC00261602-01	0.007724532	0
NCGC00260858-01	0.014962190	0
NCGC00261071-01	0.005714437	0
NCGC00261076-01	0.005982567	0
NCGC00261192-01	0.084886626	0
NCGC00261577-01	0.009894785	0
NCGC00261510-01	0.032058488	0
NCGC00261941-01	0.013094002	0
NCGC00261343-01	0.010563829	0
NCGC00261607-01	0.031612942	0
NCGC00261782-01	0.007697029	0
