Sample ID	Score	Activity
NCGC00261782-01	-0.0545	0
NCGC00357222-01	-0.0539	0
NCGC00261270-01	-0.0495	0
NCGC00357216-01	-0.0488	0
NCGC00261544-01	-0.0466	0
NCGC00356958-01	-0.0408	0
NCGC00357246-01	-0.0388	0
NCGC00357000-01	-0.0386	0
NCGC00357085-01	-0.0348	0
NCGC00357215-01	-0.0318	0
NCGC00260802-01	-0.0315	0
NCGC00261007-01	-0.031	0
NCGC00357223-01	-0.0304	0
NCGC00357109-01	-0.03	0
NCGC00261057-01	-0.0297	0
NCGC00357196-01	-0.0294	0
NCGC00357122-01	-0.0283	0
NCGC00357265-01	-0.0281	0
NCGC00357168-01	-0.0278	0
NCGC00357250-01	-0.0272	0
NCGC00260757-01	-0.027	0
NCGC00357042-01	-0.027	0
NCGC00261767-01	-0.0258	0
NCGC00261752-01	-0.0249	0
NCGC00357063-01	-0.0246	0
NCGC00261076-01	-0.0245	0
NCGC00357152-01	-0.0243	0
NCGC00261321-01	-0.0239	0
NCGC00357189-01	-0.0237	0
NCGC00357078-01	-0.0231	0
NCGC00356986-01	-0.023	0
NCGC00357031-01	-0.0226	0
NCGC00356963-01	-0.0225	0
NCGC00261926-01	-0.022	0
NCGC00357020-01	-0.0215	0
NCGC00261716-01	-0.0208	0
NCGC00357165-01	-0.0206	0
NCGC00261110-01	-0.0204	0
NCGC00260770-01	-0.0202	0
NCGC00261018-01	-0.02	0
NCGC00357177-01	-0.0199	0
NCGC00357136-01	-0.0198	0
NCGC00261170-01	-0.0195	0
NCGC00357179-01	-0.0194	0
NCGC00357156-01	-0.0194	0
NCGC00261873-01	-0.0191	0
NCGC00357260-01	-0.0189	0
NCGC00356975-01	-0.0187	0
NCGC00357154-01	-0.0186	0
NCGC00357217-01	-0.0183	0
NCGC00261633-01	-0.0179	0
NCGC00357184-01	-0.0179	0
NCGC00357199-01	-0.0179	0
NCGC00357107-01	-0.0178	0
NCGC00357180-01	-0.0177	0
NCGC00356952-01	-0.0176	0
NCGC00357178-01	-0.0175	0
NCGC00260743-01	-0.0173	0
NCGC00260890-01	-0.0171	0
NCGC00357138-01	-0.017	0
NCGC00261340-01	-0.0169	0
NCGC00357052-01	-0.0164	0
NCGC00357220-01	-0.0163	0
NCGC00357252-01	-0.0163	0
NCGC00357003-01	-0.0163	0
NCGC00261861-01	-0.0158	0
NCGC00357251-01	-0.0158	0
NCGC00261611-01	-0.0157	0
NCGC00261826-01	-0.0156	0
NCGC00357159-01	-0.0156	0
NCGC00356980-01	-0.0156	0
NCGC00357005-01	-0.0154	0
NCGC00357019-01	-0.0154	0
NCGC00261013-01	-0.0153	0
NCGC00260826-01	-0.0148	0
NCGC00260980-01	-0.0144	0
NCGC00357071-01	-0.0138	0
NCGC00356979-01	-0.0138	0
NCGC00357027-01	-0.0137	0
NCGC00261101-01	-0.0133	0
NCGC00261406-01	-0.0131	0
NCGC00261166-01	-0.013	0
NCGC00357116-01	-0.013	0
NCGC00357035-01	-0.0129	0
NCGC00261294-01	-0.0128	0
NCGC00260696-01	-0.0127	0
NCGC00260867-01	-0.0125	0
NCGC00261924-01	-0.0122	0
NCGC00357073-01	-0.0122	0
NCGC00357129-01	-0.0121	0
NCGC00261003-01	-0.012	0
NCGC00356951-01	-0.012	0
NCGC00357279-01	-0.0118	0
NCGC00357055-01	-0.0114	0
NCGC00357153-01	-0.0114	0
NCGC00357237-01	-0.0114	0
NCGC00261129-01	-0.0112	0
NCGC00261474-01	-0.0112	0
NCGC00357286-01	-0.0111	0
NCGC00260979-01	-0.011	0
NCGC00357253-01	-0.0109	0
NCGC00357004-01	-0.0106	0
NCGC00357087-01	-0.0102	0
NCGC00357270-01	-0.01	0
NCGC00357193-01	-0.01	0
NCGC00357036-01	-0.0099	0
NCGC00261380-01	-0.0098	0
NCGC00356949-01	-0.0097	0
NCGC00261802-01	-0.0096	0
NCGC00357245-01	-0.0092	0
NCGC00260940-01	-0.0091	0
NCGC00261108-01	-0.009	0
NCGC00261869-01	-0.009	0
NCGC00261583-01	-0.0089	0
NCGC00357043-01	-0.0089	0
NCGC00357088-01	-0.0087	0
NCGC00357110-01	-0.0086	0
NCGC00357208-01	-0.0085	0
NCGC00357099-01	-0.0085	0
NCGC00357017-01	-0.0085	0
NCGC00356991-01	-0.0083	0
NCGC00357202-01	-0.0083	0
NCGC00261081-01	-0.008	0
NCGC00261153-01	-0.008	0
NCGC00356941-01	-0.0078	0
NCGC00357169-01	-0.0076	0
NCGC00357264-01	-0.0076	0
NCGC00261390-01	-0.0075	0
NCGC00260693-01	-0.0074	0
NCGC00261327-01	-0.0074	0
NCGC00357092-01	-0.0074	0
NCGC00357218-01	-0.0073	0
NCGC00357190-01	-0.0073	0
NCGC00357142-01	-0.0072	0
NCGC00356954-01	-0.0072	0
NCGC00261495-01	-0.0071	0
NCGC00261053-01	-0.0071	0
NCGC00357068-01	-0.0071	0
NCGC00357119-01	-0.0071	0
NCGC00357173-01	-0.007	0
NCGC00260850-01	-0.0067	0
NCGC00357125-01	-0.0066	0
NCGC00261542-01	-0.0065	0
NCGC00261738-01	-0.0064	0
NCGC00357284-01	-0.0064	0
NCGC00261641-01	-0.0063	0
NCGC00356948-01	-0.0062	0
NCGC00357012-01	-0.0061	0
NCGC00357267-01	-0.006	0
NCGC00260785-01	-0.0058	0
NCGC00261510-01	-0.0056	0
NCGC00261246-01	-0.0056	0
NCGC00260957-01	-0.0055	0
NCGC00357051-01	-0.0055	0
NCGC00260707-01	-0.0053	0
NCGC00260889-01	-0.0052	0
NCGC00260881-01	-0.0051	0
NCGC00356994-01	-0.0051	0
NCGC00261313-01	-0.005	0
NCGC00261404-01	-0.005	0
NCGC00261627-01	-0.005	0
NCGC00260803-01	-0.0049	0
NCGC00357203-01	-0.0047	0
NCGC00357050-01	-0.0045	0
NCGC00261643-01	-0.0043	0
NCGC00356939-01	-0.0042	0
NCGC00260789-01	-0.0041	0
NCGC00357061-01	-0.0041	0
NCGC00357009-01	-0.0038	0
NCGC00357258-01	-0.0036	0
NCGC00357247-01	-0.0034	0
NCGC00357070-01	-0.0034	0
NCGC00260811-01	-0.0033	0
NCGC00357060-01	-0.0032	0
NCGC00357130-01	-0.0031	0
NCGC00357065-01	-0.0031	0
NCGC00261506-01	-0.0029	0
NCGC00356944-01	-0.0029	0
NCGC00357268-01	-0.0029	0
NCGC00357067-01	-0.0028	0
NCGC00260833-01	-0.0027	0
NCGC00357248-01	-0.0027	0
NCGC00357001-01	-0.0024	0
NCGC00260782-01	-0.0023	0
NCGC00261058-01	-0.0023	0
NCGC00357046-01	-0.0023	0
NCGC00357115-01	-0.002	0
NCGC00261141-01	-0.0019	0
NCGC00357053-01	-0.0019	0
NCGC00357039-01	-0.0019	0
NCGC00357198-01	-0.0017	0
NCGC00357048-01	-0.0017	0
NCGC00357095-01	-0.0016	0
NCGC00356985-01	-0.0015	0
NCGC00261165-01	-0.0014	0
NCGC00260728-01	-0.0014	0
NCGC00261349-01	-0.0014	0
NCGC00357187-01	-0.0014	0
NCGC00261261-01	-0.0013	0
NCGC00357084-01	-0.001	0
NCGC00357148-01	-0.001	0
NCGC00357181-01	-0.001	0
NCGC00357102-01	-0.0009	0
NCGC00260716-01	-0.0007	0
NCGC00357120-01	-0.0006	0
NCGC00356968-01	-0.0006	0
NCGC00357011-01	-0.0005	0
NCGC00357239-01	-0.0003	0
NCGC00356969-01	-0.0003	0
NCGC00357206-01	-0.0003	0
NCGC00357082-01	-0.0002	0
NCGC00357275-01	-0.0002	0
NCGC00261389-01	-0.0001	0
NCGC00357049-01	-0.0001	0
NCGC00357171-01	0	0
NCGC00357145-01	0	0
NCGC00357157-01	0	0
NCGC00357204-01	0	0
NCGC00356973-01	0	0
NCGC00357112-01	0	0
NCGC00357018-01	0	0
NCGC00357037-01	0	0
NCGC00357147-01	0	0
NCGC00357002-01	0	0
NCGC00356974-01	0	0
NCGC00356961-01	0	0
NCGC00356959-01	0	0
NCGC00357273-01	0	0
NCGC00357287-01	0	0
NCGC00357140-01	0	0
NCGC00357172-01	0	0
NCGC00357135-01	0	0
NCGC00356990-01	0	0
NCGC00357276-01	0	0
NCGC00357025-01	0	0
NCGC00357008-01	0	0
NCGC00356946-01	0	0
NCGC00357197-01	0	0
NCGC00357235-01	0	0
NCGC00357093-01	0	0
NCGC00261529-01	0.0001	0
NCGC00261958-01	0.0002	0
NCGC00357105-01	0.0002	0
NCGC00356966-01	0.0002	0
NCGC00260703-01	0.0003	0
NCGC00261578-01	0.0003	0
NCGC00357101-01	0.0003	0
NCGC00357285-01	0.0003	0
NCGC00356967-01	0.0004	0
NCGC00260698-01	0.0006	0
NCGC00261639-01	0.0006	0
NCGC00357118-01	0.0006	0
NCGC00260911-01	0.0009	0
NCGC00356940-01	0.001	0
NCGC00261470-01	0.0013	0
NCGC00357139-01	0.0013	0
NCGC00261838-01	0.0015	0
NCGC00357137-01	0.0019	0
NCGC00357144-01	0.0019	0
NCGC00261075-01	0.0022	0
NCGC00357006-01	0.0023	0
NCGC00357032-01	0.0023	0
NCGC00260790-01	0.0024	0
NCGC00357227-01	0.0024	0
NCGC00357029-01	0.0024	0
NCGC00261080-01	0.0025	0
NCGC00357015-01	0.0026	0
NCGC00261420-01	0.0027	0
NCGC00261840-01	0.0027	0
NCGC00357080-01	0.003	0
NCGC00260815-01	0.0032	0
NCGC00261672-01	0.0035	0
NCGC00261913-01	0.0035	0
NCGC00357143-01	0.0037	0
NCGC00357086-01	0.0038	0
NCGC00357016-01	0.0038	0
