Sample ID	Score	Activity
NCGC00261776-01	-1.809	0
NCGC00261380-01	-3.107	0
NCGC00261842-01	-1.368	0
NCGC00261662-01	-0.18	0
NCGC00261190-01	-2.268	0
NCGC00260731-01	-1.074	0
NCGC00261926-01	-1.905	0
NCGC00261579-01	-1.348	0
NCGC00260921-01	-1.567	0
NCGC00261119-01	-1.772	0
NCGC00261812-01	-0.372	0
NCGC00260831-01	-0.221	0
NCGC00261544-01	-0.253	0
NCGC00261619-01	-2.674	0
NCGC00261395-01	-0.215	0
NCGC00261717-01	4.698	1
NCGC00261947-01	3.452	1
NCGC00261424-01	9.884	1
NCGC00261861-01	0.334	1
NCGC00261924-01	0.293	1
NCGC00261026-01	-1.365	0
NCGC00261057-01	-1.886	0
NCGC00261738-01	-1.321	0
NCGC00261348-01	-1.277	0
NCGC00261503-01	-2.111	0
NCGC00260693-01	-1.895	0
NCGC00260703-01	-1.91	0
NCGC00260716-01	-0.442	0
NCGC00260782-01	-0.375	0
NCGC00260802-01	-0.27	0
NCGC00260823-01	1.316	1
NCGC00260757-01	-0.248	0
NCGC00260826-01	-0.193	0
NCGC00260889-01	-2.033	0
NCGC00260811-01	0.289	1
NCGC00261165-01	-1.16	0
NCGC00261060-01	-1.239	0
NCGC00261541-01	-0.455	0
NCGC00261649-01	-0.399	0
NCGC00261110-01	0.051	1
NCGC00261130-01	0.978	1
NCGC00260846-01	-2.063	0
NCGC00261030-01	-1.096	0
NCGC00261162-01	-0.959	0
NCGC00261058-01	0.362	1
NCGC00261404-01	0.078	1
NCGC00261423-01	-0.196	0
NCGC00261856-01	-0.915	0
NCGC00261342-01	4.74	1
NCGC00261069-01	-0.746	0
NCGC00261101-01	-1.265	0
NCGC00261716-01	-0.852	0
NCGC00260742-01	-1.396	0
NCGC00261529-01	-1.582	0
NCGC00261170-01	-1.946	0
NCGC00261565-01	-1.389	0
NCGC00260990-01	-1.547	0
NCGC00261340-01	-1.331	0
NCGC00261079-01	-1.978	0
NCGC00261389-01	-0.273	0
NCGC00261744-01	-1.347	0
NCGC00261420-01	-2.938	0
NCGC00261215-01	-1.429	0
NCGC00261826-01	-0.824	0
NCGC00261123-01	-1.2	0
NCGC00261367-01	-2.839	0
NCGC00261507-01	-3.57	0
NCGC00261169-01	-3.09	0
NCGC00261730-01	-2.078	0
NCGC00261624-01	-1.012	0
NCGC00261641-01	-1.08	0
NCGC00261853-01	-1.64	0
NCGC00260911-01	-1.599	0
NCGC00261384-01	-1.574	0
NCGC00260785-01	-0.503	0
NCGC00261025-01	-1.264	0
NCGC00260789-01	-2.357	0
NCGC00260866-01	-3.142	0
NCGC00261189-01	-2.158	0
NCGC00261270-01	-1.512	0
NCGC00261611-01	-1.228	0
NCGC00261817-01	-0.179	0
NCGC00261866-01	-0.752	0
NCGC00260852-01	-1.466	0
NCGC00261290-01	-1.393	0
NCGC00261304-01	-2.962	0
NCGC00261704-01	-2.257	0
NCGC00260850-01	-1.489	0
NCGC00260972-01	-0.586	0
NCGC00261392-01	-2.961	0
NCGC00261638-01	-0.841	0
NCGC00261820-01	-1.536	0
NCGC00261808-01	-1.399	0
NCGC00260790-01	-2.679	0
NCGC00260940-01	-0.978	0
NCGC00261081-01	-2.332	0
NCGC00261506-01	-2.869	0
NCGC00261133-01	-2.085	0
NCGC00261399-01	-1.94	0
NCGC00260696-01	-0.553	0
NCGC00261903-01	-1.664	0
NCGC00261178-01	-2.453	0
NCGC00261568-01	-3.056	0
NCGC00260830-01	-3.767	0
NCGC00261113-01	-1.947	0
NCGC00261327-01	-3.312	0
