Sample ID	Score	Activity
NCGC00260691	0.27467	0
NCGC00260692	0.12514	0
NCGC00260693	0.36737	0
NCGC00260696	0.25869	0
NCGC00260698	0.44373	0
NCGC00260703	0.35351	0
NCGC00260706	0.22541	0
NCGC00260707	0.46344	0
NCGC00260708	0.17888	0
NCGC00260713	0.48293	0
NCGC00260716	0.13086	0
NCGC00260728	0.12590	0
NCGC00260731	0.21520	0
NCGC00260742	0.52967	1
NCGC00260743	0.10715	0
NCGC00260751	0.11878	0
NCGC00260757	0.19775	0
NCGC00260770	0.12279	0
NCGC00260775	0.16325	0
NCGC00260782	0.36627	0
NCGC00260785	0.49820	0
NCGC00260789	0.45302	0
NCGC00260790	0.42320	0
NCGC00260795	0.39306	0
NCGC00260798	0.52082	1
NCGC00260802	0.25097	0
NCGC00260803	0.44047	0
NCGC00260811	0.39218	0
NCGC00260815	0.40255	0
NCGC00260817	0.11241	0
NCGC00260821	0.32177	0
NCGC00260822	0.45429	0
NCGC00260823	0.21947	0
NCGC00260826	0.25048	0
NCGC00260830	0.39875	0
NCGC00260831	0.48400	0
NCGC00260833	0.49569	0
NCGC00260834	0.45040	0
NCGC00260840	0.42414	0
NCGC00260846	0.13238	0
NCGC00260850	0.42421	0
NCGC00260852	0.26457	0
NCGC00260858	0.51837	1
NCGC00260866	0.26719	0
NCGC00260867	0.08677	0
NCGC00260869	0.34868	0
NCGC00260871	0.52698	1
NCGC00260875	0.29933	0
NCGC00260876	0.06741	0
NCGC00260881	0.13795	0
NCGC00260889	0.28413	0
NCGC00260890	0.24989	0
NCGC00260892	0.20940	0
NCGC00260910	0.34544	0
NCGC00260911	0.35350	0
NCGC00260921	0.45313	0
NCGC00260940	0.39977	0
NCGC00260947	0.40724	0
NCGC00260948	0.26996	0
NCGC00260957	0.34698	0
NCGC00260962	0.27507	0
NCGC00260972	0.36543	0
NCGC00260979	0.29691	0
NCGC00260980	0.40983	0
NCGC00260982	0.11474	0
NCGC00260990	0.41539	0
NCGC00260993	0.37195	0
NCGC00261003	0.37808	0
NCGC00261005	0.41862	0
NCGC00261007	0.35844	0
NCGC00261008	0.46207	0
NCGC00261009	0.35310	0
NCGC00261013	0.34601	0
NCGC00261018	0.41152	0
NCGC00261019	0.27285	0
NCGC00261025	0.29749	0
NCGC00261026	0.48114	0
NCGC00261028	0.27194	0
NCGC00261030	0.33980	0
NCGC00261037	0.27847	0
NCGC00261049	0.49657	0
NCGC00261052	0.27978	0
NCGC00261053	0.19324	0
NCGC00261057	0.36224	0
NCGC00261058	0.41143	0
NCGC00261060	0.36273	0
NCGC00261065	0.47716	0
NCGC00261071	0.33902	0
NCGC00261075	0.15242	0
NCGC00261076	0.30099	0
NCGC00261079	0.21557	0
NCGC00261080	0.50570	1
NCGC00261081	0.50574	1
NCGC00261085	0.13395	0
NCGC00261101	0.35825	0
NCGC00261108	0.26984	0
NCGC00261110	0.36042	0
NCGC00261113	0.26253	0
NCGC00261119	0.26187	0
NCGC00261123	0.28127	0
NCGC00261129	0.18712	0
NCGC00261130	0.42694	0
NCGC00261133	0.47375	0
NCGC00261141	0.30592	0
NCGC00261142	0.53230	1
NCGC00261146	0.13687	0
NCGC00261147	0.46288	0
NCGC00261150	0.19726	0
NCGC00261153	0.51183	1
NCGC00261155	0.42099	0
NCGC00261160	0.47734	0
NCGC00261161	0.16301	0
NCGC00261162	0.23132	0
NCGC00261163	0.68816	1
NCGC00261165	0.55498	1
NCGC00261166	0.42154	0
NCGC00261169	0.38419	0
