Sample ID	Score	Activity
NCGC00261900-01	0.145643649	1
NCGC00260869-01	0.009369225	0
NCGC00261776-01	0.009035113	0
NCGC00261380-01	0.009050126	0
NCGC00261842-01	0.008412142	0
NCGC00261662-01	0.009640856	0
NCGC00261190-01	0.009780449	0
NCGC00260731-01	0.008872437	0
NCGC00261926-01	0.008878339	0
NCGC00261579-01	0.008782640	0
NCGC00260921-01	0.010524518	0
NCGC00261119-01	0.008324137	0
NCGC00260957-01	0.009489383	0
NCGC00261812-01	0.009264481	0
NCGC00260831-01	0.010169527	0
NCGC00261544-01	0.007380289	0
NCGC00261619-01	0.008686732	0
NCGC00261633-01	0.008213614	0
NCGC00261395-01	0.008542308	0
NCGC00261717-01	0.148843111	1
NCGC00261947-01	0.075208146	1
NCGC00261424-01	0.230191105	1
NCGC00261861-01	0.009178125	0
NCGC00261924-01	0.009012568	0
NCGC00261052-01	0.009163114	0
NCGC00261683-01	0.009550680	0
NCGC00261026-01	0.016639127	1
NCGC00261057-01	0.008085299	0
NCGC00261738-01	0.007837261	0
NCGC00261348-01	0.008320937	0
NCGC00261503-01	0.008610744	0
NCGC00260693-01	0.008485423	0
NCGC00260703-01	0.008403447	0
NCGC00260716-01	0.008159605	0
NCGC00260782-01	0.008520860	0
NCGC00260802-01	0.007922641	0
NCGC00260823-01	0.008195655	0
NCGC00261313-01	0.007831118	0
NCGC00260757-01	0.008124094	0
NCGC00260826-01	0.008195126	0
NCGC00261005-01	0.008488018	0
NCGC00260980-01	0.009249447	0
NCGC00261816-01	0.008712891	0
NCGC00260698-01	0.009064270	0
NCGC00260889-01	0.008112698	0
NCGC00260811-01	0.008721492	0
NCGC00261165-01	0.008973735	0
NCGC00261060-01	0.008050675	0
NCGC00261541-01	0.008438283	0
NCGC00261649-01	0.007949402	0
NCGC00261110-01	0.008801782	0
NCGC00261130-01	0.009407693	0
NCGC00260846-01	0.008489088	0
NCGC00261030-01	0.009245578	0
NCGC00261162-01	0.008594218	0
NCGC00261058-01	0.008949660	0
NCGC00261404-01	0.008856006	0
NCGC00261423-01	0.008564365	0
NCGC00261856-01	0.008638989	0
NCGC00261342-01	0.102985944	1
NCGC00261935-01	0.008362731	0
NCGC00261069-01	0.010237346	0
NCGC00261101-01	0.008555994	0
NCGC00261183-01	0.008737453	0
NCGC00261716-01	0.007878955	0
NCGC00260742-01	0.007549916	0
NCGC00261529-01	0.008443151	0
NCGC00261170-01	0.008687596	0
NCGC00261565-01	0.009321212	0
NCGC00260990-01	0.009956223	0
NCGC00261340-01	0.008352551	0
NCGC00261079-01	0.008321016	0
NCGC00261389-01	0.008504203	0
NCGC00261744-01	0.009088878	0
NCGC00261420-01	0.008104273	0
NCGC00261215-01	0.009642942	0
NCGC00261826-01	0.008703460	0
NCGC00260706-01	0.008680749	0
NCGC00261123-01	0.008695045	0
NCGC00261367-01	0.008429274	0
NCGC00261507-01	0.008283613	0
NCGC00261169-01	0.008546397	0
NCGC00261730-01	0.008314866	0
NCGC00261624-01	0.008608777	0
NCGC00261641-01	0.008149185	0
NCGC00261853-01	0.009076994	0
NCGC00260911-01	0.009205169	0
NCGC00260798-01	0.010871003	0
NCGC00261384-01	0.008587681	0
NCGC00260785-01	0.010047496	0
NCGC00261597-01	0.008539155	0
NCGC00261025-01	0.008700765	0
NCGC00260789-01	0.008734053	0
NCGC00260866-01	0.009179787	0
NCGC00261189-01	0.007964648	0
NCGC00261270-01	0.010472405	0
NCGC00261611-01	0.008945375	0
NCGC00261160-01	0.011896372	0
NCGC00261085-01	0.008319090	0
NCGC00261817-01	0.008912979	0
NCGC00261866-01	0.008415233	0
NCGC00260852-01	0.008509241	0
NCGC00261290-01	0.008482719	0
NCGC00261304-01	0.008856940	0
NCGC00261704-01	0.009302961	0
NCGC00260850-01	0.008028356	0
NCGC00260972-01	0.008015841	0
NCGC00261364-01	0.008516875	0
NCGC00261392-01	0.008570492	0
NCGC00261638-01	0.008740681	0
NCGC00261820-01	0.008326159	0
NCGC00261808-01	0.009047370	0
NCGC00260790-01	0.008786310	0
NCGC00260940-01	0.009382513	0
NCGC00261081-01	0.008745919	0
NCGC00261506-01	0.009014977	0
NCGC00261133-01	0.008152521	0
NCGC00261399-01	0.008553077	0
NCGC00260696-01	0.009098376	0
NCGC00261903-01	0.008691298	0
NCGC00261178-01	0.009439904	0
NCGC00261568-01	0.008436144	0
NCGC00260830-01	0.008368767	0
NCGC00261113-01	0.008525224	0
NCGC00261327-01	0.008379063	0
NCGC00261602-01	0.008683919	0
NCGC00260858-01	0.013163742	0
NCGC00261071-01	0.010027678	0
NCGC00261076-01	0.008446283	0
NCGC00261192-01	0.008901714	0
NCGC00261495-01	0.008814188	0
NCGC00261577-01	0.009325766	0
NCGC00261510-01	0.008495835	0
NCGC00261679-01	0.008587066	0
NCGC00261941-01	0.009085235	0
NCGC00261343-01	0.009900362	0
NCGC00261607-01	0.008743757	0
NCGC00261782-01	0.008394729	0
NCGC00261914-01	0.008723578	0
NCGC00261475-01	0.008590486	0
NCGC00261764-01	0.009870711	0
NCGC00261802-01	0.008945270	0
NCGC00261813-01	0.008246634	0
NCGC00260795-01	0.008952052	0
NCGC00261352-01	0.009099316	0
NCGC00261009-01	0.008562675	0
NCGC00261944-01	0.008978042	0
NCGC00261166-01	0.009723649	0
NCGC00261332-01	0.009149152	0
NCGC00261333-01	0.009445286	0
NCGC00261260-01	0.013943991	0
NCGC00261915-01	0.008912977	0
NCGC00261238-01	0.009704868	0
NCGC00261682-01	0.009000520	0
NCGC00261049-01	0.008170708	0
NCGC00260910-01	0.007961742	0
NCGC00261272-01	0.008682945	0
NCGC00260708-01	0.008082795	0
NCGC00261390-01	0.007806486	0
NCGC00260948-01	0.008330204	0
NCGC00261840-01	0.008863940	0
NCGC00260881-01	0.007789184	0
NCGC00261153-01	0.011049366	0
NCGC00261406-01	0.007197868	0
NCGC00261053-01	0.008296177	0
NCGC00261129-01	0.008350778	0
NCGC00261381-01	0.008447037	0
NCGC00261426-01	0.010744379	0
NCGC00260979-01	0.009267060	0
NCGC00260993-01	0.010832745	0
NCGC00261108-01	0.008442010	0
NCGC00261441-01	0.008869360	0
NCGC00261877-01	0.008545427	0
NCGC00260815-01	0.009141128	0
NCGC00261542-01	0.008979392	0
NCGC00261958-01	0.008746372	0
NCGC00261787-01	0.009494762	0
NCGC00261065-01	0.010625568	0
NCGC00261804-01	0.024547500	1
NCGC00260875-01	0.009983762	0
NCGC00261451-01	0.008865806	0
NCGC00261739-01	0.008763564	0
NCGC00261948-01	0.009937985	0
NCGC00261382-01	0.009220512	0
NCGC00261663-01	0.008351852	0
NCGC00260892-01	0.008575658	0
NCGC00261297-01	0.008107722	0
NCGC00261321-01	0.008197088	0
NCGC00261446-01	0.008455546	0
NCGC00261474-01	0.008036249	0
NCGC00260834-01	0.009618747	0
NCGC00260840-01	0.009286842	0
NCGC00260947-01	0.009656744	0
NCGC00261080-01	0.009608317	0
NCGC00261563-01	0.009595341	0
NCGC00261873-01	0.009372621	0
NCGC00260803-01	0.010791194	0
NCGC00260833-01	0.012477279	0
NCGC00261008-01	0.008992753	0
NCGC00261155-01	0.008745155	0
NCGC00261643-01	0.009057137	0
NCGC00261037-01	0.008410176	0
NCGC00261126-01	0.009573433	0
NCGC00260871-01	0.009879187	0
NCGC00260713-01	0.009335912	0
NCGC00261487-01	0.011072126	0
NCGC00261545-01	0.007799416	0
NCGC00261480-01	0.008952370	0
NCGC00261838-01	0.008071067	0
NCGC00261627-01	0.008000703	0
NCGC00261639-01	0.008205249	0
NCGC00261177-01	0.008186786	0
NCGC00260692-01	0.008462555	0
NCGC00260775-01	0.008295795	0
NCGC00260876-01	0.008296150	0
NCGC00261598-01	0.008360714	0
NCGC00260707-01	0.007654309	0
NCGC00261554-01	0.008902563	0
NCGC00261713-01	0.008896721	0
NCGC00261737-01	0.018877198	1
NCGC00261882-01	0.009755010	0
NCGC00261933-01	0.141517749	1
NCGC00261201-01	0.009438249	0
