SampleID	Score	Activity
NCGC00261949	0.0193	0
NCGC00357083	0.0066	0
NCGC00260731	0.0228	0
NCGC00357288	0.0245	0
NCGC00357081	0.0262	0
NCGC00260982	0.0073	0
NCGC00260980	0.0316	0
NCGC00357068	0.0084	0
NCGC00357069	0.0061	0
NCGC00357060	0.0164	0
NCGC00357061	0.0066	0
NCGC00357063	0.0117	0
NCGC00357064	0.0109	0
NCGC00357065	0.0074	0
NCGC00357066	0.0070	0
NCGC00357067	0.0109	0
NCGC00260698	0.0261	0
NCGC00261866	0.0166	0
NCGC00357201	0.0103	0
NCGC00357202	0.0059	0
NCGC00357203	0.0157	0
NCGC00357204	0.0098	0
NCGC00357205	0.1589	0
NCGC00261860	0.0211	0
NCGC00261861	0.2337	0
NCGC00357208	0.0103	0
NCGC00357209	0.0113	0
NCGC00261906	0.0301	0
NCGC00261900	0.4063	0
NCGC00261903	0.0268	0
NCGC00261869	0.0106	0
NCGC00261510	0.0314	0
NCGC00357284	0.0259	0
NCGC00261519	0.0114	0
NCGC00260742	0.0326	0
NCGC00260743	0.0157	0
NCGC00357287	0.0090	0
NCGC00260890	0.0165	0
NCGC00260892	0.0229	0
NCGC00357020	0.0098	0
NCGC00357021	0.4046	0
NCGC00261349	0.0203	0
NCGC00261348	0.0205	0
NCGC00261343	0.0264	0
NCGC00261342	0.4279	0
NCGC00261340	0.0144	0
NCGC00261583	0.0192	0
NCGC00261582	0.2562	0
NCGC00261163	0.0325	0
NCGC00261162	0.0095	0
NCGC00261248	0.0105	0
NCGC00261160	0.0400	0
NCGC00261166	0.0321	0
NCGC00261165	0.0347	0
NCGC00261169	0.0265	0
NCGC00261313	0.0111	0
NCGC00261246	0.0138	0
NCGC00261649	0.0182	0
NCGC00260803	0.0306	0
NCGC00261643	0.0311	0
NCGC00261641	0.0160	0
NCGC00261764	0.0271	0
NCGC00261767	0.0270	0
NCGC00261882	0.0262	0
NCGC00357037	0.0097	0
NCGC00357036	0.0060	0
NCGC00357035	0.0079	0
NCGC00357034	0.0101	0
NCGC00357033	0.0110	0
NCGC00357032	0.0051	0
NCGC00261019	0.0176	0
NCGC00357030	0.0068	0
NCGC00261013	0.0143	0
NCGC00357156	0.0109	0
NCGC00357039	0.0068	0
NCGC00357038	0.0111	0
NCGC00357119	0.0072	0
NCGC00357151	0.0119	0
NCGC00260940	0.2306	0
NCGC00260947	0.0335	0
NCGC00260948	0.0121	0
NCGC00261085	0.0165	0
NCGC00357109	0.0195	0
NCGC00357108	0.0143	0
NCGC00261080	0.0135	0
NCGC00261081	0.0356	0
NCGC00357103	0.0062	0
NCGC00357102	0.0049	0
NCGC00357101	0.0050	0
NCGC00357100	0.0092	0
NCGC00357107	0.0051	0
NCGC00357106	0.0061	0
NCGC00357105	0.0058	0
NCGC00357104	0.0121	0
NCGC00260790	0.0248	0
NCGC00260795	0.0159	0
NCGC00357158	0.0061	0
NCGC00260798	0.2198	0
NCGC00261941	0.0239	0
NCGC00357088	0.0086	0
NCGC00357089	0.2771	0
NCGC00261944	0.0424	0
NCGC00261947	0.0555	0
NCGC00357082	0.0096	0
NCGC00261948	0.2496	0
NCGC00357080	0.0135	0
NCGC00261133	0.0242	0
NCGC00357086	0.0062	0
NCGC00357087	0.0164	0
NCGC00357084	0.0080	0
NCGC00357085	0.0092	0
NCGC00260708	0.0109	0
NCGC00260703	0.0154	0
NCGC00260706	0.0262	0
NCGC00260707	0.0259	0
NCGC00356959	0.0077	0
NCGC00356958	0.0180	0
NCGC00356953	0.0202	0
NCGC00356952	0.0132	0
NCGC00356951	0.0061	0
NCGC00356950	0.0190	0
NCGC00356957	0.0241	0
NCGC00356956	0.0263	0
NCGC00356955	0.0186	0
NCGC00356954	0.0072	0
NCGC00357257	0.0102	0
NCGC00261838	0.0232	0
NCGC00357259	0.0247	0
