Sample ID	Score	Activity
NCGC00261900-01	0.209867613	0
NCGC00260869-01	0.004511707	0
NCGC00261776-01	0.015749790	0
NCGC00261380-01	0.008948932	0
NCGC00261842-01	0.012100762	0
NCGC00261662-01	0.004150794	0
NCGC00261190-01	0.008904706	0
NCGC00260731-01	0.006359154	0
NCGC00261926-01	0.007672834	0
NCGC00261579-01	0.019651755	0
NCGC00260921-01	0.061041203	0
NCGC00261119-01	0.007363045	0
NCGC00260957-01	0.012612145	0
NCGC00261812-01	0.054868545	0
NCGC00260831-01	0.057606590	0
NCGC00261544-01	0.030697228	0
NCGC00261619-01	0.017830869	0
NCGC00261633-01	0.024240482	0
NCGC00261395-01	0.009601414	0
NCGC00261717-01	0.168066232	0
NCGC00261947-01	0.028928235	0
NCGC00261424-01	0.385901457	0
NCGC00261861-01	0.001095612	0
NCGC00261924-01	0.010328839	0
NCGC00261052-01	0.001585318	0
NCGC00261683-01	0.050710133	0
NCGC00261026-01	0.014585816	0
NCGC00261057-01	0.014171747	0
NCGC00261738-01	0.001713613	0
NCGC00261348-01	0.026488457	0
NCGC00261503-01	0.014254229	0
NCGC00260693-01	0.009084937	0
NCGC00260703-01	0.007893865	0
NCGC00260716-01	0.006605427	0
NCGC00260782-01	0.006285014	0
NCGC00260802-01	0.005971088	0
NCGC00260823-01	0.010427341	0
NCGC00261313-01	0.015844137	0
NCGC00260757-01	0.004334558	0
NCGC00260826-01	0.009151729	0
NCGC00261005-01	0.014446765	0
NCGC00260980-01	0.019524703	0
NCGC00261816-01	0.028267775	0
NCGC00260698-01	0.015536999	0
NCGC00260889-01	0.024042000	0
NCGC00260811-01	0.066336359	0
NCGC00261165-01	0.031697696	0
NCGC00261060-01	0.009365916	0
NCGC00261541-01	0.010567224	0
NCGC00261649-01	0.007092358	0
NCGC00261110-01	0.025543769	0
NCGC00261130-01	0.030086293	0
NCGC00260846-01	0.012360158	0
NCGC00261030-01	0.006460236	0
NCGC00261162-01	0.002563741	0
NCGC00261058-01	0.008746379	0
NCGC00261404-01	0.028444272	0
NCGC00261423-01	0.003742930	0
NCGC00261856-01	0.004113538	0
