Sample ID	Score	Activity
NCGC00261900-01	0.026133577	1
NCGC00260869-01	0.009000500	0
NCGC00261776-01	0.010331903	0
NCGC00261380-01	0.008735050	0
NCGC00261842-01	0.008056214	0
NCGC00261662-01	0.009581755	0
NCGC00261190-01	0.009525584	0
NCGC00260731-01	0.008077097	0
NCGC00261926-01	0.008887548	0
NCGC00261579-01	0.007933941	0
NCGC00260921-01	0.009457681	0
NCGC00261119-01	0.008062605	0
NCGC00260957-01	0.009716851	0
NCGC00261812-01	0.008925611	0
NCGC00260831-01	0.009067558	0
NCGC00261544-01	0.007816777	0
NCGC00261619-01	0.008180852	0
NCGC00261633-01	0.007627506	0
NCGC00261395-01	0.008171205	0
NCGC00261717-01	0.090170551	1
NCGC00261947-01	0.035739217	1
NCGC00261424-01	0.176317879	1
NCGC00261861-01	0.007546911	0
NCGC00261924-01	0.008470711	0
NCGC00261052-01	0.009265313	0
NCGC00261683-01	0.009508705	0
NCGC00261026-01	0.008960224	0
NCGC00261057-01	0.008085870	0
NCGC00261738-01	0.007809410	0
NCGC00261348-01	0.008303881	0
NCGC00261503-01	0.008938811	0
NCGC00260693-01	0.008562946	0
NCGC00260703-01	0.008214967	0
NCGC00260716-01	0.007832788	0
NCGC00260782-01	0.009461826	0
NCGC00260802-01	0.007731884	0
NCGC00260823-01	0.007959247	0
NCGC00261313-01	0.007730603	0
NCGC00260757-01	0.008441076	0
NCGC00260826-01	0.007967867	0
NCGC00261005-01	0.008434755	0
NCGC00260980-01	0.009868753	0
NCGC00261816-01	0.008764250	0
NCGC00260698-01	0.009024736	0
NCGC00260889-01	0.008013353	0
NCGC00260811-01	0.009104360	0
NCGC00261165-01	0.008810588	0
NCGC00261060-01	0.008080686	0
NCGC00261541-01	0.008382494	0
NCGC00261649-01	0.008026474	0
NCGC00261110-01	0.011157107	0
NCGC00261130-01	0.009145417	0
NCGC00260846-01	0.008204178	0
NCGC00261030-01	0.009651031	0
NCGC00261162-01	0.008675002	0
NCGC00261058-01	0.008848185	0
NCGC00261404-01	0.009122631	0
NCGC00261423-01	0.009325771	0
NCGC00261856-01	0.008480264	0
NCGC00261342-01	0.027407521	1
NCGC00261935-01	0.008236048	0
NCGC00261069-01	0.015401167	0
NCGC00261101-01	0.008931637	0
NCGC00261183-01	0.008555955	0
NCGC00261716-01	0.008407746	0
NCGC00260742-01	0.009352607	0
NCGC00261529-01	0.008238686	0
NCGC00261170-01	0.008860501	0
NCGC00261565-01	0.008757801	0
NCGC00260990-01	0.008470978	0
NCGC00261340-01	0.007896600	0
NCGC00261079-01	0.007986918	0
NCGC00261389-01	0.008301158	0
NCGC00261744-01	0.008990723	0
NCGC00261420-01	0.008608096	0
NCGC00261215-01	0.008676400	0
NCGC00261826-01	0.008109849	0
NCGC00260706-01	0.008585225	0
NCGC00261123-01	0.008253224	0
NCGC00261367-01	0.008465211	0
NCGC00261507-01	0.008255621	0
NCGC00261169-01	0.007799974	0
NCGC00261730-01	0.008904805	0
NCGC00261624-01	0.008776821	0
NCGC00261641-01	0.007997120	0
NCGC00261853-01	0.009022170	0
NCGC00260911-01	0.008732794	0
NCGC00260798-01	0.010129004	0
NCGC00261384-01	0.008289979	0
NCGC00260785-01	0.009728397	0
NCGC00261597-01	0.009055167	0
NCGC00261025-01	0.008691328	0
NCGC00260789-01	0.009519233	0
NCGC00260866-01	0.009147096	0
NCGC00261189-01	0.007743738	0
NCGC00261270-01	0.008142689	0
NCGC00261611-01	0.008834196	0
NCGC00261160-01	0.008332932	0
NCGC00261085-01	0.008671257	0
NCGC00261817-01	0.008892196	0
NCGC00261866-01	0.009033038	0
NCGC00260852-01	0.009280502	0
NCGC00261290-01	0.009421454	0
NCGC00261304-01	0.009000821	0
NCGC00261704-01	0.008473927	0
NCGC00260850-01	0.008425408	0
NCGC00260972-01	0.007867973	0
NCGC00261364-01	0.008924707	0
NCGC00261392-01	0.009245674	0
NCGC00261638-01	0.008527076	0
NCGC00261820-01	0.008054445	0
NCGC00261808-01	0.009148864	0
NCGC00260790-01	0.008774525	0
NCGC00260940-01	0.010877794	0
NCGC00261081-01	0.009821735	0
NCGC00261506-01	0.008457415	0
NCGC00261133-01	0.008155879	0
NCGC00261399-01	0.008760528	0
NCGC00260696-01	0.008303274	0
NCGC00261903-01	0.007572156	0
NCGC00261178-01	0.011550192	0
NCGC00261568-01	0.008120974	0
NCGC00260830-01	0.008640616	0
NCGC00261113-01	0.011929203	0
NCGC00261327-01	0.008251589	0
NCGC00261602-01	0.009787518	0
NCGC00260858-01	0.009079667	0
NCGC00261071-01	0.009060830	0
NCGC00261076-01	0.010309819	0
NCGC00261192-01	0.010688136	0
NCGC00261495-01	0.012514697	0
NCGC00261577-01	0.010567388	0
NCGC00261510-01	0.009309090	0
NCGC00261679-01	0.009484301	0
NCGC00261941-01	0.009470586	0
NCGC00261343-01	0.008784537	0
NCGC00261607-01	0.009224743	0
NCGC00261782-01	0.008792453	0
NCGC00261914-01	0.009098543	0
NCGC00261475-01	0.009837613	0
NCGC00261764-01	0.009682441	0
NCGC00261802-01	0.009152824	0
NCGC00261813-01	0.009043523	0
NCGC00260795-01	0.008096800	0
NCGC00261352-01	0.009009342	0
NCGC00261009-01	0.010030392	0
NCGC00261944-01	0.008730447	0
NCGC00261166-01	0.009037969	0
NCGC00261332-01	0.010014618	0
NCGC00261333-01	0.009919939	0
NCGC00261260-01	0.008780704	0
NCGC00261915-01	0.008566334	0
NCGC00261238-01	0.008814249	0
NCGC00261682-01	0.009506315	0
NCGC00261049-01	0.008697768	0
NCGC00260910-01	0.007873737	0
NCGC00261272-01	0.009833661	0
NCGC00260708-01	0.008369152	0
NCGC00261390-01	0.007521408	0
NCGC00260948-01	0.008217992	0
NCGC00261840-01	0.009099795	0
NCGC00260881-01	0.007641478	0
NCGC00261153-01	0.011697495	0
NCGC00261406-01	0.006884835	0
NCGC00261053-01	0.008372820	0
NCGC00261129-01	0.008209382	0
NCGC00261381-01	0.008676812	0
NCGC00261426-01	0.009794353	0
NCGC00260979-01	0.008082009	0
NCGC00260993-01	0.008941198	0
NCGC00261108-01	0.007697015	0
NCGC00261441-01	0.008620304	0
NCGC00261877-01	0.008808674	0
NCGC00260815-01	0.008761546	0
NCGC00261542-01	0.009564853	0
NCGC00261958-01	0.009348603	0
NCGC00261787-01	0.009386997	0
NCGC00261065-01	0.008448213	0
NCGC00261804-01	0.011340776	0
NCGC00260875-01	0.010333853	0
NCGC00261451-01	0.010350384	0
NCGC00261739-01	0.010058884	0
NCGC00261948-01	0.011789427	0
NCGC00261382-01	0.009099023	0
NCGC00261663-01	0.009297427	0
NCGC00260892-01	0.007854019	0
NCGC00261297-01	0.007906870	0
NCGC00261321-01	0.007805042	0
NCGC00261446-01	0.008604733	0
NCGC00261474-01	0.007748938	0
NCGC00260834-01	0.009858957	0
NCGC00260840-01	0.008885962	0
NCGC00260947-01	0.008511536	0
NCGC00261080-01	0.011297876	0
NCGC00261563-01	0.009276075	0
NCGC00261873-01	0.010016516	0
NCGC00260803-01	0.008411507	0
NCGC00260833-01	0.008335521	0
NCGC00261008-01	0.008013119	0
NCGC00261155-01	0.008011324	0
NCGC00261643-01	0.008329411	0
NCGC00261037-01	0.008457145	0
NCGC00261126-01	0.009609195	0
NCGC00260871-01	0.009443656	0
NCGC00260713-01	0.010774128	0
NCGC00261487-01	0.011445774	0
NCGC00261545-01	0.008457884	0
NCGC00261480-01	0.008470406	0
NCGC00261838-01	0.007755418	0
NCGC00261627-01	0.007823137	0
