Sample ID	Score	Activity
NCGC00261900-01	0.026355515	1
NCGC00260869-01	0.000084344	0
NCGC00261776-01	0.000101139	0
NCGC00261380-01	0.000074514	0
NCGC00261842-01	0.000063461	0
NCGC00261662-01	0.000110417	0
NCGC00261190-01	0.000084679	0
NCGC00260731-01	0.000067028	0
NCGC00261926-01	0.000087191	0
NCGC00261579-01	0.000064401	0
NCGC00260921-01	0.000105563	0
NCGC00261119-01	0.000058289	0
NCGC00260957-01	0.000108291	0
NCGC00261812-01	0.000087651	0
NCGC00260831-01	0.000084679	0
NCGC00261544-01	0.000064042	0
NCGC00261619-01	0.000069084	0
NCGC00261633-01	0.000059363	0
NCGC00261395-01	0.000081113	0
NCGC00261717-01	0.003432926	1
NCGC00261947-01	0.001634176	1
NCGC00261424-01	0.164565626	1
NCGC00261861-01	0.000096382	0
NCGC00261924-01	0.000077447	0
NCGC00261052-01	0.000079576	0
NCGC00261683-01	0.000086617	0
NCGC00261026-01	0.000162608	0
NCGC00261057-01	0.000059022	0
NCGC00261738-01	0.000061129	0
NCGC00261348-01	0.000066135	0
NCGC00261503-01	0.000070450	0
NCGC00260693-01	0.000068587	0
NCGC00260703-01	0.000063395	0
NCGC00260716-01	0.000059622	0
NCGC00260782-01	0.000059088	0
NCGC00260802-01	0.000062892	0
NCGC00260823-01	0.000062733	0
NCGC00261313-01	0.000057348	0
NCGC00260757-01	0.000064560	0
NCGC00260826-01	0.000061178	0
NCGC00261005-01	0.000064294	0
NCGC00260980-01	0.000082251	0
NCGC00261816-01	0.000085308	0
NCGC00260698-01	0.000075781	0
NCGC00260889-01	0.000059310	0
NCGC00260811-01	0.000091040	0
NCGC00261165-01	0.000068923	0
NCGC00261060-01	0.000059230	0
NCGC00261541-01	0.000058997	0
NCGC00261649-01	0.000060029	0
NCGC00261110-01	0.000107851	0
NCGC00261130-01	0.000101365	0
NCGC00260846-01	0.000059453	0
NCGC00261030-01	0.000081336	0
NCGC00261162-01	0.000063363	0
NCGC00261058-01	0.000076051	0
NCGC00261404-01	0.000087435	0
NCGC00261423-01	0.000075373	0
NCGC00261856-01	0.000069186	0
NCGC00261342-01	0.007470173	1
NCGC00261935-01	0.000059190	0
NCGC00261069-01	0.000151039	0
NCGC00261101-01	0.000073605	0
NCGC00261183-01	0.000068571	0
NCGC00261716-01	0.000069319	0
NCGC00260742-01	0.000076518	0
NCGC00261529-01	0.000078107	0
NCGC00261170-01	0.000084977	0
NCGC00261565-01	0.000088201	0
NCGC00260990-01	0.000087186	0
NCGC00261340-01	0.000063800	0
NCGC00261079-01	0.000076238	0
NCGC00261389-01	0.000068449	0
NCGC00261744-01	0.000076652	0
NCGC00261420-01	0.000069455	0
