Sample ID	Score	Activity
NCGC00261933-01	0.8308006193	1
NCGC00261900-01	0.8288100565	1
NCGC00357149-01	0.8167985287	1
NCGC00261653-01	0.7915283205	1
NCGC00261717-01	0.7734866635	1
NCGC00261601-01	0.7476543348	1
NCGC00261947-01	0.7438629879	1
NCGC00357021-01	0.7271827887	1
NCGC00261424-01	0.7252242986	1
NCGC00261545-01	0.7181489644	1
NCGC00261153-01	0.7168585362	1
NCGC00261333-01	0.7132539581	1
NCGC00261582-01	0.7030542324	1
NCGC00261026-01	0.6986049996	1
NCGC00261487-01	0.6858185032	1
NCGC00261398-01	0.6834254704	1
NCGC00356993-01	0.6824584116	1
NCGC00261342-01	0.677936808	1
NCGC00261682-01	0.6778297622	1
NCGC00357007-01	0.6771456069	1
NCGC00261737-01	0.6636643818	1
NCGC00261804-01	0.6587484466	1
NCGC00356946-01	0.6569192066	1
NCGC00261343-01	0.6564190435	1
NCGC00261382-01	0.6469845983	1
NCGC00261577-01	0.6468685641	1
NCGC00357289-01	0.6464565599	1
NCGC00357280-01	0.6442903726	1
NCGC00261049-01	0.641015807	1
NCGC00261395-01	0.6380105537	0
NCGC00261948-01	0.6379847468	0
NCGC00261192-01	0.6373924505	0
NCGC00260815-01	0.6366028965	0
NCGC00261238-01	0.6302777365	0
NCGC00357134-01	0.6294685024	0
NCGC00260980-01	0.6283697035	0
NCGC00261776-01	0.6188572666	0
NCGC00356957-01	0.6162779363	0
NCGC00260713-01	0.6142451028	0
NCGC00261426-01	0.6134819026	0
NCGC00260834-01	0.6115998651	0
NCGC00261008-01	0.6098512512	0
NCGC00261619-01	0.6088680643	0
NCGC00261381-01	0.6060182953	0
NCGC00261009-01	0.604536919	0
NCGC00261739-01	0.6007795432	0
NCGC00261563-01	0.5986644435	0
NCGC00260947-01	0.5981225902	0
NCGC00356948-01	0.597563354	0
NCGC00261944-01	0.5960850289	0
NCGC00260869-01	0.5948056227	0
NCGC00261451-01	0.5946064236	0
NCGC00261607-01	0.5929428528	0
NCGC00261802-01	0.5927024967	0
NCGC00356992-01	0.5917080536	0
NCGC00261475-01	0.5899448543	0
NCGC00261813-01	0.5896575483	0
NCGC00261101-01	0.5844765171	0
NCGC00261352-01	0.5842888292	0
NCGC00261142-01	0.5836118925	0
NCGC00261441-01	0.5790469711	0
NCGC00261958-01	0.5785817585	0
NCGC00357118-01	0.5768588836	0
NCGC00261304-01	0.5766242246	0
NCGC00261160-01	0.5733348871	0
NCGC00357271-01	0.5729005309	0
NCGC00261080-01	0.5688679366	0
NCGC00261190-01	0.5684103265	0
NCGC00261808-01	0.5625313009	0
NCGC00261782-01	0.5614845115	0
NCGC00261597-01	0.5604646338	0
NCGC00261399-01	0.5601678757	0
NCGC00261076-01	0.5582806702	0
NCGC00261065-01	0.5560569582	0
NCGC00261873-01	0.5543877925	0
NCGC00261178-01	0.5538998782	0
NCGC00260830-01	0.5533091066	0
NCGC00260871-01	0.5524759162	0
NCGC00261332-01	0.5521890527	0
NCGC00261638-01	0.5483617674	0
NCGC00261420-01	0.5478037825	0
NCGC00261914-01	0.5448887925	0
NCGC00357089-01	0.5440181436	0
NCGC00261071-01	0.543833049	0
NCGC00357029-01	0.5423406205	0
NCGC00261643-01	0.5414327932	0
NCGC00261506-01	0.5413522355	0
NCGC00357011-01	0.5400640325	0
NCGC00261081-01	0.5391178718	0
NCGC00357111-01	0.5371509453	0
NCGC00261166-01	0.534697079	0
NCGC00260822-01	0.5345205561	0
NCGC00261602-01	0.5325060619	0
NCGC00261057-01	0.5322481757	0
NCGC00357180-01	0.5322158057	0
NCGC00357001-01	0.5322150783	0
NCGC00261882-01	0.5304671825	0
NCGC00357014-01	0.5294887855	0
NCGC00261189-01	0.5283287695	0
NCGC00261713-01	0.5279960205	0
NCGC00260795-01	0.5279411372	0
NCGC00357062-01	0.5268832414	0
NCGC00261392-01	0.5267497712	0
NCGC00261003-01	0.526241901	0
NCGC00261260-01	0.5260749025	0
NCGC00261201-01	0.5249820072	0
NCGC00261069-01	0.5248478969	0
NCGC00261155-01	0.5237967423	0
NCGC00356947-01	0.5234701087	0
NCGC00260892-01	0.5225122977	0
NCGC00261165-01	0.5223812935	0
NCGC00261113-01	0.5210208976	0
NCGC00261030-01	0.5209337971	0
NCGC00261510-01	0.5206967381	0
NCGC00260921-01	0.5204892352	0
NCGC00261744-01	0.5203243798	0
NCGC00261544-01	0.5198483904	0
NCGC00357012-01	0.5193621256	0
NCGC00261384-01	0.5191043663	0
NCGC00260706-01	0.5188248591	0
NCGC00260840-01	0.5183924015	0
NCGC00260803-01	0.5183505523	0
NCGC00261327-01	0.517554685	0
NCGC00261738-01	0.5173001935	0
NCGC00260940-01	0.5169289192	0
NCGC00261812-01	0.5161104042	0
NCGC00357072-01	0.5161104042	0
NCGC00260875-01	0.5155587299	0
NCGC00261903-01	0.5138969172	0
NCGC00261641-01	0.5124906004	0
NCGC00260833-01	0.5121451726	0
NCGC00261787-01	0.5116111128	0
NCGC00260785-01	0.5107277182	0
NCGC00260993-01	0.510625053	0
NCGC00357164-01	0.5105224645	0
NCGC00261389-01	0.5094218666	0
NCGC00356990-01	0.5081874792	0
NCGC00356997-01	0.5077023965	0
NCGC00260789-01	0.5071938192	0
NCGC00357081-01	0.5060091572	0
NCGC00261915-01	0.5055786623	0
NCGC00357208-01	0.5050277889	0
NCGC00357099-01	0.5050277889	0
NCGC00261110-01	0.5040649836	0
NCGC00261593-01	0.5025973319	0
NCGC00261163-01	0.502390324	0
NCGC00261058-01	0.501531016	0
NCGC00261817-01	0.5004091256	0
NCGC00261833-01	0.4995240845	0
NCGC00261130-01	0.4993065673	0
NCGC00357259-01	0.4991626695	0
NCGC00261215-01	0.4982053093	0
NCGC00357227-01	0.4980880516	0
NCGC00261579-01	0.4979689855	0
NCGC00357237-01	0.4977554996	0
NCGC00261119-01	0.4965937577	0
NCGC00261816-01	0.4952308949	0
NCGC00261568-01	0.4947030724	0
NCGC00357170-01	0.4904881218	0
NCGC00261404-01	0.4901895299	0
NCGC00260979-01	0.490005092	0
NCGC00261495-01	0.4892745129	0
NCGC00261820-01	0.4866947245	0
NCGC00357004-01	0.4835720567	0
NCGC00356982-01	0.4825383331	0
NCGC00357123-01	0.4824926466	0
NCGC00261624-01	0.4821104273	0
NCGC00356998-01	0.4820443882	0
NCGC00357013-01	0.4810192464	0
NCGC00261108-01	0.4802447539	0
NCGC00260957-01	0.4795313547	0
NCGC00260831-01	0.4788328629	0
NCGC00261367-01	0.4784162658	0
NCGC00357219-01	0.4751489651	0
NCGC00261861-01	0.4727740005	0
NCGC00357251-01	0.4727740005	0
NCGC00356955-01	0.4725180287	0
NCGC00261716-01	0.4704179707	0
NCGC00356943-01	0.4703619052	0
NCGC00260911-01	0.470172733	0
NCGC00261860-01	0.4670505921	0
NCGC00261611-01	0.4668222525	0
NCGC00357175-01	0.466374568	0
NCGC00261272-01	0.4663526761	0
NCGC00261926-01	0.4660476026	0
NCGC00261480-01	0.461774712	0
NCGC00260850-01	0.4598563475	0
NCGC00357284-01	0.4593589314	0
NCGC00261248-01	0.458264241	0
NCGC00357221-01	0.4582385643	0
NCGC00356976-01	0.4580107855	0
NCGC00357010-01	0.4577672222	0
NCGC00260990-01	0.4575046759	0
NCGC00357112-01	0.4570488748	0
NCGC00261683-01	0.4559918496	0
NCGC00261693-01	0.4547737858	0
NCGC00261446-01	0.4543409779	0
NCGC00260811-01	0.4540436907	0
NCGC00261565-01	0.4538808339	0
NCGC00260889-01	0.4538266502	0
NCGC00260972-01	0.4533475398	0
NCGC00260707-01	0.4518611794	0
NCGC00357003-01	0.4516816129	0
NCGC00261133-01	0.4505647864	0
NCGC00261877-01	0.4498546107	0
NCGC00261939-01	0.4494288965	0
NCGC00261169-01	0.4494195246	0
NCGC00260798-01	0.4491633505	0
NCGC00261663-01	0.4485552333	0
NCGC00261752-01	0.4477414887	0
NCGC00357087-01	0.447518453	0
NCGC00261079-01	0.447329301	0
NCGC00261941-01	0.4471275575	0
NCGC00260866-01	0.4454910541	0
NCGC00261679-01	0.4438871106	0
NCGC00356974-01	0.4418824265	0
NCGC00261406-01	0.4412349257	0
NCGC00261826-01	0.4406752512	0
NCGC00356953-01	0.4391119267	0
NCGC00261764-01	0.4388705852	0
NCGC00357132-01	0.4382640519	0
NCGC00260742-01	0.4359607412	0
NCGC00260698-01	0.4352884289	0
NCGC00357262-01	0.4296756681	0
NCGC00261037-01	0.4289094024	0
NCGC00260858-01	0.4286409088	0
NCGC00260782-01	0.4277424842	0
NCGC00357005-01	0.4267609721	0
NCGC00357148-01	0.4262898924	0
NCGC00357056-01	0.4247666841	0
NCGC00261704-01	0.4230174245	0
NCGC00261141-01	0.420285235	0
NCGC00260910-01	0.4194271783	0
NCGC00261007-01	0.4176871849	0
NCGC00261828-01	0.4174741554	0
NCGC00261921-01	0.4160302213	0
NCGC00357238-01	0.4156273759	0
NCGC00260731-01	0.4154062894	0
NCGC00261297-01	0.4153868139	0
NCGC00261529-01	0.4142679308	0
NCGC00261060-01	0.4139970775	0
NCGC00261019-01	0.4119780563	0
NCGC00357017-01	0.4095874593	0
NCGC00261838-01	0.4095329449	0
NCGC00261123-01	0.4091040214	0
NCGC00357000-01	0.4080639591	0
NCGC00356956-01	0.4075930036	0
NCGC00357249-01	0.407415727	0
NCGC00261293-01	0.4071925383	0
NCGC00357046-01	0.4068114143	0
NCGC00261869-01	0.4060349499	0
NCGC00261018-01	0.4052204994	0
NCGC00357172-01	0.4044280404	0
NCGC00261620-01	0.4015114683	0
NCGC00357255-01	0.3971541749	0
NCGC00357203-01	0.3971457877	0
NCGC00261913-01	0.3967225993	0
NCGC00260846-01	0.3964496714	0
NCGC00357174-01	0.3959867584	0
NCGC00357047-01	0.3956843897	0
NCGC00261025-01	0.3940726426	0
NCGC00357253-01	0.3939507117	0
NCGC00357090-01	0.3932761769	0
NCGC00357109-01	0.3930337093	0
NCGC00357206-01	0.3927129357	0
NCGC00261649-01	0.3927051924	0
NCGC00357220-01	0.3921833881	0
NCGC00261767-01	0.3921743954	0
NCGC00356984-01	0.3920298885	0
NCGC00261730-01	0.3920112149	0
NCGC00261691-01	0.3903795732	0
NCGC00357019-01	0.3892084552	0
NCGC00261916-01	0.3882786418	0
NCGC00356999-01	0.3882303267	0
NCGC00261910-01	0.3862632955	0
NCGC00357205-01	0.3859751755	0
NCGC00261842-01	0.3858127857	0
NCGC00261554-01	0.3857770828	0
NCGC00261542-01	0.3831094225	0
NCGC00356965-01	0.382560179	0
NCGC00261183-01	0.3790649751	0
NCGC00356991-01	0.3779824819	0
NCGC00261364-01	0.3772474333	0
NCGC00356986-01	0.3763855385	0
NCGC00261053-01	0.3757380797	0
NCGC00261541-01	0.3745079922	0
NCGC00261507-01	0.3740133757	0
NCGC00261473-01	0.3707041386	0
NCGC00261270-01	0.3705921621	0
NCGC00357110-01	0.3702143917	0
NCGC00357082-01	0.3700736678	0
NCGC00357211-01	0.3698262768	0
NCGC00260890-01	0.3681804706	0
NCGC00261639-01	0.3666827674	0
NCGC00357283-01	0.3660946947	0
NCGC00261336-01	0.3645934106	0
NCGC00261380-01	0.3639482338	0
NCGC00261170-01	0.3636308767	0
NCGC00356950-01	0.361653109	0
NCGC00357030-01	0.3600251567	0
NCGC00261290-01	0.3590406049	0
NCGC00357178-01	0.3576899681	0
NCGC00357275-01	0.356230078	0
NCGC00357117-01	0.3550074232	0
NCGC00261824-01	0.3543771573	0
NCGC00261150-01	0.3541819962	0
NCGC00357288-01	0.3533035414	0
NCGC00357057-01	0.3532504201	0
NCGC00357002-01	0.351368429	0
NCGC00260852-01	0.3500765616	0
NCGC00261853-01	0.3487879222	0
NCGC00357116-01	0.348422104	0
NCGC00261085-01	0.3473521691	0
NCGC00357177-01	0.3468318629	0
NCGC00357210-01	0.3466062885	0
NCGC00261583-01	0.346076578	0
NCGC00261321-01	0.345863743	0
NCGC00261286-01	0.3456329646	0
NCGC00261349-01	0.344973732	0
NCGC00356989-01	0.3417734991	0
NCGC00261825-01	0.3412985952	0
NCGC00261866-01	0.3406002968	0
NCGC00261935-01	0.3405459498	0
NCGC00357196-01	0.3400290225	0
NCGC00261129-01	0.339679628	0
NCGC00357145-01	0.3388687254	0
NCGC00261162-01	0.3387244908	0
NCGC00261126-01	0.3386395408	0
NCGC00261662-01	0.3382919038	0
NCGC00260691-01	0.3375264442	0
NCGC00260962-01	0.3364210635	0
NCGC00261949-01	0.3355012255	0
NCGC00357252-01	0.334066195	0
NCGC00261052-01	0.332807226	0
NCGC00261340-01	0.3317449792	0
NCGC00357097-01	0.3313877977	0
NCGC00357034-01	0.3293754131	0
NCGC00356940-01	0.3285005315	0
NCGC00357217-01	0.3284147597	0
NCGC00261013-01	0.3276875337	0
NCGC00261147-01	0.3273398156	0
NCGC00261519-01	0.3273226506	0
NCGC00357154-01	0.3272107647	0
NCGC00260790-01	0.3261639277	0
NCGC00357142-01	0.3234872927	0
NCGC00261906-01	0.3216051067	0
NCGC00357286-01	0.3207150527	0
NCGC00357128-01	0.3200105305	0
NCGC00261161-01	0.3197756362	0
NCGC00357165-01	0.3186696732	0
NCGC00357188-01	0.3182713666	0
NCGC00261177-01	0.3178940869	0
NCGC00357026-01	0.3169976601	0
NCGC00357223-01	0.3160896437	0
NCGC00357263-01	0.3158426582	0
NCGC00357256-01	0.3151858423	0
NCGC00261924-01	0.3145677862	0
NCGC00357199-01	0.3143137919	0
NCGC00356942-01	0.3130916856	0
NCGC00261330-01	0.3127956025	0
NCGC00357169-01	0.3122877869	0
NCGC00357063-01	0.312041286	0
NCGC00261686-01	0.3116613744	0
NCGC00357181-01	0.3107485866	0
NCGC00356977-01	0.3107075477	0
NCGC00261470-01	0.309058752	0
NCGC00260770-01	0.308783966	0
NCGC00357054-01	0.3082123286	0
NCGC00357073-01	0.3076006758	0
NCGC00260821-01	0.306071086	0
NCGC00261261-01	0.3048338428	0
NCGC00357282-01	0.3046917821	0
NCGC00261254-01	0.3037588131	0
NCGC00357058-01	0.30308967	0
NCGC00261028-01	0.3030562896	0
NCGC00357049-01	0.3030084998	0
NCGC00356980-01	0.3014662047	0
NCGC00260802-01	0.3011691936	0
NCGC00357285-01	0.3000811214	0
NCGC00357122-01	0.296323987	0
NCGC00356949-01	0.2955119101	0
NCGC00357201-01	0.292997288	0
NCGC00356981-01	0.292794339	0
NCGC00261503-01	0.2890433095	0
NCGC00357160-01	0.2888398987	0
NCGC00261005-01	0.2888215036	0
NCGC00356945-01	0.288480449	0
NCGC00356968-01	0.2877575766	0
NCGC00356988-01	0.2869377184	0
NCGC00357124-01	0.2863017389	0
NCGC00357043-01	0.2861089313	0
NCGC00357083-01	0.2860863733	0
NCGC00261474-01	0.2849628342	0
NCGC00357155-01	0.2847995787	0
NCGC00356975-01	0.2841415653	0
NCGC00260696-01	0.2834776442	0
NCGC00261423-01	0.2833634717	0
NCGC00260757-01	0.28322943	0
NCGC00356958-01	0.2828170983	0
NCGC00357230-01	0.2818227516	0
NCGC00260948-01	0.279142094	0
NCGC00357119-01	0.2789554281	0
NCGC00261313-01	0.2755420823	0
NCGC00260693-01	0.2753971319	0
NCGC00261294-01	0.2753207344	0
NCGC00357183-01	0.275286165	0
NCGC00356970-01	0.2751969659	0
NCGC00261633-01	0.2749603933	0
NCGC00260692-01	0.2739614948	0
NCGC00357051-01	0.273898452	0
NCGC00357136-01	0.2728893546	0
NCGC00357216-01	0.2719721224	0
NCGC00357146-01	0.2714273365	0
NCGC00356939-01	0.2706923807	0
NCGC00357028-01	0.2703201007	0
NCGC00357250-01	0.2685925252	0
NCGC00357281-01	0.2664494312	0
NCGC00357035-01	0.2644677513	0
NCGC00357218-01	0.2627935243	0
NCGC00357060-01	0.2619076368	0
NCGC00357091-01	0.2609834861	0
NCGC00357190-01	0.2606644153	0
NCGC00356952-01	0.2603682463	0
NCGC00357184-01	0.2595904615	0
NCGC00356987-01	0.2593099321	0
NCGC00261835-01	0.2592539602	0
NCGC00356944-01	0.2538509561	0
NCGC00357229-01	0.2531814436	0
NCGC00357135-01	0.2529770307	0
NCGC00357245-01	0.2512228007	0
NCGC00261348-01	0.2502477628	0
NCGC00357031-01	0.2498449852	0
NCGC00357141-01	0.2473341687	0
NCGC00261718-01	0.2457111562	0
NCGC00357044-01	0.2455424725	0
NCGC00357167-01	0.2452105415	0
NCGC00357096-01	0.2443103823	0
NCGC00260703-01	0.2434887611	0
NCGC00260881-01	0.2430704616	0
NCGC00357264-01	0.2421450718	0
NCGC00261672-01	0.2419508659	0
NCGC00357045-01	0.2412598711	0
NCGC00357015-01	0.2396584864	0
NCGC00357094-01	0.2390198719	0
NCGC00261627-01	0.237649473	0
NCGC00357268-01	0.236545159	0
NCGC00357214-01	0.2357398788	0
NCGC00357209-01	0.2344657932	0
NCGC00357071-01	0.2340158053	0
NCGC00356995-01	0.2332705355	0
NCGC00357068-01	0.2325789943	0
NCGC00357022-01	0.2320758647	0
NCGC00356973-01	0.2313789275	0
NCGC00357126-01	0.231150385	0
NCGC00357162-01	0.2310953186	0
NCGC00357240-01	0.2302273784	0
NCGC00260817-01	0.2295883179	0
NCGC00357152-01	0.2294050978	0
NCGC00357092-01	0.2289919677	0
NCGC00356994-01	0.2282337511	0
NCGC00357266-01	0.2281472626	0
NCGC00357226-01	0.227730151	0
NCGC00357050-01	0.2274462364	0
NCGC00357261-01	0.2252711048	0
NCGC00357200-01	0.2248193101	0
NCGC00261075-01	0.2243390764	0
NCGC00357059-01	0.2241286405	0
NCGC00357137-01	0.2240710473	0
NCGC00357008-01	0.223651648	0
NCGC00357025-01	0.2235627328	0
NCGC00357055-01	0.2227278327	0
NCGC00260743-01	0.2226717356	0
NCGC00357075-01	0.2225031387	0
NCGC00357074-01	0.2224758149	0
NCGC00357108-01	0.2224232816	0
NCGC00357254-01	0.2223736928	0
NCGC00356971-01	0.2217655757	0
NCGC00357070-01	0.2212745081	0
NCGC00357061-01	0.2211794904	0
NCGC00357258-01	0.2209390819	0
NCGC00356962-01	0.2205908609	0
NCGC00357176-01	0.220239963	0
NCGC00357085-01	0.219735368	0
NCGC00357182-01	0.2185300655	0
NCGC00260728-01	0.2183456531	0
NCGC00261856-01	0.2176388535	0
NCGC00261440-01	0.2165905656	0
NCGC00260826-01	0.2164915831	0
NCGC00357048-01	0.2155970804	0
NCGC00357186-01	0.2145903504	0
NCGC00357038-01	0.2141809606	0
NCGC00357052-01	0.2133461787	0
NCGC00357104-01	0.2133243216	0
NCGC00357236-01	0.2132746346	0
NCGC00261840-01	0.2130088464	0
NCGC00357151-01	0.2125242963	0
NCGC00357228-01	0.2120850846	0
NCGC00261390-01	0.2114028633	0
NCGC00357278-01	0.2108655275	0
NCGC00357163-01	0.2103925605	0
NCGC00261246-01	0.2099861259	0
NCGC00356938-01	0.2087356469	0
NCGC00357150-01	0.2061397109	0
NCGC00357270-01	0.2057010874	0
NCGC00357037-01	0.2055409074	0
NCGC00357039-01	0.2055367838	0
NCGC00357053-01	0.2049198159	0
NCGC00260823-01	0.2040195448	0
NCGC00357125-01	0.2032231337	0
NCGC00357231-01	0.2028250061	0
NCGC00261598-01	0.202757827	0
NCGC00357187-01	0.2025610115	0
NCGC00357166-01	0.2019240788	0
NCGC00357173-01	0.2011354421	0
NCGC00260982-01	0.201035517	0
NCGC00357185-01	0.2007166472	0
NCGC00357080-01	0.2001567726	0
NCGC00357195-01	0.2001037714	0
NCGC00357234-01	0.1999416412	0
NCGC00357121-01	0.1992999013	0
NCGC00260775-01	0.1991852289	0
NCGC00357232-01	0.1989730389	0
NCGC00261578-01	0.1987878241	0
NCGC00357277-01	0.1962929329	0
NCGC00260708-01	0.1953632063	0
NCGC00357212-01	0.1947210644	0
NCGC00357274-01	0.1938346821	0
NCGC00357269-01	0.1931898457	0
NCGC00357213-01	0.1931064476	0
NCGC00357020-01	0.1927813639	0
NCGC00357088-01	0.190721667	0
NCGC00357033-01	0.1906293925	0
NCGC00356983-01	0.1903629335	0
NCGC00357247-01	0.1902048025	0
NCGC00357040-01	0.1898928308	0
NCGC00357115-01	0.1885582814	0
NCGC00357009-01	0.1877874743	0
NCGC00357101-01	0.1865877892	0
NCGC00357065-01	0.1859303908	0
NCGC00357179-01	0.1828135867	0
NCGC00357042-01	0.1817234498	0
NCGC00357079-01	0.181462413	0
