Sample ID	Score	Activity
NCGC00261424-01	0.643556785	1
NCGC00261342-01	0.431311699	1
NCGC00261582-01	0.413905443	1
NCGC00357021-01	0.398328818	1
NCGC00261900-01	0.390345033	1
NCGC00261653-01	0.363131238	1
NCGC00356946-01	0.179637445	0
NCGC00261947-01	0.158209004	0
NCGC00261812-01	0.139590292	0
NCGC00357072-01	0.139590292	0
NCGC00261933-01	0.128308416	0
NCGC00356981-01	0.122240315	0
NCGC00357057-01	0.12084467	0
NCGC00356953-01	0.114942563	0
NCGC00261398-01	0.109026455	0
NCGC00356965-01	0.103998046	0
NCGC00261475-01	0.103372495	0
NCGC00357196-01	0.103058395	0
NCGC00261717-01	0.10110895	0
NCGC00261686-01	0.096733615	0
NCGC00357089-01	0.092332839	0
NCGC00357211-01	0.090410962	0
NCGC00357046-01	0.088748153	0
NCGC00261565-01	0.087253909	0
NCGC00261451-01	0.084771065	0
NCGC00261153-01	0.082383901	0
NCGC00357255-01	0.081098695	0
NCGC00261601-01	0.077985833	0
NCGC00261804-01	0.076962504	0
NCGC00357132-01	0.076493432	0
NCGC00261254-01	0.072882882	0
NCGC00357230-01	0.071385962	0
NCGC00261704-01	0.070214899	0
NCGC00357289-01	0.068256699	0
NCGC00357167-01	0.067912694	0
NCGC00260821-01	0.067215445	0
NCGC00357280-01	0.066984896	0
NCGC00261916-01	0.066023362	0
NCGC00261817-01	0.063518308	0
NCGC00261165-01	0.059842635	0
NCGC00357264-01	0.058776014	0
NCGC00357155-01	0.058695987	0
NCGC00261853-01	0.05739625	0
NCGC00357205-01	0.057001864	0
NCGC00261201-01	0.054392146	0
NCGC00260823-01	0.053993632	0
NCGC00357175-01	0.053792302	0
NCGC00261146-01	0.053347415	0
NCGC00261882-01	0.053204241	0
NCGC00357011-01	0.052905334	0
NCGC00357224-01	0.052265874	0
NCGC00261833-01	0.049818674	0
NCGC00260822-01	0.049261307	0
NCGC00357111-01	0.048501144	0
NCGC00261910-01	0.048495303	0
NCGC00357079-01	0.048446291	0
NCGC00357249-01	0.046815943	0
NCGC00261005-01	0.046659131	0
NCGC00260889-01	0.046006794	0
NCGC00357112-01	0.045438805	0
NCGC00260811-01	0.044525188	0
NCGC00261739-01	0.043931414	0
NCGC00261503-01	0.043867395	0
NCGC00261003-01	0.043616946	0
NCGC00357181-01	0.043343731	0
NCGC00357118-01	0.043253962	0
NCGC00261611-01	0.042950117	0
NCGC00261958-01	0.042890453	0
NCGC00261348-01	0.042783866	0
NCGC00261060-01	0.041961697	0
NCGC00260972-01	0.041723625	0
NCGC00261163-01	0.041656809	0
NCGC00261013-01	0.041497143	0
NCGC00260980-01	0.041269455	0
NCGC00261554-01	0.041200529	0
NCGC00357029-01	0.040431836	0
NCGC00261406-01	0.040354991	0
NCGC00357228-01	0.04005272	0
NCGC00261737-01	0.039286888	0
NCGC00357243-01	0.038706465	0
NCGC00356993-01	0.038632625	0
NCGC00261683-01	0.038607167	0
NCGC00261813-01	0.038598926	0
NCGC00357014-01	0.038329746	0
NCGC00261620-01	0.038190818	0
NCGC00261948-01	0.038076305	0
NCGC00261649-01	0.037809074	0
NCGC00356958-01	0.037690933	0
NCGC00261147-01	0.037540398	0
NCGC00260703-01	0.037371737	0
NCGC00261130-01	0.037107777	0
NCGC00261816-01	0.036885016	0
NCGC00260693-01	0.036227454	0
NCGC00261399-01	0.036098023	0
NCGC00261787-01	0.035975071	0
NCGC00261624-01	0.035746007	0
NCGC00261065-01	0.035492509	0
NCGC00261069-01	0.035265314	0
NCGC00261019-01	0.035264672	0
NCGC00357219-01	0.035155309	0
NCGC00357236-01	0.034860142	0
NCGC00357001-01	0.034850306	0
NCGC00357220-01	0.034753936	0
NCGC00260940-01	0.03461432	0
NCGC00261861-01	0.034485099	0
NCGC00357251-01	0.034485099	0
NCGC00357037-01	0.033603384	0
NCGC00261638-01	0.033441816	0
NCGC00357170-01	0.03285135	0
NCGC00261730-01	0.032376169	0
NCGC00357256-01	0.032091881	0
NCGC00357221-01	0.031913768	0
NCGC00357185-01	0.031625643	0
NCGC00357013-01	0.031421822	0
NCGC00357017-01	0.03133193	0
NCGC00261824-01	0.031310044	0
NCGC00260785-01	0.031297097	0
NCGC00260789-01	0.031293917	0
NCGC00261058-01	0.031147711	0
NCGC00356973-01	0.030957022	0
NCGC00261716-01	0.030802526	0
NCGC00261364-01	0.030215663	0
NCGC00261672-01	0.030145938	0
NCGC00261825-01	0.030101897	0
NCGC00261113-01	0.029735547	0
NCGC00261607-01	0.029473313	0
NCGC00261238-01	0.029286025	0
NCGC00357070-01	0.029197293	0
NCGC00261049-01	0.029062588	0
NCGC00261903-01	0.028902673	0
NCGC00261906-01	0.028841659	0
NCGC00356974-01	0.028569325	0
NCGC00261506-01	0.028464586	0
NCGC00261828-01	0.027973017	0
NCGC00261691-01	0.027665444	0
NCGC00261215-01	0.027510567	0
NCGC00261579-01	0.027481868	0
NCGC00261141-01	0.027210498	0
NCGC00260826-01	0.026858077	0
NCGC00261423-01	0.026653461	0
NCGC00357178-01	0.026600014	0
NCGC00261752-01	0.026534457	0
NCGC00260691-01	0.026511681	0
NCGC00356955-01	0.026401153	0
NCGC00357200-01	0.026386911	0
NCGC00357067-01	0.026235102	0
NCGC00260948-01	0.026159076	0
NCGC00261272-01	0.0258597	0
NCGC00261336-01	0.025837992	0
NCGC00261713-01	0.025747384	0
NCGC00356992-01	0.025648241	0
NCGC00261381-01	0.025551884	0
NCGC00356944-01	0.025355905	0
NCGC00261079-01	0.025261526	0
NCGC00260911-01	0.025176108	0
NCGC00261519-01	0.024914418	0
NCGC00357082-01	0.024904005	0
NCGC00260990-01	0.024756039	0
NCGC00261856-01	0.024745697	0
NCGC00356983-01	0.024693239	0
NCGC00357232-01	0.024408104	0
NCGC00261480-01	0.024360041	0
NCGC00261744-01	0.024253837	0
NCGC00261542-01	0.024212068	0
NCGC00261384-01	0.024138709	0
NCGC00260782-01	0.023775895	0
NCGC00357119-01	0.023744707	0
NCGC00261150-01	0.023479986	0
NCGC00261835-01	0.023356105	0
NCGC00357150-01	0.023191286	0
NCGC00357223-01	0.023167565	0
NCGC00260831-01	0.022942264	0
NCGC00261246-01	0.022914964	0
NCGC00357127-01	0.02268588	0
NCGC00261935-01	0.022444978	0
NCGC00261510-01	0.022382472	0
NCGC00260890-01	0.022332288	0
NCGC00261473-01	0.022090773	0
NCGC00357059-01	0.021987021	0
NCGC00261133-01	0.021984904	0
NCGC00261597-01	0.02196186	0
NCGC00261018-01	0.021947742	0
NCGC00261286-01	0.021905832	0
NCGC00357010-01	0.021893983	0
NCGC00357153-01	0.021892609	0
NCGC00356988-01	0.0217505	0
NCGC00357002-01	0.021744049	0
NCGC00260910-01	0.02172112	0
NCGC00261261-01	0.021713437	0
NCGC00357254-01	0.021520529	0
NCGC00356976-01	0.021398794	0
NCGC00260708-01	0.021289727	0
NCGC00261802-01	0.021175481	0
NCGC00261183-01	0.021033768	0
NCGC00260743-01	0.021022852	0
NCGC00356982-01	0.02095862	0
NCGC00261071-01	0.020903571	0
NCGC00357074-01	0.020792989	0
NCGC00261682-01	0.020791581	0
NCGC00260742-01	0.020787488	0
NCGC00260850-01	0.020765873	0
NCGC00261939-01	0.020764306	0
NCGC00260770-01	0.020749664	0
NCGC00261693-01	0.02055348	0
NCGC00261541-01	0.020444045	0
NCGC00261641-01	0.020355876	0
NCGC00261663-01	0.020307769	0
NCGC00357226-01	0.020247266	0
NCGC00260858-01	0.020197134	0
NCGC00357216-01	0.020013809	0
NCGC00356950-01	0.019851475	0
NCGC00356947-01	0.019767125	0
NCGC00261820-01	0.019759452	0
NCGC00261782-01	0.01958429	0
NCGC00261738-01	0.019523988	0
NCGC00357182-01	0.01950299	0
NCGC00261583-01	0.01947134	0
NCGC00261860-01	0.019449865	0
NCGC00357165-01	0.019274906	0
NCGC00261495-01	0.019252821	0
NCGC00356994-01	0.019211793	0
NCGC00357151-01	0.019114955	0
NCGC00261440-01	0.019092566	0
NCGC00261304-01	0.019081675	0
NCGC00357092-01	0.018852217	0
NCGC00261178-01	0.018799032	0
NCGC00260802-01	0.018729502	0
NCGC00261166-01	0.018676451	0
NCGC00261941-01	0.018664984	0
NCGC00261161-01	0.018459362	0
NCGC00357053-01	0.018312526	0
NCGC00357096-01	0.018282106	0
NCGC00261142-01	0.01819557	0
NCGC00357164-01	0.018008458	0
NCGC00260692-01	0.017887876	0
NCGC00357140-01	0.01788278	0
NCGC00357093-01	0.017854973	0
NCGC00261190-01	0.017720075	0
NCGC00261662-01	0.017699381	0
NCGC00261352-01	0.017616479	0
NCGC00260875-01	0.017433491	0
NCGC00356971-01	0.017401603	0
NCGC00261944-01	0.017352964	0
