Sample ID	Score	Activity
NCGC00261348-01	0.2372	0
NCGC00260693-01	0.1108	0
NCGC00261503-01	0.218	0
NCGC00261119-01	0.2382	0
NCGC00260716-01	0.0514	0
NCGC00260703-01	0.0977	0
NCGC00260823-01	0.0599	0
NCGC00260731-01	0.3953	0
NCGC00261579-01	0.4552	0
NCGC00260782-01	0.0987	0
NCGC00261057-01	0.2054	0
NCGC00261683-01	0.1511	0
NCGC00261738-01	0.3308	0
NCGC00261313-01	0.1878	0
NCGC00260826-01	0.0801	0
NCGC00261633-01	0.3228	0
NCGC00260757-01	0.0911	0
NCGC00261052-01	0.0886	0
NCGC00261005-01	0.2452	0
NCGC00261190-01	0.1788	0
NCGC00260802-01	0.0927	0
NCGC00261842-01	0.146	0
NCGC00261544-01	0.4844	0
NCGC00261541-01	0.1732	0
NCGC00261812-01	0.2442	0
NCGC00261662-01	0.068	0
NCGC00261649-01	0.1526	0
NCGC00260831-01	0.2125	0
NCGC00261380-01	0.1798	0
NCGC00260869-01	0.1022	0
NCGC00261060-01	0.1385	0
NCGC00260846-01	0.2407	0
NCGC00261162-01	0.0781	0
NCGC00261395-01	0.1828	0
NCGC00261030-01	0.3364	0
NCGC00261856-01	0.0977	0
NCGC00261935-01	0.3127	0
NCGC00261926-01	0.3807	0
NCGC00261423-01	0.1002	0
NCGC00261183-01	0.3021	0
NCGC00261924-01	0.1339	0
NCGC00261069-01	0.3681	0
NCGC00260921-01	0.1178	0
NCGC00261110-01	0.1853	0
NCGC00261101-01	0.2382	0
NCGC00260889-01	0.3499	0
NCGC00261619-01	0.0841	0
NCGC00261165-01	0.2759	0
NCGC00260698-01	0.2039	0
NCGC00261776-01	0.1737	0
NCGC00261861-01	0.0589	0
NCGC00261026-01	0.1672	0
NCGC00261079-01	0.2558	0
NCGC00260990-01	0.0901	0
NCGC00261340-01	0.0599	0
NCGC00260811-01	0.147	0
NCGC00261130-01	0.2548	0
NCGC00260980-01	0.3102	0
NCGC00261730-01	0.0569	0
NCGC00261716-01	0.1284	0
NCGC00260706-01	0.2774	0
NCGC00261816-01	0.3761	0
NCGC00261404-01	0.1702	0
NCGC00261565-01	0.2709	0
NCGC00261424-01	0.591	1
NCGC00261507-01	0.0957	0
NCGC00261744-01	0.2412	0
NCGC00261367-01	0.1279	0
NCGC00261058-01	0.285	0
NCGC00260789-01	0.2155	0
NCGC00261717-01	0.4491	0
NCGC00261420-01	0.3912	0
NCGC00261123-01	0.142	0
NCGC00260742-01	0.1954	0
NCGC00261529-01	0.1531	0
NCGC00261597-01	0.1234	0
NCGC00261389-01	0.2044	0
NCGC00261169-01	0.1762	0
NCGC00261270-01	0.1219	0
NCGC00261826-01	0.1339	0
NCGC00261641-01	0.1611	0
NCGC00260866-01	0.0579	0
NCGC00261624-01	0.1964	0
NCGC00261947-01	0.144	0
NCGC00261025-01	0.2689	0
NCGC00261853-01	0.2231	0
NCGC00261364-01	0.1964	0
NCGC00261820-01	0.0922	0
NCGC00260852-01	0.1365	0
NCGC00260911-01	0.1088	0
NCGC00261817-01	0.1929	0
NCGC00261085-01	0.1022	0
NCGC00261189-01	0.0725	0
NCGC00261704-01	0.074	0
NCGC00261808-01	0.3192	0
NCGC00261290-01	0.0378	0
NCGC00261342-01	0.432	0
NCGC00261215-01	0.3187	0
NCGC00261866-01	0.1098	0
NCGC00260972-01	0.1329	0
NCGC00261304-01	0.0645	0
NCGC00261392-01	0.0927	0
NCGC00261638-01	0.3671	0
NCGC00261170-01	0.064	0
NCGC00261384-01	0.1118	0
NCGC00260696-01	0.0851	0
NCGC00261113-01	0.0614	0
NCGC00261133-01	0.142	0
NCGC00260940-01	0.1762	0
NCGC00261327-01	0.0624	0
NCGC00261568-01	0.0378	0
NCGC00261178-01	0.1259	0
NCGC00261076-01	0.1541	0
NCGC00261399-01	0.0947	0
NCGC00261611-01	0.2357	0
NCGC00261602-01	0.1279	0
NCGC00260798-01	0.1616	0
NCGC00261506-01	0.2125	0
NCGC00261071-01	0.0629	0
