Sample ID	Score	Activity
NCGC00261776-01	-0.4885	0
NCGC00261380-01	-0.8373	0
NCGC00261842-01	-0.3738	0
NCGC00261662-01	0.1178	1
NCGC00261190-01	-0.7588	0
NCGC00260731-01	-0.3434	0
NCGC00261926-01	-0.3601	0
NCGC00261579-01	-0.381	0
NCGC00260921-01	-0.7558	0
NCGC00261119-01	-0.6075	0
NCGC00261812-01	0.1924	1
NCGC00260831-01	-0.082	0
NCGC00261544-01	0.0211	1
NCGC00261619-01	-0.6582	0
NCGC00261395-01	0.068	1
NCGC00261717-01	0.4438	1
NCGC00261947-01	0.4329	1
NCGC00261424-01	0.5502	1
NCGC00261861-01	0.1997	1
NCGC00261924-01	0.2001	1
NCGC00261026-01	-0.1503	0
NCGC00261057-01	-0.4271	0
NCGC00261738-01	-0.4869	0
NCGC00261348-01	-0.3236	0
NCGC00261503-01	-0.5038	0
NCGC00260693-01	-0.7015	0
NCGC00260703-01	-0.7332	0
NCGC00260716-01	-0.1199	0
NCGC00260782-01	-0.1303	0
NCGC00260802-01	-0.1152	0
NCGC00260823-01	0.3897	1
NCGC00260757-01	-0.1003	0
NCGC00260826-01	0.0048	1
NCGC00260889-01	-0.5102	0
NCGC00260811-01	0.283	1
NCGC00261165-01	-0.036	0
NCGC00261060-01	-0.3721	0
NCGC00261541-01	-0.0716	0
NCGC00261649-01	-0.0336	0
NCGC00261110-01	0.2127	1
NCGC00261130-01	0.3603	1
NCGC00260846-01	-0.8616	0
NCGC00261030-01	-0.4886	0
NCGC00261162-01	-0.5145	0
NCGC00261058-01	0.284	1
NCGC00261404-01	0.2323	1
NCGC00261423-01	-0.0449	0
NCGC00261856-01	-0.3673	0
NCGC00261342-01	0.4626	1
NCGC00261069-01	-0.3178	0
NCGC00261101-01	-0.3014	0
NCGC00261716-01	-0.0958	0
NCGC00260742-01	-0.3633	0
NCGC00261529-01	-0.5551	0
NCGC00261170-01	-0.8806	0
NCGC00261565-01	-0.4337	0
NCGC00260990-01	-0.6054	0
NCGC00261340-01	-0.6233	0
NCGC00261079-01	-0.7633	0
NCGC00261389-01	0.1283	1
NCGC00261744-01	-0.2466	0
NCGC00261420-01	-0.8416	0
NCGC00261215-01	-0.2055	0
NCGC00261826-01	-0.0478	0
NCGC00261123-01	-0.3836	0
NCGC00261367-01	-0.7712	0
NCGC00261507-01	-0.8544	0
NCGC00261169-01	-0.6251	0
NCGC00261730-01	-0.4532	0
NCGC00261624-01	-0.08	0
NCGC00261641-01	-0.4798	0
NCGC00261853-01	-0.3911	0
NCGC00260911-01	-0.6178	0
NCGC00261384-01	-0.5189	0
NCGC00260785-01	0.0317	1
NCGC00261025-01	-0.5892	0
NCGC00260789-01	-0.7742	0
NCGC00260866-01	-0.8683	0
NCGC00261189-01	-0.6209	0
NCGC00261270-01	-0.5485	0
NCGC00261611-01	-0.0851	0
NCGC00261817-01	0.1961	1
NCGC00261866-01	-0.2063	0
NCGC00260852-01	-0.5977	0
NCGC00261290-01	-0.5726	0
NCGC00261304-01	-0.7453	0
NCGC00261704-01	-0.5736	0
NCGC00260850-01	-0.1764	0
NCGC00260972-01	0.1636	1
NCGC00261392-01	-0.8751	0
NCGC00261638-01	-0.2952	0
NCGC00261820-01	-0.5674	0
NCGC00261808-01	-0.372	0
NCGC00260790-01	-0.8635	0
NCGC00260940-01	-0.0461	0
NCGC00261081-01	-0.7398	0
NCGC00261506-01	-0.6318	0
NCGC00261133-01	-0.5651	0
NCGC00261399-01	-0.5702	0
NCGC00260696-01	-0.1836	0
NCGC00261903-01	-0.3281	0
NCGC00261178-01	-0.6135	0
NCGC00261568-01	-0.7144	0
NCGC00260830-01	-0.8068	0
NCGC00261113-01	-0.5753	0
NCGC00261327-01	-0.8612	0
NCGC00261602-01	-0.725	0
NCGC00260858-01	-0.4123	0
NCGC00261071-01	0.3334	1
NCGC00261076-01	-0.3091	0
NCGC00261192-01	-0.4765	0
NCGC00261577-01	-0.1217	0
NCGC00261510-01	-0.3314	0
NCGC00261679-01	-0.2951	0
NCGC00261941-01	-0.5739	0
NCGC00261343-01	-0.2263	0
NCGC00261607-01	-0.4962	0
NCGC00261782-01	-0.6401	0
NCGC00261475-01	0.2371	1
NCGC00261764-01	-0.3318	0
NCGC00261802-01	-0.7194	0
NCGC00261813-01	-0.2065	0
NCGC00260795-01	-0.1311	0
NCGC00261352-01	-0.1853	0
NCGC00261009-01	-0.5881	0
NCGC00261944-01	-0.7794	0
NCGC00261166-01	-0.7543	0
NCGC00261332-01	-0.1436	0
NCGC00261333-01	-0.5348	0
NCGC00261260-01	-0.1386	0
NCGC00261915-01	-0.757	0
NCGC00261682-01	-0.6274	0
NCGC00260910-01	-0.6646	0
NCGC00261272-01	-0.9154	0
NCGC00260708-01	-0.286	0
NCGC00261390-01	-0.3514	0
NCGC00260948-01	-0.3562	0
NCGC00261840-01	-0.6911	0
NCGC00261153-01	0.2495	1
NCGC00261406-01	0.3484	1
NCGC00261053-01	0.0211	1
NCGC00261129-01	0.0393	1
NCGC00261381-01	0.2716	1
NCGC00261426-01	-0.0512	0
