Sample ID	Score	Activity
NCGC00261900	0.736	1
NCGC00260869	0.5164	0
NCGC00261776	0.602	1
NCGC00261380	0.4126	0
NCGC00261842	0.3106	0
NCGC00261662	0.802	1
NCGC00261190	0.4306	0
NCGC00260731	0.3062	0
NCGC00261926	0.5498	0
NCGC00261579	0.3916	0
NCGC00260921	0.4156	0
NCGC00261119	0.2664	0
NCGC00260957	0.4672	0
NCGC00261812	0.6854	1
NCGC00260831	0.731	1
NCGC00261544	0.3644	0
NCGC00261619	0.4664	0
NCGC00261633	0.4028	0
NCGC00261395	0.569	0
NCGC00261717	0.7102	1
NCGC00261947	0.627	1
NCGC00261424	0.959	1
NCGC00261861	0.41	0
NCGC00261924	0.3796	0
NCGC00261052	0.4898	0
NCGC00261683	0.5464	0
NCGC00261026	0.6436	1
NCGC00261057	0.4284	0
NCGC00261738	0.407	0
NCGC00261348	0.313	0
NCGC00261503	0.4044	0
NCGC00260693	0.343	0
NCGC00260703	0.2576	0
NCGC00260716	0.026	0
NCGC00260782	0.1394	0
NCGC00260802	0.04	0
NCGC00260823	0.0578	0
NCGC00261313	0.1256	0
NCGC00260757	0.0366	0
NCGC00260826	0.045	0
NCGC00261005	0.4682	0
NCGC00260980	0.3262	0
NCGC00261816	0.6068	1
NCGC00260698	0.2538	0
NCGC00260889	0.3624	0
NCGC00260811	0.524	0
NCGC00261165	0.393	0
NCGC00261060	0.1604	0
NCGC00261541	0.1656	0
NCGC00261649	0.1178	0
NCGC00261110	0.6516	1
NCGC00261130	0.6142	1
NCGC00260846	0.1726	0
NCGC00261030	0.427	0
NCGC00261162	0.2808	0
NCGC00261058	0.4034	0
NCGC00261404	0.6794	1
NCGC00261423	0.4448	0
NCGC00261856	0.3586	0
NCGC00261342	0.9	1
NCGC00261935	0.1958	0
NCGC00261069	0.449	0
NCGC00261101	0.547	0
NCGC00261183	0.4824	0
NCGC00261716	0.513	0
NCGC00260742	0.4956	0
NCGC00261529	0.5008	0
NCGC00261170	0.4392	0
NCGC00261565	0.4128	0
NCGC00260990	0.7332	1
NCGC00261340	0.2494	0
NCGC00261079	0.4672	0
NCGC00261389	0.5264	0
NCGC00261744	0.4824	0
NCGC00261420	0.2652	0
NCGC00261215	0.4992	0
NCGC00261826	0.4514	0
NCGC00260706	0.449	0
NCGC00261123	0.4208	0
NCGC00261367	0.504	0
NCGC00261507	0.3086	0
NCGC00261169	0.4058	0
NCGC00261730	0.3972	0
NCGC00261624	0.5446	0
NCGC00261641	0.295	0
NCGC00261853	0.5176	0
NCGC00260911	0.6004	1
NCGC00260798	0.485	0
NCGC00261384	0.649	1
NCGC00260785	0.4754	0
NCGC00261597	0.4738	0
NCGC00261025	0.2836	0
NCGC00260789	0.4308	0
NCGC00260866	0.7594	1
NCGC00261189	0.4468	0
NCGC00261270	0.146	0
NCGC00261611	0.5892	0
NCGC00261160	0.5582	0
NCGC00261085	0.143	0
NCGC00261817	0.4382	0
NCGC00261866	0.6218	1
NCGC00260852	0.659	1
NCGC00261290	0.625	1
NCGC00261304	0.508	0
NCGC00261704	0.3804	0
NCGC00260850	0.5426	0
NCGC00260972	0.4926	0
NCGC00261364	0.2148	0
NCGC00261392	0.6706	1
NCGC00261638	0.509	0
NCGC00261820	0.1682	0
NCGC00261808	0.3608	0
NCGC00260790	0.768	1
NCGC00260940	0.6886	1
NCGC00261081	0.456	0
NCGC00261506	0.5604	0
NCGC00261133	0.5394	0
NCGC00261399	0.443	0
NCGC00260696	0.5344	0
NCGC00261903	0.4074	0
NCGC00261178	0.3068	0
NCGC00261568	0.6852	1
NCGC00260830	0.438	0
NCGC00261113	0.2236	0
NCGC00261327	0.125	0
NCGC00261602	0.4202	0
NCGC00260858	0.3932	0
NCGC00261071	0.3944	0
NCGC00261076	0.3682	0
NCGC00261192	0.6898	1
NCGC00261577	0.314	0
NCGC00261510	0.405	0
NCGC00261679	0.539	0
NCGC00261941	0.7262	1
NCGC00261343	0.5822	0
NCGC00261607	0.4788	0
NCGC00261782	0.5736	0
NCGC00261914	0.49	0
NCGC00261475	0.4704	0
NCGC00261764	0.4668	0
NCGC00261802	0.3972	0
NCGC00261813	0.4908	0
NCGC00260795	0.5722	0
NCGC00261352	0.3754	0
NCGC00261009	0.6092	1
NCGC00261944	0.446	0
NCGC00261166	0.3352	0
NCGC00261332	0.6472	1
