Sample ID	Score	Activity
NCGC00260691	0.17346	0
NCGC00260692	0.05454	0
NCGC00260693	0.22335	0
NCGC00260696	0.11939	0
NCGC00260698	0.23894	0
NCGC00260703	0.21404	0
NCGC00260706	0.13749	0
NCGC00260707	0.30431	0
NCGC00260708	0.11393	0
NCGC00260713	0.33837	0
NCGC00260716	0.04488	0
NCGC00260728	0.05623	0
NCGC00260731	0.13813	0
NCGC00260742	0.39170	0
NCGC00260743	0.05000	0
NCGC00260751	0.05355	0
NCGC00260757	0.11541	0
NCGC00260770	0.06756	0
NCGC00260775	0.07874	0
NCGC00260782	0.23794	0
NCGC00260785	0.31697	0
NCGC00260789	0.40653	0
NCGC00260790	0.24887	0
NCGC00260795	0.19213	0
NCGC00260798	0.35247	0
NCGC00260802	0.14398	0
NCGC00260803	0.28999	0
NCGC00260811	0.24705	0
NCGC00260815	0.30494	0
NCGC00260817	0.03994	0
NCGC00260821	0.26563	0
NCGC00260822	0.28940	0
NCGC00260823	0.13678	0
NCGC00260826	0.15170	0
NCGC00260830	0.24293	0
NCGC00260831	0.31043	0
NCGC00260833	0.37850	0
NCGC00260834	0.34351	0
NCGC00260840	0.33657	0
NCGC00260846	0.05638	0
NCGC00260850	0.31012	0
NCGC00260852	0.14093	0
NCGC00260858	0.37936	0
NCGC00260866	0.13911	0
NCGC00260867	0.03581	0
NCGC00260869	0.21427	0
NCGC00260871	0.37116	0
NCGC00260875	0.22578	0
NCGC00260876	0.02605	0
NCGC00260881	0.06474	0
NCGC00260889	0.12300	0
NCGC00260890	0.14075	0
NCGC00260892	0.08966	0
NCGC00260910	0.19004	0
NCGC00260911	0.24013	0
NCGC00260921	0.27741	0
NCGC00260940	0.26879	0
NCGC00260947	0.30085	0
NCGC00260948	0.16716	0
NCGC00260957	0.23635	0
NCGC00260962	0.18079	0
NCGC00260972	0.25523	0
NCGC00260979	0.16883	0
NCGC00260980	0.30238	0
NCGC00260982	0.04608	0
NCGC00260990	0.29808	0
NCGC00260993	0.21583	0
NCGC00261003	0.23353	0
NCGC00261005	0.32240	0
NCGC00261007	0.22356	0
NCGC00261008	0.39091	0
