Sample ID	Score	Activity
NCGC00261900-01	0.47084	0
NCGC00260869-01	0.04081	0
NCGC00261776-01	0.05062	0
NCGC00261380-01	0.03262	0
NCGC00261842-01	0.01177	0
NCGC00261662-01	0.01704	0
NCGC00261190-01	0.05304	0
NCGC00260731-01	0.02306	0
NCGC00261926-01	0.04761	0
NCGC00261579-01	0.02088	0
NCGC00260921-01	0.00167	0
NCGC00261119-01	0.02014	0
NCGC00260957-01	0.05532	0
NCGC00261812-01	0.07104	0
NCGC00260831-01	0.0601	0
NCGC00261544-01	0.0182	0
NCGC00261619-01	0.04163	0
NCGC00261633-01	0.02047	0
NCGC00261395-01	0.04634	0
NCGC00261717-01	0.10607	0
NCGC00261947-01	0.09426	0
NCGC00261424-01	0.71261	1
NCGC00261861-01	0.04343	0
NCGC00261924-01	0.00896	0
NCGC00261052-01	0.03239	0
NCGC00261683-01	0.02738	0
NCGC00261026-01	0.05638	0
NCGC00261057-01	0.01513	0
NCGC00261738-01	0.01789	0
NCGC00261348-01	0.02079	0
NCGC00261503-01	0.01463	0
NCGC00260693-01	0.01098	0
NCGC00260703-01	0.01002	0
NCGC00260716-01	0.00533	0
NCGC00260782-01	0.01401	0
NCGC00260802-01	0.003	0
NCGC00260823-01	0.01011	0
NCGC00261313-01	0.00442	0
NCGC00260757-01	0.002	0
NCGC00260826-01	0.006	0
NCGC00261005-01	0.00778	0
NCGC00260980-01	0.03661	0
NCGC00261816-01	0.03122	0
NCGC00260698-01	0.02708	0
NCGC00260889-01	0.02756	0
NCGC00260811-01	0.01901	0
NCGC00261165-01	0.04429	0
NCGC00261060-01	0.00675	0
NCGC00261541-01	0.00731	0
NCGC00261649-01	0.01511	0
NCGC00261110-01	0.02557	0
NCGC00261130-01	0.01563	0
NCGC00260846-01	0.03107	0
NCGC00261030-01	0.00617	0
NCGC00261162-01	0.002	0
NCGC00261058-01	0.03067	0
NCGC00261404-01	0.02884	0
NCGC00261423-01	0.01433	0
NCGC00261856-01	0.00933	0
NCGC00261342-01	0.52206	1
NCGC00261935-01	0.0094	0
NCGC00261069-01	0.01473	0
NCGC00261101-01	0.03181	0
NCGC00261183-01	0.02644	0
NCGC00261716-01	0.02611	0
NCGC00260742-01	0.0391	0
NCGC00261529-01	0.02336	0
NCGC00261170-01	0.0183	0
NCGC00261565-01	0.06141	0
NCGC00260990-01	0.0283	0
NCGC00261340-01	0.01007	0
NCGC00261079-01	0.02551	0
NCGC00261389-01	0.04385	0
NCGC00261744-01	0.02177	0
NCGC00261420-01	0.0194	0
NCGC00261215-01	0.04217	0
NCGC00261826-01	0.0438	0
NCGC00260706-01	0.02802	0
NCGC00261123-01	0.00722	0
NCGC00261367-01	0.02222	0
NCGC00261507-01	0.01972	0
NCGC00261169-01	0.02522	0
NCGC00261730-01	0.03133	0
NCGC00261624-01	0.0125	0
NCGC00261641-01	0.011	0
NCGC00261853-01	0.09704	0
NCGC00260911-01	0.05178	0
NCGC00260798-01	0.0165	0
NCGC00261384-01	0.04918	0
NCGC00260785-01	0.03257	0
NCGC00261597-01	0.03036	0
