Sample ID	Score	Activity
NCGC00261900-01	2.26094	1
NCGC00260869-01	-0.51128	0
NCGC00261776-01	0.14088	1
NCGC00261380-01	-0.29299	0
NCGC00261842-01	-1.06967	0
NCGC00261662-01	-1.06652	0
NCGC00261190-01	-0.20375	0
NCGC00260731-01	-0.69965	0
NCGC00261926-01	-1.00644	0
NCGC00261579-01	0.06637	1
NCGC00260921-01	-0.47158	0
NCGC00261119-01	-0.73023	0
NCGC00260957-01	-0.96964	0
NCGC00261812-01	-0.28594	0
NCGC00260831-01	-0.00014	0
NCGC00261544-01	-0.54987	0
NCGC00261619-01	-0.68521	0
NCGC00261633-01	-1.13082	0
NCGC00261395-01	-0.30719	0
NCGC00261717-01	0.27952	1
NCGC00261947-01	0.37006	1
NCGC00261424-01	3.23853	1
NCGC00261861-01	-0.39021	0
NCGC00261924-01	-1.38643	0
NCGC00261052-01	-0.60822	0
NCGC00261683-01	-0.66546	0
NCGC00261026-01	-0.11798	0
NCGC00261057-01	-0.4594	0
NCGC00261738-01	-0.80198	0
NCGC00261348-01	-0.57563	0
NCGC00261503-01	-1.05053	0
NCGC00260693-01	-0.99197	0
NCGC00260703-01	-0.87742	0
NCGC00260716-01	-1.10952	0
NCGC00260782-01	0.69607	1
NCGC00260802-01	0.75413	1
NCGC00260823-01	-0.44243	0
NCGC00261313-01	-1.37495	0
NCGC00260757-01	1.17701	1
NCGC00260826-01	-1.56052	0
NCGC00261005-01	-0.65824	0
NCGC00260980-01	-0.52244	0
NCGC00261816-01	0.29721	1
NCGC00260698-01	-1.08314	0
NCGC00260889-01	-0.09984	0
NCGC00260811-01	0.17532	1
NCGC00261165-01	-0.20212	0
NCGC00261060-01	-2.12138	0
NCGC00261541-01	-0.84973	0
NCGC00261649-01	-0.76033	0
NCGC00261110-01	0.45745	1
NCGC00261130-01	0.59206	1
NCGC00260846-01	-1.19604	0
NCGC00261030-01	-0.89235	0
NCGC00261162-01	-1.75788	0
NCGC00261058-01	0.0831	1
NCGC00261404-01	0.31482	1
NCGC00261423-01	-0.37644	0
NCGC00261856-01	-1.05579	0
NCGC00261342-01	2.42836	1
NCGC00261935-01	-0.92607	0
NCGC00261069-01	-1.05796	0
NCGC00261101-01	-0.19648	0
NCGC00261183-01	-0.64522	0
NCGC00261716-01	-0.50911	0
NCGC00260742-01	-0.51822	0
NCGC00261529-01	-0.82414	0
NCGC00261170-01	-1.42338	0
NCGC00261565-01	-0.49366	0
NCGC00260990-01	-1.11662	0
NCGC00261340-01	-0.90665	0
NCGC00261079-01	-1.42763	0
NCGC00261389-01	-0.13133	0
NCGC00261744-01	0.00127	1
NCGC00261420-01	-0.79951	0
NCGC00261215-01	0.17141	1
NCGC00261826-01	-0.62002	0
NCGC00260706-01	-0.39323	0
NCGC00261123-01	-0.77927	0
NCGC00261367-01	-0.70828	0
NCGC00261507-01	-0.90923	0
NCGC00261169-01	-0.26069	0
NCGC00261730-01	-0.95841	0
NCGC00261624-01	-0.6094	0
NCGC00261641-01	-0.63435	0
NCGC00261853-01	-0.6217	0
NCGC00260911-01	-0.67774	0
NCGC00260798-01	-1.02288	0
NCGC00261384-01	0.55906	1
NCGC00260785-01	-0.46968	0
NCGC00261597-01	-0.91224	0
NCGC00261025-01	-0.83265	0
NCGC00260789-01	-0.11819	0
NCGC00260866-01	-0.31752	0
NCGC00261189-01	-0.33793	0
NCGC00261270-01	-0.04816	0
NCGC00261611-01	-0.12625	0
NCGC00261160-01	-0.58452	0
NCGC00261085-01	-0.91531	0
NCGC00261817-01	-0.60293	0
NCGC00261866-01	-0.94611	0
NCGC00260852-01	-0.96475	0
NCGC00261290-01	-0.56362	0
NCGC00261304-01	-1.31684	0
NCGC00261704-01	-0.68444	0
NCGC00260850-01	-0.38483	0
NCGC00260972-01	-0.43004	0
NCGC00261364-01	-1.41093	0
NCGC00261392-01	0.40949	1
NCGC00261638-01	-0.54839	0
NCGC00261820-01	0.55353	1
NCGC00261808-01	-0.34189	0
NCGC00260790-01	-0.46006	0
NCGC00260940-01	-0.95522	0
NCGC00261081-01	-0.34209	0
NCGC00261506-01	-0.22743	0
NCGC00261133-01	-1.44973	0
NCGC00261399-01	-0.87735	0
NCGC00260696-01	-0.45993	0
NCGC00261903-01	-1.40178	0
NCGC00261178-01	-0.6348	0
NCGC00261568-01	-0.62255	0
NCGC00260830-01	-0.89484	0
NCGC00261113-01	-0.92025	0
NCGC00261327-01	-0.31413	0
NCGC00261602-01	-0.74005	0
NCGC00260858-01	0.54881	1
NCGC00261071-01	-0.48427	0
NCGC00261076-01	-0.24261	0
NCGC00261192-01	-0.77172	0
NCGC00261495-01	-1.15235	0
NCGC00261577-01	-0.80986	0
NCGC00261510-01	0.07889	1
NCGC00261679-01	-0.03522	0
NCGC00261941-01	-0.23315	0
NCGC00261343-01	-0.05694	0
NCGC00261607-01	-0.96256	0
NCGC00261782-01	-0.67105	0
NCGC00261914-01	-0.13574	0
NCGC00261475-01	-0.63838	0
NCGC00261764-01	-0.53407	0
NCGC00261802-01	-0.34585	0
NCGC00261813-01	-0.12771	0
NCGC00260795-01	-0.31932	0
NCGC00261352-01	-0.52929	0
