Sample ID	Score	Activity
NCGC00261900-01	0.091892187	0
NCGC00260869-01	0.031727821	0
NCGC00261776-01	0.033303507	0
NCGC00261380-01	0.025876886	0
NCGC00261842-01	0.019055566	0
NCGC00261662-01	0.097599837	0
NCGC00260731-01	0.010406225	0
NCGC00261926-01	0.019837664	0
NCGC00261579-01	0.023582874	0
NCGC00261119-01	0.012922493	0
NCGC00260957-01	0.012125371	0
NCGC00261812-01	0.060453478	0
NCGC00260831-01	0.039832289	0
NCGC00261544-01	0.016711830	0
NCGC00261619-01	0.018642035	0
NCGC00261633-01	0.012407423	0
NCGC00261395-01	0.037201775	0
NCGC00261717-01	0.271396159	0
NCGC00261947-01	0.046670776	0
NCGC00261424-01	0.332596084	0
NCGC00261861-01	0.024331716	0
NCGC00261924-01	0.034456004	0
NCGC00261683-01	0.077893490	0
NCGC00261026-01	0.036769330	0
NCGC00261057-01	0.017092569	0
NCGC00261738-01	0.016194320	0
NCGC00261348-01	0.015089126	0
NCGC00261503-01	0.016107526	0
NCGC00260693-01	0.014492262	0
NCGC00260703-01	0.016748373	0
NCGC00260716-01	0.012878737	0
NCGC00260782-01	0.016700424	0
NCGC00260802-01	0.010117729	0
NCGC00260823-01	0.013169524	0
NCGC00261313-01	0.015261882	0
NCGC00260757-01	0.012928299	0
NCGC00260826-01	0.013310108	0
NCGC00261005-01	0.019137764	0
NCGC00260980-01	0.022989396	0
NCGC00261816-01	0.026121415	0
NCGC00260698-01	0.025307768	0
NCGC00260889-01	0.026281921	0
NCGC00260811-01	0.027006199	0
NCGC00261165-01	0.021985441	0
NCGC00261060-01	0.015152404	0
NCGC00261541-01	0.013301036	0
NCGC00261649-01	0.014765802	0
NCGC00261110-01	0.033726763	0
NCGC00261130-01	0.047558686	0
NCGC00261162-01	0.015252924	0
NCGC00261058-01	0.016520160	0
NCGC00261404-01	0.014896804	0
NCGC00261423-01	0.023951767	0
NCGC00261856-01	0.017697927	0
NCGC00261342-01	0.133387833	0
NCGC00261935-01	0.018152222	0
NCGC00261101-01	0.017530035	0
NCGC00261183-01	0.058357817	0
NCGC00261716-01	0.027680222	0
NCGC00260742-01	0.020044727	0
NCGC00261529-01	0.021257051	0
NCGC00261170-01	0.014496134	0
NCGC00261565-01	0.025710522	0
NCGC00260990-01	0.099055220	0
NCGC00261340-01	0.020009279	0
NCGC00261079-01	0.025068069	0
NCGC00261389-01	0.025885379	0
NCGC00261744-01	0.027226609	0
NCGC00261420-01	0.018120863	0
NCGC00261215-01	0.019513153	0
NCGC00261826-01	0.015386311	0
NCGC00260706-01	0.015673767	0
NCGC00261123-01	0.020553253	0
NCGC00261367-01	0.021178170	0
NCGC00261507-01	0.024675659	0
NCGC00261169-01	0.022475612	0
NCGC00261730-01	0.066053274	0
NCGC00261624-01	0.033425576	0
NCGC00261641-01	0.028348427	0
NCGC00261853-01	0.036704700	0
NCGC00260911-01	0.017420403	0
NCGC00260798-01	0.021154489	0
NCGC00261384-01	0.018887509	0
NCGC00260785-01	0.019541628	0
NCGC00261597-01	0.021961823	0
NCGC00261025-01	0.021117301	0
NCGC00260789-01	0.025188994	0
NCGC00260866-01	0.027243751	0
NCGC00261189-01	0.019537295	0
NCGC00261270-01	0.017039693	0
NCGC00261611-01	0.023786997	0
NCGC00261160-01	0.030250794	0
