Sample ID	Score	Activity
NCGC00261900-01	0.60286324	1
NCGC00260869-01	0.36898468	0
NCGC00261776-01	0.51485381	1
NCGC00261380-01	0.39618495	0
NCGC00261842-01	0.33462502	0
NCGC00261662-01	0.41747629	0
NCGC00261190-01	0.37447169	0
NCGC00260731-01	0.34329432	0
NCGC00261926-01	0.33149792	0
NCGC00261579-01	0.34557174	0
NCGC00260921-01	0.29332806	0
NCGC00261119-01	0.33184016	0
NCGC00260957-01	0.29071739	0
NCGC00261812-01	0.39137082	0
NCGC00260831-01	0.31591796	0
NCGC00261544-01	0.35651830	0
NCGC00261619-01	0.29991027	0
NCGC00261633-01	0.39064881	0
NCGC00261395-01	0.46909240	0
NCGC00261717-01	0.52831869	1
NCGC00261947-01	0.59868399	1
NCGC00261424-01	0.62467395	1
NCGC00261861-01	0.44850255	0
NCGC00261924-01	0.34859253	0
NCGC00261052-01	0.28015538	0
NCGC00261683-01	0.32986349	0
NCGC00261026-01	0.52775429	1
NCGC00261057-01	0.33599537	0
NCGC00261738-01	0.43192024	0
NCGC00261348-01	0.36348100	0
NCGC00261503-01	0.35894731	0
NCGC00260693-01	0.38986400	0
NCGC00260703-01	0.38944940	0
NCGC00260716-01	0.37802201	0
NCGC00260782-01	0.39024994	0
NCGC00260802-01	0.39458431	0
NCGC00260823-01	0.85272151	1
NCGC00261313-01	0.39351496	0
NCGC00260757-01	0.37997436	0
NCGC00260826-01	0.38412464	0
NCGC00261005-01	0.36758061	0
NCGC00260980-01	0.32262704	0
NCGC00261816-01	0.45425662	0
NCGC00260698-01	0.40281680	0
NCGC00260889-01	0.35545596	0
NCGC00260811-01	0.39446497	0
NCGC00261165-01	0.39546809	0
NCGC00261060-01	0.40207620	0
NCGC00261541-01	0.36976347	0
NCGC00261649-01	0.39041803	0
NCGC00261110-01	0.76135354	1
NCGC00261130-01	0.75972402	1
NCGC00260846-01	0.33267447	0
NCGC00261030-01	0.44086421	0
NCGC00261162-01	0.35772635	0
NCGC00261058-01	0.31650655	0
NCGC00261404-01	0.43459821	0
NCGC00261423-01	0.32102367	0
NCGC00261856-01	0.32307001	0
NCGC00261342-01	0.57629920	1
NCGC00261935-01	0.32001227	0
NCGC00261069-01	0.44291209	0
NCGC00261101-01	0.30870131	0
NCGC00261183-01	0.34689907	0
NCGC00261716-01	0.38226736	0
NCGC00260742-01	0.34695527	0
NCGC00261529-01	0.45785974	0
NCGC00261170-01	0.26734676	0
NCGC00261565-01	0.34549530	0
NCGC00260990-01	0.43893582	0
NCGC00261340-01	0.45502867	0
NCGC00261079-01	0.49366510	0
NCGC00261389-01	0.36432538	0
NCGC00261744-01	0.39516273	0
NCGC00261420-01	0.35910947	0
NCGC00261215-01	0.38745386	0
NCGC00261826-01	0.39749087	0
NCGC00260706-01	0.35702895	0
NCGC00261123-01	0.45113343	0
NCGC00261367-01	0.44888079	0
NCGC00261507-01	0.42531395	0
NCGC00261169-01	0.36540816	0
NCGC00261730-01	0.32076577	0
NCGC00261624-01	0.40328368	0
NCGC00261641-01	0.35671017	0
NCGC00261853-01	0.32795748	0
NCGC00260911-01	0.32688142	0
NCGC00260798-01	0.34442916	0
NCGC00261384-01	0.33884835	0
NCGC00260785-01	0.42350638	0
NCGC00261597-01	0.52052340	1
NCGC00261025-01	0.38202821	0
NCGC00260789-01	0.36336705	0
NCGC00260866-01	0.30333645	0
NCGC00261189-01	0.35782060	0
NCGC00261270-01	0.34421027	0
NCGC00261611-01	0.45190008	0
NCGC00261160-01	0.25241200	0
NCGC00261085-01	0.34620325	0
NCGC00261817-01	0.40637022	0
NCGC00261866-01	0.41144327	0
NCGC00260852-01	0.40369939	0
NCGC00261290-01	0.28348925	0
NCGC00261304-01	0.44641838	0
NCGC00261704-01	0.40235861	0
NCGC00260850-01	0.42316113	0
NCGC00260972-01	0.34053337	0
NCGC00261364-01	0.35455043	0
NCGC00261392-01	0.31796826	0
NCGC00261638-01	0.44607071	0
NCGC00261820-01	0.36580589	0
NCGC00261808-01	0.48387514	0
NCGC00260790-01	0.30719344	0
NCGC00260940-01	0.29743823	0
NCGC00261081-01	0.30453514	0
NCGC00261506-01	0.40658262	0
NCGC00261133-01	0.31039001	0
NCGC00261399-01	0.41759310	0
NCGC00260696-01	0.33216797	0
NCGC00261903-01	0.43701967	0
NCGC00261178-01	0.31509052	0
NCGC00261568-01	0.28206810	0
NCGC00260830-01	0.32046453	0
NCGC00261113-01	0.84213233	1
NCGC00261327-01	0.36689882	0
NCGC00261602-01	0.33799727	0
NCGC00260858-01	0.36634911	0
NCGC00261071-01	0.37840583	0
NCGC00261076-01	0.36699042	0
NCGC00261192-01	0.36849445	0
NCGC00261495-01	0.30197211	0
NCGC00261577-01	0.36108698	0
NCGC00261510-01	0.39475201	0
NCGC00261679-01	0.53665740	1
NCGC00261941-01	0.34928981	0
NCGC00261343-01	0.40164717	0
NCGC00261607-01	0.45247523	0
