Sample ID	Score	Activity
NCGC00261900	0.6636	1
NCGC00260869	0.23	0
NCGC00261776	0.4924	0
NCGC00261380	0.5496	0
NCGC00261842	0.3028	0
NCGC00261662	0.7702	1
NCGC00261190	0.5218	0
NCGC00260731	0.3908	0
NCGC00261926	0.6066	1
NCGC00261579	0.4672	0
NCGC00260921	0.5382	0
NCGC00261119	0.1626	0
NCGC00260957	0.4576	0
NCGC00261812	0.571	0
NCGC00260831	0.611	1
NCGC00261544	0.354	0
NCGC00261619	0.3684	0
NCGC00261633	0.3108	0
NCGC00261395	0.5564	0
NCGC00261717	0.674	1
NCGC00261947	0.6508	1
NCGC00261424	0.838	1
NCGC00261861	0.2386	0
NCGC00261924	0.2598	0
NCGC00261052	0.1584	0
NCGC00261683	0.4744	0
NCGC00261026	0.5724	0
NCGC00261057	0.4602	0
NCGC00261738	0.5294	0
NCGC00261348	0.1552	0
NCGC00261503	0.3586	0
NCGC00260693	0.1704	0
NCGC00260703	0.2116	0
NCGC00260716	0.0388	0
NCGC00260782	0.2452	0
NCGC00260802	0.0778	0
NCGC00260823	0.0714	0
NCGC00261313	0.0934	0
NCGC00260757	0.2928	0
NCGC00260826	0.0986	0
NCGC00261005	0.4424	0
NCGC00260980	0.3346	0
NCGC00261816	0.5018	0
NCGC00260698	0.4576	0
NCGC00260889	0.4304	0
NCGC00260811	0.5608	0
NCGC00261165	0.3488	0
NCGC00261060	0.2316	0
NCGC00261541	0.1922	0
NCGC00261649	0.2384	0
NCGC00261110	0.5082	0
NCGC00261130	0.4606	0
NCGC00260846	0.1682	0
NCGC00261030	0.5178	0
NCGC00261162	0.1248	0
NCGC00261058	0.4946	0
NCGC00261404	0.5308	0
NCGC00261423	0.3908	0
NCGC00261856	0.3552	0
NCGC00261342	0.8244	1
NCGC00261935	0.0612	0
NCGC00261069	0.563	0
NCGC00261101	0.4748	0
NCGC00261183	0.506	0
NCGC00261716	0.4658	0
NCGC00260742	0.5268	0
NCGC00261529	0.5422	0
NCGC00261170	0.4564	0
NCGC00261565	0.6044	1
NCGC00260990	0.6504	1
NCGC00261340	0.2022	0
NCGC00261079	0.6048	1
NCGC00261389	0.597	0
NCGC00261744	0.5226	0
NCGC00261420	0.254	0
NCGC00261215	0.595	0
NCGC00261826	0.3956	0
NCGC00260706	0.4218	0
NCGC00261123	0.3922	0
NCGC00261367	0.4088	0
NCGC00261507	0.3116	0
NCGC00261169	0.359	0
NCGC00261730	0.3046	0
NCGC00261624	0.4992	0
NCGC00261641	0.453	0
NCGC00261853	0.5596	0
NCGC00260911	0.455	0
NCGC00260798	0.4494	0
NCGC00261384	0.5602	0
NCGC00260785	0.5686	0
NCGC00261597	0.3746	0
NCGC00261025	0.5754	0
NCGC00260789	0.406	0
NCGC00260866	0.747	1
NCGC00261189	0.403	0
NCGC00261270	0.2802	0
NCGC00261611	0.5714	0
NCGC00261160	0.4398	0
NCGC00261085	0.1916	0
NCGC00261817	0.5652	0
NCGC00261866	0.5608	0
NCGC00260852	0.6102	1
NCGC00261290	0.3688	0
NCGC00261304	0.4878	0
NCGC00261704	0.3186	0
NCGC00260850	0.5202	0
NCGC00260972	0.515	0
NCGC00261364	0.2318	0
NCGC00261392	0.573	0
NCGC00261638	0.399	0
NCGC00261820	0.1618	0
NCGC00261808	0.5404	0
NCGC00260790	0.6992	1
NCGC00260940	0.5772	0
NCGC00261081	0.5564	0
NCGC00261506	0.4716	0
NCGC00261133	0.5022	0
NCGC00261399	0.53	0
