Sample ID	Score	Activity
NCGC00260921-01	0.6279	1
NCGC00260831-01	0.5866	1
NCGC00261717-01	0.5755	1
NCGC00261947-01	0.6961	1
NCGC00261424-01	0.9689	1
NCGC00261130-01	0.5754	1
NCGC00261342-01	0.7208	1
NCGC00261716-01	0.6161	1
NCGC00261565-01	0.5644	1
NCGC00261389-01	0.6202	1
NCGC00261215-01	0.5999	1
NCGC00260940-01	0.622	1
NCGC00261399-01	0.5835	1
NCGC00261764-01	0.6155	1
NCGC00260795-01	0.6167	1
NCGC00261166-01	0.6228	1
NCGC00261332-01	0.7895	1
NCGC00261260-01	0.5999	1
NCGC00260910-01	0.6452	1
NCGC00261426-01	0.6041	1
NCGC00261958-01	0.626	1
NCGC00261787-01	0.7396	1
NCGC00261065-01	0.617	1
NCGC00261804-01	0.7235	1
NCGC00261451-01	0.6804	1
NCGC00261446-01	0.5766	1
NCGC00261554-01	0.6843	1
NCGC00261933-01	0.829	1
NCGC00260822-01	0.6422	1
NCGC00261142-01	0.5871	1
NCGC00261582-01	0.9362	1
NCGC00261833-01	0.6079	1
NCGC00261906-01	0.6078	1
NCGC00261653-01	0.9168	1
NCGC00261686-01	0.6677	1
NCGC00261693-01	0.5781	1
NCGC00261828-01	0.5976	1
NCGC00357289-01	0.9711	1
NCGC00357057-01	0.5953	1
NCGC00356993-01	0.6661	1
NCGC00356965-01	0.6576	1
NCGC00357166-01	0.5997	1
NCGC00356946-01	0.7649	1
NCGC00357178-01	0.6418	1
NCGC00357230-01	0.7139	1
NCGC00357149-01	0.8956	1
NCGC00357224-01	0.6171	1
NCGC00357264-01	0.6048	1
NCGC00357175-01	0.6723	1
NCGC00357021-01	0.9656	1
NCGC00357111-01	0.6661	1
NCGC00357249-01	0.702	1
NCGC00357259-01	0.5652	1
NCGC00260869-01	0.2817	0
NCGC00261776-01	0.5111	0
NCGC00261380-01	0.5024	0
NCGC00261842-01	0.2511	0
NCGC00261662-01	0.5547	0
NCGC00261190-01	0.3117	0
NCGC00260731-01	0.2724	0
NCGC00261926-01	0.306	0
NCGC00261579-01	0.3791	0
NCGC00261119-01	0.3188	0
NCGC00260957-01	0.2165	0
NCGC00261812-01	0.5602	0
NCGC00261544-01	0.5269	0
NCGC00261619-01	0.3973	0
NCGC00261633-01	0.3817	0
NCGC00261395-01	0.4042	0
NCGC00261861-01	0.5016	0
NCGC00261924-01	0.3159	0
NCGC00261052-01	0.3601	0
NCGC00261026-01	0.5604	0
NCGC00261057-01	0.3459	0
NCGC00261738-01	0.3571	0
NCGC00261348-01	0.399	0
NCGC00261503-01	0.3978	0
NCGC00260693-01	0.4	0
NCGC00260703-01	0.4616	0
NCGC00260716-01	0.0743	0
NCGC00260782-01	0.3947	0
NCGC00260802-01	0.1765	0
NCGC00260823-01	0.336	0
NCGC00261313-01	0.2288	0
NCGC00260757-01	0.1818	0
NCGC00260826-01	0.3652	0
NCGC00260980-01	0.3862	0
NCGC00260698-01	0.4108	0
NCGC00260889-01	0.3373	0
NCGC00260811-01	0.4964	0
NCGC00261165-01	0.4198	0
NCGC00261060-01	0.5065	0
NCGC00261541-01	0.4581	0
NCGC00261649-01	0.4252	0
NCGC00261110-01	0.4709	0
NCGC00260846-01	0.3058	0
NCGC00261030-01	0.3585	0
NCGC00261162-01	0.1036	0
NCGC00261058-01	0.4068	0
NCGC00261404-01	0.4385	0
NCGC00261423-01	0.4336	0
NCGC00261856-01	0.4702	0
NCGC00261935-01	0.3581	0
NCGC00261069-01	0.3841	0
NCGC00261101-01	0.2345	0
NCGC00260742-01	0.4204	0
NCGC00261529-01	0.2522	0
NCGC00261170-01	0.3929	0
NCGC00260990-01	0.4351	0
NCGC00261340-01	0.1817	0
NCGC00261079-01	0.3758	0
NCGC00261744-01	0.2901	0
NCGC00261420-01	0.2208	0
NCGC00261826-01	0.418	0
NCGC00261123-01	0.4124	0
NCGC00261367-01	0.2551	0
NCGC00261507-01	0.367	0
NCGC00261169-01	0.1737	0
NCGC00261730-01	0.5462	0
NCGC00261624-01	0.358	0
NCGC00261641-01	0.2512	0
NCGC00261853-01	0.5115	0
NCGC00260911-01	0.2959	0
NCGC00260798-01	0.3815	0
NCGC00261384-01	0.5514	0
NCGC00260785-01	0.5325	0
NCGC00261597-01	0.3367	0
NCGC00261025-01	0.2633	0
NCGC00260789-01	0.3878	0
NCGC00260866-01	0.3498	0
NCGC00261189-01	0.3796	0
NCGC00261270-01	0.1433	0
NCGC00261611-01	0.4009	0
NCGC00261160-01	0.5051	0
NCGC00261085-01	0.3797	0
NCGC00261817-01	0.5419	0
NCGC00261866-01	0.436	0
NCGC00260852-01	0.3993	0
NCGC00261290-01	0.384	0
NCGC00261304-01	0.336	0
NCGC00261704-01	0.2876	0
NCGC00260850-01	0.3079	0
NCGC00260972-01	0.3555	0
NCGC00261364-01	0.2025	0
NCGC00261392-01	0.3751	0
NCGC00261638-01	0.5014	0
NCGC00261820-01	0.2785	0
NCGC00261808-01	0.4187	0
NCGC00260790-01	0.4314	0
NCGC00261081-01	0.3852	0
NCGC00261506-01	0.3286	0
NCGC00261133-01	0.4981	0
NCGC00260696-01	0.4145	0
NCGC00261903-01	0.4925	0
NCGC00261178-01	0.4948	0
NCGC00261568-01	0.4704	0
NCGC00260830-01	0.4097	0
NCGC00261113-01	0.2222	0
NCGC00261327-01	0.1603	0
NCGC00261602-01	0.3749	0
NCGC00260858-01	0.3594	0
NCGC00261071-01	0.5206	0
NCGC00261076-01	0.306	0
NCGC00261192-01	0.3983	0
NCGC00261495-01	0.293	0
NCGC00261577-01	0.4769	0
NCGC00261510-01	0.3046	0
NCGC00261679-01	0.5165	0
NCGC00261941-01	0.3573	0
NCGC00261343-01	0.3102	0
NCGC00261607-01	0.4717	0
NCGC00261782-01	0.5123	0
NCGC00261475-01	0.2245	0
NCGC00261802-01	0.4268	0
NCGC00261813-01	0.2421	0
NCGC00261352-01	0.3328	0
NCGC00261009-01	0.3217	0
NCGC00261944-01	0.3647	0
NCGC00261333-01	0.312	0
NCGC00261915-01	0.4461	0
NCGC00261682-01	0.5502	0
NCGC00261272-01	0.3676	0
NCGC00260708-01	0.3014	0
NCGC00261390-01	0.2109	0
NCGC00260948-01	0.3994	0
NCGC00261840-01	0.3519	0
NCGC00260881-01	0.1202	0
NCGC00261153-01	0.4927	0
NCGC00261406-01	0.489	0
NCGC00261053-01	0.2863	0
NCGC00261129-01	0.2642	0
NCGC00261381-01	0.5145	0
NCGC00260979-01	0.1572	0
NCGC00260993-01	0.277	0
NCGC00261108-01	0.1519	0
