Sample ID	Score	Activity
NCGC00261776-01	-2.052	0
NCGC00261380-01	-4.362	0
NCGC00261842-01	-1.585	0
NCGC00261662-01	1.08	1
NCGC00261190-01	-0.148	0
NCGC00260731-01	0.577	1
NCGC00261926-01	0.919	1
NCGC00261579-01	-1.403	0
NCGC00260921-01	1.978	1
NCGC00261119-01	-1.335	0
NCGC00261812-01	5.174	1
NCGC00260831-01	-0.43	0
NCGC00261544-01	-0.206	0
NCGC00261619-01	-0.718	0
NCGC00261395-01	1.141	1
NCGC00261717-01	-1.994	0
NCGC00261947-01	-3.217	0
NCGC00261424-01	1.273	1
NCGC00261861-01	-0.576	0
NCGC00261924-01	-0.678	0
NCGC00261026-01	-4.057	0
NCGC00261057-01	-2.993	0
NCGC00261738-01	0.127	1
NCGC00261348-01	-5.238	0
NCGC00261503-01	-5.438	0
NCGC00260693-01	-7.408	0
NCGC00260703-01	-7.328	0
NCGC00260716-01	-1.801	0
NCGC00260782-01	-1.646	0
NCGC00260802-01	-1.507	0
NCGC00260823-01	-2.034	0
NCGC00260757-01	-1.544	0
NCGC00260826-01	-2.65	0
NCGC00260889-01	-2.796	0
NCGC00260811-01	-3.964	0
NCGC00261165-01	-3.108	0
NCGC00261060-01	-5.31	0
NCGC00261541-01	-2.716	0
NCGC00261649-01	-3.333	0
NCGC00261110-01	0.679	1
NCGC00261130-01	1.285	1
NCGC00260846-01	1.739	1
NCGC00261030-01	0.831	1
NCGC00261162-01	3.242	1
NCGC00261058-01	-0.921	0
NCGC00261404-01	0.35	1
NCGC00261423-01	0.406	1
NCGC00261856-01	1.22	1
NCGC00261342-01	-1.277	0
NCGC00261069-01	1.908	1
NCGC00261101-01	0.413	1
NCGC00261716-01	-2.913	0
NCGC00260742-01	-3.07	0
NCGC00261529-01	0.766	1
NCGC00261170-01	-1.308	0
NCGC00261565-01	-2.579	0
NCGC00260990-01	-0.47	0
NCGC00261340-01	0.877	1
NCGC00261079-01	-1.132	0
NCGC00261389-01	-1.797	0
NCGC00261744-01	-4.978	0
NCGC00261420-01	1.126	1
NCGC00261215-01	-5.09	0
NCGC00261826-01	-1.389	0
NCGC00261123-01	0.838	1
NCGC00261367-01	-3.557	0
NCGC00261507-01	-0.366	0
NCGC00261169-01	-3.463	0
NCGC00261730-01	-1.996	0
NCGC00261624-01	-3.354	0
NCGC00261641-01	0.159	1
NCGC00261853-01	0.251	1
NCGC00260911-01	-2.84	0
NCGC00261384-01	-2.08	0
NCGC00260785-01	-2.604	0
NCGC00261025-01	-0.736	0
NCGC00260789-01	1.288	1
NCGC00260866-01	1.728	1
NCGC00261189-01	1.712	1
NCGC00261270-01	0.477	1
NCGC00261611-01	-1.254	0
NCGC00261817-01	1.024	1
NCGC00261866-01	-0.563	0
NCGC00260852-01	0.074	1
NCGC00261290-01	0.016	1
NCGC00261304-01	2.078	1
NCGC00261704-01	1.867	1
NCGC00260850-01	-1.018	0
NCGC00260972-01	-0.666	0
NCGC00261392-01	-3.371	0
NCGC00261638-01	0.515	1
NCGC00261820-01	-2.039	0
NCGC00261808-01	-2.02	0
NCGC00260790-01	-2.008	0
NCGC00260940-01	0.611	1
NCGC00261081-01	1.396	1
NCGC00261506-01	2.309	1
NCGC00261133-01	0.247	1
NCGC00261399-01	-0.479	0
NCGC00260696-01	1.079	1
NCGC00261903-01	0.747	1
NCGC00261178-01	-3.377	0
NCGC00261568-01	-0.75	0
NCGC00260830-01	-4.64	0
NCGC00261113-01	0.02	1
NCGC00261327-01	-1.606	0
NCGC00261602-01	-2.835	0
NCGC00260858-01	-0.041	0
NCGC00261071-01	0.385	1
NCGC00261076-01	-3.717	0
NCGC00261192-01	-5.172	0
NCGC00261577-01	0.134	1
NCGC00261510-01	-1.443	0
NCGC00261679-01	0.456	1
NCGC00261941-01	3.567	1
NCGC00261343-01	-0.838	0
NCGC00261607-01	-0.285	0
NCGC00261782-01	2.203	1
NCGC00261475-01	-1.773	0
NCGC00261764-01	1.968	1
NCGC00261802-01	4.211	1
NCGC00261813-01	-0.618	0
NCGC00260795-01	-2.89	0
NCGC00261352-01	1.334	1
NCGC00261009-01	1.305	1
NCGC00261944-01	-0.886	0
NCGC00261166-01	3.343	1
NCGC00261332-01	-1.042	0
NCGC00261333-01	-3.83	0
NCGC00261260-01	1.088	1
NCGC00261915-01	0.659	1
NCGC00261682-01	0.68	1
NCGC00260910-01	-2.743	0
NCGC00261272-01	-1.902	0
NCGC00260708-01	-3.545	0
NCGC00261390-01	-1.632	0
NCGC00260948-01	-2.594	0
NCGC00261840-01	-2.655	0
NCGC00261153-01	-2.198	0
NCGC00261406-01	-3.086	0
NCGC00261053-01	-3.84	0
NCGC00261129-01	-2.723	0
NCGC00261381-01	-3.128	0
NCGC00261426-01	-0.898	0
NCGC00260979-01	1.84	1
NCGC00260993-01	1.369	1
NCGC00261108-01	0.439	1
NCGC00261877-01	0.176	1
NCGC00261542-01	-0.519	0
NCGC00261787-01	-2.133	0
NCGC00261065-01	1.503	1
NCGC00261804-01	0.97	1
NCGC00260875-01	-0.859	0
NCGC00261451-01	-1.017	0
NCGC00261948-01	7.204	1
NCGC00261382-01	-1.406	0
NCGC00261297-01	-2.157	0
NCGC00261321-01	-0.331	0
NCGC00261446-01	-1.405	0
NCGC00261474-01	-1.5	0
NCGC00260803-01	1.279	1
NCGC00260833-01	1.797	1
NCGC00261008-01	-0.628	0
NCGC00261155-01	1.147	1
NCGC00261643-01	0.789	1
NCGC00261126-01	0.902	1
NCGC00260871-01	2.225	1
NCGC00260713-01	-2.888	0
NCGC00261487-01	-2.404	0
NCGC00261545-01	-5.165	0
NCGC00261480-01	-0.278	0
NCGC00261838-01	-1.387	0
NCGC00261627-01	-1.889	0
NCGC00261177-01	0.26	1
NCGC00260775-01	-1.662	0
