Sample ID	Score	Activity
NCGC00260691	0.48159	0
NCGC00260692	0.29879	0
NCGC00260693	0.16017	0
NCGC00260696	0.69034	1
NCGC00260698	0.58706	1
NCGC00260703	0.13175	0
NCGC00260706	0.47163	0
NCGC00260707	0.37643	0
NCGC00260708	0.13038	0
NCGC00260713	0.60092	1
NCGC00260716	0.07760	0
NCGC00260728	0.38171	0
NCGC00260731	0.67695	1
NCGC00260742	0.62400	1
NCGC00260743	0.36067	0
NCGC00260751	0.23657	0
NCGC00260757	0.12489	0
NCGC00260770	0.27155	0
NCGC00260775	0.20241	0
NCGC00260782	0.14772	0
NCGC00260785	0.73219	1
NCGC00260789	0.78709	1
NCGC00260790	0.72127	1
NCGC00260795	0.69722	1
NCGC00260798	0.65694	1
NCGC00260802	0.10481	0
NCGC00260803	0.42897	0
NCGC00260811	0.48742	0
NCGC00260815	0.51500	1
NCGC00260817	0.37706	0
NCGC00260821	0.36372	0
NCGC00260822	0.65091	1
NCGC00260823	0.18591	0
NCGC00260826	0.27822	0
NCGC00260830	0.47373	0
NCGC00260831	0.83581	1
NCGC00260833	0.41188	0
NCGC00260834	0.51760	1
NCGC00260840	0.54523	1
NCGC00260846	0.73818	1
NCGC00260850	0.54008	1
NCGC00260852	0.51364	1
NCGC00260858	0.79812	1
NCGC00260866	0.55810	1
NCGC00260867	0.20509	0
NCGC00260869	0.39994	0
NCGC00260871	0.59096	1
NCGC00260875	0.69665	1
NCGC00260876	0.41369	0
NCGC00260881	0.37787	0
NCGC00260889	0.42654	0
NCGC00260890	0.52954	1
NCGC00260892	0.48300	0
NCGC00260910	0.58640	1
NCGC00260911	0.43471	0
NCGC00260921	0.78726	1
NCGC00260940	0.71540	1
NCGC00260947	0.55015	1
NCGC00260948	0.25922	0
NCGC00260957	0.68780	1
NCGC00260962	0.62331	1
NCGC00260972	0.63201	1
NCGC00260979	0.52371	1
NCGC00260980	0.48901	0
NCGC00260982	0.36009	0
NCGC00260990	0.81218	1
NCGC00260993	0.28309	0
NCGC00261003	0.31657	0
NCGC00261005	0.23829	0
NCGC00261007	0.26804	0
NCGC00261008	0.42706	0
NCGC00261009	0.71280	1
NCGC00261013	0.43530	0
NCGC00261018	0.35990	0
NCGC00261019	0.39309	0
NCGC00261025	0.41692	0
NCGC00261026	0.66451	1
NCGC00261028	0.59589	1
NCGC00261030	0.74063	1
NCGC00261037	0.42055	0
NCGC00261049	0.55458	1
NCGC00261052	0.44172	0
NCGC00261053	0.31437	0
NCGC00261057	0.53552	1
NCGC00261058	0.66938	1
NCGC00261060	0.16862	0
NCGC00261065	0.79866	1
