Sample ID	Score	Activity
NCGC00261900-01	0.263485732	1
NCGC00260869-01	0.005414549	0
NCGC00261776-01	0.019016150	0
NCGC00261380-01	0.122420263	1
NCGC00261842-01	0.178268378	1
NCGC00261662-01	0.954551588	1
NCGC00261190-01	0.413027044	1
NCGC00260731-01	0.687731137	1
NCGC00261926-01	0.005334733	0
NCGC00261579-01	0.070480943	1
NCGC00260921-01	0.062812927	1
NCGC00261119-01	0.005760324	0
NCGC00260957-01	0.856597614	1
NCGC00261812-01	0.741052420	1
NCGC00260831-01	0.940401658	1
NCGC00261544-01	0.023392742	0
NCGC00261619-01	0.135229874	1
NCGC00261633-01	0.002203950	0
NCGC00261395-01	0.067257139	1
NCGC00261717-01	0.016747783	0
NCGC00261947-01	0.013847311	0
NCGC00261424-01	0.002152339	0
NCGC00261861-01	0.607840463	1
NCGC00261924-01	0.008202135	0
NCGC00261052-01	0.004450364	0
NCGC00261683-01	0.819572795	1
NCGC00261026-01	0.018486531	0
NCGC00261057-01	0.001289553	0
NCGC00261738-01	0.015774153	0
NCGC00261348-01	0.000670065	0
NCGC00261503-01	0.000954574	0
NCGC00260693-01	0.000430676	0
NCGC00260703-01	0.000301627	0
NCGC00260716-01	0.000328717	0
NCGC00260782-01	0.000523548	0
NCGC00260802-01	0.000453610	0
NCGC00260823-01	0.000601720	0
NCGC00261313-01	0.000616548	0
NCGC00260757-01	0.000552180	0
NCGC00260826-01	0.000426471	0
NCGC00261005-01	0.001108920	0
NCGC00260980-01	0.001174697	0
NCGC00261816-01	0.001871714	0
NCGC00260698-01	0.001213277	0
NCGC00260889-01	0.001389851	0
NCGC00260811-01	0.001109920	0
NCGC00261165-01	0.004268188	0
NCGC00261060-01	0.000382404	0
NCGC00261541-01	0.001494552	0
NCGC00261649-01	0.000336609	0
NCGC00261110-01	0.027641569	0
NCGC00261130-01	0.725130444	1
NCGC00260846-01	0.089799825	1
NCGC00261030-01	0.338384282	1
NCGC00261162-01	0.999282297	1
NCGC00261058-01	0.060106972	1
NCGC00261404-01	0.004870739	0
NCGC00261423-01	0.070885680	1
NCGC00261856-01	0.350048896	1
NCGC00261342-01	0.000818852	0
NCGC00261935-01	0.001738790	0
NCGC00261069-01	0.160913415	1
NCGC00261101-01	0.056578683	1
NCGC00261183-01	0.003080965	0
NCGC00261716-01	0.002317178	0
NCGC00260742-01	0.020295637	0
NCGC00261529-01	0.270355584	1
NCGC00261170-01	0.009656932	0
NCGC00261565-01	0.004858605	0
NCGC00260990-01	0.988483622	1
NCGC00261340-01	0.260391840	1
NCGC00261079-01	0.004743761	0
NCGC00261389-01	0.001597760	0
NCGC00261744-01	0.001477626	0
NCGC00261420-01	0.006324545	0
NCGC00261215-01	0.002819077	0
NCGC00261826-01	0.002521370	0
NCGC00260706-01	0.003278831	0
NCGC00261123-01	0.009086272	0
NCGC00261367-01	0.001954351	0
NCGC00261507-01	0.002239993	0
NCGC00261169-01	0.002073568	0
NCGC00261730-01	0.001525554	0
NCGC00261624-01	0.001941743	0
NCGC00261641-01	0.000940720	0
NCGC00261853-01	0.037453644	0
NCGC00260911-01	0.003377318	0
NCGC00260798-01	0.066334623	1
NCGC00261384-01	0.001520065	0
NCGC00260785-01	0.185625306	1
NCGC00261597-01	0.074887385	1
NCGC00261025-01	0.003628543	0
NCGC00260789-01	0.680488826	1
NCGC00260866-01	0.024767316	0
NCGC00261189-01	0.001079938	0
NCGC00261270-01	0.093129545	1
NCGC00261611-01	0.010736689	0
NCGC00261160-01	0.984162088	1
NCGC00261085-01	0.001592777	0
NCGC00261817-01	0.008348803	0
NCGC00261866-01	0.002108948	0
NCGC00260852-01	0.007122947	0
NCGC00261290-01	0.001855710	0
NCGC00261304-01	0.381554968	1
NCGC00261704-01	0.044301652	1
NCGC00260850-01	0.061370257	1
NCGC00260972-01	0.025167854	0
NCGC00261364-01	0.001187756	0
NCGC00261392-01	0.026002680	0
NCGC00261638-01	0.003831001	0
NCGC00261820-01	0.000323142	0
NCGC00261808-01	0.001793166	0
NCGC00260790-01	0.009908661	0
NCGC00260940-01	0.142031338	1
NCGC00261081-01	0.030284871	0
NCGC00261506-01	0.488708753	1
NCGC00261133-01	0.005964243	0
NCGC00261399-01	0.049922752	1
NCGC00260696-01	0.115268402	1
NCGC00261903-01	0.462096460	1
NCGC00261178-01	0.553995217	1
NCGC00261568-01	0.002366420	0
NCGC00260830-01	0.000968142	0
NCGC00261113-01	0.001608716	0
NCGC00261327-01	0.000591226	0
NCGC00261602-01	0.001841443	0
NCGC00260858-01	0.768876873	1
NCGC00261071-01	0.018615591	0
NCGC00261076-01	0.001422841	0
NCGC00261192-01	0.010376180	0
NCGC00261495-01	0.002355617	0
NCGC00261577-01	0.131085042	1
NCGC00261510-01	0.090699867	1
NCGC00261679-01	0.040819866	1
NCGC00261941-01	0.092860248	1
NCGC00261343-01	0.087345740	1
NCGC00261607-01	0.025172440	0
NCGC00261782-01	0.080767130	1
NCGC00261914-01	0.146442108	1
NCGC00261475-01	0.577551015	1
NCGC00261764-01	0.754390624	1
NCGC00261802-01	0.997871253	1
NCGC00261813-01	0.028745740	0
NCGC00260795-01	0.001173227	0
NCGC00261352-01	0.555283646	1
NCGC00261009-01	0.157171366	1
NCGC00261944-01	0.021520648	0
NCGC00261166-01	0.793507188	1
NCGC00261332-01	0.524871363	1
NCGC00261333-01	0.011547323	0
NCGC00261260-01	0.407642061	1
NCGC00261915-01	0.127001498	1
NCGC00261238-01	0.015924928	0
NCGC00261682-01	0.027272952	0
NCGC00261049-01	0.019026100	0
NCGC00260910-01	0.004624520	0
NCGC00261272-01	0.036623038	0
NCGC00260708-01	0.000757551	0
NCGC00261390-01	0.000440348	0
NCGC00260948-01	0.001803301	0
NCGC00261840-01	0.002121869	0
NCGC00260881-01	0.051150473	1
NCGC00261153-01	0.001605775	0
NCGC00261406-01	0.000546037	0
NCGC00261053-01	0.000638617	0
NCGC00261129-01	0.000649997	0
NCGC00261381-01	0.008129289	0
NCGC00261426-01	0.116697328	1
NCGC00260979-01	0.229213119	1
NCGC00260993-01	0.004532806	0
NCGC00261108-01	0.002219967	0
NCGC00261441-01	0.002553800	0
NCGC00261877-01	0.001107997	0
NCGC00260815-01	0.003972202	0
NCGC00261542-01	0.005647433	0
NCGC00261958-01	0.001252151	0
NCGC00261787-01	0.000875188	0
NCGC00261065-01	0.782844351	1
NCGC00261804-01	0.009559694	0
NCGC00260875-01	0.505515915	1
NCGC00261451-01	0.005699418	0
NCGC00261739-01	0.365815594	1
NCGC00261948-01	0.873760049	1
NCGC00261382-01	0.269642550	1
NCGC00261663-01	0.001158869	0
NCGC00260892-01	0.000501917	0
NCGC00261297-01	0.001470686	0
NCGC00261321-01	0.001056987	0
NCGC00261446-01	0.007328291	0
NCGC00261474-01	0.000535315	0
NCGC00260834-01	0.007341766	0
NCGC00260840-01	0.011484005	0
NCGC00260947-01	0.042335346	1
NCGC00261080-01	0.006981632	0
NCGC00261563-01	0.006903289	0
NCGC00261873-01	0.004303468	0
NCGC00260803-01	0.001488245	0
NCGC00260833-01	0.001270659	0
NCGC00261008-01	0.002250274	0
NCGC00261155-01	0.001888977	0
NCGC00261643-01	0.002217373	0
NCGC00261037-01	0.000749964	0
NCGC00261126-01	0.039773606	1
NCGC00260871-01	0.004494508	0
NCGC00260713-01	0.008602231	0
NCGC00261487-01	0.005291942	0
NCGC00261545-01	0.001544505	0
NCGC00261480-01	0.000806638	0
NCGC00261838-01	0.001290900	0
NCGC00261627-01	0.011653584	0
NCGC00261639-01	0.002929429	0
NCGC00261177-01	0.002571155	0
NCGC00260692-01	0.000560354	0
NCGC00260775-01	0.000623243	0
NCGC00260876-01	0.001917130	0
NCGC00261598-01	0.000963290	0
NCGC00260707-01	0.005097895	0
NCGC00261554-01	0.011872837	0
NCGC00261713-01	0.759587758	1
NCGC00261737-01	0.378274876	1
NCGC00261882-01	0.014980311	0
NCGC00261933-01	0.021062074	0
NCGC00261201-01	0.003016092	0
NCGC00261398-01	0.001708759	0
NCGC00261601-01	0.002689947	0
NCGC00261003-01	0.002385704	0
NCGC00261019-01	0.002512757	0
NCGC00261519-01	0.001205657	0
NCGC00261732-01	0.001963075	0
