SampleID	Score	Activity
NCGC00261949	0.0956	0
NCGC00357083	0.0360	0
NCGC00260731	0.3306	0
NCGC00357288	0.4501	0
NCGC00357081	0.3855	0
NCGC00260982	0.0304	0
NCGC00260980	0.3828	0
NCGC00357068	0.0263	0
NCGC00357069	0.0858	0
NCGC00357060	0.1047	0
NCGC00357061	0.0372	0
NCGC00357063	0.0650	0
NCGC00357064	0.0471	0
NCGC00357065	0.0613	0
NCGC00357066	0.0312	0
NCGC00357067	0.0431	0
NCGC00260698	0.3152	0
NCGC00261866	0.4005	0
NCGC00357201	0.7128	1
NCGC00357202	0.0358	0
NCGC00357203	0.1191	0
NCGC00357204	0.0248	0
NCGC00357205	0.0556	0
NCGC00261860	0.3836	0
NCGC00261861	0.4005	0
NCGC00357208	0.8970	1
NCGC00357209	0.5784	1
NCGC00261906	0.3271	0
NCGC00261900	0.4536	0
NCGC00261903	0.3928	0
NCGC00261869	0.0611	0
NCGC00261510	0.3811	0
NCGC00357284	0.3371	0
NCGC00261519	0.0517	0
NCGC00260742	0.1729	0
NCGC00260743	0.0755	0
NCGC00357287	0.2336	0
NCGC00260890	0.3599	0
NCGC00260892	0.3712	0
NCGC00357020	0.0631	0
NCGC00357021	0.3793	0
NCGC00261349	0.1594	0
NCGC00261348	0.0631	0
NCGC00261343	0.3590	0
NCGC00261342	0.4051	0
NCGC00261340	0.2250	0
NCGC00261583	0.3829	0
NCGC00261582	0.4065	0
NCGC00261163	0.4166	0
NCGC00261162	0.8193	1
NCGC00261248	0.0918	0
NCGC00261160	0.4933	0
NCGC00261166	0.5233	1
NCGC00261165	0.1719	0
NCGC00261169	0.3857	0
NCGC00261313	0.1679	0
NCGC00261246	0.0531	0
NCGC00261649	0.0823	0
NCGC00260803	0.4827	0
NCGC00261643	0.4369	0
NCGC00261641	0.3414	0
NCGC00261764	0.4569	0
NCGC00261767	0.3565	0
NCGC00261882	0.4421	0
NCGC00357037	0.0252	0
NCGC00357036	0.1394	0
NCGC00357035	0.0290	0
NCGC00357034	0.2119	0
NCGC00357033	0.0365	0
NCGC00357032	0.0522	0
NCGC00261019	0.0821	0
NCGC00357030	0.0437	0
NCGC00261013	0.1162	0
NCGC00357156	0.3696	0
NCGC00357039	0.0092	0
NCGC00357038	0.4504	0
NCGC00357119	0.0257	0
NCGC00357151	0.2600	0
NCGC00260940	0.4103	0
NCGC00260947	0.4492	0
NCGC00260948	0.0588	0
NCGC00261085	0.0707	0
NCGC00357109	0.6214	1
NCGC00357108	0.4193	0
NCGC00261080	0.3783	0
NCGC00261081	0.3732	0
NCGC00357103	0.1110	0
NCGC00357102	0.0451	0
NCGC00357101	0.0191	0
NCGC00357100	0.0281	0
NCGC00357107	0.0143	0
NCGC00357106	0.0317	0
NCGC00357105	0.0162	0
NCGC00357104	0.0689	0
NCGC00260790	0.3358	0
NCGC00260795	0.0987	0
NCGC00357158	0.0440	0
NCGC00260798	0.3422	0
NCGC00261941	0.3874	0
NCGC00357088	0.0305	0
NCGC00357089	0.3701	0
NCGC00261944	0.4280	0
NCGC00261947	0.4315	0
NCGC00357082	0.6693	1
NCGC00261948	0.4592	0
NCGC00357080	0.1050	0
NCGC00261133	0.2214	0
NCGC00357086	0.2181	0
NCGC00357087	0.1114	0
NCGC00357084	0.0235	0
NCGC00357085	0.0471	0
NCGC00260708	0.0418	0
NCGC00260703	0.0873	0
NCGC00260706	0.3194	0
NCGC00260707	0.1715	0
NCGC00356959	0.0260	0
NCGC00356958	0.2814	0
NCGC00356953	0.4292	0
NCGC00356952	0.0889	0
NCGC00356951	0.0219	0
NCGC00356950	0.1398	0
NCGC00356957	0.3954	0
NCGC00356956	0.3751	0
NCGC00356955	0.3750	0
NCGC00356954	0.0523	0
NCGC00357257	0.0819	0
NCGC00261838	0.1293	0
NCGC00357259	0.5366	1
NCGC00357258	0.0609	0
NCGC00261835	0.1015	0
NCGC00357256	0.0499	0
NCGC00357255	0.1740	0
NCGC00357254	0.0240	0
NCGC00357253	0.2818	0
NCGC00357252	0.3176	0
NCGC00261833	0.4754	0
NCGC00357250	0.1423	0
NCGC00261426	0.4699	0
NCGC00261935	0.0510	0
NCGC00261424	0.4088	0
NCGC00261423	0.3362	0
NCGC00261420	0.1604	0
NCGC00261933	0.4280	0
NCGC00261545	0.4235	0
NCGC00261544	0.1407	0
NCGC00261541	0.1509	0
NCGC00261939	0.3778	0
NCGC00261542	0.1943	0
NCGC00357251	0.4005	0
NCGC00261261	0.3618	0
NCGC00357110	0.1185	0
NCGC00357111	0.3577	0
NCGC00261682	0.4134	0
NCGC00261683	0.5990	1
NCGC00260840	0.5275	1
NCGC00261686	0.0672	0
NCGC00260846	0.5336	1
NCGC00357114	0.0531	0
NCGC00261332	0.4722	0
NCGC00261333	0.4571	0
NCGC00261330	0.1021	0
NCGC00261336	0.1173	0
NCGC00357117	0.3907	0
NCGC00261053	0.0730	0
NCGC00261052	0.4011	0
NCGC00357170	0.1287	0
NCGC00261119	0.1488	0
NCGC00261057	0.1216	0
NCGC00357177	0.0528	0
NCGC00357174	0.0308	0
NCGC00357175	0.4553	0
NCGC00261113	0.3419	0
NCGC00261110	0.6332	1
NCGC00261058	0.4511	0
NCGC00261611	0.3918	0
NCGC00357230	0.2113	0
NCGC00261619	0.4143	0
NCGC00261752	0.4347	0
NCGC00261201	0.3364	0
NCGC00356986	0.2553	0
NCGC00357127	0.0244	0
NCGC00357126	0.4840	0
NCGC00357129	0.0445	0
NCGC00356997	0.6677	1
NCGC00260990	0.4550	0
NCGC00260993	0.4479	0
NCGC00357048	0.0246	0
NCGC00357079	0.0595	0
NCGC00357078	0.0385	0
NCGC00357073	0.0849	0
NCGC00357072	0.4808	0
NCGC00357071	0.0203	0
NCGC00357070	0.0149	0
NCGC00357077	0.1813	0
NCGC00357076	0.0121	0
NCGC00357075	0.0270	0
NCGC00357074	0.0536	0
NCGC00261451	0.2289	0
NCGC00357213	0.0884	0
NCGC00357212	0.1176	0
NCGC00261873	0.4500	0
NCGC00357210	0.0582	0
NCGC00357217	0.0684	0
NCGC00357216	0.0683	0
NCGC00261877	0.3210	0
NCGC00357214	0.0389	0
NCGC00357219	0.8542	1
NCGC00357218	0.5728	1
NCGC00261503	0.1181	0
NCGC00261507	0.3553	0
NCGC00261506	0.4179	0
NCGC00261662	0.2046	0
NCGC00260757	0.0938	0
NCGC00357289	0.4053	0
NCGC00260751	0.1056	0
NCGC00260696	0.4395	0
NCGC00357281	0.2216	0
NCGC00357282	0.1162	0
NCGC00357283	0.0375	0
NCGC00260692	0.0441	0
NCGC00260693	0.1174	0
NCGC00357286	0.0420	0
NCGC00260691	0.2838	0
NCGC00261480	0.3577	0
NCGC00261487	0.3775	0
NCGC00260881	0.0719	0
NCGC00260889	0.1459	0
NCGC00261804	0.4010	0
NCGC00261802	0.4706	0
NCGC00261475	0.4485	0
NCGC00261474	0.0958	0
NCGC00261808	0.3520	0
NCGC00261470	0.0906	0
NCGC00261473	0.1046	0
NCGC00261577	0.4447	0
NCGC00261578	0.0227	0
NCGC00261579	0.3533	0
NCGC00261254	0.3892	0
NCGC00261398	0.4172	0
NCGC00261399	0.3880	0
NCGC00261395	0.4355	0
NCGC00261390	0.0903	0
NCGC00357162	0.0612	0
NCGC00261392	0.3851	0
NCGC00260834	0.4402	0
NCGC00260833	0.4183	0
NCGC00260830	0.3668	0
NCGC00260831	0.4803	0
NCGC00261657	0.0257	0
NCGC00261713	0.4490	0
NCGC00261716	0.1518	0
NCGC00261717	0.4212	0
NCGC00261718	0.0955	0
NCGC00357002	0.8788	1
NCGC00357003	0.0750	0
NCGC00261028	0.3802	0
NCGC00357001	0.3857	0
NCGC00357006	0.5803	1
NCGC00357007	0.3857	0
NCGC00357004	0.6074	1
NCGC00357005	0.5025	1
NCGC00357008	0.0248	0
NCGC00357009	0.0545	0
NCGC00261026	0.4217	0
NCGC00261025	0.0843	0
NCGC00260957	0.4258	0
NCGC00356943	0.3520	0
NCGC00357200	0.0292	0
NCGC00357136	0.0352	0
NCGC00357137	0.0278	0
NCGC00357134	0.4401	0
NCGC00357135	0.0207	0
NCGC00357132	0.5735	1
NCGC00357133	0.0471	0
NCGC00357130	0.0260	0
NCGC00357131	0.0082	0
NCGC00261624	0.1132	0
