Sample ID	Score	Activity
NCGC00261900-01	0.153371015	0
NCGC00260869-01	0.062540196	0
NCGC00261776-01	0.031884191	0
NCGC00261380-01	0.192297372	0
NCGC00261842-01	0.119105097	0
NCGC00261662-01	0.555087845	1
NCGC00261190-01	0.087915805	0
NCGC00260731-01	0.098041787	0
NCGC00261926-01	0.110379961	0
NCGC00261579-01	0.083513060	0
NCGC00260921-01	0.177100323	0
NCGC00261119-01	0.085284921	0
NCGC00260957-01	0.160469381	0
NCGC00261812-01	0.253366026	0
NCGC00260831-01	0.271515687	0
NCGC00261544-01	0.190324027	0
NCGC00261619-01	0.051013849	0
NCGC00261633-01	0.072144795	0
NCGC00261395-01	0.075215341	0
NCGC00261717-01	0.091793845	0
NCGC00261947-01	0.100652742	0
NCGC00261424-01	0.157351373	0
NCGC00261861-01	0.035159535	0
NCGC00261924-01	0.098964268	0
NCGC00261052-01	0.051603046	0
NCGC00261683-01	0.124616844	0
NCGC00261026-01	0.034781190	0
NCGC00261057-01	0.044304112	0
NCGC00261738-01	0.147313292	0
NCGC00261348-01	0.023699690	0
NCGC00261503-01	0.044500882	0
NCGC00260693-01	0.019194429	0
NCGC00260703-01	0.023496859	0
NCGC00260716-01	0.048375930	0
NCGC00260782-01	0.038231237	0
NCGC00260802-01	0.053548290	0
NCGC00260823-01	0.011706281	0
NCGC00261313-01	0.054695001	0
NCGC00260757-01	0.063479788	0
NCGC00260826-01	0.016667965	0
NCGC00261005-01	0.036339212	0
NCGC00260980-01	0.075882211	0
NCGC00261816-01	0.052642498	0
NCGC00260698-01	0.034139651	0
NCGC00260889-01	0.069912579	0
NCGC00260811-01	0.224132156	0
NCGC00261165-01	0.053716093	0
NCGC00261060-01	0.017891706	0
NCGC00261541-01	0.052465457	0
NCGC00261649-01	0.021280465	0
NCGC00261110-01	0.190032327	0
NCGC00261130-01	0.180929240	0
NCGC00260846-01	0.443008260	0
NCGC00261030-01	0.238986676	0
NCGC00261162-01	0.467379747	0
NCGC00261058-01	0.071926622	0
NCGC00261404-01	0.122640583	0
NCGC00261423-01	0.068202895	0
NCGC00261856-01	0.066428625	0
NCGC00261342-01	0.121061944	0
NCGC00261935-01	0.046278796	0
NCGC00261069-01	0.192329914	0
NCGC00261101-01	0.140253339	0
NCGC00261183-01	0.072896652	0
NCGC00261716-01	0.096764892	0
NCGC00260742-01	0.165704179	0
NCGC00261529-01	0.076141310	0
NCGC00261170-01	0.018663085	0
NCGC00261565-01	0.081265186	0
NCGC00260990-01	0.306661304	0
NCGC00261340-01	0.094293197	0
NCGC00261079-01	0.063741467	0
NCGC00261389-01	0.057180606	0
NCGC00261744-01	0.070528569	0
NCGC00261420-01	0.070585088	0
NCGC00261215-01	0.064692143	0
NCGC00261826-01	0.072824077	0
NCGC00260706-01	0.043463589	0
NCGC00261123-01	0.073410530	0
NCGC00261367-01	0.049826666	0
NCGC00261507-01	0.035380470	0
NCGC00261169-01	0.071373728	0
NCGC00261730-01	0.025810159	0
NCGC00261624-01	0.067053470	0
NCGC00261641-01	0.083013711	0
NCGC00261853-01	0.071753916	0
NCGC00260911-01	0.092952751	0
NCGC00260798-01	0.086081055	0
NCGC00261384-01	0.017080138	0
NCGC00260785-01	0.157168516	0
NCGC00261597-01	0.151653825	0
NCGC00261025-01	0.070049996	0
NCGC00260789-01	0.085404333	0
NCGC00260866-01	0.058215200	0
NCGC00261189-01	0.109036911	0
NCGC00261270-01	0.050590010	0
NCGC00261611-01	0.091483621	0
NCGC00261160-01	0.161178461	0
NCGC00261085-01	0.052388015	0
NCGC00261817-01	0.124868122	0
NCGC00261866-01	0.032544433	0
NCGC00260852-01	0.038254313	0
NCGC00261290-01	0.018966098	0
NCGC00261304-01	0.101705970	0
NCGC00261704-01	0.074020465	0
NCGC00260850-01	0.063462702	0
NCGC00260972-01	0.053360877	0
NCGC00261364-01	0.034352895	0
NCGC00261392-01	0.296086203	0
NCGC00261638-01	0.094221293	0
NCGC00261820-01	0.039524897	0
NCGC00261808-01	0.036295169	0
NCGC00260790-01	0.041837242	0
NCGC00260940-01	0.056596078	0
NCGC00261081-01	0.133537219	0
NCGC00261506-01	0.091555611	0
NCGC00261133-01	0.071047435	0
NCGC00261399-01	0.077603482	0
NCGC00260696-01	0.062717322	0
NCGC00261903-01	0.161387051	0
NCGC00261178-01	0.102125249	0
NCGC00261568-01	0.076745928	0
NCGC00260830-01	0.074577492	0
NCGC00261113-01	0.043066585	0
NCGC00261327-01	0.043078403	0
NCGC00261602-01	0.105783297	0
NCGC00260858-01	0.109704831	0
NCGC00261071-01	0.138618559	0
NCGC00261076-01	0.068826902	0
NCGC00261192-01	0.087843780	0
NCGC00261495-01	0.093204107	0
NCGC00261577-01	0.215725699	0
NCGC00261510-01	0.070384182	0
NCGC00261679-01	0.166921250	0
NCGC00261941-01	0.105704161	0
NCGC00261343-01	0.137987852	0
NCGC00261607-01	0.140459082	0
NCGC00261782-01	0.112727552	0
NCGC00261914-01	0.063621748	0
NCGC00261475-01	0.074591916	0
NCGC00261764-01	0.071472748	0
NCGC00261802-01	0.111931351	0
NCGC00261813-01	0.059800237	0
NCGC00260795-01	0.091429062	0
NCGC00261352-01	0.206778837	0
NCGC00261009-01	0.325387037	0
NCGC00261944-01	0.138208214	0
NCGC00261166-01	0.231502175	0
NCGC00261332-01	0.144103702	0
NCGC00261333-01	0.108303943	0
NCGC00261260-01	0.297544099	0
NCGC00261915-01	0.170224788	0
NCGC00261238-01	0.073561952	0
NCGC00261682-01	0.101836946	0
NCGC00261049-01	0.133417818	0
NCGC00260910-01	0.160172555	0
NCGC00261272-01	0.123899220	0
NCGC00260708-01	0.036664163	0
NCGC00261390-01	0.033663450	0
NCGC00260948-01	0.061420385	0
NCGC00261840-01	0.038271526	0
NCGC00260881-01	0.078033294	0
NCGC00261153-01	0.061506953	0
NCGC00261406-01	0.048202275	0
NCGC00261053-01	0.032155120	0
NCGC00261129-01	0.042312593	0
NCGC00261381-01	0.033908477	0
NCGC00261426-01	0.300322537	0
NCGC00260979-01	0.142302041	0
NCGC00260993-01	0.140166987	0
NCGC00261108-01	0.068170855	0
NCGC00261441-01	0.137116309	0
NCGC00261877-01	0.063657841	0
NCGC00260815-01	0.055792942	0
NCGC00261542-01	0.113380342	0
NCGC00261958-01	0.050095866	0
NCGC00261787-01	0.071401010	0
NCGC00261065-01	0.350264317	0
NCGC00261804-01	0.093315383	0
NCGC00260875-01	0.145077676	0
NCGC00261451-01	0.016953507	0
NCGC00261739-01	0.168836289	0
NCGC00261948-01	0.118123274	0
NCGC00261382-01	0.114721158	0
NCGC00261663-01	0.099977341	0
NCGC00260892-01	0.052331523	0
NCGC00261297-01	0.059641037	0
NCGC00261321-01	0.133473418	0
NCGC00261446-01	0.126582600	0
NCGC00261474-01	0.076987491	0
NCGC00260834-01	0.099329009	0
NCGC00260840-01	0.068725489	0
NCGC00260947-01	0.152463528	0
NCGC00261080-01	0.063154835	0
NCGC00261563-01	0.070441743	0
NCGC00261873-01	0.103469263	0
NCGC00260803-01	0.101099791	0
NCGC00260833-01	0.090669221	0
NCGC00261008-01	0.109246115	0
NCGC00261155-01	0.073732101	0
NCGC00261643-01	0.154787824	0
NCGC00261037-01	0.023060124	0
NCGC00261126-01	0.082482678	0
NCGC00260871-01	0.191406823	0
NCGC00260713-01	0.072837279	0
NCGC00261487-01	0.045410991	0
NCGC00261545-01	0.063174785	0
NCGC00261480-01	0.055515428	0
NCGC00261838-01	0.043617992	0
NCGC00261627-01	0.072644464	0
NCGC00261639-01	0.042020141	0
NCGC00261177-01	0.040068186	0
NCGC00260692-01	0.063145818	0
NCGC00260775-01	0.045409618	0
NCGC00260876-01	0.043369340	0
NCGC00261598-01	0.070485202	0
NCGC00260707-01	0.080921516	0
NCGC00261554-01	0.094133729	0
NCGC00261713-01	0.320330010	0
NCGC00261737-01	0.121145924	0
NCGC00261882-01	0.094498960	0
NCGC00261933-01	0.120374253	0
NCGC00261201-01	0.038666222	0
NCGC00261398-01	0.063486056	0
NCGC00261601-01	0.028093146	0
NCGC00261003-01	0.016961468	0
NCGC00261019-01	0.123968058	0
NCGC00261519-01	0.080273628	0
NCGC00261732-01	0.056672956	0
NCGC00261718-01	0.136598563	0
NCGC00260743-01	0.048265185	0
NCGC00260751-01	0.162997071	0
NCGC00260867-01	0.027046499	0
NCGC00260982-01	0.097684011	0
NCGC00261176-01	0.059482291	0
NCGC00261289-01	0.034777952	0
NCGC00261440-01	0.062455315	0
NCGC00261657-01	0.099202725	0
NCGC00260822-01	0.081827852	0
NCGC00261142-01	0.235706882	0
NCGC00261582-01	0.066166449	0
NCGC00261825-01	0.114482409	0
NCGC00261833-01	0.082335127	0
NCGC00261835-01	0.041289308	0
NCGC00261860-01	0.080324696	0
NCGC00261906-01	0.073508802	0
NCGC00261916-01	0.152282425	0
NCGC00261939-01	0.080835080	0
NCGC00261869-01	0.046528071	0
NCGC00261163-01	0.097673971	0
NCGC00261653-01	0.171566074	0
NCGC00261248-01	0.045942888	0
NCGC00260770-01	0.059394097	0
NCGC00261013-01	0.041985114	0
NCGC00261910-01	0.243722899	0
NCGC00261686-01	0.023040612	0
NCGC00261147-01	0.095146657	0
NCGC00261578-01	0.043464096	0
NCGC00261336-01	0.035621472	0
NCGC00261593-01	0.108757069	0
NCGC00260821-01	0.037182460	0
NCGC00261007-01	0.051394904	0
NCGC00261246-01	0.035322612	0
NCGC00261949-01	0.034175957	0
NCGC00260890-01	0.078576259	0
NCGC00261294-01	0.037379965	0
NCGC00261330-01	0.067803700	0
NCGC00261470-01	0.024571701	0
NCGC00260691-01	0.011342997	0
NCGC00261693-01	0.137056687	0
NCGC00261293-01	0.160747394	0
NCGC00261018-01	0.061258369	0
NCGC00261075-01	0.075977079	0
NCGC00261150-01	0.124588196	0
NCGC00261767-01	0.087380019	0
NCGC00261824-01	0.032320444	0
NCGC00261146-01	0.016650080	0
NCGC00260817-01	0.060786072	0
NCGC00261161-01	0.037047961	0
NCGC00260728-01	0.034992288	0
NCGC00261286-01	0.050970718	0
NCGC00261254-01	0.071350106	0
NCGC00261261-01	0.066535834	0
NCGC00261691-01	0.063845215	0
NCGC00261921-01	0.070030155	0
NCGC00260962-01	0.237885364	0
NCGC00261028-01	0.066864262	0
NCGC00261349-01	0.076727252	0
NCGC00261583-01	0.113359336	0
NCGC00261672-01	0.032193676	0
NCGC00261620-01	0.118284275	0
NCGC00261141-01	0.061937091	0
NCGC00261752-01	0.078645551	0
NCGC00261828-01	0.121675405	0
NCGC00261913-01	0.095747361	0
NCGC00261473-01	0.034908168	0
NCGC00356953-01	0.036842854	0
NCGC00357009-01	0.034946721	0
NCGC00357188-01	0.224746113	0
NCGC00357201-01	0.245248572	0
NCGC00357189-01	0.068673130	0
NCGC00357163-01	0.050168197	0
NCGC00357001-01	0.104300093	0
NCGC00357030-01	0.029161793	0
NCGC00357123-01	0.049256357	0
NCGC00357091-01	0.110728724	0
NCGC00357004-01	0.150505637	0
NCGC00357103-01	0.032280076	0
NCGC00357289-01	0.036098350	0
NCGC00357082-01	0.287185714	0
NCGC00356999-01	0.024185142	0
NCGC00357116-01	0.021730316	0
NCGC00357010-01	0.103451039	0
NCGC00357057-01	0.270122423	0
NCGC00357171-01	0.022048967	0
NCGC00356964-01	0.072595582	0
