Sample ID	Score	Activity
NCGC00261900-01	0.678997619	1
NCGC00260869-01	0.079910982	0
NCGC00261776-01	0.154037762	0
NCGC00261380-01	0.609851837	1
NCGC00261842-01	0.554262697	1
NCGC00261662-01	0.823220905	1
NCGC00261190-01	0.558138955	1
NCGC00260731-01	0.823123793	1
NCGC00261926-01	0.068829180	0
NCGC00261579-01	0.299359959	0
NCGC00260921-01	0.296245982	0
NCGC00261119-01	0.082445498	0
NCGC00260957-01	0.864764493	1
NCGC00261812-01	0.843830322	1
NCGC00260831-01	0.909774593	1
NCGC00261544-01	0.218255934	0
NCGC00261619-01	0.368090393	0
NCGC00261633-01	0.054012226	0
NCGC00261395-01	0.396178698	0
NCGC00261717-01	0.167080336	0
NCGC00261947-01	0.116149852	0
NCGC00261424-01	0.040303918	0
NCGC00261861-01	0.685636664	1
NCGC00261924-01	0.092012121	0
NCGC00261052-01	0.083106830	0
NCGC00261683-01	0.936582285	1
NCGC00261026-01	0.153752630	0
NCGC00261057-01	0.033481179	0
NCGC00261738-01	0.199001080	0
NCGC00261348-01	0.029063729	0
NCGC00261503-01	0.032191635	0
NCGC00260693-01	0.023498371	0
NCGC00260703-01	0.019232674	0
NCGC00260716-01	0.017911258	0
NCGC00260782-01	0.023187928	0
NCGC00260802-01	0.024482664	0
NCGC00260823-01	0.027800560	0
NCGC00261313-01	0.023342838	0
NCGC00260757-01	0.025952107	0
NCGC00260826-01	0.021790314	0
NCGC00261005-01	0.039136789	0
NCGC00260980-01	0.030440402	0
NCGC00261816-01	0.045436530	0
NCGC00260698-01	0.040178316	0
NCGC00260889-01	0.035956551	0
NCGC00260811-01	0.031559946	0
NCGC00261165-01	0.087399519	0
NCGC00261060-01	0.018157853	0
NCGC00261541-01	0.045299486	0
NCGC00261649-01	0.020161419	0
NCGC00261110-01	0.222961134	0
NCGC00261130-01	0.882582910	1
NCGC00260846-01	0.447285230	0
NCGC00261030-01	0.668032864	1
NCGC00261162-01	0.984673010	1
NCGC00261058-01	0.251953169	0
NCGC00261404-01	0.067532964	0
NCGC00261423-01	0.426879714	0
NCGC00261856-01	0.556779685	1
NCGC00261342-01	0.028691515	0
NCGC00261935-01	0.053190394	0
NCGC00261069-01	0.443746664	0
NCGC00261101-01	0.275768099	0
NCGC00261183-01	0.074415301	0
NCGC00261716-01	0.052116722	0
NCGC00260742-01	0.168721592	0
NCGC00261529-01	0.634740967	1
NCGC00261170-01	0.096317855	0
NCGC00261565-01	0.075251801	0
NCGC00260990-01	0.940534725	1
NCGC00261340-01	0.636175604	1
NCGC00261079-01	0.061695621	0
NCGC00261389-01	0.041845979	0
NCGC00261744-01	0.041832995	0
NCGC00261420-01	0.124935391	0
NCGC00261215-01	0.056460623	0
NCGC00261826-01	0.047429859	0
NCGC00260706-01	0.046903517	0
NCGC00261123-01	0.101451690	0
NCGC00261367-01	0.048973531	0
NCGC00261507-01	0.061522083	0
NCGC00261169-01	0.052608617	0
NCGC00261730-01	0.048258691	0
NCGC00261624-01	0.040343034	0
NCGC00261641-01	0.024744356	0
NCGC00261853-01	0.325653925	0
NCGC00260911-01	0.053703882	0
NCGC00260798-01	0.280194131	0
NCGC00261384-01	0.034531507	0
NCGC00260785-01	0.505429579	1
NCGC00261597-01	0.348814350	0
NCGC00261025-01	0.066446564	0
NCGC00260789-01	0.873994350	1
NCGC00260866-01	0.218284261	0
NCGC00261189-01	0.033633974	0
NCGC00261270-01	0.540038984	1
NCGC00261611-01	0.123720216	0
NCGC00261160-01	0.961497385	1
NCGC00261085-01	0.040721525	0
NCGC00261817-01	0.107271008	0
NCGC00261866-01	0.047978453	0
NCGC00260852-01	0.069103758	0
NCGC00261290-01	0.044870937	0
NCGC00261304-01	0.544471029	1
NCGC00261704-01	0.301442038	0
NCGC00260850-01	0.322505421	0
NCGC00260972-01	0.247691286	0
NCGC00261364-01	0.029429504	0
NCGC00261392-01	0.258652746	0
NCGC00261638-01	0.061353720	0
NCGC00261820-01	0.018345622	0
NCGC00261808-01	0.037589937	0
NCGC00260790-01	0.121855910	0
NCGC00260940-01	0.505969220	1
NCGC00261081-01	0.197031022	0
NCGC00261506-01	0.724610982	1
NCGC00261133-01	0.076865070	0
NCGC00261399-01	0.225648986	0
NCGC00260696-01	0.400472137	0
NCGC00261903-01	0.760226852	1
NCGC00261178-01	0.796504919	1
NCGC00261568-01	0.038230365	0
NCGC00260830-01	0.028933350	0
NCGC00261113-01	0.039229140	0
NCGC00261327-01	0.024808894	0
NCGC00261602-01	0.037452466	0
NCGC00260858-01	0.801995823	1
NCGC00261071-01	0.132436324	0
NCGC00261076-01	0.030643753	0
NCGC00261192-01	0.092867903	0
NCGC00261495-01	0.051454171	0
