Sample ID	Score	Activity
NCGC00261900-01	0.219394785	1
NCGC00260869-01	0.002091560	0
NCGC00261776-01	0.019007267	1
NCGC00261380-01	0.060650055	1
NCGC00261842-01	0.068124199	1
NCGC00261662-01	0.994002737	1
NCGC00261190-01	0.252584772	1
NCGC00260731-01	0.435314354	1
NCGC00261926-01	0.001914193	0
NCGC00261579-01	0.025206342	1
NCGC00260921-01	0.033449138	1
NCGC00261119-01	0.001764028	0
NCGC00260957-01	0.870867245	1
NCGC00261812-01	0.747247429	1
NCGC00260831-01	0.945489942	1
NCGC00261544-01	0.006710683	0
NCGC00261619-01	0.102974160	1
NCGC00261633-01	0.000542421	0
NCGC00261395-01	0.033920628	1
NCGC00261717-01	0.008479429	0
NCGC00261947-01	0.006784585	0
NCGC00261424-01	0.000682948	0
NCGC00261861-01	0.535258207	1
NCGC00261924-01	0.003857157	0
NCGC00261052-01	0.001795913	0
NCGC00261683-01	0.618992827	1
NCGC00261026-01	0.007625970	0
NCGC00261057-01	0.000228663	0
NCGC00261738-01	0.003736974	0
NCGC00261348-01	0.000097068	0
NCGC00261503-01	0.000174428	0
NCGC00260693-01	0.000068089	0
NCGC00260703-01	0.000041826	0
NCGC00260716-01	0.000043041	0
NCGC00260782-01	0.000083225	0
NCGC00260802-01	0.000059232	0
NCGC00260823-01	0.000083896	0
NCGC00261313-01	0.000083191	0
NCGC00260757-01	0.000080429	0
NCGC00260826-01	0.000067240	0
NCGC00261005-01	0.000177244	0
NCGC00260980-01	0.000335982	0
NCGC00261816-01	0.000451927	0
NCGC00260698-01	0.000257646	0
NCGC00260889-01	0.000213227	0
NCGC00260811-01	0.000229973	0
NCGC00261165-01	0.001388039	0
NCGC00261060-01	0.000054794	0
NCGC00261541-01	0.000249554	0
NCGC00261649-01	0.000045295	0
NCGC00261110-01	0.017655319	1
NCGC00261130-01	0.764772532	1
NCGC00260846-01	0.046097948	1
NCGC00261030-01	0.307453100	1
NCGC00261162-01	0.999818567	1
NCGC00261058-01	0.027392968	1
NCGC00261404-01	0.001479422	0
NCGC00261423-01	0.040207826	1
NCGC00261856-01	0.203261775	1
NCGC00261342-01	0.000297043	0
NCGC00261935-01	0.000372281	0
NCGC00261069-01	0.141495745	1
NCGC00261101-01	0.032072672	1
NCGC00261183-01	0.000735819	0
NCGC00261716-01	0.000622388	0
NCGC00260742-01	0.011462694	0
NCGC00261529-01	0.112902624	1
NCGC00261170-01	0.005408996	0
NCGC00261565-01	0.001322969	0
NCGC00260990-01	0.995168603	1
NCGC00261340-01	0.164399664	1
NCGC00261079-01	0.000866832	0
NCGC00261389-01	0.000435056	0
NCGC00261744-01	0.000273719	0
NCGC00261420-01	0.001595326	0
NCGC00261215-01	0.001094924	0
NCGC00261826-01	0.000541312	0
NCGC00260706-01	0.001104841	0
NCGC00261123-01	0.004550061	0
NCGC00261367-01	0.000339981	0
NCGC00261507-01	0.000361963	0
NCGC00261169-01	0.000351959	0
NCGC00261730-01	0.000320439	0
NCGC00261624-01	0.000399042	0
NCGC00261641-01	0.000178112	0
NCGC00261853-01	0.016414248	0
NCGC00260911-01	0.001228497	0
NCGC00260798-01	0.046917369	1
NCGC00261384-01	0.000343728	0
NCGC00260785-01	0.120411350	1
NCGC00261597-01	0.033418482	1
NCGC00261025-01	0.000685142	0
NCGC00260789-01	0.495710218	1
NCGC00260866-01	0.008012716	0
NCGC00261189-01	0.000198960	0
NCGC00261270-01	0.031761281	1
NCGC00261611-01	0.004994283	0
NCGC00261160-01	0.988986243	1
NCGC00261085-01	0.000330021	0
NCGC00261817-01	0.002577801	0
NCGC00261866-01	0.000540751	0
NCGC00260852-01	0.002890202	0
NCGC00261290-01	0.000477121	0
NCGC00261304-01	0.307826164	1
NCGC00261704-01	0.016665718	0
NCGC00260850-01	0.042116748	1
NCGC00260972-01	0.009804488	0
NCGC00261364-01	0.000207755	0
NCGC00261392-01	0.008740587	0
NCGC00261638-01	0.001512549	0
NCGC00261820-01	0.000046684	0
NCGC00261808-01	0.000459782	0
NCGC00260790-01	0.003901584	0
NCGC00260940-01	0.100041474	1
NCGC00261081-01	0.026264872	1
NCGC00261506-01	0.555867903	1
