Sample ID	Score	Activity
NCGC00261900-01	0.625946898	1
NCGC00260869-01	0.115573199	0
NCGC00261776-01	0.532728716	1
NCGC00261380-01	0.350043711	0
NCGC00261842-01	0.405880613	0
NCGC00261662-01	0.730658408	1
NCGC00261190-01	0.348767013	0
NCGC00260731-01	0.49114157	0
NCGC00261926-01	0.248816509	0
NCGC00261579-01	0.272189116	0
NCGC00260921-01	0.43579962	0
NCGC00261119-01	0.282285925	0
NCGC00260957-01	0.369513146	0
NCGC00261812-01	0.5721837	1
NCGC00260831-01	0.441634288	0
NCGC00261544-01	0.252994775	0
NCGC00261619-01	0.505188763	1
NCGC00261633-01	0.295034661	0
NCGC00261395-01	0.466092897	0
NCGC00261717-01	0.407040563	0
NCGC00261947-01	0.318878097	0
NCGC00261424-01	0.32598709	0
NCGC00261861-01	0.570558238	1
NCGC00261924-01	0.345429529	0
NCGC00261052-01	0.228609914	0
NCGC00261683-01	0.395168423	0
NCGC00261026-01	0.27212663	0
NCGC00261057-01	0.062939435	0
NCGC00261738-01	0.130480344	0
NCGC00261348-01	0.037719196	0
NCGC00261503-01	0.115256044	0
NCGC00260693-01	0.030110783	0
NCGC00260703-01	0.026136122	0
NCGC00260716-01	0.00602725	0
NCGC00260782-01	0.001317295	0
NCGC00260802-01	0.003107046	0
NCGC00260823-01	0.032878237	0
NCGC00261313-01	0.005259515	0
NCGC00260757-01	0.042657069	0
NCGC00260826-01	0.084824037	0
NCGC00261005-01	0.033156895	0
NCGC00260980-01	0.072326805	0
NCGC00261816-01	0.13732911	0
NCGC00260698-01	0.046618297	0
NCGC00260889-01	0.105781663	0
NCGC00260811-01	0.085133476	0
NCGC00261165-01	0.060163967	0
NCGC00261060-01	0.015045699	0
NCGC00261541-01	0.035888854	0
NCGC00261649-01	0.020722709	0
NCGC00261110-01	0.410990311	0
NCGC00261130-01	0.561424381	1
NCGC00260846-01	0.340742563	0
NCGC00261030-01	0.686702024	1
NCGC00261162-01	0.565591481	1
NCGC00261058-01	0.548920451	1
NCGC00261404-01	0.144614801	0
NCGC00261423-01	0.375249369	0
NCGC00261856-01	0.39235006	0
NCGC00261342-01	0.177667893	0
NCGC00261935-01	0.090725421	0
NCGC00261069-01	0.526698508	1
NCGC00261101-01	0.466995476	0
NCGC00261183-01	0.128390135	0
NCGC00261716-01	0.165642363	0
NCGC00260742-01	0.323035792	0
NCGC00261529-01	0.464825318	0
NCGC00261170-01	0.407164569	0
NCGC00261565-01	0.108118504	0
NCGC00260990-01	0.730939425	1
NCGC00261340-01	0.433208322	0
NCGC00261079-01	0.082371973	0
NCGC00261389-01	0.113592594	0
NCGC00261744-01	0.076520704	0
NCGC00261420-01	0.128656815	0
NCGC00261215-01	0.397202244	0
NCGC00261826-01	0.09510944	0
NCGC00260706-01	0.233633573	0
NCGC00261123-01	0.279479055	0
NCGC00261367-01	0.057585328	0
NCGC00261507-01	0.056128046	0
NCGC00261169-01	0.09960333	0
NCGC00261730-01	0.031226139	0
NCGC00261624-01	0.071633908	0
NCGC00261641-01	0.050779886	0
NCGC00261853-01	0.395309053	0
NCGC00260911-01	0.156152477	0
NCGC00260798-01	0.206600808	0
NCGC00261384-01	0.127005344	0
NCGC00260785-01	0.468185898	0
NCGC00261597-01	0.374095002	0
NCGC00261025-01	0.107157803	0
NCGC00260789-01	0.437448364	0
NCGC00260866-01	0.158371868	0
NCGC00261189-01	0.185713364	0
NCGC00261270-01	0.235857735	0
NCGC00261611-01	0.56632728	1
NCGC00261160-01	0.57854087	1
NCGC00261085-01	0.187960547	0
NCGC00261817-01	0.232563413	0
NCGC00261866-01	0.05885795	0
NCGC00260852-01	0.210035308	0
NCGC00261290-01	0.114916917	0
NCGC00261304-01	0.597982848	1
NCGC00261704-01	0.412097006	0
NCGC00260850-01	0.482520476	0
NCGC00260972-01	0.331209289	0
NCGC00261364-01	0.082705416	0
NCGC00261392-01	0.316071096	0
NCGC00261638-01	0.265109524	0
NCGC00261820-01	0.052158556	0
NCGC00261808-01	0.140242111	0
NCGC00260790-01	0.387764202	0
NCGC00260940-01	0.425062731	0
NCGC00261081-01	0.375458849	0
NCGC00261506-01	0.510265516	1
NCGC00261133-01	0.093838711	0
NCGC00261399-01	0.491136953	0
NCGC00260696-01	0.185740241	0
NCGC00261903-01	0.547413567	1
NCGC00261178-01	0.390572538	0
NCGC00261568-01	0.068182269	0
NCGC00260830-01	0.098897328	0
NCGC00261113-01	0.103716721	0
NCGC00261327-01	0.040810487	0
NCGC00261602-01	0.106519875	0
NCGC00260858-01	0.546097707	1
NCGC00261071-01	0.139436442	0
NCGC00261076-01	0.047477046	0
NCGC00261192-01	0.539472881	1
NCGC00261495-01	0.165231423	0
NCGC00261577-01	0.476628336	0
NCGC00261510-01	0.327357924	0
NCGC00261679-01	0.370821624	0
NCGC00261941-01	0.314543579	0
NCGC00261343-01	0.433381545	0
NCGC00261607-01	0.310263034	0
NCGC00261782-01	0.233932616	0
NCGC00261914-01	0.417762115	0
NCGC00261475-01	0.559018394	1
NCGC00261764-01	0.529982676	1
NCGC00261802-01	0.619185529	1
NCGC00261813-01	0.23451431	0
NCGC00260795-01	0.071620042	0
NCGC00261352-01	0.486557625	0
NCGC00261009-01	0.505454144	1
NCGC00261944-01	0.366116366	0
NCGC00261166-01	0.450118706	0
NCGC00261332-01	0.649631454	1
NCGC00261333-01	0.289550455	0
NCGC00261260-01	0.477616645	0
NCGC00261915-01	0.5415644	1
NCGC00261238-01	0.127066193	0
NCGC00261682-01	0.287861065	0
NCGC00261049-01	0.170810992	0
NCGC00260910-01	0.152807687	0
NCGC00261272-01	0.285266274	0
NCGC00260708-01	0.009134343	0
NCGC00261390-01	0.007941555	0
NCGC00260948-01	0.075207566	0
NCGC00261840-01	0.046257346	0
NCGC00260881-01	0.28956951	0
NCGC00261153-01	0.082531915	0
NCGC00261406-01	0.01324393	0
NCGC00261053-01	0.024222242	0
NCGC00261129-01	0.032947194	0
NCGC00261381-01	0.649782569	1
NCGC00261426-01	0.54817781	1
NCGC00260979-01	0.041183783	0
NCGC00260993-01	0.055715094	0
NCGC00261108-01	0.063747045	0
NCGC00261441-01	0.062466644	0
NCGC00261877-01	0.064773265	0
NCGC00260815-01	0.126104107	0
NCGC00261542-01	0.268161473	0
NCGC00261958-01	0.050301211	0
NCGC00261787-01	0.166646624	0
NCGC00261065-01	0.617246371	1
NCGC00261804-01	0.387140122	0
NCGC00260875-01	0.531835866	1
NCGC00261451-01	0.050494629	0
NCGC00261739-01	0.208081941	0
NCGC00261948-01	0.476313698	0
NCGC00261382-01	0.623122477	1
NCGC00261663-01	0.062285684	0
NCGC00260892-01	0.071639374	0
NCGC00261297-01	0.078246394	0
NCGC00261321-01	0.10328991	0
NCGC00261446-01	0.187591886	0
NCGC00261474-01	0.081729525	0
NCGC00260834-01	0.133612018	0
NCGC00260840-01	0.057942794	0
NCGC00260947-01	0.128365077	0
NCGC00261080-01	0.167861747	0
NCGC00261563-01	0.100010994	0
NCGC00261873-01	0.143006164	0
NCGC00260803-01	0.090027064	0
NCGC00260833-01	0.071570965	0
NCGC00261008-01	0.126825416	0
NCGC00261155-01	0.036871691	0
NCGC00261643-01	0.064047593	0
NCGC00261037-01	0.113739398	0
NCGC00261126-01	0.326815684	0
NCGC00260871-01	0.186581755	0
NCGC00260713-01	0.349879237	0
NCGC00261487-01	0.086292643	0
NCGC00261545-01	0.190298721	0
NCGC00261480-01	0.059535371	0
NCGC00261838-01	0.053327691	0
NCGC00261627-01	0.177938457	0
NCGC00261639-01	0.123519626	0
NCGC00261177-01	0.081680583	0
NCGC00260692-01	0.025686761	0
NCGC00260775-01	0.010006353	0
NCGC00260876-01	0.15716972	0
NCGC00261598-01	0.030031686	0
NCGC00260707-01	0.073206948	0
NCGC00261554-01	0.165317249	0
NCGC00261713-01	0.383012724	0
NCGC00261737-01	0.554320727	1
NCGC00261882-01	0.341076804	0
NCGC00261933-01	0.181074726	0
NCGC00261201-01	0.079881361	0
NCGC00261398-01	0.089126069	0
NCGC00261601-01	0.102131459	0
NCGC00261003-01	0.053784616	0
NCGC00261019-01	0.126191842	0
NCGC00261519-01	0.121343782	0
NCGC00261732-01	0.180026163	0
NCGC00261718-01	0.42131618	0
NCGC00260743-01	0.088571011	0
NCGC00260751-01	0.081286259	0
NCGC00260867-01	0.016119936	0
NCGC00260982-01	0.220940506	0
NCGC00261176-01	0.077159238	0
NCGC00261440-01	0.10542071	0
NCGC00261657-01	0.043035638	0
NCGC00260822-01	0.565567501	1
NCGC00261142-01	0.426950975	0
NCGC00261582-01	0.393940309	0
NCGC00261825-01	0.327609	0
NCGC00261833-01	0.35441343	0
NCGC00261835-01	0.209258	0
NCGC00261860-01	0.407256894	0
NCGC00261906-01	0.337914618	0
NCGC00261916-01	0.393898817	0
NCGC00261939-01	0.374453317	0
NCGC00261869-01	0.056251224	0
NCGC00261163-01	0.225151956	0
NCGC00261653-01	0.203217942	0
NCGC00261248-01	0.028414541	0
NCGC00260770-01	0.091157453	0
NCGC00261013-01	0.099589867	0
NCGC00261910-01	0.617325896	1
NCGC00261686-01	0.056270842	0
NCGC00261147-01	0.321767505	0
NCGC00261578-01	0.032608659	0
NCGC00261336-01	0.049145908	0
NCGC00261593-01	0.156225216	0
NCGC00260821-01	0.057429017	0
NCGC00261007-01	0.040086568	0
NCGC00261246-01	0.065677759	0
NCGC00261949-01	0.062249124	0
NCGC00260890-01	0.135763648	0
NCGC00261294-01	0.034290196	0
NCGC00261330-01	0.198951471	0
NCGC00261470-01	0.024808999	0
NCGC00260691-01	0.11124825	0
NCGC00261693-01	0.052998574	0
NCGC00261293-01	0.092940407	0
NCGC00261018-01	0.112584117	0
NCGC00261075-01	0.531351945	1
NCGC00261150-01	0.32141453	0
NCGC00261767-01	0.119588841	0
NCGC00261824-01	0.066253276	0
NCGC00261146-01	0.0114199	0
NCGC00260817-01	0.066701245	0
NCGC00261161-01	0.106898122	0
NCGC00260728-01	0.077986772	0
NCGC00261286-01	0.264972522	0
NCGC00261254-01	0.022011729	0
NCGC00261261-01	0.023014644	0
NCGC00261691-01	0.085258906	0
NCGC00261921-01	0.049519839	0
NCGC00260962-01	0.165939836	0
NCGC00261028-01	0.26324353	0
NCGC00261349-01	0.222812763	0
NCGC00261583-01	0.395100655	0
NCGC00261672-01	0.200832113	0
NCGC00261620-01	0.536925093	1
NCGC00261141-01	0.114199708	0
NCGC00261752-01	0.299363438	0
NCGC00261828-01	0.202513086	0
NCGC00261913-01	0.065534107	0
NCGC00261473-01	0.20757141	0
NCGC00356953-01	0.247513149	0
NCGC00357009-01	0.062385976	0
NCGC00357188-01	0.354487105	0
NCGC00357201-01	0.434235837	0
NCGC00357189-01	0.68200818	1
NCGC00357163-01	0.158258879	0
NCGC00357001-01	0.152239892	0
NCGC00357030-01	0.123620498	0
NCGC00357123-01	0.150980804	0
NCGC00357091-01	0.136275997	0
NCGC00357004-01	0.055649234	0
NCGC00357103-01	0.164351084	0
NCGC00357289-01	0.238604018	0
NCGC00357082-01	0.50711664	1
NCGC00356999-01	0.080951412	0
NCGC00357116-01	0.075777017	0
NCGC00357010-01	0.095960347	0
NCGC00357057-01	0.525098485	1
NCGC00357171-01	0.006350726	0
NCGC00356964-01	0.107233767	0
NCGC00356995-01	0.218883024	0
NCGC00357062-01	0.474158334	0
NCGC00357205-01	0.189362765	0
NCGC00357185-01	0.188803675	0
NCGC00357028-01	0.424070048	0
NCGC00357064-01	0.070669617	0
NCGC00357196-01	0.144532087	0
NCGC00357271-01	0.344180017	0
NCGC00357213-01	0.078193967	0
NCGC00357198-01	0.026057983	0
NCGC00357079-01	0.013301416	0
NCGC00356984-01	0.434392249	0
NCGC00357080-01	0.322456962	0
NCGC00357173-01	0.005140752	0
NCGC00357277-01	0.084630382	0
NCGC00357240-01	0.264573122	0
NCGC00357145-01	0.037762559	0
NCGC00357157-01	0.011262607	0
NCGC00357160-01	0.150558082	0
NCGC00357107-01	0.060483243	0
NCGC00357106-01	0.14659059	0
NCGC00357047-01	0.126782699	0
NCGC00357174-01	0.17863266	0
NCGC00357090-01	0.173145761	0
NCGC00357204-01	0.000704274	0
NCGC00357214-01	0.02096052	0
NCGC00357124-01	0.012520477	0
NCGC00356983-01	0.401330051	0
NCGC00357092-01	0.006417185	0
NCGC00357042-01	0.01902788	0
NCGC00357036-01	0.319042422	0
NCGC00357089-01	0.100773654	0
NCGC00357170-01	0.028609168	0
NCGC00357132-01	0.110236343	0
NCGC00357265-01	0.007030299	0
NCGC00357260-01	0.035142885	0
NCGC00357023-01	0.54614397	1
NCGC00357114-01	0.083721884	0
NCGC00357033-01	0.003103823	0
NCGC00357120-01	0.076430153	0
NCGC00356963-01	0.029013687	0
NCGC00357055-01	0.346168179	0
NCGC00357139-01	0.000750201	0
NCGC00357026-01	0.404177556	0
NCGC00357242-01	0.319683251	0
NCGC00357161-01	0.059788454	0
NCGC00357279-01	0.037649051	0
NCGC00357288-01	0.9051889	1
NCGC00356973-01	0.006518124	0
NCGC00357143-01	0.012110134	0
NCGC00357182-01	0.01742536	0
NCGC00356971-01	0.000374916	0
NCGC00357084-01	0.001343206	0
NCGC00357112-01	0.004210985	0
NCGC00356962-01	0.398217969	0
NCGC00356993-01	0.36365132	0
NCGC00357284-01	0.314234882	0
NCGC00357046-01	0.12556417	0
NCGC00357000-01	0.121404035	0
NCGC00357012-01	0.441380286	0
NCGC00356939-01	0.013473363	0
NCGC00356955-01	0.20689346	0
NCGC00357262-01	0.165006561	0
NCGC00356991-01	0.148350301	0
NCGC00357203-01	0.176079162	0
NCGC00357049-01	0.06459757	0
NCGC00357164-01	0.02489359	0
NCGC00357073-01	0.024857861	0
NCGC00357043-01	0.078433098	0
NCGC00357269-01	0.005565967	0
NCGC00357266-01	0.000477216	0
NCGC00357076-01	0.035948822	0
NCGC00357153-01	0.006275223	0
NCGC00357138-01	0.066832495	0
NCGC00357071-01	0.002237999	0
NCGC00357274-01	0.029231015	0
NCGC00356981-01	0.010449821	0
NCGC00357278-01	0.010794636	0
NCGC00357113-01	0.004550443	0
NCGC00357218-01	0.677513453	1
NCGC00357018-01	0.873195518	1
NCGC00357048-01	0.002729269	0
NCGC00357162-01	0.000353079	0
NCGC00356941-01	0.005473078	0
NCGC00357184-01	0.003135521	0
NCGC00357238-01	0.223697895	0
NCGC00357220-01	0.292791962	0
NCGC00357252-01	0.089667008	0
NCGC00357159-01	0.054353705	0
NCGC00356947-01	0.073500038	0
NCGC00357063-01	0.007683382	0
NCGC00356982-01	0.183973618	0
NCGC00357219-01	0.467755878	0
NCGC00357037-01	0.00035562	0
NCGC00356975-01	0.01265146	0
NCGC00357169-01	0.009036738	0
NCGC00357022-01	0.031970706	0
NCGC00357165-01	0.000370027	0
NCGC00357122-01	0.151329824	0
NCGC00357212-01	0.011871654	0
NCGC00357263-01	0.11853057	0
NCGC00357052-01	0.049345363	0
NCGC00356952-01	0.07370926	0
NCGC00357225-01	0.003349584	0
NCGC00357105-01	0.011917836	0
NCGC00356944-01	0.00030014	0
NCGC00356977-01	0.375599196	0
NCGC00357053-01	0.014359126	0
NCGC00357202-01	0.004559429	0
NCGC00357013-01	0.491324336	0
NCGC00357131-01	0.002872422	0
NCGC00357127-01	0.032652694	0
NCGC00357147-01	0.010851144	0
NCGC00357267-01	0.005814354	0
NCGC00356979-01	0.000449927	0
NCGC00357179-01	0.007252106	0
NCGC00356945-01	0.00559641	0
NCGC00357068-01	0.026595236	0
NCGC00357002-01	0.606948133	1
NCGC00356974-01	0.004466092	0
NCGC00357109-01	0.703016187	1
NCGC00356988-01	0.245646435	0
NCGC00357117-01	0.259171456	0
NCGC00357239-01	0.01493171	0
NCGC00356961-01	0.038060723	0
NCGC00356966-01	0.002895804	0
NCGC00356996-01	0.036340321	0
NCGC00356950-01	0.16373557	0
NCGC00356969-01	0.000462824	0
NCGC00357050-01	0.006465288	0
NCGC00357258-01	0.009650033	0
NCGC00357186-01	0.011916356	0
NCGC00357115-01	0.001345304	0
NCGC00356940-01	0.223226761	0
NCGC00357130-01	0.019485626	0
NCGC00356959-01	0.057962737	0
NCGC00356985-01	0.016302974	0
NCGC00357125-01	0.020955277	0
NCGC00357270-01	0.004640599	0
NCGC00357031-01	0.022293016	0
NCGC00357137-01	0.02365187	0
NCGC00357102-01	0.037001877	0
NCGC00357228-01	0.020921053	0
NCGC00356965-01	0.537564001	1
NCGC00357151-01	0.051888208	0
NCGC00357280-01	0.523705239	1
NCGC00357097-01	0.187696124	0
NCGC00357272-01	0.023877143	0
NCGC00357229-01	0.054581627	0
NCGC00357200-01	0.073624409	0
NCGC00357273-01	0.109157675	0
NCGC00357088-01	0.004427969	0
NCGC00357101-01	0.004397759	0
NCGC00357287-01	0.184675038	0
NCGC00357253-01	0.128407279	0
NCGC00357177-01	0.154955067	0
NCGC00357152-01	0.085121889	0
NCGC00357140-01	0.293464853	0
NCGC00357086-01	0.10674474	0
NCGC00357150-01	0.188309216	0
NCGC00357040-01	0.298901999	0
NCGC00357232-01	0.00839346	0
NCGC00357172-01	0.167584814	0
NCGC00357135-01	0.091759906	0
NCGC00357207-01	0.428534396	0
NCGC00356990-01	0.077002781	0
NCGC00357276-01	0.017690463	0
NCGC00357016-01	0.04618407	0
NCGC00357247-01	0.217227759	0
NCGC00357183-01	0.354135616	0
NCGC00357286-01	0.229518889	0
NCGC00357255-01	0.337296205	0
NCGC00357025-01	0.029366179	0
NCGC00357008-01	0.058222784	0
NCGC00356987-01	0.057147053	0
NCGC00357128-01	0.328906376	0
NCGC00357129-01	0.066622217	0
NCGC00356978-01	0.166160015	0
NCGC00357072-01	0.572406389	1
NCGC00357195-01	0.047464622	0
NCGC00357215-01	0.026683427	0
NCGC00357038-01	0.385717715	0
NCGC00357208-01	0.706038441	1
NCGC00357099-01	0.698339133	1
NCGC00357007-01	0.320702071	0
NCGC00356989-01	0.125448615	0
NCGC00357246-01	0.158997626	0
NCGC00357081-01	0.388334103	0
NCGC00357281-01	0.490520874	0
NCGC00357244-01	0.089935017	0
NCGC00357194-01	0.083202327	0
NCGC00357193-01	0.041048371	0
NCGC00357006-01	0.299794874	0
NCGC00357041-01	0.030992239	0
NCGC00357074-01	0.001158454	0
NCGC00357166-01	0.050687657	0
NCGC00357070-01	0.004119994	0
NCGC00357222-01	0.010848701	0
NCGC00357245-01	0.008577974	0
NCGC00357217-01	0.051146011	0
NCGC00357015-01	0.13464096	0
NCGC00357261-01	0.131847269	0
NCGC00357060-01	0.007107934	0
NCGC00357104-01	0.064717054	0
NCGC00357248-01	0.04942762	0
NCGC00357176-01	0.059930111	0
NCGC00357187-01	0.024174371	0
NCGC00357066-01	0.003132204	0
NCGC00357154-01	0.039796009	0
NCGC00357216-01	0.010391416	0
NCGC00357148-01	0.562526066	1
NCGC00357078-01	0.038084646	0
NCGC00357027-01	0.135191561	0
NCGC00357134-01	0.404846549	0
NCGC00357180-01	0.395433658	0
NCGC00356986-01	0.077387977	0
NCGC00356946-01	0.080502666	0
NCGC00356970-01	0.513491994	1
NCGC00357191-01	0.219880932	0
NCGC00357077-01	0.153518698	0
NCGC00357069-01	0.017071449	0
NCGC00356958-01	0.419651163	0
NCGC00357121-01	0.170403989	0
NCGC00357067-01	0.046663777	0
NCGC00357243-01	0.145849668	0
NCGC00357100-01	0.017266102	0
NCGC00356960-01	0.073232395	0
NCGC00357136-01	0.021712429	0
NCGC00357158-01	0.125977397	0
NCGC00356942-01	0.552233386	1
NCGC00357126-01	0.314988655	0
NCGC00357110-01	0.50989745	1
NCGC00357178-01	0.601891705	1
NCGC00357167-01	0.308911075	0
NCGC00357096-01	0.176691817	0
NCGC00357230-01	0.558449797	1
NCGC00357257-01	0.047249255	0
NCGC00356951-01	0.039907621	0
NCGC00357241-01	0.494290166	0
NCGC00357024-01	0.513143494	1
NCGC00357233-01	0.166114592	0
NCGC00357197-01	0.02405273	0
NCGC00357149-01	0.084165916	0
NCGC00357142-01	0.069229326	0
NCGC00357231-01	0.353185587	0
NCGC00357044-01	0.286439279	0
NCGC00357209-01	0.346496404	0
NCGC00357045-01	0.269665561	0
NCGC00357075-01	0.390379201	0
NCGC00356938-01	0.062112004	0
NCGC00357065-01	0.09841173	0
NCGC00357094-01	0.201273055	0
NCGC00357083-01	0.030903466	0
NCGC00357085-01	0.394456806	0
NCGC00357236-01	0.061915614	0
NCGC00357035-01	0.003916376	0
NCGC00357108-01	0.152902448	0
NCGC00357235-01	0.038884268	0
NCGC00357224-01	0.202431897	0
NCGC00357211-01	0.053703913	0
NCGC00357039-01	0.000323681	0
NCGC00357264-01	0.296428607	0
NCGC00357285-01	0.190605101	0
NCGC00357032-01	0.066133205	0
NCGC00357146-01	0.177861164	0
NCGC00357059-01	0.108397827	0
NCGC00357061-01	0.033691663	0
NCGC00357190-01	0.081000951	0
NCGC00356943-01	0.083385453	0
NCGC00357237-01	0.09384813	0
NCGC00357005-01	0.077171781	0
NCGC00357251-01	0.587647278	1
NCGC00357034-01	0.080396641	0
NCGC00356992-01	0.342641252	0
NCGC00357254-01	0.01967307	0
NCGC00357199-01	0.134628301	0
NCGC00356957-01	0.391226853	0
NCGC00356968-01	0.031298633	0
NCGC00357268-01	0.102172119	0
NCGC00357256-01	0.022192338	0
NCGC00357141-01	0.252338857	0
NCGC00357093-01	0.039275779	0
NCGC00357087-01	0.076450064	0
NCGC00357223-01	0.01852162	0
NCGC00357119-01	0.016482945	0
NCGC00357003-01	0.037578485	0
NCGC00357058-01	0.013434114	0
NCGC00357275-01	0.159637314	0
NCGC00357014-01	0.483840288	0
NCGC00357011-01	0.634827221	1
NCGC00356976-01	0.339078278	0
NCGC00357175-01	0.508975327	1
NCGC00357021-01	0.274391379	0
NCGC00357221-01	0.427616282	0
NCGC00356972-01	0.042509166	0
NCGC00357133-01	0.037975015	0
NCGC00357181-01	0.105543499	0
NCGC00357056-01	0.20186609	0
NCGC00356980-01	0.100385822	0
NCGC00357206-01	0.06305795	0
NCGC00357250-01	0.170504746	0
NCGC00357227-01	0.104093088	0
NCGC00356997-01	0.050414856	0
NCGC00356998-01	0.051304953	0
NCGC00357282-01	0.087618727	0
NCGC00357029-01	0.327553378	0
NCGC00356948-01	0.165020094	0
NCGC00357054-01	0.136596133	0
NCGC00356956-01	0.219073437	0
NCGC00356994-01	0.6853841	1
NCGC00356949-01	0.48171378	0
NCGC00357234-01	0.045032444	0
NCGC00356967-01	0.016235839	0
NCGC00357111-01	0.223951608	0
NCGC00357155-01	0.037203416	0
NCGC00357098-01	0.111001897	0
NCGC00357156-01	0.092845565	0
NCGC00357019-01	0.368627935	0
NCGC00357095-01	0.078836558	0
NCGC00357226-01	0.119963855	0
NCGC00357249-01	0.603880397	1
NCGC00357017-01	0.526465286	1
NCGC00357259-01	0.368138519	0
NCGC00357051-01	0.509005189	1
NCGC00356954-01	0.034922138	0
NCGC00357020-01	0.054890751	0
NCGC00357168-01	0.025491378	0
NCGC00357283-01	0.063244083	0
NCGC00357210-01	0.083609581	0
NCGC00357118-01	0.437598114	0
NCGC00357144-01	0.073877795	0
NCGC00261289-01	3.00E-04	0
