Sample ID	Score	Activity
NCGC00357002-01	0.8582064211	1
NCGC00260831-01	0.8114915105	1
NCGC00260789-01	0.7631558436	1
NCGC00357109-01	0.7547312009	1
NCGC00261160-01	0.7534839646	1
NCGC00261130-01	0.748659709	1
NCGC00260858-01	0.7387606996	1
NCGC00261110-01	0.7309826692	1
NCGC00357018-01	0.7301857195	1
NCGC00261238-01	0.7230435428	1
NCGC00357148-01	0.7171910641	1
NCGC00261683-01	0.7129017191	1
NCGC00357218-01	0.7096872171	1
NCGC00261162-01	0.7045478135	1
NCGC00357014-01	0.703118386	1
NCGC00356984-01	0.700192713	1
NCGC00261166-01	0.6962479568	1
NCGC00356998-01	0.695247946	1
NCGC00357201-01	0.6933326809	1
NCGC00261915-01	0.6886144927	1
NCGC00260979-01	0.6857272654	1
NCGC00261380-01	0.6850107641	1
NCGC00356957-01	0.6848999072	1
NCGC00261577-01	0.6822273346	1
NCGC00356965-01	0.6815720274	1
NCGC00261333-01	0.6807168957	1
NCGC00356997-01	0.6799879859	1
NCGC00260875-01	0.6787497225	1
NCGC00357011-01	0.6760598345	1
NCGC00261142-01	0.6733609242	1
NCGC00261738-01	0.6723913796	1
NCGC00261619-01	0.6700675264	1
NCGC00261071-01	0.6695145418	1
NCGC00261009-01	0.6672652321	1
NCGC00357230-01	0.6658597555	1
NCGC00260962-01	0.6651537566	1
NCGC00261420-01	0.6635796391	1
NCGC00357219-01	0.6634603347	1
NCGC00260921-01	0.6592294275	1
NCGC00261030-01	0.6591651863	1
NCGC00261101-01	0.6591453714	1
NCGC00357221-01	0.658723612	1
NCGC00261178-01	0.6564181613	1
NCGC00356993-01	0.6550951704	1
NCGC00261713-01	0.654962547	1
NCGC00261075-01	0.6544811112	1
NCGC00261638-01	0.653550145	1
NCGC00356976-01	0.6532902088	1
NCGC00261782-01	0.6528758491	1
NCGC00261804-01	0.6521881607	1
NCGC00356970-01	0.651043727	1
NCGC00357057-01	0.6505339718	1
NCGC00261643-01	0.6504807166	1
NCGC00261332-01	0.6479041185	1
NCGC00260803-01	0.6473829635	1
NCGC00357001-01	0.6471933672	1
NCGC00357208-01	0.6471363264	1
