Sample ID	Score	Activity
NCGC00357189-01	1.163820082	1
NCGC00357110-01	1.06639853	1
NCGC00357007-01	1.030751097	1
NCGC00261764-01	1.029835133	1
NCGC00357057-01	1.02444651	1
NCGC00261653-01	0.992719614	1
NCGC00261260-01	0.973838264	1
NCGC00356984-01	0.938292202	1
NCGC00357201-01	0.937076993	1
NCGC00261737-01	0.917920706	1
NCGC00357011-01	0.90800736	1
NCGC00357219-01	0.868163154	1
NCGC00356965-01	0.860717203	1
NCGC00261160-01	0.826515841	1
NCGC00357175-01	0.79952423	1
NCGC00357005-01	0.795361186	1
NCGC00356997-01	0.792569077	1
NCGC00357004-01	0.792039402	1
NCGC00357208-01	0.784145867	1
NCGC00357099-01	0.784145867	1
NCGC00261683-01	0.783454362	1
NCGC00260696-01	0.78068893	1
NCGC00357288-01	0.76821832	1
NCGC00261162-01	0.767691168	1
NCGC00357014-01	0.761393986	1
NCGC00261582-01	0.755874091	1
NCGC00357002-01	0.752694131	1
NCGC00261812-01	0.746804502	1
NCGC00357072-01	0.746804502	1
NCGC00356989-01	0.7336412	1
NCGC00261948-01	0.721250166	1
NCGC00261304-01	0.717806993	1
NCGC00261352-01	0.692169529	1
NCGC00356962-01	0.680990046	1
NCGC00260979-01	0.665391211	1
NCGC00261739-01	0.662166695	1
NCGC00356998-01	0.661129395	1
NCGC00261833-01	0.660496372	1
NCGC00261713-01	0.659673185	1
NCGC00357148-01	0.656085198	1
NCGC00357109-01	0.649751886	1
NCGC00260803-01	0.649187373	1
NCGC00357132-01	0.647450462	1
NCGC00260993-01	0.645309015	1
NCGC00261672-01	0.636654931	1
NCGC00261065-01	0.635074075	1
NCGC00261813-01	0.590266582	1
NCGC00261910-01	0.590057028	1
NCGC00260866-01	0.586959942	1
NCGC00261853-01	0.581663389	1
NCGC00261110-01	0.580865507	1
NCGC00261028-01	0.55665395	1
NCGC00357117-01	0.54828468	1
NCGC00261804-01	0.542720077	1
NCGC00357221-01	0.539939636	1
NCGC00357218-01	0.536084789	1
NCGC00261643-01	0.534165061	1
NCGC00261130-01	0.531761176	1
NCGC00261825-01	0.525406709	1
NCGC00356988-01	0.52382727	1
NCGC00261178-01	0.521431837	1
NCGC00356942-01	0.516174399	1
NCGC00357018-01	0.511310236	1
NCGC00261150-01	0.509235668	1
NCGC00261915-01	0.506666338	1
NCGC00261166-01	0.506086469	1
NCGC00261817-01	0.503687036	1
NCGC00260789-01	0.492322668	1
NCGC00357009-01	0.486767592	1
NCGC00357246-01	0.482654043	1
NCGC00261008-01	0.479764441	1
NCGC00356995-01	0.473992635	1
NCGC00357126-01	0.47312569	1
NCGC00356961-01	0.469919013	1
NCGC00260990-01	0.46909119	1
NCGC00357209-01	0.46717062	1
NCGC00261802-01	0.465180595	1
NCGC00357038-01	0.459507143	1
NCGC00357122-01	0.45946943	1
NCGC00357178-01	0.45933748	1
NCGC00261475-01	0.455887384	1
NCGC00357259-01	0.455667099	1
NCGC00261049-01	0.453513991	1
NCGC00356983-01	0.449619073	1
NCGC00261916-01	0.447755678	1
NCGC00357264-01	0.446401645	1
NCGC00357275-01	0.4452457	1
NCGC00261075-01	0.441729469	1
NCGC00260840-01	0.438832693	1
NCGC00357023-01	0.437546382	1
NCGC00260921-01	0.430383132	1
NCGC00357108-01	0.429792572	1
NCGC00260707-01	0.42917799	1
NCGC00357167-01	0.42735035	1
NCGC00261933-01	0.425686019	1
NCGC00261601-01	0.419318033	1
NCGC00357111-01	0.419009393	1
NCGC00357281-01	0.415053103	1
NCGC00261941-01	0.412067687	1
NCGC00261108-01	0.409374709	1
NCGC00357255-01	0.40765034	1
NCGC00261238-01	0.400729357	1
NCGC00260833-01	0.399720027	1
NCGC00261619-01	0.399429702	1
NCGC00357017-01	0.39913371	1
NCGC00356993-01	0.389041744	1
NCGC00261704-01	0.388390946	1
NCGC00260962-01	0.385529432	1
NCGC00261662-01	0.383228043	1
NCGC00261382-01	0.382420557	1
NCGC00357207-01	0.379076123	1
NCGC00357044-01	0.376928761	1
NCGC00357234-01	0.37485493	1
NCGC00261856-01	0.373292161	1
NCGC00261333-01	0.367618877	1
NCGC00260834-01	0.357648324	1
NCGC00261529-01	0.355257503	1
NCGC00261906-01	0.353895538	1
NCGC00260972-01	0.350696975	1
NCGC00261583-01	0.341703491	0
NCGC00357249-01	0.341632948	0
NCGC00260911-01	0.341096086	0
NCGC00357145-01	0.340540301	0
NCGC00261903-01	0.33740705	0
NCGC00357185-01	0.335720345	0
NCGC00356958-01	0.33567552	0
NCGC00357019-01	0.335128621	0
NCGC00261163-01	0.334460467	0
NCGC00357043-01	0.334029055	0
NCGC00357082-01	0.33187975	0
NCGC00260831-01	0.330994972	0
NCGC00260858-01	0.327163416	0
NCGC00261142-01	0.325535436	0
NCGC00357097-01	0.324816061	0
NCGC00261939-01	0.324311605	0
NCGC00260875-01	0.32247983	0
NCGC00260821-01	0.322187211	0
NCGC00261682-01	0.322126907	0
NCGC00261718-01	0.319722114	0
NCGC00357028-01	0.31498517	0
NCGC00261446-01	0.311619172	0
NCGC00261480-01	0.309801311	0
NCGC00261900-01	0.307281951	0
NCGC00261395-01	0.306759361	0
NCGC00261058-01	0.30643702	0
NCGC00261597-01	0.30583104	0
NCGC00260957-01	0.305703268	0
NCGC00356994-01	0.2985752	0
NCGC00357021-01	0.294337581	0
NCGC00356949-01	0.290907758	0
NCGC00261542-01	0.288475704	0
NCGC00261069-01	0.28684326	0
NCGC00261081-01	0.286600635	0
