Sample ID	Score	Activity
NCGC00261348-01	0.2826	0
NCGC00260693-01	0.3097	0
NCGC00261503-01	0.3406	0
NCGC00261119-01	0.558	1
NCGC00260716-01	0.0549	0
NCGC00260703-01	0.2525	0
NCGC00260823-01	0.2551	0
NCGC00260731-01	0.6057	1
NCGC00261579-01	0.5707	1
NCGC00260782-01	0.4094	0
NCGC00261057-01	0.5046	1
NCGC00261683-01	0.5172	1
NCGC00261738-01	0.5629	1
NCGC00261313-01	0.3163	0
NCGC00260826-01	0.1531	0
NCGC00261633-01	0.3287	0
NCGC00260757-01	0.1733	0
NCGC00261052-01	0.5232	1
NCGC00261005-01	0.3788	0
NCGC00261190-01	0.5566	1
NCGC00260802-01	0.2184	0
NCGC00261842-01	0.4954	0
NCGC00261544-01	0.4959	0
NCGC00261541-01	0.463	0
NCGC00261812-01	0.5707	1
NCGC00261662-01	0.6289	1
NCGC00261649-01	0.3634	0
NCGC00260831-01	0.569	1
NCGC00261380-01	0.5337	1
NCGC00260869-01	0.3765	0
NCGC00261060-01	0.3383	0
NCGC00260846-01	0.588	1
NCGC00261162-01	0.7108	1
NCGC00261395-01	0.53	1
NCGC00261030-01	0.6131	1
NCGC00261856-01	0.5322	1
NCGC00261935-01	0.5109	1
NCGC00261926-01	0.518	1
NCGC00261423-01	0.5427	1
NCGC00261183-01	0.4552	0
NCGC00261924-01	0.3403	0
NCGC00261069-01	0.5507	1
NCGC00260921-01	0.536	1
NCGC00261110-01	0.661	1
NCGC00261101-01	0.5727	1
NCGC00260889-01	0.4413	0
NCGC00261619-01	0.5436	1
NCGC00261165-01	0.3262	0
NCGC00260698-01	0.5051	1
NCGC00261776-01	0.5037	1
NCGC00261861-01	0.5238	1
NCGC00261026-01	0.5093	1
NCGC00261079-01	0.482	0
NCGC00260990-01	0.5979	1
NCGC00261340-01	0.5741	1
NCGC00260811-01	0.4069	0
NCGC00261130-01	0.691	1
NCGC00260980-01	0.4565	0
NCGC00261730-01	0.2128	0
NCGC00261716-01	0.2389	0
NCGC00260706-01	0.5238	1
NCGC00261816-01	0.4036	0
NCGC00261404-01	0.4939	0
NCGC00261565-01	0.5556	1
NCGC00261424-01	0.4947	0
NCGC00261507-01	0.4916	0
NCGC00261744-01	0.4069	0
NCGC00261367-01	0.5154	1
NCGC00261058-01	0.5983	1
NCGC00260789-01	0.5139	1
NCGC00261717-01	0.499	0
NCGC00261420-01	0.5969	1
NCGC00261123-01	0.5775	1
NCGC00260742-01	0.536	1
NCGC00261529-01	0.5511	1
NCGC00261597-01	0.5218	1
NCGC00261389-01	0.4835	0
NCGC00261169-01	0.482	0
NCGC00261270-01	0.5335	1
NCGC00261826-01	0.4749	0
NCGC00261641-01	0.5074	1
NCGC00260866-01	0.419	0
NCGC00261624-01	0.518	1
NCGC00261947-01	0.3879	0
NCGC00261025-01	0.4803	0
NCGC00261853-01	0.5732	1
NCGC00261364-01	0.3995	0
NCGC00261820-01	0.2735	0
NCGC00260852-01	0.5058	1
NCGC00260911-01	0.5154	1
NCGC00261817-01	0.5469	1
NCGC00261085-01	0.5169	1
NCGC00261189-01	0.4061	0
NCGC00261704-01	0.5238	1
NCGC00261808-01	0.5091	1
NCGC00261290-01	0.2581	0
NCGC00261342-01	0.497	0
NCGC00261215-01	0.5128	1
NCGC00261866-01	0.5404	1
NCGC00260972-01	0.5576	1
NCGC00261304-01	0.5814	1
NCGC00261392-01	0.526	1
NCGC00261638-01	0.5883	1
NCGC00261170-01	0.4853	0
NCGC00261384-01	0.5014	1
NCGC00260696-01	0.5371	1
NCGC00261113-01	0.2917	0
NCGC00261133-01	0.5191	1
NCGC00260940-01	0.534	1
NCGC00261327-01	0.3487	0
NCGC00261568-01	0.2348	0
NCGC00261178-01	0.5421	1
NCGC00261076-01	0.3709	0
NCGC00261399-01	0.4506	0
NCGC00261611-01	0.5449	1
NCGC00261602-01	0.4848	0
NCGC00260798-01	0.4426	0
NCGC00261506-01	0.5165	1
NCGC00261071-01	0.502	1
NCGC00261160-01	0.6023	1
NCGC00261679-01	0.5617	1
NCGC00261941-01	0.5074	1
NCGC00260790-01	0.501	1
NCGC00260830-01	0.3889	0
NCGC00261903-01	0.5666	1
NCGC00261081-01	0.504	1
NCGC00261577-01	0.5875	1
NCGC00260850-01	0.5758	1
NCGC00261607-01	0.6084	1
NCGC00260708-01	0.1313	0
NCGC00260785-01	0.5582	1
NCGC00261192-01	0.372	0
NCGC00261390-01	0.2075	0
NCGC00261782-01	0.5786	1
NCGC00260948-01	0.2224	0
NCGC00260881-01	0.5125	1
NCGC00261009-01	0.5518	1
NCGC00261166-01	0.5856	1
NCGC00261352-01	0.5673	1
NCGC00261272-01	0.558	1
NCGC00261053-01	0.1809	0
NCGC00261915-01	0.5162	1
NCGC00260795-01	0.3358	0
NCGC00261129-01	0.1723	0
NCGC00260858-01	0.578	1
NCGC00261108-01	0.395	0
NCGC00260910-01	0.5418	1
NCGC00261510-01	0.5285	1
NCGC00261840-01	0.2176	0
NCGC00260979-01	0.5133	1
NCGC00261238-01	0.5905	1
NCGC00261877-01	0.4701	0
NCGC00261802-01	0.5908	1
NCGC00260957-01	0.5574	1
NCGC00260815-01	0.247	0
NCGC00261343-01	0.5412	1
NCGC00261153-01	0.5107	1
NCGC00261813-01	0.5385	1
NCGC00260875-01	0.5762	1
NCGC00261441-01	0.4881	0
NCGC00260993-01	0.5198	1
NCGC00261406-01	0.3216	0
NCGC00261914-01	0.5178	1
NCGC00261944-01	0.5021	1
NCGC00261764-01	0.438	0
NCGC00261332-01	0.5772	1
NCGC00261474-01	0.2998	0
NCGC00261260-01	0.6251	1
NCGC00261381-01	0.5124	1
NCGC00261321-01	0.3054	0
NCGC00261787-01	0.5137	1
NCGC00260892-01	0.4213	0
NCGC00261451-01	0.6496	1
NCGC00261297-01	0.4375	0
NCGC00261049-01	0.3563	0
NCGC00261958-01	0.3188	0
NCGC00261682-01	0.4274	0
NCGC00261663-01	0.5036	1
NCGC00261333-01	0.4572	0
NCGC00261426-01	0.5495	1
NCGC00260840-01	0.4317	0
NCGC00261804-01	0.463	0
NCGC00261065-01	0.6354	1
NCGC00261542-01	0.5483	1
NCGC00261446-01	0.5202	1
NCGC00260692-01	0.1382	0
NCGC00261155-01	0.3426	0
NCGC00260947-01	0.4393	0
NCGC00260775-01	0.2819	0
NCGC00261598-01	0.2973	0
NCGC00260876-01	0.2578	0
NCGC00261475-01	0.5927	1
NCGC00261177-01	0.442	0
NCGC00261037-01	0.4345	0
NCGC00260834-01	0.5296	1
NCGC00260833-01	0.2424	0
NCGC00261639-01	0.5074	1
NCGC00260871-01	0.5384	1
NCGC00261554-01	0.5474	1
NCGC00261126-01	0.6189	1
NCGC00261713-01	0.6025	1
NCGC00260743-01	0.3307	0
NCGC00261732-01	0.2237	0
NCGC00261019-01	0.2396	0
NCGC00261201-01	0.545	1
NCGC00261838-01	0.3396	0
NCGC00260982-01	0.1814	0
NCGC00261948-01	0.5267	1
NCGC00260867-01	0.2637	0
NCGC00260751-01	0.2786	0
NCGC00261718-01	0.5806	1
NCGC00261289-01	0.5713	1
NCGC00261440-01	0.1921	0
NCGC00261643-01	0.332	0
NCGC00261627-01	0.42	0
NCGC00261176-01	0.2171	0
NCGC00261519-01	0.3107	0
NCGC00261657-01	0.0645	0
NCGC00260803-01	0.3651	0
NCGC00261003-01	0.3988	0
NCGC00261563-01	0.2804	0
NCGC00261382-01	0.5559	1
NCGC00261900-01	0.5569	1
NCGC00261825-01	0.6008	1
NCGC00260770-01	0.3492	0
NCGC00261835-01	0.4178	0
NCGC00261008-01	0.2844	0
NCGC00260707-01	0.2599	0
NCGC00261480-01	0.3345	0
NCGC00261906-01	0.5191	1
NCGC00261882-01	0.501	1
NCGC00261013-01	0.396	0
NCGC00261869-01	0.438	0
NCGC00260713-01	0.5376	1
NCGC00261336-01	0.5067	1
NCGC00261487-01	0.3082	0
NCGC00261873-01	0.271	0
NCGC00261593-01	0.5556	1
NCGC00261248-01	0.2945	0
NCGC00261007-01	0.3866	0
NCGC00261686-01	0.3537	0
NCGC00261949-01	0.4385	0
NCGC00261910-01	0.6051	1
NCGC00261246-01	0.3026	0
NCGC00260822-01	0.5317	1
NCGC00261294-01	0.145	0
NCGC00260821-01	0.5608	1
NCGC00261916-01	0.582	1
NCGC00260691-01	0.3464	0
NCGC00261578-01	0.0339	0
NCGC00261939-01	0.5298	1
NCGC00261330-01	0.3249	0
NCGC00261860-01	0.5623	1
NCGC00261142-01	0.5582	1
NCGC00261833-01	0.5204	1
NCGC00260890-01	0.4084	0
NCGC00261147-01	0.3226	0
NCGC00261601-01	0.376	0
NCGC00261470-01	0.4529	0
NCGC00261075-01	0.5574	1
NCGC00261349-01	0.5056	1
NCGC00261150-01	0.5852	1
NCGC00261286-01	0.2265	0
NCGC00261161-01	0.2558	0
NCGC00261018-01	0.3869	0
NCGC00260817-01	0.2616	0
NCGC00261672-01	0.5359	1
NCGC00260728-01	0.2108	0
NCGC00261146-01	0.1607	0
NCGC00261824-01	0.5123	1
NCGC00261080-01	0.4086	0
NCGC00261583-01	0.5386	1
NCGC00261028-01	0.5294	1
NCGC00261254-01	0.5198	1
NCGC00261620-01	0.6403	1
NCGC00261163-01	0.5001	1
NCGC00261582-01	0.5245	1
NCGC00261495-01	0.4661	0
NCGC00261261-01	0.5408	1
NCGC00261737-01	0.5511	1
NCGC00357103-01	0.2783	0
NCGC00261933-01	0.3833	0
NCGC00260962-01	0.5668	1
NCGC00357009-01	0.1493	0
NCGC00261921-01	0.5573	1
NCGC00261693-01	0.5062	1
NCGC00357091-01	0.5185	1
NCGC00261913-01	0.3833	0
NCGC00357030-01	0.5268	1
NCGC00261653-01	0.5546	1
NCGC00356964-01	0.4754	0
NCGC00261293-01	0.5394	1
