Sample ID	Score	Activity
NCGC00260926-01	0.941816365	1
NCGC00260832-01	0.876791283	1
NCGC00261355-01	0.831558018	0
NCGC00260896-01	0.947625866	1
NCGC00261702-01	0.86911336	1
NCGC00261832-01	0.894085895	1
NCGC00261458-01	0.838117536	0
NCGC00261556-01	0.918039413	1
NCGC00261259-01	0.914807268	1
NCGC00261195-01	0.890726784	1
NCGC00261919-01	0.825265063	0
NCGC00261319-01	0.902785622	1
NCGC00261088-01	0.831288703	0
NCGC00261846-01	0.900682851	1
NCGC00261194-01	0.890348986	1
NCGC00261066-01	0.689654763	0
NCGC00261936-01	0.170747729	0
NCGC00261344-01	0.164255613	0
NCGC00261231-01	0.83765825	0
NCGC00261712-01	0.922127443	1
NCGC00260701-01	0.988694124	1
NCGC00261957-01	0.992237314	1
NCGC00261806-01	0.96947757	1
NCGC00261202-01	0.948073989	1
NCGC00261902-01	0.160595343	0
NCGC00261124-01	0.95089548	1
NCGC00261233-01	0.764282326	0
NCGC00261216-01	0.963190386	1
NCGC00260744-01	0.890202666	1
NCGC00261140-01	0.816448874	0
NCGC00261784-01	0.878113031	1
NCGC00261443-01	0.686620567	0
NCGC00261266-01	0.67857318	0
NCGC00261897-01	0.965571766	1
NCGC00261559-01	0.676211249	0
NCGC00261121-01	0.674666018	0
NCGC00261374-01	0.67033956	0
NCGC00261612-01	0.670139006	0
NCGC00261311-01	0.669169358	0
NCGC00261257-01	0.858596067	1
NCGC00260836-01	0.664110727	0
NCGC00261756-01	0.662879338	0
NCGC00261491-01	0.662037677	0
NCGC00261502-01	0.661879439	0
NCGC00261552-01	0.157966101	0
NCGC00261763-01	0.924206712	1
NCGC00260772-01	0.65469437	0
NCGC00261543-01	0.651070219	0
NCGC00261174-01	0.649433316	0
NCGC00261524-01	0.79275315	0
NCGC00261099-01	0.648111675	0
NCGC00261743-01	0.785890465	0
NCGC00261301-01	0.647032742	0
NCGC00260704-01	0.645980607	0
NCGC00260763-01	0.633184086	0
NCGC00261777-01	0.632056621	0
NCGC00261010-01	0.859910384	1
NCGC00261415-01	0.631815349	0
NCGC00260854-01	0.112460035	0
NCGC00261664-01	0.740812384	0
NCGC00260786-01	0.623724548	0
NCGC00260877-01	0.084162127	0
NCGC00261961-01	0.081020204	0
NCGC00261499-01	0.15783431	0
NCGC00260814-01	0.623542043	0
NCGC00261263-01	0.622931939	0
NCGC00261460-01	0.613289389	0
NCGC00260891-01	0.60349767	0
NCGC00260882-01	0.600248031	0
NCGC00261547-01	0.595499346	0
NCGC00261401-01	0.593814568	0
NCGC00261300-01	0.11241458	0
NCGC00261437-01	0.739602385	0
NCGC00261854-01	0.0798886	0
NCGC00260863-01	0.593244074	0
NCGC00261750-01	0.157415583	0
NCGC00261326-01	0.942113996	1
NCGC00260810-01	0.592738448	0
NCGC00261427-01	0.111791338	0
NCGC00261444-01	0.592098879	0
NCGC00261792-01	0.758297629	0
NCGC00261127-01	0.591482776	0
NCGC00261366-01	0.912906877	1
NCGC00261347-01	0.078915206	0
NCGC00261077-01	0.960268789	1
NCGC00261432-01	0.587066709	0
NCGC00260864-01	0.739391822	0
