Sample ID	Score	Activity
NCGC00261776-01	-0.3792	0
NCGC00261380-01	-0.8292	0
NCGC00261842-01	-0.3607	0
NCGC00261662-01	0.63	1
NCGC00261190-01	0.0857	1
NCGC00260731-01	0.2894	1
NCGC00261926-01	0.4004	1
NCGC00261579-01	-0.2583	0
NCGC00260921-01	0.7412	1
NCGC00261119-01	-0.3593	0
NCGC00261812-01	0.8	1
NCGC00260831-01	0.3263	1
NCGC00261544-01	-0.0491	0
NCGC00261619-01	-0.059	0
NCGC00261395-01	0.4266	1
NCGC00261717-01	-0.2363	0
NCGC00261947-01	-0.2442	0
NCGC00261424-01	0.3841	1
NCGC00261861-01	-0.1133	0
NCGC00261924-01	-0.1189	0
NCGC00261026-01	-0.5719	0
NCGC00261057-01	-0.4842	0
NCGC00261738-01	0.1347	1
NCGC00261348-01	-0.8959	0
NCGC00261503-01	-0.8284	0
NCGC00260693-01	-0.9879	0
NCGC00260703-01	-0.9885	0
NCGC00260716-01	-0.5484	0
NCGC00260782-01	-0.6081	0
NCGC00260802-01	-0.5995	0
NCGC00260823-01	-0.656	0
NCGC00260757-01	-0.6312	0
NCGC00260826-01	-0.7076	0
NCGC00260889-01	-0.53	0
NCGC00260811-01	-0.8061	0
NCGC00261165-01	-0.3011	0
NCGC00261060-01	-0.9373	0
NCGC00261541-01	-0.7418	0
NCGC00261649-01	-0.8681	0
NCGC00261110-01	0.4828	1
NCGC00261130-01	0.6395	1
NCGC00260846-01	0.7566	1
NCGC00261030-01	0.5484	1
NCGC00261162-01	0.9062	1
NCGC00261058-01	-0.0589	0
NCGC00261404-01	0.456	1
NCGC00261423-01	0.3293	1
NCGC00261856-01	0.7297	1
NCGC00261342-01	-0.1613	0
NCGC00261069-01	0.6336	1
NCGC00261101-01	0.1506	1
NCGC00261716-01	-0.5711	0
NCGC00260742-01	-0.5867	0
NCGC00261529-01	0.5815	1
NCGC00261170-01	-0.5128	0
NCGC00261565-01	-0.3649	0
NCGC00260990-01	0.1727	1
NCGC00261340-01	0.4908	1
NCGC00261079-01	-0.4103	0
NCGC00261389-01	-0.2241	0
NCGC00261744-01	-0.738	0
NCGC00261420-01	0.4429	1
NCGC00261215-01	-0.7423	0
