Sample ID	Score	Activity
NCGC00261900	0.6672	1
NCGC00260869	0.5636	0
NCGC00261776	0.7112	1
NCGC00261380	0.7488	1
NCGC00261842	0.5588	0
NCGC00261662	0.9092	1
NCGC00261190	0.6516	1
NCGC00260731	0.721	1
NCGC00261926	0.727	1
NCGC00261579	0.6172	1
NCGC00260921	0.848	1
NCGC00261119	0.553	0
NCGC00260957	0.7912	1
NCGC00261812	0.8318	1
NCGC00260831	0.8242	1
NCGC00261544	0.4932	0
NCGC00261619	0.8754	1
NCGC00261633	0.2208	0
NCGC00261395	0.6686	1
NCGC00261717	0.485	0
NCGC00261947	0.459	0
NCGC00261424	0.8086	1
NCGC00261861	0.8506	1
NCGC00261924	0.6738	1
NCGC00261052	0.436	0
NCGC00261683	0.6036	1
NCGC00261026	0.5584	0
NCGC00261057	0.418	0
NCGC00261738	0.5284	0
NCGC00261348	0.1918	0
NCGC00261503	0.347	0
NCGC00260693	0.2504	0
NCGC00260703	0.2458	0
NCGC00260716	0.1976	0
NCGC00260782	0.1956	0
NCGC00260802	0.076	0
NCGC00260823	0.5042	0
NCGC00261313	0.0278	0
NCGC00260757	0.261	0
NCGC00260826	0.3732	0
NCGC00261005	0.327	0
NCGC00260980	0.4972	0
NCGC00261816	0.5648	0
NCGC00260698	0.6296	1
NCGC00260889	0.519	0
NCGC00260811	0.5882	0
NCGC00261165	0.3322	0
NCGC00261060	0.095	0
NCGC00261541	0.2134	0
NCGC00261649	0.1164	0
NCGC00261110	0.597	0
NCGC00261130	0.7024	1
NCGC00260846	0.7396	1
NCGC00261030	0.6962	1
NCGC00261162	0.8842	1
NCGC00261058	0.7792	1
NCGC00261404	0.5178	0
NCGC00261423	0.6848	1
NCGC00261856	0.613	1
NCGC00261342	0.6622	1
NCGC00261935	0.3992	0
NCGC00261069	0.6524	1
NCGC00261101	0.7744	1
NCGC00261183	0.4104	0
NCGC00261716	0.3996	0
NCGC00260742	0.6502	1
NCGC00261529	0.7266	1
NCGC00261170	0.6788	1
NCGC00261565	0.6654	1
NCGC00260990	0.9248	1
NCGC00261340	0.5268	0
NCGC00261079	0.5222	0
NCGC00261389	0.7212	1
NCGC00261744	0.4632	0
NCGC00261420	0.5796	0
NCGC00261215	0.6498	1
NCGC00261826	0.585	0
NCGC00260706	0.6716	1
NCGC00261123	0.7704	1
NCGC00261367	0.3816	0
NCGC00261507	0.397	0
NCGC00261169	0.4092	0
NCGC00261730	0.2516	0
NCGC00261624	0.5766	0
NCGC00261641	0.5254	0
NCGC00261853	0.5348	0
NCGC00260911	0.5266	0
NCGC00260798	0.5284	0
NCGC00261384	0.5506	0
NCGC00260785	0.869	1
NCGC00261597	0.5128	0
NCGC00261025	0.4208	0
NCGC00260789	0.5232	0
NCGC00260866	0.7622	1
NCGC00261189	0.6192	1
NCGC00261270	0.532	0
NCGC00261611	0.6666	1
NCGC00261160	0.699	1
NCGC00261085	0.3022	0
NCGC00261817	0.6198	1
NCGC00261866	0.6056	1
NCGC00260852	0.6764	1
NCGC00261290	0.554	0
NCGC00261304	0.9088	1
NCGC00261704	0.7026	1
NCGC00260850	0.6988	1
NCGC00260972	0.6138	1
