Sample ID	Score	Activity
NCGC00260691	0.39355	0
NCGC00260692	0.11446	0
NCGC00260693	0.06663	0
NCGC00260696	0.51452	1
NCGC00260698	0.43501	0
NCGC00260703	0.05471	0
NCGC00260706	0.38578	0
NCGC00260707	0.22981	0
NCGC00260708	0.04524	0
NCGC00260713	0.50754	1
NCGC00260716	0.02003	0
NCGC00260728	0.17401	0
NCGC00260731	0.57134	1
NCGC00260742	0.50807	1
NCGC00260743	0.21133	0
NCGC00260751	0.10267	0
NCGC00260757	0.03956	0
NCGC00260770	0.14365	0
NCGC00260775	0.08872	0
NCGC00260782	0.05875	0
NCGC00260785	0.62115	1
NCGC00260789	0.71676	1
NCGC00260790	0.55368	1
NCGC00260795	0.51542	1
NCGC00260798	0.52999	1
NCGC00260802	0.03661	0
NCGC00260803	0.34583	0
NCGC00260811	0.35707	0
NCGC00260815	0.45108	0
NCGC00260817	0.18614	0
NCGC00260821	0.26364	0
NCGC00260822	0.50889	1
NCGC00260823	0.10504	0
NCGC00260826	0.14243	0
NCGC00260830	0.33358	0
NCGC00260831	0.76978	1
NCGC00260833	0.34307	0
NCGC00260834	0.46127	0
NCGC00260840	0.47254	0
NCGC00260846	0.57363	1
NCGC00260850	0.39618	0
NCGC00260852	0.34083	0
NCGC00260858	0.69172	1
NCGC00260866	0.37125	0
NCGC00260867	0.09820	0
NCGC00260869	0.34410	0
NCGC00260871	0.45648	0
NCGC00260875	0.57778	1
NCGC00260876	0.27970	0
NCGC00260881	0.34574	0
NCGC00260889	0.25224	0
NCGC00260890	0.44910	0
NCGC00260892	0.34505	0
NCGC00260910	0.47041	0
NCGC00260911	0.37835	0
NCGC00260921	0.64305	1
NCGC00260940	0.62727	1
NCGC00260947	0.50470	1
NCGC00260948	0.11789	0
NCGC00260957	0.60168	1
NCGC00260962	0.47803	0
NCGC00260972	0.48700	0
NCGC00260979	0.40726	0
NCGC00260980	0.33075	0
NCGC00260982	0.20321	0
NCGC00260990	0.72433	1
NCGC00260993	0.20437	0
NCGC00261003	0.17367	0
NCGC00261005	0.15300	0
NCGC00261007	0.15254	0
NCGC00261008	0.37578	0
NCGC00261009	0.57952	1
NCGC00261013	0.36558	0
NCGC00261018	0.22122	0
NCGC00261019	0.27728	0
NCGC00261025	0.22552	0
NCGC00261026	0.51161	1
NCGC00261028	0.42355	0
NCGC00261030	0.64373	1
NCGC00261037	0.25458	0
NCGC00261049	0.52806	1
NCGC00261052	0.28596	0
NCGC00261053	0.23252	0
NCGC00261057	0.39952	0
NCGC00261058	0.50919	1
NCGC00261060	0.06493	0
NCGC00261065	0.66138	1
NCGC00261071	0.50667	1
NCGC00261075	0.47942	0
NCGC00261076	0.17900	0
NCGC00261079	0.20672	0
NCGC00261080	0.45925	0
NCGC00261081	0.57618	1
NCGC00261085	0.20509	0
NCGC00261101	0.52402	1
NCGC00261108	0.20958	0
NCGC00261110	0.56138	1
NCGC00261113	0.29445	0
NCGC00261119	0.50082	1
NCGC00261123	0.51324	1
NCGC00261129	0.13793	0
NCGC00261130	0.80243	1
NCGC00261133	0.52475	1
NCGC00261141	0.45036	0
NCGC00261142	0.44173	0
NCGC00261146	0.07286	0
NCGC00261147	0.43580	0
NCGC00261150	0.47261	0
NCGC00261153	0.38950	0
NCGC00261155	0.28387	0
NCGC00261160	0.65101	1
NCGC00261161	0.22400	0
NCGC00261162	0.80758	1
NCGC00261163	0.53671	1
NCGC00261165	0.34142	0
NCGC00261166	0.58920	1
NCGC00261169	0.40436	0
NCGC00261170	0.53266	1
NCGC00261176	0.18530	0
NCGC00261177	0.39298	0
NCGC00261178	0.59729	1
NCGC00261183	0.35401	0
NCGC00261189	0.21166	0
NCGC00261190	0.54892	1
NCGC00261192	0.42292	0
NCGC00261201	0.44298	0
NCGC00261215	0.49548	0
NCGC00261238	0.42447	0
NCGC00261246	0.16546	0
NCGC00261248	0.22487	0
NCGC00261254	0.17379	0
NCGC00261260	0.70735	1
NCGC00261261	0.17865	0
NCGC00261270	0.49253	0
NCGC00261272	0.54712	1
NCGC00261286	0.45511	0
NCGC00261290	0.33840	0
NCGC00261293	0.32308	0
NCGC00261294	0.14559	0
NCGC00261297	0.37307	0
NCGC00261304	0.55894	1
NCGC00261313	0.11244	0
NCGC00261321	0.29553	0
NCGC00261327	0.16193	0
NCGC00261330	0.31497	0
NCGC00261332	0.72814	1
NCGC00261333	0.59960	1
NCGC00261336	0.27975	0
NCGC00261340	0.45563	0
