Sample ID	Score	Activity
NCGC00261900-01	0.39749	0
NCGC00260869-01	0.26599	0
NCGC00261776-01	0.29092	0
NCGC00261380-01	0.20851	0
NCGC00261842-01	0.17999	0
NCGC00261662-01	0.28276	0
NCGC00261190-01	0.33664	0
NCGC00260731-01	0.15781	0
NCGC00261926-01	0.34455	0
NCGC00261579-01	0.18747	0
NCGC00260921-01	0.24828	0
NCGC00261119-01	0.18712	0
NCGC00260957-01	0.33226	0
NCGC00261812-01	0.46887	0
NCGC00260831-01	0.407	0
NCGC00261544-01	0.15861	0
NCGC00261619-01	0.30794	0
NCGC00261633-01	0.12705	0
NCGC00261395-01	0.35461	0
NCGC00261717-01	0.31794	0
NCGC00261947-01	0.34265	0
NCGC00261424-01	0.29485	0
NCGC00261861-01	0.28886	0
NCGC00261924-01	0.11696	0
NCGC00261052-01	0.26855	0
NCGC00261683-01	0.59167	1
NCGC00261026-01	0.32168	0
NCGC00261057-01	0.13051	0
NCGC00261738-01	0.13847	0
NCGC00261348-01	0.05053	0
NCGC00261503-01	0.12967	0
NCGC00260693-01	0.1658	0
NCGC00260703-01	0.1187	0
NCGC00260716-01	0.01	0
NCGC00260782-01	0.1624	0
NCGC00260802-01	0.14471	0
NCGC00260823-01	0.05981	0
NCGC00261313-01	0.27902	0
NCGC00260757-01	0.09518	0
NCGC00260826-01	0.02033	0
NCGC00261005-01	0.11973	0
NCGC00260980-01	0.23625	0
NCGC00261816-01	0.20586	0
NCGC00260698-01	0.1062	0
NCGC00260889-01	0.16924	0
NCGC00260811-01	0.09584	0
NCGC00261165-01	0.20752	0
NCGC00261060-01	0.10944	0
NCGC00261541-01	0.21602	0
NCGC00261649-01	0.08327	0
NCGC00261110-01	0.62022	1
NCGC00261130-01	0.71645	1
NCGC00260846-01	0.48896	0
NCGC00261030-01	0.25894	0
NCGC00261162-01	0.6752	1
NCGC00261058-01	0.39376	0
NCGC00261404-01	0.25908	0
NCGC00261423-01	0.18242	0
NCGC00261856-01	0.25038	0
NCGC00261342-01	0.27819	0
NCGC00261935-01	0.07211	0
NCGC00261069-01	0.27826	0
NCGC00261101-01	0.207	0
NCGC00261183-01	0.25483	0
NCGC00261716-01	0.17023	0
NCGC00260742-01	0.21232	0
NCGC00261529-01	0.24739	0
NCGC00261170-01	0.13091	0
NCGC00261565-01	0.23835	0
NCGC00260990-01	0.36237	0
NCGC00261340-01	0.27726	0
NCGC00261079-01	0.17882	0
NCGC00261389-01	0.25018	0
NCGC00261744-01	0.26198	0
NCGC00261420-01	0.21706	0
NCGC00261215-01	0.2237	0
NCGC00261826-01	0.27033	0
NCGC00260706-01	0.12867	0
NCGC00261123-01	0.34604	0
NCGC00261367-01	0.24762	0
NCGC00261507-01	0.1865	0
NCGC00261169-01	0.24481	0
NCGC00261730-01	0.21358	0
NCGC00261624-01	0.11952	0
NCGC00261641-01	0.18923	0
NCGC00261853-01	0.44016	0
NCGC00260911-01	0.28574	0
NCGC00260798-01	0.1634	0
NCGC00261384-01	0.16967	0
NCGC00260785-01	0.26772	0
NCGC00261597-01	0.42301	0
NCGC00261025-01	0.08912	0
NCGC00260789-01	0.59201	1
NCGC00260866-01	0.35926	0
