Name	Score	Activity
NCGC00357026	0.785018695	1
NCGC00357259	0.908400504	1
NCGC00357053	0.082846247	0
NCGC00261611	0.487667732	0
NCGC00261563	0.161952234	0
NCGC00261075	0.309044857	0
NCGC00357227	0.339644036	0
NCGC00261495	0.234281911	0
NCGC00357018	0.902953489	1
NCGC00261544	0.406735277	0
NCGC00261817	0.511027039	0
NCGC00357252	0.715221878	1
NCGC00357140	0.617679314	1
NCGC00357057	0.824686909	1
NCGC00356975	0.177144934	0
NCGC00357062	0.690013568	1
NCGC00357235	0.247776027	0
NCGC00260716	0.109142293	0
NCGC00261336	0.108753554	0
NCGC00357014	0.515861941	0
NCGC00261272	0.711392253	1
NCGC00261238	0.369158715	0
NCGC00261935	0.266375932	0
NCGC00357264	0.835715334	1
NCGC00357182	0.030873461	0
NCGC00357153	0.106335421	0
NCGC00261142	0.606928103	0
NCGC00261752	0.767121229	1
NCGC00356983	0.93824951	1
NCGC00357118	0.71092835	1
NCGC00261828	0.744017243	1
NCGC00357191	0.752583095	1
NCGC00357167	0.794210898	1
NCGC00260911	0.623173691	1
NCGC00357025	0.295335188	0
NCGC00357101	0.042013494	0
NCGC00261065	0.85060432	1
NCGC00357229	0.283684262	0
NCGC00261053	0.061254049	0
NCGC00261183	0.389005769	0
NCGC00357147	0.163590856	0
NCGC00357209	0.79892594	1
NCGC00260822	0.756940815	1
NCGC00356954	0.040609994	0
NCGC00261330	0.131512362	0
NCGC00261835	0.697887175	1
NCGC00357081	0.615091569	1
NCGC00261404	0.346502176	0
NCGC00260713	0.435051034	0
NCGC00357056	0.353479447	0
NCGC00357095	0.190895433	0
NCGC00357138	0.047097323	0
NCGC00261686	0.302542623	0
NCGC00357189	0.743133382	1
NCGC00261582	0.480925535	0
NCGC00260802	0.043401355	0
NCGC00261395	0.661460662	1
NCGC00356951	0.091787183	0
NCGC00261767	0.432734578	0
NCGC00357187	0.520025744	0
NCGC00261638	0.584465158	1
NCGC00261155	0.350815333	0
NCGC00356984	0.878116591	1
NCGC00261704	0.598732334	1
NCGC00357102	0.488064541	0
NCGC00357276	0.646700997	1
NCGC00357251	0.808325636	1
NCGC00260921	0.801325168	1
NCGC00356944	0.049336801	0
NCGC00357260	0.270524209	0
NCGC00261633	0.337988774	0
NCGC00357093	0.19379953	0
NCGC00356985	0.080126441	0
NCGC00357085	0.468779048	0
NCGC00260708	0.036373205	0
NCGC00356980	0.377447457	0
NCGC00357009	0.815965901	1
NCGC00357016	0.262126187	0
NCGC00356998	0.441628357	0
NCGC00260782	0.097666623	0
NCGC00357074	0.116677415	0
NCGC00357171	0.05517497	0
NCGC00357230	0.791139958	1
NCGC00357002	0.807225887	1
NCGC00261866	0.252027656	0
NCGC00261825	0.869807131	1
NCGC00356965	0.885175282	1
NCGC00356952	0.145639383	0
NCGC00261662	0.927261869	1
NCGC00260826	0.096917752	0
NCGC00357133	0.080504764	0
NCGC00357006	0.452123422	0
NCGC00261653	0.629980861	1
NCGC00261826	0.276836881	0
NCGC00357061	0.259030947	0
NCGC00357165	0.10922584	0
NCGC00357172	0.807295101	1
NCGC00260821	0.256972703	0
NCGC00261392	0.102924913	0
NCGC00261873	0.203765409	0
NCGC00357181	0.431038923	0
NCGC00357143	0.183149654	0
NCGC00357089	0.196446877	0
NCGC00357205	0.39046121	0
NCGC00357173	0.080819636	0
NCGC00357079	0.068666353	0
NCGC00260830	0.374355804	0
NCGC00261163	0.754446231	1
