Sample ID	Score	Activity
NCGC00261900-01	0.23652	0
NCGC00260869-01	0.22636	0
NCGC00261776-01	0.2207	0
NCGC00261380-01	0.20114	0
NCGC00261842-01	0.17916	0
NCGC00261662-01	0.22838	0
NCGC00261190-01	0.2379	0
NCGC00260731-01	0.16865	0
NCGC00261926-01	0.23035	0
NCGC00261579-01	0.19574	0
NCGC00260921-01	0.24922	0
NCGC00261119-01	0.18476	0
NCGC00260957-01	0.23221	0
NCGC00261812-01	0.23321	0
NCGC00260831-01	0.29372	0
NCGC00261544-01	0.19274	0
NCGC00261619-01	0.22792	0
NCGC00261633-01	0.15712	0
NCGC00261395-01	0.23413	0
NCGC00261717-01	0.23519	0
NCGC00261947-01	0.23606	0
NCGC00261424-01	0.22705	0
NCGC00261861-01	0.21227	0
NCGC00261924-01	0.13453	0
NCGC00261052-01	0.23409	0
NCGC00261683-01	0.40574	0
NCGC00261026-01	0.23252	0
NCGC00261057-01	0.17352	0
NCGC00261738-01	0.19692	0
NCGC00261348-01	0.10723	0
NCGC00261503-01	0.16562	0
NCGC00260693-01	0.12772	0
NCGC00260703-01	0.09953	0
NCGC00260716-01	0.04636	0
NCGC00260782-01	0.1394	0
NCGC00260802-01	0.19682	0
NCGC00260823-01	0.07523	0
NCGC00261313-01	0.14084	0
NCGC00260757-01	0.13924	0
NCGC00260826-01	0.05944	0
NCGC00261005-01	0.11182	0
NCGC00260980-01	0.22087	0
NCGC00261816-01	0.21149	0
NCGC00260698-01	0.1819	0
NCGC00260889-01	0.19556	0
NCGC00260811-01	0.19661	0
NCGC00261165-01	0.22234	0
NCGC00261060-01	0.13524	0
NCGC00261541-01	0.16132	0
NCGC00261649-01	0.12236	0
NCGC00261110-01	0.46278	0
NCGC00261130-01	0.44907	0
NCGC00260846-01	0.34516	0
NCGC00261030-01	0.45028	0
NCGC00261162-01	0.87304	1
NCGC00261058-01	0.23398	0
NCGC00261404-01	0.20512	0
NCGC00261423-01	0.15801	0
NCGC00261856-01	0.19908	0
NCGC00261342-01	0.2346	0
NCGC00261935-01	0.05545	0
NCGC00261069-01	0.29431	0
NCGC00261101-01	0.2158	0
NCGC00261183-01	0.22108	0
NCGC00261716-01	0.20924	0
NCGC00260742-01	0.21997	0
NCGC00261529-01	0.20004	0
NCGC00261170-01	0.15377	0
NCGC00261565-01	0.20669	0
NCGC00260990-01	0.27524	0
NCGC00261340-01	0.28525	0
NCGC00261079-01	0.19166	0
NCGC00261389-01	0.2306	0
NCGC00261744-01	0.22034	0
NCGC00261420-01	0.18301	0
NCGC00261215-01	0.22935	0
NCGC00261826-01	0.21921	0
NCGC00260706-01	0.16978	0
NCGC00261123-01	0.24475	0
NCGC00261367-01	0.21767	0
NCGC00261507-01	0.20175	0
NCGC00261169-01	0.21951	0
NCGC00261730-01	0.15749	0
NCGC00261624-01	0.16359	0
NCGC00261641-01	0.16417	0
NCGC00261853-01	0.27998	0
NCGC00260911-01	0.22726	0
NCGC00260798-01	0.19217	0
NCGC00261384-01	0.20862	0
NCGC00260785-01	0.22338	0
NCGC00261597-01	0.25582	0
NCGC00261025-01	0.12166	0
NCGC00260789-01	0.31379	0
NCGC00260866-01	0.22488	0
NCGC00261189-01	0.21241	0
NCGC00261270-01	0.27295	0
NCGC00261611-01	0.23176	0
NCGC00261160-01	0.24824	0
NCGC00261085-01	0.09434	0
NCGC00261817-01	0.21455	0
NCGC00261866-01	0.22191	0
NCGC00260852-01	0.19083	0
NCGC00261290-01	0.18683	0
NCGC00261304-01	0.24306	0
NCGC00261704-01	0.21688	0
NCGC00260850-01	0.2286	0
NCGC00260972-01	0.22287	0
NCGC00261364-01	0.07875	0
NCGC00261392-01	0.207	0
NCGC00261638-01	0.20811	0
NCGC00261820-01	0.172	0
NCGC00261808-01	0.19357	0
NCGC00260790-01	0.17147	0
NCGC00260940-01	0.22616	0
NCGC00261081-01	0.21261	0
NCGC00261506-01	0.23081	0
NCGC00261133-01	0.22365	0
NCGC00261399-01	0.22756	0
NCGC00260696-01	0.30265	0
NCGC00261903-01	0.22025	0
NCGC00261178-01	0.22666	0
NCGC00261568-01	0.22448	0
NCGC00260830-01	0.2129	0
NCGC00261113-01	0.15179	0
NCGC00261327-01	0.17229	0
NCGC00261602-01	0.17515	0
NCGC00260858-01	0.39852	0
NCGC00261071-01	0.22632	0
NCGC00261076-01	0.18672	0
NCGC00261192-01	0.2335	0
NCGC00261495-01	0.1728	0
NCGC00261577-01	0.24744	0
NCGC00261510-01	0.22925	0
NCGC00261679-01	0.18964	0
NCGC00261941-01	0.21679	0
