Sample ID	Score	Activity
NCGC00261900-01	0.35967	1
NCGC00260869-01	-0.20165	0
NCGC00261776-01	-0.0682	0
NCGC00261380-01	-0.90999	0
NCGC00261842-01	-1.20684	0
NCGC00261662-01	0.66539	1
NCGC00261190-01	0.31597	1
NCGC00260731-01	0.04885	1
NCGC00261926-01	0.2662	1
NCGC00261579-01	-0.43174	0
NCGC00260921-01	0.65079	1
NCGC00261119-01	-0.16702	0
NCGC00260957-01	0.57834	1
NCGC00261812-01	0.41842	1
NCGC00260831-01	0.2273	1
NCGC00261544-01	-0.08877	0
NCGC00261619-01	0.70045	1
NCGC00261633-01	-0.26939	0
NCGC00261395-01	0.33031	1
NCGC00261717-01	-0.09291	0
NCGC00261947-01	0.00141	1
NCGC00261424-01	0.43905	1
NCGC00261861-01	0.53581	1
NCGC00261924-01	0.83496	1
NCGC00261052-01	0.82524	1
NCGC00261683-01	0.2802	1
NCGC00261026-01	0.3532	1
NCGC00261057-01	-0.88774	0
NCGC00261738-01	-0.30685	0
NCGC00261348-01	-0.80476	0
NCGC00261503-01	-0.31235	0
NCGC00260693-01	-0.94722	0
NCGC00260703-01	-1.04327	0
NCGC00260716-01	-0.35069	0
NCGC00260782-01	-0.39111	0
NCGC00260802-01	-0.30126	0
NCGC00260823-01	-0.78221	0
NCGC00261313-01	-0.13584	0
NCGC00260757-01	-0.34549	0
NCGC00260826-01	-0.52325	0
NCGC00261005-01	-0.81117	0
NCGC00260980-01	0.01059	1
NCGC00261816-01	-0.39979	0
NCGC00260698-01	-0.50118	0
NCGC00260889-01	-0.06365	0
NCGC00260811-01	-0.89662	0
NCGC00261165-01	-1.40852	0
NCGC00261060-01	-1.10364	0
NCGC00261541-01	-0.78154	0
NCGC00261649-01	-0.65704	0
NCGC00261110-01	-0.04404	0
NCGC00261130-01	0.34758	1
NCGC00260846-01	0.59904	1
NCGC00261030-01	1.00001	1
NCGC00261162-01	1.4882	1
NCGC00261058-01	0.33745	1
NCGC00261404-01	0.53494	1
NCGC00261423-01	-0.04714	0
NCGC00261856-01	0.2038	1
NCGC00261342-01	0.17589	1
NCGC00261935-01	0.32792	1
NCGC00261069-01	0.74643	1
NCGC00261101-01	0.29934	1
NCGC00261183-01	0.04449	1
NCGC00261716-01	-0.71999	0
NCGC00260742-01	-1.00176	0
NCGC00261529-01	0.08501	1
