Sample ID	Score	Activity
NCGC00261662-01	0.519960207	0
NCGC00260731-01	0.379321113	0
NCGC00261190-01	0.302286148	0
NCGC00261842-01	0.251994226	0
NCGC00261380-01	0.310402275	0
NCGC00261776-01	0.455041193	0
NCGC00260869-01	0.307417459	0
NCGC00261579-01	0.319140740	0
NCGC00261119-01	0.225353075	0
NCGC00260831-01	0.497143524	0
NCGC00261812-01	0.460651114	0
NCGC00261544-01	0.367281892	0
NCGC00261926-01	0.298560979	0
NCGC00260921-01	0.303780565	0
NCGC00261619-01	0.412478268	0
NCGC00261633-01	0.262569908	0
NCGC00261924-01	0.260147425	0
NCGC00261052-01	0.273127990	0
NCGC00261861-01	0.357774971	0
NCGC00261424-01	0.240157605	0
NCGC00261395-01	0.509309655	0
NCGC00261947-01	0.254804491	0
NCGC00261717-01	0.307741581	0
NCGC00261683-01	0.420767928	0
NCGC00261057-01	0.203027362	0
NCGC00261348-01	0.184781284	0
NCGC00261738-01	0.264752470	0
NCGC00261503-01	0.270460868	0
NCGC00260693-01	0.188782576	0
NCGC00261026-01	0.372789662	0
NCGC00260716-01	0.216195111	0
NCGC00260802-01	0.193670842	0
NCGC00260703-01	0.159170507	0
NCGC00260823-01	0.205144120	0
NCGC00260782-01	0.172139634	0
NCGC00261313-01	0.199441462	0
NCGC00260757-01	0.245255641	0
NCGC00260826-01	0.198682228	0
NCGC00261005-01	0.209728639	0
NCGC00260698-01	0.184411363	0
NCGC00260980-01	0.216638044	0
NCGC00261816-01	0.236876912	0
NCGC00260889-01	0.256360783	0
NCGC00260811-01	0.202099653	0
NCGC00261060-01	0.143679407	0
NCGC00261541-01	0.167341887	0
NCGC00261649-01	0.159131654	0
NCGC00261165-01	0.265571745	0
NCGC00261162-01	0.573883836	0
NCGC00261030-01	0.402970838	0
NCGC00260846-01	0.360893333	0
NCGC00261130-01	0.569249620	0
NCGC00261110-01	0.517807521	0
NCGC00261423-01	0.334272241	0
NCGC00261856-01	0.346410012	0
NCGC00261058-01	0.359151328	0
NCGC00261404-01	0.287081454	0
NCGC00261935-01	0.198817546	0
NCGC00261069-01	0	0
NCGC00261183-01	0.295821571	0
NCGC00261101-01	0.331191337	0
NCGC00261716-01	0.216534901	0
NCGC00260742-01	0.309417175	0
NCGC00261529-01	0.340011753	0
NCGC00261340-01	0.450754467	0
NCGC00261079-01	0.256431759	0
NCGC00260990-01	0.534087438	0
NCGC00261565-01	0.200105735	0
NCGC00261342-01	0.180932532	0
NCGC00261744-01	0.197117237	0
NCGC00261389-01	0.272562429	0
NCGC00261420-01	0.290217498	0
NCGC00261123-01	0.374326299	0
NCGC00261507-01	0.223294870	0
NCGC00261826-01	0.253731485	0
NCGC00260706-01	0.292364958	0
NCGC00261367-01	0.206077050	0
NCGC00261730-01	0.201657983	0
NCGC00261624-01	0.267864446	0
NCGC00261169-01	0.287281482	0
NCGC00261215-01	0.291194766	0
NCGC00261853-01	0.341959006	0
NCGC00260911-01	0.264978883	0
NCGC00261641-01	0.197416015	0
NCGC00261384-01	0.273691443	0
NCGC00261170-01	0.285982398	0
NCGC00260798-01	0.445044903	0
NCGC00261025-01	0.237965298	0
NCGC00260785-01	0.441484011	0
NCGC00261597-01	0.418378368	0
NCGC00261189-01	0.255028399	0
NCGC00260789-01	0.316966705	0
NCGC00261160-01	0.585323043	0
NCGC00260866-01	0.286440195	0
NCGC00261085-01	0.277368793	0
NCGC00261611-01	0.347650467	0
NCGC00261817-01	0.245180481	0
NCGC00261866-01	0.268273608	0
NCGC00261270-01	0.350550835	0
NCGC00261304-01	0.405039200	0
NCGC00260972-01	0.281068428	0
NCGC00260850-01	0.328720125	0
NCGC00261704-01	0.313360566	0
NCGC00261290-01	0.199535818	0
NCGC00261364-01	0.282710184	0
NCGC00261392-01	0.242644235	0
NCGC00260852-01	0.295870520	0
NCGC00261820-01	0.176136875	0
NCGC00260790-01	0.357007489	0
NCGC00261638-01	0.193137089	0
NCGC00260940-01	0.335807524	0
NCGC00261808-01	0.237754038	0
NCGC00261133-01	0.287071154	0
NCGC00261903-01	0.398314821	0
NCGC00261081-01	0.355439764	0
NCGC00261399-01	0.396341679	0
NCGC00260696-01	0.295564027	0
NCGC00261506-01	0.414357169	0
NCGC00260957-01	0.439991230	0
NCGC00261178-01	0.369315977	0
NCGC00261113-01	0.175416633	0
NCGC00260830-01	0.190981153	0
NCGC00261602-01	0.240301531	0
NCGC00261327-01	0.175814072	0
NCGC00261900-01	0.412695007	0
NCGC00261568-01	0.270685339	0
NCGC00261071-01	0.295875907	0
NCGC00261076-01	0.254678854	0
NCGC00261192-01	0.289372625	0
NCGC00261679-01	0.368952293	0
NCGC00260858-01	0.481083958	0
NCGC00261343-01	0.263524211	0
NCGC00261607-01	0.218408412	0
NCGC00261782-01	0.278299090	0
NCGC00261577-01	0.367971094	0
NCGC00261941-01	0.387780309	0
NCGC00261510-01	0.328090587	0
NCGC00261914-01	0.353490126	0
NCGC00261764-01	0.404964074	0
NCGC00260795-01	0.219213325	0
NCGC00261802-01	0.542364272	0
NCGC00261352-01	0.566199112	0
NCGC00261009-01	0.360102339	0
NCGC00261166-01	0.362269877	0
NCGC00261944-01	0.362510491	0
NCGC00261238-01	0.276695425	0
NCGC00261915-01	0.387018236	0
NCGC00261332-01	0.466963761	0
NCGC00261813-01	0.322659992	0
NCGC00261260-01	0.446917160	0
NCGC00261475-01	0.383902066	0
NCGC00261682-01	0.357158861	0
NCGC00261333-01	0.314941833	0
NCGC00261272-01	0.326992588	0
NCGC00260708-01	0.181976490	0
NCGC00261049-01	0.364694215	0
NCGC00260948-01	0.199436095	0
NCGC00260881-01	0.251237943	0
NCGC00260910-01	0.265072585	0
NCGC00261153-01	0.230924784	0
NCGC00261840-01	0.271389433	0
NCGC00261053-01	0.146907280	0
NCGC00261129-01	0.174276752	0
NCGC00261390-01	0.207155985	0
NCGC00261406-01	0.214071655	0
NCGC00261108-01	0.257114406	0
NCGC00260979-01	0.314244742	0
NCGC00261877-01	0.181904527	0
NCGC00260993-01	0.264291230	0
NCGC00261381-01	0.330671667	0
NCGC00261426-01	0.487725795	0
NCGC00260815-01	0.298468468	0
NCGC00261495-01	0.244679031	0
NCGC00261065-01	0.483446162	0
NCGC00261441-01	0.215635632	0
NCGC00261542-01	0.294682460	0
NCGC00260875-01	0.336290979	0
NCGC00261787-01	0.175820407	0
NCGC00261451-01	0	0
NCGC00260892-01	0.222823956	0
NCGC00261958-01	0.214321253	0
NCGC00261804-01	0.301920186	0
NCGC00261321-01	0.219487963	0
NCGC00261297-01	0.203225157	0
NCGC00261663-01	0.219047898	0
NCGC00261382-01	0.352800588	0
NCGC00261474-01	0.186797919	0
NCGC00261948-01	0.335372163	0
NCGC00260840-01	0.264623472	0
NCGC00260834-01	0.240315552	0
NCGC00260947-01	0.308803042	0
NCGC00260833-01	0.214278946	0
NCGC00261739-01	0.320277954	0
NCGC00260803-01	0.258609347	0
NCGC00261873-01	0.258297642	0
NCGC00261446-01	0.305458262	0
NCGC00261563-01	0.259241344	0
NCGC00260871-01	0.203812572	0
NCGC00261155-01	0.206738602	0
NCGC00261008-01	0.233080054	0
NCGC00261080-01	0.244426396	0
NCGC00261037-01	0.209849841	0
NCGC00261643-01	0.248613064	0
NCGC00261487-01	0.254642030	0
NCGC00261126-01	0	0
NCGC00261480-01	0.203932039	0
NCGC00260713-01	0.237902509	0
NCGC00260775-01	0.229451139	0
NCGC00261177-01	0.284312436	0
NCGC00261838-01	0.220274220	0
NCGC00260707-01	0.250917205	0
NCGC00261554-01	0.247482741	0
NCGC00261627-01	0.308798718	0
NCGC00260692-01	0.221103520	0
NCGC00261639-01	0.273642436	0
NCGC00261713-01	0.551280661	0
NCGC00261882-01	0.404909753	0
NCGC00261545-01	0.250242129	0
NCGC00261598-01	0.196641315	0
NCGC00260876-01	0.212546892	0
NCGC00261737-01	0.359634386	0
NCGC00261519-01	0.233934585	0
NCGC00261933-01	0.280617432	0
NCGC00261019-01	0.182091438	0
NCGC00261003-01	0.182140408	0
NCGC00260867-01	0.218600666	0
NCGC00261201-01	0.225031752	0
NCGC00261718-01	0.250222518	0
NCGC00261601-01	0.194884070	0
NCGC00261289-01	0	0
NCGC00260743-01	0.199670226	0
NCGC00261732-01	0.260032665	0
NCGC00260751-01	0.259261009	0
NCGC00261440-01	0.223887907	0
NCGC00261176-01	0.256769987	0
NCGC00261142-01	0.280899905	0
NCGC00260982-01	0.307604836	0
NCGC00261825-01	0.463514206	0
NCGC00261582-01	0.309672781	0
NCGC00261860-01	0.363820073	0
NCGC00260822-01	0.335634516	0
NCGC00261939-01	0.309805753	0
NCGC00261906-01	0.487771704	0
NCGC00261916-01	0.511180228	0
NCGC00261833-01	0.308890894	0
NCGC00261835-01	0.282250504	0
NCGC00261163-01	0.293809788	0
NCGC00261657-01	0.248953426	0
NCGC00261013-01	0.228057942	0
NCGC00261653-01	0.409137892	0
NCGC00260770-01	0.195123736	0
NCGC00261147-01	0.335194774	0
NCGC00261869-01	0.200574513	0
NCGC00261248-01	0.243192887	0
NCGC00261336-01	0.241323138	0
NCGC00261910-01	0.434552917	0
NCGC00261686-01	0.192934267	0
NCGC00260821-01	0.209121387	0
NCGC00261593-01	0.345076020	0
NCGC00261578-01	0.266206511	0
NCGC00261246-01	0.194677903	0
NCGC00261294-01	0.180083144	0
NCGC00260890-01	0.278172426	0
NCGC00261949-01	0.221502097	0
NCGC00261330-01	0.224883533	0
NCGC00261007-01	0.164209046	0
NCGC00260691-01	0.297832661	0
NCGC00261693-01	0.171423726	0
NCGC00261018-01	0.212958442	0
NCGC00261470-01	0.207646287	0
NCGC00261075-01	0.274667085	0
NCGC00261293-01	0.271072569	0
NCGC00261150-01	0.329357402	0
NCGC00261824-01	0.204169358	0
NCGC00261767-01	0.271085310	0
NCGC00261146-01	0.203698636	0
NCGC00261286-01	0.285017357	0
NCGC00261161-01	0.219077976	0
NCGC00261254-01	0.258409717	0
NCGC00260728-01	0.284894226	0
NCGC00261261-01	0.236117999	0
NCGC00261921-01	0.242340182	0
NCGC00260817-01	0.203112290	0
NCGC00261691-01	0.260593531	0
NCGC00260962-01	0.324235147	0
NCGC00261349-01	0.322075463	0
NCGC00261583-01	0.366869766	0
NCGC00261028-01	0.331085398	0
NCGC00261141-01	0.227770140	0
NCGC00261672-01	0.334376628	0
NCGC00261620-01	0.356900827	0
NCGC00261752-01	0.274686954	0
NCGC00261473-01	0.314110240	0
NCGC00261828-01	0.238533341	0
NCGC00357009-01	0.254795715	0
NCGC00357189-01	0.389499545	0
