Sample ID	Score	Activity
NCGC00261900-01	0.470510876	0
NCGC00260869-01	0.198964757	0
NCGC00261776-01	0.461045983	0
NCGC00261380-01	0.329797421	0
NCGC00261842-01	0.195948385	0
NCGC00261662-01	0.568598398	1
NCGC00260731-01	0.756352299	1
NCGC00261926-01	0.134740808	0
NCGC00261579-01	0.306722650	0
NCGC00261119-01	0.205384939	0
NCGC00260957-01	0.460369115	0
NCGC00261812-01	0.546144115	1
NCGC00260831-01	0.736727694	1
NCGC00261544-01	0.287136463	0
NCGC00261619-01	0.518913952	1
NCGC00261633-01	0.148147022	0
NCGC00261395-01	0.476162908	0
NCGC00261717-01	0.158446060	0
NCGC00261947-01	0.219579536	0
NCGC00261424-01	0.089601576	0
NCGC00261861-01	0.528725140	1
NCGC00261924-01	0.162284498	0
NCGC00261683-01	0.784797962	1
NCGC00261026-01	0.166229455	0
NCGC00261057-01	0.084841676	0
NCGC00261738-01	0.142308673	0
NCGC00261348-01	0.039428693	0
NCGC00261503-01	0.105908102	0
NCGC00260693-01	0.007705590	0
NCGC00260703-01	0.006238759	0
NCGC00260716-01	0.048558418	0
NCGC00260782-01	0.003692575	0
NCGC00260802-01	0.006645136	0
NCGC00260823-01	0.062298113	0
NCGC00261313-01	0.025125079	0
NCGC00260757-01	0.035307134	0
NCGC00260826-01	0.108726294	0
NCGC00261005-01	0.036211338	0
NCGC00260980-01	0.062225179	0
NCGC00261816-01	0.132395116	0
NCGC00260698-01	0.079405124	0
NCGC00260889-01	0.072840013	0
NCGC00260811-01	0.114855079	0
NCGC00261165-01	0.161994185	0
NCGC00261060-01	0.024251703	0
NCGC00261541-01	0.096489951	0
NCGC00261649-01	0.047419892	0
NCGC00261110-01	0.337722699	0
NCGC00261130-01	0.638263833	1
NCGC00261162-01	0.941291948	1
NCGC00261058-01	0.285159917	0
NCGC00261404-01	0.105852140	0
NCGC00261423-01	0.175183096	0
NCGC00261856-01	0.198042459	0
NCGC00261342-01	0.135046588	0
NCGC00261935-01	0.111158246	0
NCGC00261101-01	0.199764790	0
NCGC00261183-01	0.184003072	0
NCGC00261716-01	0.159127242	0
NCGC00260742-01	0.258581232	0
NCGC00261529-01	0.254080123	0
NCGC00261170-01	0.192256570	0
NCGC00261565-01	0.188970986	0
NCGC00260990-01	0.713438148	1
NCGC00261340-01	0.650447583	1
NCGC00261079-01	0.218885494	0
NCGC00261389-01	0.092012176	0
NCGC00261744-01	0.122559824	0
NCGC00261420-01	0.155386677	0
NCGC00261215-01	0.172489300	0
NCGC00261826-01	0.338769344	0
NCGC00260706-01	0.164633930	0
NCGC00261123-01	0.242894826	0
NCGC00261367-01	0.133450228	0
