Sample ID	Score	Activity
NCGC00261900	0.647	1
NCGC00260869	0.4036	0
NCGC00261776	0.633	1
NCGC00261380	0.6602	1
NCGC00261842	0.5126	0
NCGC00261662	0.8664	1
NCGC00261190	0.7102	1
NCGC00260731	0.7248	1
NCGC00261926	0.5368	0
NCGC00261579	0.5462	0
NCGC00260921	0.7394	1
NCGC00261119	0.4042	0
NCGC00260957	0.7218	1
NCGC00261812	0.7382	1
NCGC00260831	0.7076	1
NCGC00261544	0.5434	0
NCGC00261619	0.7248	1
NCGC00261633	0.22	0
NCGC00261395	0.5176	0
NCGC00261717	0.5174	0
NCGC00261947	0.554	0
NCGC00261424	0.5906	0
NCGC00261861	0.879	1
NCGC00261924	0.7662	1
NCGC00261052	0.2344	0
NCGC00261683	0.7052	1
NCGC00261026	0.4124	0
NCGC00261057	0.28	0
NCGC00261738	0.3112	0
NCGC00261348	0.2278	0
NCGC00261503	0.287	0
NCGC00260693	0.2384	0
NCGC00260703	0.1736	0
NCGC00260716	0.1396	0
NCGC00260782	0.244	0
NCGC00260802	0.131	0
NCGC00260823	0.3864	0
NCGC00261313	0.0974	0
NCGC00260757	0.2292	0
NCGC00260826	0.2364	0
NCGC00261005	0.3326	0
NCGC00260980	0.4404	0
NCGC00261816	0.4684	0
NCGC00260698	0.6176	1
NCGC00260889	0.2674	0
NCGC00260811	0.348	0
NCGC00261165	0.3616	0
NCGC00261060	0.1752	0
NCGC00261541	0.3906	0
NCGC00261649	0.2152	0
NCGC00261110	0.5692	0
NCGC00261130	0.6754	1
NCGC00260846	0.6078	1
NCGC00261030	0.7146	1
NCGC00261162	0.8372	1
NCGC00261058	0.726	1
NCGC00261404	0.4282	0
NCGC00261423	0.6522	1
NCGC00261856	0.6072	1
NCGC00261342	0.7072	1
NCGC00261935	0.071	0
NCGC00261069	0.6762	1
NCGC00261101	0.7302	1
NCGC00261183	0.3426	0
NCGC00261716	0.3812	0
NCGC00260742	0.6228	1
NCGC00261529	0.4934	0
NCGC00261170	0.59	0
NCGC00261565	0.6154	1
NCGC00260990	0.8528	1
NCGC00261340	0.4538	0
NCGC00261079	0.4184	0
NCGC00261389	0.6148	1
NCGC00261744	0.289	0
NCGC00261420	0.6248	1
NCGC00261215	0.7168	1
NCGC00261826	0.4186	0
NCGC00260706	0.5294	0
NCGC00261123	0.5062	0
NCGC00261367	0.2452	0
NCGC00261507	0.2602	0
NCGC00261169	0.2974	0
NCGC00261730	0.1784	0
NCGC00261624	0.3858	0
NCGC00261641	0.497	0
NCGC00261853	0.6834	1
NCGC00260911	0.4516	0
NCGC00260798	0.518	0
NCGC00261384	0.4434	0
NCGC00260785	0.7582	1
NCGC00261597	0.496	0
NCGC00261025	0.4006	0
NCGC00260789	0.6322	1
NCGC00260866	0.3534	0
NCGC00261189	0.241	0
NCGC00261270	0.4604	0
NCGC00261611	0.5842	0
NCGC00261160	0.693	1
NCGC00261085	0.2124	0
NCGC00261817	0.6072	1
NCGC00261866	0.42	0
NCGC00260852	0.4318	0
NCGC00261290	0.3338	0
NCGC00261304	0.8364	1
NCGC00261704	0.534	0
NCGC00260850	0.5838	0
NCGC00260972	0.4306	0
NCGC00261364	0.2484	0
NCGC00261392	0.5874	0
NCGC00261638	0.4984	0
NCGC00261820	0.1398	0
NCGC00261808	0.5356	0
NCGC00260790	0.6464	1
NCGC00260940	0.4226	0
NCGC00261081	0.6282	1
NCGC00261506	0.6974	1
NCGC00261133	0.2694	0
NCGC00261399	0.6154	1
NCGC00260696	0.825	1
NCGC00261903	0.776	1
NCGC00261178	0.7158	1
NCGC00261568	0.4096	0
NCGC00260830	0.314	0
NCGC00261113	0.349	0
NCGC00261327	0.312	0
NCGC00261602	0.3018	0
NCGC00260858	0.7106	1
NCGC00261071	0.6108	1
NCGC00261076	0.303	0
NCGC00261192	0.5112	0
NCGC00261577	0.7056	1
NCGC00261510	0.6944	1
NCGC00261679	0.5272	0
NCGC00261941	0.5814	0
NCGC00261343	0.717	1
NCGC00261607	0.5414	0
NCGC00261782	0.519	0
NCGC00261914	0.515	0
NCGC00261475	0.7416	1
NCGC00261764	0.818	1
NCGC00261802	0.8154	1
NCGC00261813	0.63	1
NCGC00260795	0.467	0
NCGC00261352	0.7966	1
NCGC00261009	0.6048	1
NCGC00261944	0.5104	0
NCGC00261166	0.6446	1
NCGC00261332	0.7608	1
NCGC00261333	0.6616	1
NCGC00261260	0.8032	1
NCGC00261915	0.6928	1
NCGC00261238	0.313	0
NCGC00261682	0.5298	0
NCGC00261049	0.5472	0
NCGC00260910	0.3838	0
NCGC00261272	0.4802	0
NCGC00260708	0.1082	0
NCGC00261390	0.1326	0
NCGC00260948	0.4176	0
NCGC00261840	0.2178	0
NCGC00260881	0.353	0
NCGC00261153	0.2326	0
NCGC00261406	0.3582	0
NCGC00261053	0.101	0
NCGC00261129	0.1702	0
NCGC00261381	0.6076	1
NCGC00261426	0.6626	1
NCGC00260979	0.702	1
NCGC00260993	0.3908	0
NCGC00261108	0.2814	0
NCGC00261441	0.4196	0
NCGC00261877	0.345	0
NCGC00260815	0.428	0
NCGC00261542	0.6964	1
NCGC00261958	0.2474	0
NCGC00261787	0.3968	0
NCGC00261065	0.8588	1
NCGC00261804	0.5232	0
NCGC00260875	0.6482	1
NCGC00261451	0.0554	0
NCGC00261739	0.6344	1
NCGC00261948	0.735	1
NCGC00261382	0.6744	1
NCGC00261663	0.5648	0
NCGC00260892	0.2654	0
NCGC00261297	0.2888	0
NCGC00261321	0.2856	0
NCGC00261446	0.551	0
NCGC00261474	0.1724	0
NCGC00260834	0.6106	1
NCGC00260840	0.7542	1
NCGC00260947	0.508	0
NCGC00261080	0.6398	1
NCGC00261563	0.6528	1
NCGC00261873	0.6404	1
NCGC00260803	0.2962	0
