Sample ID	Score	Activity
NCGC00260691	0.27656	0
NCGC00260692	0.11445	0
NCGC00260693	0.22799	0
NCGC00260696	0.46676	0
NCGC00260698	0.40280	0
NCGC00260703	0.19218	0
NCGC00260706	0.33306	0
NCGC00260707	0.48658	0
NCGC00260708	0.08330	0
NCGC00260713	0.56880	1
NCGC00260716	0.09634	0
NCGC00260728	0.34171	0
NCGC00260731	0.49422	0
NCGC00260742	0.36742	0
NCGC00260743	0.17699	0
NCGC00260751	0.13702	0
NCGC00260757	0.07652	0
NCGC00260770	0.14835	0
NCGC00260775	0.13834	0
NCGC00260782	0.25034	0
NCGC00260785	0.54718	1
NCGC00260789	0.59989	1
NCGC00260790	0.54770	1
NCGC00260795	0.65194	1
NCGC00260798	0.54014	1
NCGC00260802	0.11057	0
NCGC00260803	0.87398	1
NCGC00260811	0.49411	0
NCGC00260815	0.63691	1
NCGC00260817	0.20855	0
NCGC00260821	0.30625	0
NCGC00260822	0.73058	1
NCGC00260823	0.12563	0
NCGC00260826	0.16082	0
NCGC00260830	0.51668	1
NCGC00260831	0.78534	1
NCGC00260833	0.83880	1
NCGC00260834	0.81659	1
NCGC00260840	0.84379	1
NCGC00260846	0.38253	0
NCGC00260850	0.55419	1
NCGC00260852	0.44807	0
NCGC00260858	0.56522	1
NCGC00260866	0.57961	1
NCGC00260867	0.13188	0
NCGC00260869	0.79565	1
NCGC00260871	0.51414	1
NCGC00260875	0.41900	0
NCGC00260876	0.14663	0
NCGC00260881	0.24190	0
NCGC00260889	0.45551	0
NCGC00260890	0.36199	0
NCGC00260892	0.43120	0
NCGC00260910	0.45632	0
NCGC00260911	0.25125	0
NCGC00260921	0.62456	1
NCGC00260940	0.59572	1
NCGC00260947	0.79626	1
NCGC00260948	0.15608	0
NCGC00260957	0.48364	0
NCGC00260962	0.45093	0
NCGC00260972	0.58389	1
NCGC00260979	0.76919	1
NCGC00260980	0.51348	1
NCGC00260982	0.21672	0
NCGC00260990	0.51066	1
NCGC00260993	0.86844	1
NCGC00261003	0.50060	1
NCGC00261005	0.27189	0
NCGC00261007	0.31515	0
NCGC00261008	0.74089	1
NCGC00261009	0.56345	1
NCGC00261013	0.27016	0
NCGC00261018	0.47293	0
NCGC00261019	0.28608	0
NCGC00261025	0.38872	0
NCGC00261026	0.64904	1
NCGC00261028	0.42671	0
NCGC00261030	0.48542	0
NCGC00261037	0.39011	0
NCGC00261049	0.61821	1
NCGC00261052	0.27047	0
NCGC00261053	0.23176	0
NCGC00261057	0.44874	0
NCGC00261058	0.46606	0
NCGC00261060	0.26678	0
NCGC00261065	0.63443	1
NCGC00261071	0.55404	1
NCGC00261075	0.33663	0
NCGC00261076	0.42725	0
NCGC00261079	0.41866	0
NCGC00261080	0.80226	1
NCGC00261081	0.56627	1
NCGC00261085	0.30265	0
NCGC00261101	0.49597	0
NCGC00261108	0.62967	1
NCGC00261110	0.40221	0
NCGC00261113	0.36991	0
NCGC00261119	0.32313	0
NCGC00261123	0.42704	0
NCGC00261129	0.22149	0
NCGC00261130	0.45264	0
NCGC00261133	0.56432	1
NCGC00261141	0.39459	0
NCGC00261142	0.44004	0
NCGC00261146	0.19330	0
NCGC00261147	0.30984	0
NCGC00261150	0.35944	0
NCGC00261153	0.39991	0
NCGC00261155	0.79877	1
NCGC00261160	0.59327	1
NCGC00261161	0.21845	0
NCGC00261162	0.39539	0
NCGC00261163	0.56564	1
NCGC00261165	0.48064	0
NCGC00261166	0.60564	1
NCGC00261169	0.46358	0
NCGC00261170	0.44337	0
NCGC00261176	0.14070	0
NCGC00261177	0.32264	0
NCGC00261178	0.55576	1
NCGC00261183	0.59920	1
NCGC00261189	0.68993	1
NCGC00261190	0.54878	1
NCGC00261192	0.54655	1
NCGC00261201	0.47048	0
NCGC00261215	0.41919	0
NCGC00261238	0.44154	0
NCGC00261246	0.21750	0
NCGC00261248	0.36746	0
NCGC00261254	0.26803	0
NCGC00261260	0.55721	1
NCGC00261261	0.27149	0
NCGC00261270	0.34728	0
NCGC00261272	0.40891	0
NCGC00261286	0.33677	0
NCGC00261290	0.43413	0
NCGC00261293	0.29327	0
NCGC00261294	0.24277	0
NCGC00261297	0.63166	1
NCGC00261304	0.63003	1
NCGC00261313	0.19107	0
NCGC00261321	0.40833	0
NCGC00261327	0.37445	0
NCGC00261330	0.30941	0
NCGC00261332	0.68639	1
NCGC00261333	0.54446	1
NCGC00261336	0.30222	0
NCGC00261340	0.40087	0
NCGC00261342	0.43571	0
NCGC00261343	0.47827	0
NCGC00261348	0.24609	0
NCGC00261349	0.32151	0
NCGC00261352	0.66419	1
NCGC00261364	0.41209	0
NCGC00261367	0.39253	0
NCGC00261380	0.51560	1
NCGC00261381	0.57679	1
NCGC00261382	0.56457	1
NCGC00261384	0.46761	0
NCGC00261389	0.43498	0
NCGC00261390	0.11107	0
NCGC00261392	0.52303	1
NCGC00261395	0.63137	1
NCGC00261398	0.55374	1
NCGC00261399	0.57343	1
NCGC00261404	0.28601	0
NCGC00261406	0.26413	0
NCGC00261420	0.52705	1
NCGC00261423	0.44077	0
NCGC00261424	0.43650	0
NCGC00261426	0.59920	1
NCGC00261440	0.15084	0
NCGC00261441	0.85182	1
NCGC00261446	0.47789	0
NCGC00261470	0.33550	0
NCGC00261473	0.44772	0
NCGC00261474	0.37798	0
NCGC00261475	0.65146	1
