Sample ID	Score	Activity
NCGC00261900-01	0.002617066	0
NCGC00260869-01	0.007843632	0
NCGC00261776-01	0.005353215	0
NCGC00261380-01	0.007200465	0
NCGC00261842-01	0.156092992	1
NCGC00261662-01	0.215036314	1
NCGC00261190-01	0.026624681	1
NCGC00260731-01	0.278127520	1
NCGC00261926-01	0.007995349	0
NCGC00261579-01	0.004060896	0
NCGC00260921-01	0.003781943	0
NCGC00261119-01	0.000507708	0
NCGC00260957-01	0.000480593	0
NCGC00261812-01	0.012097540	1
NCGC00260831-01	0.352890074	1
NCGC00261544-01	0.000710267	0
NCGC00261619-01	0.002114440	0
NCGC00261633-01	0.000193389	0
NCGC00261395-01	0.003208772	0
NCGC00261717-01	0.004538825	0
NCGC00261947-01	0.002378243	0
NCGC00261424-01	0.003028486	0
NCGC00261861-01	0.002124699	0
NCGC00261924-01	0.000424053	0
NCGC00261052-01	0.002062158	0
NCGC00261683-01	0.007936078	0
NCGC00261026-01	0.009143132	0
NCGC00261057-01	0.001167828	0
NCGC00261738-01	0.001028819	0
NCGC00261348-01	0.000551043	0
NCGC00261503-01	0.000960583	0
NCGC00260693-01	0.000797029	0
NCGC00260703-01	0.000656407	0
NCGC00260716-01	0.000372664	0
NCGC00260782-01	0.000848540	0
NCGC00260802-01	0.000833267	0
NCGC00260823-01	0.000691322	0
NCGC00261313-01	0.000456777	0
NCGC00260757-01	0.000605922	0
NCGC00260826-01	0.000144417	0
NCGC00261005-01	0.000806813	0
NCGC00260980-01	0.000828051	0
NCGC00261816-01	0.001683586	0
NCGC00260698-01	0.000787805	0
NCGC00260889-01	0.000883690	0
NCGC00260811-01	0.001874547	0
NCGC00261165-01	0.006334204	0
NCGC00261060-01	0.000537473	0
NCGC00261541-01	0.000688008	0
NCGC00261649-01	0.001902837	0
NCGC00261110-01	0.001118828	0
NCGC00261130-01	0.001080614	0
NCGC00260846-01	0.002499679	0
NCGC00261030-01	0.000864928	0
NCGC00261162-01	0.000754996	0
NCGC00261058-01	0.001053406	0
NCGC00261404-01	0.000522870	0
NCGC00261423-01	0.013393013	1
NCGC00261856-01	0.670309844	1
NCGC00261342-01	0.001000753	0
NCGC00261935-01	0.001330612	0
NCGC00261069-01	0.002955859	0
NCGC00261101-01	0.001256488	0
NCGC00261183-01	0.002037068	0
NCGC00261716-01	0.000385004	0
NCGC00260742-01	0.000468792	0
NCGC00261529-01	0.000919003	0
NCGC00261170-01	0.000520576	0
NCGC00261565-01	0.002020458	0
NCGC00260990-01	0.060232280	1
NCGC00261340-01	0.000928953	0
NCGC00261079-01	0.003421061	0
NCGC00261389-01	0.000343998	0
NCGC00261744-01	0.000640889	0
NCGC00261420-01	0.003435494	0
NCGC00261215-01	0.000499520	0
NCGC00261826-01	0.000457935	0
NCGC00260706-01	0.003921295	0
NCGC00261123-01	0.002360024	0
NCGC00261367-01	0.000652133	0
NCGC00261507-01	0.000705783	0
NCGC00261169-01	0.001328601	0
NCGC00261730-01	0.003444707	0
NCGC00261624-01	0.001827895	0
NCGC00261641-01	0.000758016	0
NCGC00261853-01	0.002211303	0
NCGC00260911-01	0.001012326	0
NCGC00260798-01	0.002493125	0
NCGC00261384-01	0.000715038	0
NCGC00260785-01	0.001050304	0
NCGC00261597-01	0.000716309	0
NCGC00261025-01	0.001935631	0
NCGC00260789-01	0.002112983	0
NCGC00260866-01	0.025199275	1
NCGC00261189-01	0.007753914	0
NCGC00261270-01	0.001608381	0
NCGC00261611-01	0.000439930	0
NCGC00261160-01	0.024599341	1
NCGC00261085-01	0.000604942	0
NCGC00261817-01	0.001514053	0
NCGC00261866-01	0.000634187	0
NCGC00260852-01	0.003987188	0
NCGC00261290-01	0.001109141	0
NCGC00261304-01	0.002492979	0
NCGC00261704-01	0.001267340	0
NCGC00260850-01	0.000778356	0
NCGC00260972-01	0.000966827	0
