Sample ID	Score	Activity
NCGC00261900	0.7158	1
NCGC00260869	0.4404	0
NCGC00261776	0.847	1
NCGC00261380	0.7076	1
NCGC00261842	0.3618	0
NCGC00261662	0.9668	1
NCGC00261190	0.7226	1
NCGC00260731	0.7936	1
NCGC00261926	0.668	1
NCGC00261579	0.6912	1
NCGC00260921	0.764	1
NCGC00261119	0.5796	1
NCGC00260957	0.494	0
NCGC00261812	0.8132	1
NCGC00260831	0.9038	1
NCGC00261544	0.2024	0
NCGC00261619	0.5924	1
NCGC00261633	0.251	0
NCGC00261395	0.816	1
NCGC00261717	0.6626	1
NCGC00261947	0.6034	1
NCGC00261424	0.3692	0
NCGC00261861	0.1432	0
NCGC00261924	0.3704	0
NCGC00261052	0.2076	0
NCGC00261683	0.8074	1
NCGC00261026	0.7502	1
NCGC00261057	0.7192	1
NCGC00261738	0.7022	1
NCGC00261348	0.1444	0
NCGC00261503	0.2194	0
NCGC00260693	0.1526	0
NCGC00260703	0.147	0
NCGC00260716	0.1376	0
NCGC00260782	0.1868	0
NCGC00260802	0.1746	0
NCGC00260823	0.1458	0
NCGC00261313	0.0672	0
NCGC00260757	0.1934	0
NCGC00260826	0.2144	0
NCGC00261005	0.2854	0
NCGC00260980	0.549	1
NCGC00261816	0.5784	1
NCGC00260698	0.5708	1
NCGC00260889	0.8224	1
NCGC00260811	0.54	1
NCGC00261165	0.633	1
NCGC00261060	0.07	0
NCGC00261541	0.2522	0
NCGC00261649	0.1284	0
NCGC00261110	0.6794	1
NCGC00261130	0.5676	1
NCGC00260846	0.6704	1
NCGC00261030	0.5864	1
NCGC00261162	0.2526	0
NCGC00261058	0.6026	1
NCGC00261404	0.3602	0
NCGC00261423	0.7722	1
NCGC00261856	0.7384	1
NCGC00261342	0.3712	0
NCGC00261935	0.111	0
NCGC00261069	0.6176	1
NCGC00261101	0.6596	1
NCGC00261183	0.8128	1
NCGC00261716	0.3492	0
NCGC00260742	0.2686	0
NCGC00261529	0.4626	0
NCGC00261170	0.4442	0
NCGC00261565	0.7216	1
NCGC00260990	0.8888	1
NCGC00261340	0.4574	0
NCGC00261079	0.9398	1
NCGC00261389	0.4908	0
NCGC00261744	0.3866	0
NCGC00261420	0.5796	1
NCGC00261215	0.3544	0
NCGC00261826	0.372	0
NCGC00260706	0.6452	1
NCGC00261123	0.6454	1
NCGC00261367	0.4818	0
NCGC00261507	0.4984	0
NCGC00261169	0.3188	0
NCGC00261730	0.4316	0
NCGC00261624	0.7484	1
NCGC00261641	0.6624	1
NCGC00261853	0.9016	1
NCGC00260911	0.3222	0
NCGC00260798	0.4018	0
NCGC00261384	0.5324	1
NCGC00260785	0.5446	1
NCGC00261597	0.4572	0
NCGC00261025	0.9158	1
NCGC00260789	0.7178	1
NCGC00260866	0.9738	1
NCGC00261189	0.7028	1
NCGC00261270	0.5256	1
NCGC00261611	0.3704	0
NCGC00261160	0.4556	0
NCGC00261085	0.2648	0
NCGC00261817	0.5748	1
NCGC00261866	0.6532	1
NCGC00260852	0.9084	1
NCGC00261290	0.6776	1
NCGC00261304	0.6496	1
NCGC00261704	0.7168	1
NCGC00260850	0.495	0
NCGC00260972	0.536	1
NCGC00261364	0.2002	0
NCGC00261392	0.6808	1
NCGC00261638	0.6646	1
NCGC00261820	0.2154	0
NCGC00261808	0.6414	1
NCGC00260790	0.9092	1
NCGC00260940	0.907	1
NCGC00261081	0.5096	1
NCGC00261506	0.656	1
NCGC00261133	0.5312	1
NCGC00261399	0.7166	1
NCGC00260696	0.7798	1
NCGC00261903	0.7484	1
NCGC00261178	0.3124	0
NCGC00261568	0.9212	1
NCGC00260830	0.4604	0
NCGC00261113	0.4266	0
NCGC00261327	0.3662	0
NCGC00261602	0.787	1
NCGC00260858	0.6874	1
NCGC00261071	0.6308	1
