SampleID	Score	Activity
NCGC00261949	0.0128	0
NCGC00357083	0.1621	0
NCGC00260731	0.2287	0
NCGC00357288	0.0378	0
NCGC00357081	0.0291	0
NCGC00260982	0.2160	0
NCGC00260980	0.0272	0
NCGC00357068	0.2117	0
NCGC00357069	0.0070	0
NCGC00357060	0.0134	0
NCGC00357061	0.2151	0
NCGC00357063	0.2125	0
NCGC00357064	0.0075	0
NCGC00357065	0.0101	0
NCGC00357066	0.2378	0
NCGC00357067	0.2178	0
NCGC00260698	0.2264	0
NCGC00261866	0.0203	0
NCGC00357201	0.2275	0
NCGC00357202	0.0119	0
NCGC00357203	0.0140	0
NCGC00357204	0.0116	0
NCGC00357205	0.0088	0
NCGC00261860	0.0367	0
NCGC00261861	0.2287	0
NCGC00357208	0.0111	0
NCGC00357209	0.1722	0
NCGC00261906	0.0399	0
NCGC00261900	0.0593	0
NCGC00261903	0.0870	0
NCGC00261869	0.2140	0
NCGC00261510	0.0290	0
NCGC00357284	0.2791	0
NCGC00261519	0.0151	0
NCGC00260742	0.0312	0
NCGC00260743	0.0165	0
NCGC00357287	0.0100	0
NCGC00260890	0.2250	0
NCGC00260892	0.2375	0
NCGC00357020	0.0122	0
NCGC00357021	0.0202	0
NCGC00261349	0.0184	0
NCGC00261348	0.2134	0
NCGC00261343	0.0235	0
NCGC00261342	0.0397	0
NCGC00261340	0.0197	0
NCGC00261583	0.2338	0
NCGC00261582	0.0181	0
NCGC00261163	0.0446	0
NCGC00261162	0.2144	0
NCGC00261248	0.0159	0
NCGC00261160	0.0570	0
NCGC00261166	0.0548	0
NCGC00261165	0.2447	0
NCGC00261169	0.0302	0
NCGC00261313	0.0101	0
NCGC00261246	0.0132	0
NCGC00261649	0.0239	0
NCGC00260803	0.1674	0
NCGC00261643	0.3998	0
NCGC00261641	0.0228	0
NCGC00261764	0.2789	0
NCGC00261767	0.0310	0
NCGC00261882	0.0331	0
NCGC00357037	0.0078	0
NCGC00357036	0.2092	0
NCGC00357035	0.0118	0
NCGC00357034	0.0145	0
NCGC00357033	0.2075	0
NCGC00357032	0.0084	0
NCGC00261019	0.0216	0
NCGC00357030	0.1912	0
NCGC00261013	0.0212	0
NCGC00357156	0.0197	0
NCGC00357039	0.0056	0
NCGC00357038	0.2232	0
NCGC00357119	0.1850	0
NCGC00357151	0.0509	0
NCGC00260940	0.0515	0
NCGC00260947	0.0721	0
NCGC00260948	0.0098	0
NCGC00261085	0.0249	0
NCGC00357109	0.0305	0
NCGC00357108	0.2365	0
NCGC00261080	0.2407	0
NCGC00261081	0.0303	0
NCGC00357103	0.0076	0
NCGC00357102	0.0115	0
NCGC00357101	0.2092	0
NCGC00357100	0.0052	0
NCGC00357107	0.2057	0
NCGC00357106	0.2124	0
NCGC00357105	0.0141	0
NCGC00357104	0.2276	0
NCGC00260790	0.2296	0
NCGC00260795	0.0178	0
NCGC00357158	0.2133	0
NCGC00260798	0.0305	0
NCGC00261941	0.0448	0
NCGC00357088	0.0058	0
NCGC00357089	0.0263	0
NCGC00261944	0.0551	0
NCGC00261947	0.0412	0
NCGC00357082	0.0091	0
NCGC00261948	0.0560	0
NCGC00357080	0.0131	0
NCGC00261133	0.0462	0
NCGC00357086	0.0723	0
NCGC00357087	0.0193	0
NCGC00357084	0.0045	0
NCGC00357085	0.2647	0
NCGC00260708	0.0163	0
NCGC00260703	0.2258	0
NCGC00260706	0.0265	0
NCGC00260707	0.2230	0
NCGC00356959	0.0077	0
NCGC00356958	0.2205	0
NCGC00356953	0.0206	0
NCGC00356952	0.0234	0
NCGC00356951	0.2085	0
NCGC00356950	0.0128	0
NCGC00356957	0.0268	0
NCGC00356956	0.0182	0
NCGC00356955	0.0204	0
NCGC00356954	0.0096	0
NCGC00357257	0.2183	0
NCGC00261838	0.0330	0
NCGC00357259	0.2276	0
NCGC00357258	0.0236	0
NCGC00261835	0.0256	0
NCGC00357256	0.0112	0
NCGC00357255	0.0221	0
NCGC00357254	0.0102	0
NCGC00357253	0.2160	0
NCGC00357252	0.0228	0
NCGC00261833	0.0295	0
NCGC00357250	0.0148	0
NCGC00261426	0.2629	0
NCGC00261935	0.2177	0
NCGC00261424	0.0461	0
NCGC00261423	0.0363	0
NCGC00261420	0.0221	0
NCGC00261933	0.0692	0
NCGC00261545	0.3181	0
NCGC00261544	0.0228	0
NCGC00261541	0.0192	0
NCGC00261939	0.0248	0
NCGC00261542	0.0298	0
NCGC00357251	0.2287	0
NCGC00261261	0.2206	0
NCGC00357110	0.0229	0
NCGC00357111	0.0352	0
NCGC00261682	0.0531	0
NCGC00261683	0.0351	0
NCGC00260840	0.6523	1
NCGC00261686	0.0122	0
NCGC00260846	0.2236	0
NCGC00357114	0.2450	0
NCGC00261332	0.0548	0
NCGC00261333	0.0603	0
NCGC00261330	0.0214	0
NCGC00261336	0.1920	0
NCGC00357117	0.0543	0
NCGC00261053	0.0135	0
NCGC00261052	0.2569	0
NCGC00357170	0.0297	0
NCGC00261119	0.2203	0
NCGC00261057	0.0313	0
NCGC00357177	0.0149	0
NCGC00357174	0.0058	0
NCGC00357175	0.2463	0
NCGC00261113	0.0256	0
NCGC00261110	0.0290	0
NCGC00261058	0.0507	0
NCGC00261611	0.0275	0
NCGC00357230	0.2357	0
NCGC00261619	0.2424	0
NCGC00261752	0.2336	0
NCGC00261201	0.2410	0
NCGC00356986	0.0195	0
NCGC00357127	0.2061	0
NCGC00357126	0.2244	0
NCGC00357129	0.0094	0
NCGC00356997	0.0177	0
NCGC00260990	0.2453	0
NCGC00260993	0.4572	0
NCGC00357048	0.2057	0
NCGC00357079	0.0138	0
NCGC00357078	0.2094	0
NCGC00357073	0.0164	0
NCGC00357072	0.2589	0
NCGC00357071	0.0051	0
NCGC00357070	0.0072	0
NCGC00357077	0.2769	0
NCGC00357076	0.1318	0
NCGC00357075	0.0062	0
NCGC00357074	0.0218	0
NCGC00261451	0.2096	0
NCGC00357213	0.0187	0
NCGC00357212	0.2253	0
NCGC00261873	0.0737	0
NCGC00357210	0.0086	0
NCGC00357217	0.0191	0
NCGC00357216	0.2183	0
NCGC00261877	0.2510	0
NCGC00357214	0.0108	0
NCGC00357219	0.2105	0
NCGC00357218	0.0132	0
NCGC00261503	0.0323	0
NCGC00261507	0.0308	0
NCGC00261506	0.2603	0
NCGC00261662	0.2293	0
NCGC00260757	0.2201	0
NCGC00357289	0.0208	0
NCGC00260751	0.0166	0
NCGC00260696	0.2163	0
NCGC00357281	0.0194	0
NCGC00357282	0.0219	0
NCGC00357283	0.0060	0
NCGC00260692	0.0097	0
NCGC00260693	0.0161	0
NCGC00357286	0.0411	0
NCGC00260691	0.0155	0
NCGC00261480	0.2365	0
NCGC00261487	0.0478	0
NCGC00260881	0.0125	0
NCGC00260889	0.0250	0
NCGC00261804	0.0470	0
NCGC00261802	0.0518	0
NCGC00261475	0.0726	0
NCGC00261474	0.0230	0
NCGC00261808	0.0310	0
NCGC00261470	0.2327	0
NCGC00261473	0.0236	0
NCGC00261577	0.2472	0
NCGC00261578	0.0069	0
NCGC00261579	0.0270	0
NCGC00261254	0.2292	0
NCGC00261398	0.0543	0
NCGC00261399	0.2574	0
NCGC00261395	0.0502	0
NCGC00261390	0.2278	0
NCGC00357162	0.0142	0
NCGC00261392	0.0420	0
NCGC00260834	0.2864	0
NCGC00260833	0.1824	0
NCGC00260830	0.0345	0
NCGC00260831	0.3385	0
NCGC00261657	0.0059	0
NCGC00261713	0.3009	0
NCGC00261716	0.0271	0
NCGC00261717	0.0429	0
NCGC00261718	0.0541	0
NCGC00357002	0.0131	0
NCGC00357003	0.0147	0
NCGC00261028	0.0372	0
NCGC00357001	0.0276	0
NCGC00357006	0.0075	0
NCGC00357007	0.2396	0
NCGC00357004	0.0161	0
NCGC00357005	0.0167	0
NCGC00357008	0.2108	0
NCGC00357009	0.0099	0
NCGC00261026	0.0300	0
NCGC00261025	0.0149	0
NCGC00260957	0.0591	0
NCGC00356943	0.0284	0
NCGC00357200	0.0047	0
NCGC00357136	0.0127	0
NCGC00357137	0.0087	0
NCGC00357134	0.0213	0
NCGC00357135	0.0091	0
NCGC00357132	0.4048	0
NCGC00357133	0.2155	0
NCGC00357130	0.0077	0
NCGC00357131	0.0071	0
NCGC00261624	0.0203	0
NCGC00261627	0.0107	0
NCGC00261620	0.0200	0
NCGC00261153	0.0298	0
NCGC00261150	0.2154	0
NCGC00357139	0.0126	0
NCGC00357000	0.0215	0
NCGC00357095	0.2161	0
NCGC00357094	0.0153	0
NCGC00357097	0.0117	0
NCGC00357096	0.0143	0
NCGC00357091	0.2257	0
NCGC00357090	0.0058	0
NCGC00357093	0.2112	0
NCGC00357092	0.0035	0
NCGC00357099	0.0111	0
NCGC00357098	0.0083	0
NCGC00260713	0.2342	0
NCGC00260716	0.0122	0
NCGC00356966	0.0084	0
NCGC00356967	0.0115	0
NCGC00356964	0.2390	0
NCGC00356965	0.3772	0
NCGC00356962	0.0096	0
NCGC00356963	0.2084	0
NCGC00356960	0.0095	0
NCGC00356961	0.0104	0
NCGC00357019	0.3561	0
NCGC00356968	0.0056	0
NCGC00356974	0.0091	0
NCGC00357015	0.0137	0
NCGC00357268	0.2168	0
NCGC00357269	0.0408	0
NCGC00356988	0.2262	0
NCGC00356989	0.0364	0
NCGC00357014	0.2266	0
NCGC00356984	0.2275	0
NCGC00357263	0.0116	0
NCGC00261842	0.0872	0
NCGC00356987	0.0091	0
NCGC00357266	0.2099	0
NCGC00356981	0.2099	0
NCGC00356982	0.0212	0
NCGC00356983	0.0159	0
NCGC00261926	0.0507	0
NCGC00261924	0.0188	0
NCGC00261921	0.2264	0
NCGC00357172	0.0094	0
NCGC00357173	0.0060	0
NCGC00357171	0.0094	0
NCGC00357245	0.0076	0
NCGC00260876	0.0042	0
NCGC00357176	0.0193	0
NCGC00260875	0.0508	0
NCGC00261691	0.0241	0
NCGC00261693	0.0389	0
NCGC00260871	0.2292	0
NCGC00261286	0.0212	0
NCGC00261787	0.0272	0
NCGC00261327	0.0215	0
NCGC00357280	0.2416	0
NCGC00261321	0.0224	0
NCGC00261289	0.0071	0
NCGC00261446	0.0347	0
NCGC00261440	0.0297	0
NCGC00261441	0.3281	0
NCGC00357169	0.2906	0
NCGC00357207	0.5529	1
NCGC00357178	0.0574	0
NCGC00357168	0.0265	0
NCGC00357179	0.0085	0
NCGC00261101	0.0304	0
NCGC00357041	0.2164	0
NCGC00261260	0.0558	0
NCGC00261108	0.0423	0
NCGC00260911	0.2529	0
NCGC00260910	0.0407	0
